,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
kyle-pohl-1,2012,6.5,,38,,,,,,6.0,6-3,,,2,,Kyle Pohl,,58,,65.5,5,366,6.3,kyle-pohl-1,11,0,QB,,140.1,,,,,11,0,26,2.4,0,,,2012,,,Akron,,0,,210,26,2.4,,,,FR
kyle-pohl-1,2013,5.6,0.0,225,0.0,0.0,0.0,0.0,,12.0,6-3,0.0,0.0,10,0.0,Kyle Pohl,,402,0.0,56.0,14,2438,6.1,kyle-pohl-1,72,18,QB,0.0,113.4,0.0,0.0,,0.0,72,3,96,1.3,3,0.0,,2013,1.0,0.0,Akron,1.0,3,,210,96,1.3,,0.0,,
kyle-pohl-1,2014,5.2,0.0,208,0.0,0.0,0.0,0.0,,10.0,6-3,0.0,0.0,8,0.0,Kyle Pohl,,383,0.0,54.3,9,2189,5.7,kyle-pohl-1,46,6,QB,0.0,105.9,0.0,0.0,,0.0,46,1,18,0.4,1,0.0,,2014,0.0,0.0,Akron,0.0,1,,210,18,0.4,,0.0,,JR
kyle-pohl-1,2015,5.0,0.0,11,0.0,0.0,0.0,0.0,,4.0,6-3,0.0,0.0,0,0.0,Kyle Pohl,,27,0.0,40.7,0,135,5.0,kyle-pohl-1,5,0,QB,0.0,82.7,0.0,0.0,,0.0,5,0,1,0.2,0,0.0,,2015,0.0,0.0,Akron,0.0,0,,210,1,0.2,,0.0,,SR
kyle-pohl-1,Career,5.5,0.0,482,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,20,0.0,Kyle Pohl,,870,0.0,55.4,28,5128,5.9,kyle-pohl-1,134,24,QB,0.0,110.9,0.0,0.0,,0.0,134,4,141,1.1,4,0.0,,Career,1.0,0.0,Akron,1.0,4,,210,141,1.1,,0.0,,
tommy-woodson-1,2014,4.4,0,76,0,0,0,0,,8.0,6-1,0,0,6,0,Tommy Woodson,,143,0,53.1,5,806,5.6,tommy-woodson-1,32,0,QB,0,103.6,0,0,,0,32,0,131,4.1,0,0.0,,2014,1,0.0,Akron,1,0,,240,131,4.1,,0,,FR
tommy-woodson-1,2015,6.6,0,162,0,0,0,0,,12.0,6-1,0,0,11,0,Tommy Woodson,,307,0,52.8,16,2202,7.2,tommy-woodson-1,136,24,QB,0,123.1,1,14,14.0,1,135,3,603,4.5,4,0.0,,2015,0,0.0,Akron,0,4,,240,617,4.5,,0,,SO
tommy-woodson-1,2016,9.0,0,146,0,0,0,0,,8.0,6-1,0,0,6,0,Tommy Woodson,,242,0,60.3,18,2079,8.6,tommy-woodson-1,42,6,QB,0,152.1,0,0,,0,42,1,34,0.8,1,0.0,,2016,1,0.0,Akron,1,1,,240,34,0.8,,0,,JR
tommy-woodson-1,2017,5.9,0,159,0,0,0,0,,10.0,6-1,0,0,9,0,Tommy Woodson,,278,0,57.2,14,1777,6.4,tommy-woodson-1,43,6,QB,0,121.0,0,0,,0,43,1,-25,-0.6,1,0.0,,2017,0,0.0,Akron,0,1,,240,-25,-0.6,,0,,SR
tommy-woodson-1,Career,6.7,0,543,0,0,0,0,,,6-1,0,0,32,0,Tommy Woodson,,970,0,56.0,53,6864,7.1,tommy-woodson-1,253,36,QB,0,126.9,1,14,14.0,1,252,5,743,2.9,6,0.0,,Career,2,0.0,Akron,2,6,,240,757,3.0,,0,,
jawon-chisholm-1,2011,7.0,,1.0,,,,,,12.0,6-1,,,0.0,,Jawon Chisholm,,4.0,,25.0,1.0,8.0,2.0,jawon-chisholm-1,230,30,RB,,124.3,0,84,7.0,12,218,5,961,4.4,5,,,2011,,,Akron,,5,,206,1045,4.5,,,,FR
