,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
cody-clements-1,2014,7.8,,183,0,0,,,,11.0,6-2,,,8,0,Cody Clements,,276,,66.3,14,2227,8.1,cody-clements-1,91,24,QB,0,145.0,0,0,,0,91,4,160,1.8,4,,,2014,,,UAB,,4,,200,160,1.8,,,,
cody-clements-1,2015,5.7,,171,0,0,,,,12.0,6-2,,,15,0,Cody Clements,,324,,52.8,13,2272,7.0,cody-clements-1,85,24,QB,0,115.7,1,7,7.0,1,84,3,95,1.1,4,,,2015,,,South Alabama,,4,,200,102,1.2,,,,SR
cody-clements-1,Career,6.7,,354,0,0,,,,,6-2,,,23,0,Cody Clements,,600,,59.0,27,4499,7.5,cody-clements-1,176,48,QB,0,129.2,1,7,7.0,1,175,7,255,1.5,8,,,Career,,,Overall,,8,,200,262,1.5,,,,
jeremiah-briscoe-1,2014,5.1,,17,,,,,,6.0,6-3,,,4,,Jeremiah Briscoe,,47,,36.2,3,361,7.7,jeremiah-briscoe-1,9,,QB,,104.7,0,0,,0,9,0,7,0.8,0,,,2014,,,UAB,,,,210,7,0.8,,,,SO
jeremiah-briscoe-1,Career,5.1,,17,,,,,,,6-3,,,4,,Jeremiah Briscoe,,47,,36.2,3,361,7.7,jeremiah-briscoe-1,9,,QB,,104.7,0,0,,0,9,0,7,0.8,0,,,Career,,,UAB,,,,210,7,0.8,,,,
myles-mckee-1,2014,,,,,,,,,2.0,6-3,,,,,Myles McKee,,,,,,,,myles-mckee-1,2,,QB,,,0,0,,0,2,0,-22,-11.0,0,,,2014,,,UAB,,,,205,-22,-11.0,,,,SR
myles-mckee-1,Career,,,,,,,,,,6-3,,,,,Myles McKee,,,,,,,,myles-mckee-1,2,,QB,,,0,0,,0,2,0,-22,-11.0,0,,,Career,,,UAB,,,,205,-22,-11.0,,,,
jordan-howard-1,2013,,1,0,0,0,0,0,,11.0,5-10,0,0,0,0,Jordan Howard,,0,0,,0,0,,jordan-howard-1,149,18,RB,0,,1,83,20.8,4,145,2,881,6.1,3,0.0,,2013,0,0.0,UAB,1,3,,209,964,6.5,,0,,FR
jordan-howard-1,2014,0.0,0,1,0,0,0,0,,12.0,5-10,0,0,0,0,Jordan Howard,,1,0,100.0,0,0,0.0,jordan-howard-1,315,84,RB,0,100.0,1,72,8.0,9,306,13,1587,5.2,14,0.0,,2014,0,0.0,UAB,0,14,,209,1659,5.3,,0,,SO
jordan-howard-1,2015,,0,0,0,0,0,0,,9.0,5-10,0,0,0,0,Jordan Howard,,0,0,,0,0,,jordan-howard-1,207,60,RB,0,,1,106,9.6,11,196,9,1213,6.2,10,0.0,,2015,0,0.0,Indiana,0,10,,209,1319,6.4,,0,,JR
jordan-howard-1,Career,0.0,1,1,0,0,0,0,,,5-10,0,0,0,0,Jordan Howard,,1,0,100.0,0,0,0.0,jordan-howard-1,671,162,RB,0,100.0,3,261,10.9,24,647,24,3681,5.7,27,0.0,,Career,0,0.0,Overall,1,27,,209,3942,5.9,,0,,
dj-vinson-1,2011,,2,,,,0,0,,12.0,5-10,,,,0,D.J. Vinson,,,0,,,,,dj-vinson-1,15,12,WR,,,2,97,8.8,11,4,0,3,0.8,2,0.0,,2011,1,0.0,UAB,3,2,,205,100,6.7,,,,FR
dj-vinson-1,2014,,0,0.0,0.0,0.0,0,0,,12.0,5-10,0.0,0.0,0.0,0,D.J. Vinson,,0.0,0,,0.0,0.0,,dj-vinson-1,181,60,RB,0.0,,1,65,4.3,15,166,9,670,4.0,10,0.0,,2014,0,0.0,UAB,0,10,,205,735,4.1,,0.0,,SR
dj-vinson-1,2015,7.0,0,1.0,0.0,0.0,0,0,,11.0,5-10,0.0,0.0,0.0,0,D.J. Vinson,,1.0,0,100.0,0.0,7.0,7.0,dj-vinson-1,26,6,WR,0.0,158.8,0,193,8.4,23,3,1,5,1.7,1,0.0,,2015,4,0.0,South Alabama,4,1,,205,198,7.6,,0.0,,SR
