,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
blake-sims-2,2011,,0.0,,,,0.0,0.0,,5.0,6-0,,,,,Blake Sims,,,0.0,,,,,blake-sims-2,24,0,QB,,,0.0,18.0,9.0,2.0,22,0,107,4.9,0,0.0,,2011,1.0,0.0,Alabama,1.0,0,,208,125,5.2,,,,FR
blake-sims-2,2012,7.7,,5.0,,,,,,10.0,6-0,,,0.0,,Blake Sims,,10.0,,50.0,0.0,77.0,7.7,blake-sims-2,30,12,QB,,114.7,,,,,30,2,187,6.2,2,,,2012,,,Alabama,,2,,208,187,6.2,,,,SO
blake-sims-2,2013,7.1,0.0,18.0,0.0,0.0,0.0,0.0,,8.0,6-0,0.0,0.0,0.0,0.0,Blake Sims,,29.0,0.0,62.1,2.0,167.0,5.8,blake-sims-2,15,0,QB,0.0,133.2,0.0,0.0,,0.0,15,0,61,4.1,0,0.0,,2013,0.0,0.0,Alabama,0.0,0,,208,61,4.1,,0.0,,
blake-sims-2,2014,9.2,0.0,252.0,0.0,0.0,0.0,0.0,,14.0,6-0,0.0,0.0,10.0,0.0,Blake Sims,,391.0,0.0,64.5,28.0,3487.0,8.9,blake-sims-2,83,42,QB,0.0,157.9,0.0,0.0,,0.0,83,7,350,4.2,7,0.0,,2014,0.0,0.0,Alabama,0.0,7,,208,350,4.2,,0.0,,SR
blake-sims-2,Career,9.0,0.0,275.0,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,10.0,0.0,Blake Sims,,430.0,0.0,64.0,30.0,3731.0,8.7,blake-sims-2,152,54,QB,0.0,155.2,0.0,18.0,9.0,2.0,150,9,705,4.7,9,0.0,,Career,1.0,0.0,Alabama,1.0,9,,208,723,4.8,,0.0,,
jake-coker-1,2014,8.2,,38,0,0,,,,5.0,6-5,,,0,0,Jake Coker,,59,,64.4,4,403,6.8,jake-coker-1,7,0,QB,0,144.2,0,0,,0,7,0,13,1.9,0,,,2014,,,Alabama,,0,,232,13,1.9,,,,JR
jake-coker-1,2015,8.1,,263,0,0,,,,15.0,6-5,,,8,0,Jake Coker,,393,,66.9,21,3110,7.9,jake-coker-1,74,12,QB,0,147.0,0,0,,0,74,2,68,0.9,2,,,2015,,,Alabama,,2,,232,68,0.9,,,,SR
jake-coker-1,Career,8.1,,301,0,0,,,,,6-5,,,8,0,Jake Coker,,452,,66.6,25,3513,7.8,jake-coker-1,81,12,QB,0,146.6,0,0,,0,81,2,81,1.0,2,,,Career,,,Alabama,,2,,232,81,1.0,,,,
tj-yeldon-1,2012,,,,,,,,,14.0,6-2,,,,,T.J. Yeldon,,,,,,,,tj-yeldon-1,186,78,RB,,,1,131,11.9,11,175,12,1108,6.3,13,,,2012,,,Alabama,,13,,221,1239,6.7,,,,FR
tj-yeldon-1,2013,,,,0.0,0.0,,,,12.0,6-2,,,,0.0,T.J. Yeldon,,,,,,,,tj-yeldon-1,227,84,RB,0.0,,0,183,9.2,20,207,14,1235,6.0,14,,,2013,,,Alabama,,14,,221,1418,6.2,,,,
