,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
taylor-lamb-1,2014,7.9,0,181,0,0,0,0,,12.0,6-2,0,0,9,0,Taylor Lamb,,295,0,61.4,17,2381,8.1,taylor-lamb-1,78,24,QB,0,142.1,0,0,,0,78,4,483,6.2,4,0.0,,2014,0,0.0,Appalachian State,0,4,,200,483,6.2,,0,,FR
taylor-lamb-1,2015,9.2,0,167,0,0,0,0,,13.0,6-2,0,0,9,0,Taylor Lamb,,280,0,59.6,31,2364,8.4,taylor-lamb-1,85,30,QB,0,160.7,0,0,,0,85,5,436,5.1,5,0.0,,2015,2,0.0,Appalachian State,2,5,,200,436,5.1,,0,,SO
taylor-lamb-1,2016,6.8,0,197,0,0,0,0,,13.0,6-2,0,0,8,0,Taylor Lamb,,325,0,60.6,15,2281,7.0,taylor-lamb-1,89,54,QB,0,129.9,0,0,,0,89,9,505,5.7,9,0.0,,2016,1,0.0,Appalachian State,1,9,,200,505,5.7,,0,,JR
taylor-lamb-1,2017,8.9,0,206,0,0,0,0,,13.0,6-2,0,0,6,0,Taylor Lamb,,337,0,61.1,27,2737,8.1,taylor-lamb-1,78,30,QB,0,152.2,0,0,,0,78,5,584,7.5,5,0.0,,2017,0,0.0,Appalachian State,0,5,,200,584,7.5,,0,,SR
taylor-lamb-1,Career,8.2,0,751,0,0,0,0,,,6-2,0,0,32,0,Taylor Lamb,,1237,0,60.7,90,9763,7.9,taylor-lamb-1,330,138,QB,0,145.8,0,0,,0,330,23,2008,6.1,23,0.0,,Career,3,0.0,Appalachian State,3,23,,200,2008,6.1,,0,,
kameron-bryant-1,2014,5.7,,23,0,0,,,,5.0,6-1,,,2,0,Kameron Bryant,,43,,53.5,4,254,5.9,kameron-bryant-1,16,6,QB,0,124.5,0,0,,0,16,1,54,3.4,1,,,2014,,,Appalachian State,,1,,205,54,3.4,,,,JR
kameron-bryant-1,Career,5.7,,23,0,0,,,,,6-1,,,2,0,Kameron Bryant,,43,,53.5,4,254,5.9,kameron-bryant-1,16,6,QB,0,124.5,0,0,,0,16,1,54,3.4,1,,,Career,,,Appalachian State,,1,,205,54,3.4,,,,
logan-hallock-1,2014,1.0,,1,,,,,,1.0,5-11,,,0,,Logan Hallock,,2,,50.0,0,2,1.0,logan-hallock-1,1,,QB,,58.4,0,0,,0,1,0,-2,-2.0,0,,,2014,,,Appalachian State,,,,185,-2,-2.0,,,,SR
logan-hallock-1,Career,1.0,,1,,,,,,,5-11,,,0,,Logan Hallock,,2,,50.0,0,2,1.0,logan-hallock-1,1,,QB,,58.4,0,0,,0,1,0,-2,-2.0,0,,,Career,,,Appalachian State,,,,185,-2,-2.0,,,,
marcus-cox-2,2014,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Marcus Cox,,,0,,,,,marcus-cox-2,271,114,RB,0,,0,180,11.3,16,255,19,1415,5.5,19,0.0,,2014,0,0.0,Appalachian State,0,19,,205,1595,5.9,,0,,SO
