,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
taylor-kelly-1,2011,7.8,0,4,,,0.0,0.0,,2.0,6-2,,,0,,Taylor Kelly,,4,0.0,100.0,0,31,7.8,taylor-kelly-1,1,0,QB,,165.1,,,,,1,0,24,24.0,0,0.0,,2011,0,0.0,Arizona State,0,0,,211,24,24.0,,,,SO
taylor-kelly-1,2012,9.0,0,241,,,,,,13.0,6-2,,,9,,Taylor Kelly,,359,,67.1,29,3039,8.5,taylor-kelly-1,134,6,QB,,159.9,,,,,134,1,516,3.9,1,0.0,,2012,2,0.0,Arizona State,2,1,,211,516,3.9,,,,SO
taylor-kelly-1,2013,7.6,0,302,0.0,0.0,0.0,0.0,,14.0,6-2,0.0,0.0,12,0.0,Taylor Kelly,,484,0.0,62.4,28,3635,7.5,taylor-kelly-1,173,54,QB,0.0,139.6,0.0,0.0,,0.0,173,9,608,3.5,9,0.0,,2013,0,0.0,Arizona State,0,9,,211,608,3.5,,0.0,,
taylor-kelly-1,2014,8.4,0,165,0.0,0.0,0.0,0.0,,10.0,6-2,0.0,0.0,5,0.0,Taylor Kelly,,278,0.0,59.4,22,2114,7.6,taylor-kelly-1,95,18,QB,0.0,145.7,0.0,0.0,,0.0,95,3,256,2.7,3,0.0,,2014,0,0.0,Arizona State,0,3,,211,256,2.7,,0.0,,SR
taylor-kelly-1,Career,8.2,0,712,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,26,0.0,Taylor Kelly,,1125,0.0,63.3,79,8819,7.8,taylor-kelly-1,403,78,QB,0.0,147.7,0.0,0.0,,0.0,403,13,1404,3.5,13,0.0,,Career,2,0.0,Arizona State,2,13,,211,1404,3.5,,0.0,,
mike-bercovici-1,2011,5.0,0,2,,,0,0,,3.0,6-2,,,0,,Mike Bercovici,,3,0,66.7,0,15,5.0,mike-bercovici-1,0,0,QB,,108.7,,,,,,,,,0,0.0,,2011,0,0.0,Arizona State,0,0,,210,0,,,,,FR
mike-bercovici-1,2013,4.5,0,3,0.0,0.0,0,0,,4.0,6-2,0.0,0.0,0,0.0,Mike Bercovici,,4,0,75.0,0,18,4.5,mike-bercovici-1,10,0,QB,0.0,112.8,0.0,0.0,,0.0,10.0,0.0,46.0,4.6,0,0.0,,2013,0,0.0,Arizona State,0,0,,210,46,4.6,,0.0,,SO
mike-bercovici-1,2014,8.1,0,115,0.0,0.0,0,0,,8.0,6-2,0.0,0.0,4,0.0,Mike Bercovici,,186,0,61.8,12,1445,7.8,mike-bercovici-1,26,0,QB,0.0,144.1,0.0,0.0,,0.0,26.0,0.0,16.0,0.6,0,0.0,,2014,0,0.0,Arizona State,0,0,,210,16,0.6,,0.0,,JR
mike-bercovici-1,2015,7.6,1,318,0.0,0.0,0,0,,13.0,6-2,0.0,0.0,9,0.0,Mike Bercovici,,531,0,59.9,30,3854,7.3,mike-bercovici-1,109,36,QB,0.0,136.1,0.0,0.0,,0.0,109.0,6.0,84.0,0.8,6,0.0,,2015,0,0.0,Arizona State,1,6,,210,84,0.8,,0.0,,SR
mike-bercovici-1,Career,7.7,1,438,0.0,0.0,0,0,,,6-2,0.0,0.0,13,0.0,Mike Bercovici,,724,0,60.5,42,5332,7.4,mike-bercovici-1,145,36,QB,0.0,137.9,0.0,0.0,,0.0,145.0,6.0,146.0,1.0,6,0.0,,Career,0,0.0,Arizona State,1,6,,210,146,1.0,,0.0,,
