,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
anu-solomon-1,2014,7.3,0,313,0,0,0,0,,14.0,6-1,0,0,9,0,Anu Solomon,,540,0,58.0,28,3793,7.0,anu-solomon-1,138,12,QB,0,130.7,0,21,21.0,1,137,2,291,2.1,2,0.0,,2014,0,0.0,Arizona,0,2,,200,312,2.3,,0,,FR
anu-solomon-1,2015,8.6,0,205,0,0,0,0,,11.0,6-1,0,0,5,0,Anu Solomon,,329,0,62.3,20,2655,8.1,anu-solomon-1,67,18,QB,0,147.1,0,4,,0,67,3,198,3.0,3,0.0,,2015,1,0.0,Arizona,1,3,,200,202,3.0,,0,,SO
anu-solomon-1,2016,6.2,0,37,0,0,0,0,,5.0,6-1,0,0,2,0,Anu Solomon,,63,0,58.7,1,462,7.3,anu-solomon-1,25,0,QB,0,119.2,0,0,,0,25,0,-52,-2.1,0,0.0,,2016,0,0.0,Arizona,0,0,,200,-52,-2.1,,0,,JR
anu-solomon-1,2017,7.1,0,24,0,0,0,0,,2.0,6-1,0,0,2,0,Anu Solomon,,55,0,43.6,4,399,7.3,anu-solomon-1,16,0,QB,0,121.3,0,0,,0,16,0,106,6.6,0,0.0,,2017,1,0.0,Baylor,1,4,,200,106,6.6,,0,,SR
anu-solomon-1,Career,7.7,0,579,0,0,0,0,,,6-1,0,0,18,0,Anu Solomon,,987,0,58.7,53,7309,7.4,anu-solomon-1,246,30,QB,0,134.9,0,25,25.0,1,245,5,543,2.2,5,0.0,,Career,2,0.0,Overall,2,9,,200,568,2.3,,0,,
jesse-scroggins-1,2014,7.1,,7,,,,,,3.0,6-3,,,1,,Jesse Scroggins,,18,,38.9,1,152,8.4,jesse-scroggins-1,10,,QB,,117.0,0,0,,0,10,0,41,4.1,0,,,2014,,,Arizona,,,,201,41,4.1,,,,SR
jesse-scroggins-1,Career,7.1,,7,,,,,,,6-3,,,1,,Jesse Scroggins,,18,,38.9,1,152,8.4,jesse-scroggins-1,10,,QB,,117.0,0,0,,0,10,0,41,4.1,0,,,Career,,,Arizona,,,,201,41,4.1,,,,
jerrard-randall-1,2014,0.0,,0,0,0,,,,4.0,6-1,,,0,0,Jerrard Randall,,3,,0.0,0,0,0.0,jerrard-randall-1,15,6,QB,0,0.0,0,0,,0,15,1,104,6.9,1,,,2014,,,Arizona,,1,,185,104,6.9,,,,JR
jerrard-randall-1,2015,5.1,,47,0,0,,,,11.0,6-1,,,3,0,Jerrard Randall,,95,,49.5,5,518,5.5,jerrard-randall-1,78,30,QB,0,106.3,0,0,,0,78,5,702,9.0,5,,,2015,,,Arizona,,5,,185,702,9.0,,,,SR
jerrard-randall-1,Career,4.9,,47,0,0,,,,,6-1,,,3,0,Jerrard Randall,,98,,48.0,5,518,5.3,jerrard-randall-1,93,36,QB,0,103.1,0,0,,0,93,6,806,8.7,6,,,Career,,,Arizona,,6,,185,806,8.7,,,,
