,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
fredi-knighten-1,2012,3.8,,3,,,,,,8.0,5-11,,,1,0,Fredi Knighten,,5,,60.0,1,44,8.8,fredi-knighten-1,16,0,QB,,159.9,,,,,16,0,96,6.0,0,,,2012,,,Arkansas State,,0,,197,96,6.0,,,,FR
fredi-knighten-1,2013,4.4,0.0,34,0.0,0.0,0.0,0.0,,10.0,5-11,0.0,0.0,1,0,Fredi Knighten,,48,0.0,70.8,2,215,4.5,fredi-knighten-1,55,30,QB,0.0,118.0,0.0,0.0,,0.0,55,5,344,6.3,5,0.0,,2013,0.0,0.0,Arkansas State,0.0,5,,197,344,6.3,,0.0,,SO
fredi-knighten-1,2014,8.0,2.0,269,0.0,0.0,0.0,0.0,,13.0,5-11,0.0,0.0,7,0,Fredi Knighten,,432,0.0,62.3,24,3277,7.6,fredi-knighten-1,213,72,QB,0.0,141.1,1.0,64.0,32.0,2.0,211,11,779,3.7,12,0.0,,2014,1.0,0.0,Arkansas State,3.0,12,,197,843,4.0,,0.0,,JR
fredi-knighten-1,2015,7.2,3.0,136,0.0,0.0,0.0,0.0,,10.0,5-11,0.0,0.0,9,0,Fredi Knighten,,252,0.0,54.0,19,1835,7.3,fredi-knighten-1,139,30,QB,0.0,132.9,0.0,9.0,9.0,1.0,138,5,400,2.9,5,0.0,,2015,1.0,0.5,Arkansas State,4.0,5,,197,409,2.9,,0.0,,SR
fredi-knighten-1,Career,7.4,5.0,442,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,18,0,Fredi Knighten,,737,0.0,60.0,46,5371,7.3,fredi-knighten-1,423,132,QB,0.0,136.9,1.0,73.0,24.3,3.0,420,21,1619,3.9,22,0.0,,Career,2.0,0.5,Arkansas State,7.0,22,,197,1692,4.0,,0.0,,
stephen-hogan-1,2014,3.0,,3,,,,,,9.0,6-4,,,0,,Stephen Hogan,,6,,50.0,0,18,3.0,stephen-hogan-1,3,,QB,,75.2,0,0,,0,3,0,34,11.3,0,,,2014,,,Arkansas State,,,,210,34,11.3,,,,JR
stephen-hogan-1,Career,3.0,,3,,,,,,,6-4,,,0,,Stephen Hogan,,6,,50.0,0,18,3.0,stephen-hogan-1,3,,QB,,75.2,0,0,,0,3,0,34,11.3,0,,,Career,,,Arkansas State,,,,210,34,11.3,,,,
michael-gordon-1,2012,,3,,,,,,,9.0,5-9,,,,0,Michael Gordon,,,,,,,,michael-gordon-1,8,0,RB,,,0,7,7.0,1,7,0,45,6.4,0,0.0,,2012,1,0.0,Arkansas State,4,0,,201,52,6.5,,,,FR
michael-gordon-1,2013,,0,,0.0,0.0,0.0,0.0,,12.0,5-9,0.0,0.0,,0,Michael Gordon,,,0.0,,,,,michael-gordon-1,128,66,RB,0.0,,1,206,12.9,16,112,10,754,6.7,11,0.0,,2013,5,0.0,Arkansas State,5,11,,201,960,7.5,,0.0,,SO
michael-gordon-1,2014,,0,,0.0,0.0,0.0,0.0,,11.0,5-9,0.0,0.0,,0,Michael Gordon,,,0.0,,,,,michael-gordon-1,184,84,RB,0.0,,1,191,7.6,25,159,13,1100,6.9,14,0.0,,2014,0,0.0,Arkansas State,0,14,,201,1291,7.0,,0.0,,JR
michael-gordon-1,2015,,0,,0.0,0.0,0.0,0.0,,13.0,5-9,0.0,0.0,,0,Michael Gordon,,,0.0,,,,,michael-gordon-1,180,66,RB,0.0,,2,81,6.2,13,167,9,1068,6.4,11,0.0,,2015,0,0.0,Arkansas State,0,11,,201,1149,6.4,,0.0,,SR
michael-gordon-1,Career,,3,,0.0,0.0,0.0,0.0,,,5-9,0.0,0.0,,0,Michael Gordon,,,0.0,,,,,michael-gordon-1,500,216,RB,0.0,,4,485,8.8,55,445,32,2967,6.7,36,0.0,,Career,6,0.0,Arkansas State,9,36,,201,3452,6.9,,0.0,,
johnston-white-1,2014,,0,,0,0,0,0,,12.0,5-11,0,0,,0,Johnston White,,,0,,,,,johnston-white-1,101,42,RB,0,,1,27,4.5,6,95,6,514,5.4,7,0.0,,2014,0,0.0,Arkansas State,0,7,,188,541,5.4,,0,,SO
johnston-white-1,2015,,1,,0,0,0,0,,13.0,5-11,0,0,,0,Johnston White,,,0,,,,,johnston-white-1,102,84,RB,0,,0,12,4.0,3,99,14,616,6.2,14,1.0,,2015,2,1.0,Arkansas State,3,14,,188,628,6.2,,0,,SO
johnston-white-1,2016,,0,,0,0,0,0,,11.0,5-11,0,0,,0,Johnston White,,,0,,,,,johnston-white-1,112,30,RB,0,,0,64,9.1,7,105,5,472,4.5,5,0.0,,2016,1,0.0,Arkansas State,1,5,,188,536,4.8,,0,,JR
johnston-white-1,2017,,1,,0,0,0,0,,11.0,5-11,0,0,,0,Johnston White,,,0,,,,,johnston-white-1,108,18,RB,0,,0,132,9.4,14,94,3,430,4.6,3,0.0,,2017,1,0.0,Arkansas State,2,3,,188,562,5.2,,0,,SR
johnston-white-1,Career,,2,,0,0,0,0,,,5-11,0,0,,0,Johnston White,,,0,,,,,johnston-white-1,423,174,RB,0,,1,235,7.8,30,393,28,2032,5.2,29,1.0,,Career,4,1.0,Arkansas State,6,29,,188,2267,5.4,,0,,
terrance-holingsworth-1,2014,,,,0,0,,,,8.0,5-9,,,,0,Terrance Holingsworth,,,,,,,,terrance-holingsworth-1,40,6,RB,0,,0,17,8.5,2,38,1,101,2.7,1,,,2014,,,Arkansas State,,1,,195,118,3.0,,,,FR
terrance-holingsworth-1,Career,,,,0,0,,,,,5-9,,,,0,Terrance Holingsworth,,,,,,,,terrance-holingsworth-1,40,6,RB,0,,0,17,8.5,2,38,1,101,2.7,1,,,Career,,,Arkansas State,,1,,195,118,3.0,,,,
brandon-byner-1,2014,,1,,0,0,0,0,,10.0,5-11,0,0,,0,Brandon Byner,,,0,,,,,brandon-byner-1,30,6,RB,0,,0,38,9.5,4,26,1,68,2.6,1,0.0,,2014,0,0.0,Arkansas State,1,1,,173,106,3.5,,0,,FR
brandon-byner-1,2015,,2,,0,0,0,0,,6.0,5-11,0,0,,0,Brandon Byner,,,0,,,,,brandon-byner-1,0,0,RB,0,,0,0,,0,0,0,0,,0,0.0,,2015,6,0.0,Arkansas State,8,0,,173,0,,,0,,SO
brandon-byner-1,2016,,4,,0,0,0,0,,5.0,5-11,0,0,,0,Brandon Byner,,,1,,,,,brandon-byner-1,0,0,DB,0,,0,0,,0,0,0,0,,0,0.0,,2016,7,2.0,Arkansas State,11,0,,173,0,,,0,,JR
brandon-byner-1,2018,,8,,0,0,1,1,,11.0,5-11,1,0,,0,Brandon Byner,,,3,,,,,brandon-byner-1,0,0,DB,0,,0,0,,0,0,0,0,,0,0.0,,2018,19,1.0,Arkansas State,27,0,,173,0,,,0,0.0,SR
