,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
angel-santiago-1,2011,4.0,0.0,7,,,0.0,0.0,,4.0,5-11,,,0,,Angel Santiago,,21,0.0,33.3,0,84,4.0,angel-santiago-1,45,6,QB,,66.9,,,,,45,1,162,3.6,1,0.0,,2011,0.0,0.0,Army,0.0,1,,201,162,3.6,,,,FR
angel-santiago-1,2012,0.0,,0,,,,,,2.0,5-11,,,0,,Angel Santiago,,3,,0.0,0,0,0.0,angel-santiago-1,8,0,QB,,0.0,,,,,8,0,12,1.5,0,,,2012,,,Army,,0,,201,12,1.5,,,,SO
angel-santiago-1,2013,5.9,0.0,46,0.0,0.0,0.0,0.0,,12.0,5-11,0.0,0.0,2,0.0,Angel Santiago,,93,0.0,49.5,2,597,6.4,angel-santiago-1,171,60,QB,0.0,106.2,0.0,0.0,,0.0,171,10,598,3.5,10,0.0,,2013,0.0,0.0,Army,0.0,10,,201,598,3.5,,0.0,,JR
angel-santiago-1,2014,6.6,1.0,35,0.0,0.0,0.0,0.0,,12.0,5-11,0.0,0.0,1,0.0,Angel Santiago,,70,0.0,50.0,1,488,7.0,angel-santiago-1,192,60,QB,0.0,110.4,0.0,0.0,,0.0,192,10,814,4.2,10,0.0,,2014,2.0,0.0,Army,3.0,10,,201,814,4.2,,0.0,,SR
angel-santiago-1,Career,5.9,1.0,88,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,3,0.0,Angel Santiago,,187,0.0,47.1,3,1169,6.3,angel-santiago-1,416,126,QB,0.0,101.7,0.0,0.0,,0.0,416,21,1586,3.8,21,0.0,,Career,2.0,0.0,Army,3.0,21,,201,1586,3.8,,0.0,,
aj-schurr-1,2012,9.4,,8,,,,,,6.0,6-0,,,0,,A.J. Schurr,,18,,44.4,2,130,7.2,aj-schurr-1,12,0,QB,,141.8,,,,,12,0,47,3.9,0,,,2012,,,Army,,0,,209,47,3.9,,,,FR
aj-schurr-1,2013,8.6,,14,0.0,0.0,,,,5.0,6-0,,,0,0.0,A.J. Schurr,,25,,56.0,1,196,7.8,aj-schurr-1,33,24,QB,0.0,135.1,0.0,0.0,,0.0,33,4,102,3.1,4,,,2013,,,Army,,4,,209,102,3.1,,,,SO
aj-schurr-1,2014,7.8,,12,0.0,0.0,,,,10.0,6-0,,,1,0.0,A.J. Schurr,,28,,42.9,1,242,8.6,aj-schurr-1,45,18,QB,0.0,120.1,0.0,0.0,,0.0,45,3,320,7.1,3,,,2014,,,Army,,3,,209,320,7.1,,,,JR
aj-schurr-1,2015,6.2,,11,0.0,0.0,,,,6.0,6-0,,,4,0.0,A.J. Schurr,,29,,37.9,3,300,10.3,aj-schurr-1,98,42,QB,0.0,131.4,0.0,0.0,,0.0,98,7,384,3.9,7,,,2015,,,Army,,7,,209,384,3.9,,,,SR
aj-schurr-1,Career,7.8,,45,0.0,0.0,,,,,6-0,,,5,0.0,A.J. Schurr,,100,,45.0,7,868,8.7,aj-schurr-1,188,84,QB,0.0,131.0,0.0,0.0,,0.0,188,14,853,4.5,14,,,Career,,,Army,,14,,209,853,4.5,,,,
