,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
nick-marshall-2,2013,8.3,0,142,0,0,0,0,,13.0,6-1,0,0,6,0,Nick Marshall,,239,0,59.4,14,1976,8.3,nick-marshall-2,173,72,QB,0,143.2,0,35,35.0,1,172,12,1068,6.2,12,0.0,,2013,1,0.0,Auburn,1,12,,210,1103,6.4,,0,,JR
nick-marshall-2,2014,8.9,0,178,0,0,0,0,,13.0,6-1,0,0,7,0,Nick Marshall,,293,0,60.8,20,2532,8.6,nick-marshall-2,155,66,QB,0,151.1,0,16,8.0,2,153,11,798,5.2,11,0.0,,2014,0,0.0,Auburn,0,11,,210,814,5.3,,0,,SR
nick-marshall-2,Career,8.7,0,320,0,0,0,0,,,6-1,0,0,13,0,Nick Marshall,,532,0,60.2,34,4508,8.5,nick-marshall-2,328,138,QB,0,147.5,0,51,17.0,3,325,23,1866,5.7,23,0.0,,Career,1,0.0,Auburn,1,23,,210,1917,5.8,,0,,
jeremy-johnson-5,2013,11.0,0,29,0,0,0,0,,5.0,6-5,0,0,2,0,Jeremy Johnson,,41,0,70.7,6,422,10.3,jeremy-johnson-5,7,0,QB,0,195.7,0,0,,0,7,0,47,6.7,0,0.0,,2013,0,0.0,Auburn,0,0,,234,47,6.7,,0,,FR
jeremy-johnson-5,2014,13.4,0,28,0,0,0,0,,6.0,6-5,0,0,0,0,Jeremy Johnson,,37,0,75.7,3,436,11.8,jeremy-johnson-5,4,6,QB,0,201.4,0,0,,0,4,1,-7,-1.8,1,0.0,,2014,0,0.0,Auburn,0,1,,234,-7,-1.8,,0,,SO
jeremy-johnson-5,2015,6.0,0,95,0,0,0,0,,10.0,6-5,0,0,7,0,Jeremy Johnson,,157,0,60.5,10,1053,6.7,jeremy-johnson-5,47,36,QB,0,129.0,0,0,,0,47,6,137,2.9,6,0.0,,2015,1,0.0,Auburn,1,6,,234,137,2.9,,0,,JR
jeremy-johnson-5,2016,5.1,0,27,0,0,0,0,,4.0,6-5,0,0,2,0,Jeremy Johnson,,47,0,57.4,1,312,6.6,jeremy-johnson-5,15,12,QB,0,111.7,0,0,,0,15,2,33,2.2,2,0.0,,2016,0,0.0,Auburn,0,2,,234,33,2.2,,0,,SR
jeremy-johnson-5,Career,7.5,0,179,0,0,0,0,,,6-5,0,0,11,0,Jeremy Johnson,,282,0,63.5,20,2223,7.9,jeremy-johnson-5,73,54,QB,0,145.3,0,0,,0,73,9,210,2.9,9,0.0,,Career,1,0.0,Auburn,1,9,,234,210,2.9,,0,,
jonathan-wallace-1,2012,7.8,,46.0,,,,,,9.0,6-2,,,4.0,,Jonathan Wallace,,80.0,,57.5,4.0,720.0,9.0,jonathan-wallace-1,51,,QB,,139.6,,,,,51.0,0.0,152.0,3.0,0,,,2012,,,Auburn,,,,214,152,3.0,,,,FR
jonathan-wallace-1,2013,6.0,,2.0,,,,,,4.0,6-2,,,0.0,,Jonathan Wallace,,4.0,,50.0,0.0,24.0,6.0,jonathan-wallace-1,9,,QB,,100.4,0.0,0.0,,0.0,9.0,0.0,49.0,5.4,0,,,2013,,,Auburn,,,,214,49,5.4,,,,SO
jonathan-wallace-1,2014,17.0,,1.0,,,,,,2.0,6-2,,,0.0,,Jonathan Wallace,,1.0,,100.0,0.0,17.0,17.0,jonathan-wallace-1,1,,QB,,242.8,0.0,18.0,18.0,1.0,0.0,0.0,0.0,,0,,,2014,,,Auburn,,,,214,18,18.0,,,,JR
jonathan-wallace-1,2015,,,,,,,,,,6-2,,,,,Jonathan Wallace,,,,,,,,jonathan-wallace-1,0,,WR,,,,,,,,,,,0,,,2015,,,Auburn,,,,214,0,,,,,SR
jonathan-wallace-1,Career,7.8,,49.0,,,,,,,6-2,,,4.0,,Jonathan Wallace,,85.0,,57.6,4.0,761.0,9.0,jonathan-wallace-1,61,,WR,,139.0,0.0,18.0,18.0,1.0,60.0,0.0,201.0,3.4,0,,,Career,,,Auburn,,,,214,219,3.6,,,,
cameron-artis-payne-1,2013,,0,,0,0,0,0,,13.0,5-11,0,0,,0,Cameron Artis-Payne,,,0,,,,,cameron-artis-payne-1,92,36,RB,0,,0,4,4.0,1,91,6,610,6.7,6,0.0,,2013,0,0.0,Auburn,0,6,,210,614,6.7,,0,,JR
cameron-artis-payne-1,2014,,0,,0,0,0,0,,13.0,5-11,0,0,,0,Cameron Artis-Payne,,,0,,,,,cameron-artis-payne-1,316,78,RB,0,,0,147,11.3,13,303,13,1608,5.3,13,0.0,,2014,1,0.0,Auburn,1,13,,210,1755,5.6,,0,,SR
cameron-artis-payne-1,Career,,0,,0,0,0,0,,,5-11,0,0,,0,Cameron Artis-Payne,,,0,,,,,cameron-artis-payne-1,408,114,RB,0,,0,151,10.8,14,394,19,2218,5.6,19,0.0,,Career,1,0.0,Auburn,1,19,,210,2369,5.8,,0,,
