,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jack-milas-1,2014,6.0,,115,0,0,,,,6.0,6-1,,,5,0,Jack Milas,,209,,55.0,9,1302,6.2,jack-milas-1,28,12,QB,0,116.8,0,7,7.0,1,27,2,96,3.6,2,,,2014,,,Ball State,,2,,205,103,3.7,,,,SO
jack-milas-1,2015,3.4,,35,0,0,,,,4.0,6-1,,,3,0,Jack Milas,,67,,52.2,1,343,5.1,jack-milas-1,6,0,QB,0,91.2,0,0,,0,6,0,12,2.0,0,,,2015,,,Ball State,,0,,205,12,2.0,,,,JR
jack-milas-1,2016,3.4,,20,0,0,,,,1.0,6-1,,,2,0,Jack Milas,,38,,52.6,1,199,5.2,jack-milas-1,4,0,QB,0,94.8,0,0,,0,4,0,69,17.3,0,,,2016,,,Ball State,,0,,205,69,17.3,,,,SR
jack-milas-1,2017,3.1,,110,0,0,,,,8.0,6-1,,,8,0,Jack Milas,,207,,53.1,2,970,4.7,jack-milas-1,42,0,QB,0,88.0,0,0,,0,42,0,34,0.8,0,,,2017,,,Ball State,,2,,205,34,0.8,,,,SR
jack-milas-1,Career,4.3,,280,0,0,,,,,6-1,,,18,0,Jack Milas,,521,,53.7,13,2814,5.4,jack-milas-1,80,12,QB,0,100.4,0,7,7.0,1,79,2,211,2.7,2,,,Career,,,Ball State,,4,,205,218,2.7,,,,
ozzie-mann-1,2013,-1.8,,2,,,,,,3.0,6-1,,,1,,Ozzie Mann,,9,,22.2,0,29,3.2,ozzie-mann-1,3,,QB,,27.1,0,0,,0,3,0,-37,-12.3,0,,,2013,,,Ball State,,,,230,-37,-12.3,,,,FR
ozzie-mann-1,2014,7.1,,116,,,,,,7.0,6-1,,,2,,Ozzie Mann,,197,,58.9,10,1281,6.5,ozzie-mann-1,31,,QB,,128.2,0,0,,0,31,0,-2,-0.1,0,,,2014,,,Ball State,,,,230,-2,-0.1,,,,JR
ozzie-mann-1,Career,6.7,,118,,,,,,,6-1,,,3,,Ozzie Mann,,206,,57.3,10,1310,6.4,ozzie-mann-1,34,,QB,,123.8,0,0,,0,34,0,-39,-1.1,0,,,Career,,,Ball State,,,,230,-39,-1.1,,,,
jahwan-edwards-1,2011,,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,5-10,,,,0,Jahwan Edwards,,,0.0,,,,,jahwan-edwards-1,189,66,,0.0,,0,43,3.9,11,178,11,786,4.4,11,0.0,0.0,2011,0.0,0.0,Ball State,0.0,11,0.0,219,829,4.4,0.0,,,
jahwan-edwards-1,2012,,,,,,,,,13.0,5-10,,,,0,Jahwan Edwards,,,,,,,,jahwan-edwards-1,242,84,RB,,,0,51,5.1,10,232,14,1410,6.1,14,,,2012,,,Ball State,,14,,219,1461,6.0,,,,SO
jahwan-edwards-1,2013,,1.0,,0.0,0.0,0.0,0.0,,11.0,5-10,0.0,0.0,,0,Jahwan Edwards,,,0.0,,,,,jahwan-edwards-1,219,84,RB,0.0,,0,31,4.4,7,212,14,1110,5.2,14,0.0,,2013,0.0,0.0,Ball State,1.0,14,,219,1141,5.2,,0.0,,JR
jahwan-edwards-1,2014,,1.0,,0.0,0.0,0.0,0.0,,12.0,5-10,0.0,0.0,,0,Jahwan Edwards,,,0.0,,,,,jahwan-edwards-1,291,72,RB,0.0,,0,236,8.1,29,262,12,1252,4.8,12,0.0,,2014,1.0,0.0,Ball State,2.0,12,,219,1488,5.1,,0.0,,SR
jahwan-edwards-1,Career,,2.0,,0.0,0.0,0.0,0.0,0.0,,5-10,0.0,0.0,,0,Jahwan Edwards,,,0.0,,,,,jahwan-edwards-1,941,306,RB,0.0,,0,361,6.3,57,884,51,4558,5.2,51,0.0,0.0,Career,1.0,0.0,Ball State,3.0,51,0.0,219,4919,5.2,0.0,0.0,,
horactio-banks-1,2012,,,,,,,,,11.0,5-8,,,,0.0,Horactio Banks,,,,,,,,horactio-banks-1,118,24,RB,,,0.0,29.0,5.8,5.0,113.0,4.0,586.0,5.2,4,,,2012,,,Ball State,,4,,200,615,5.2,,,,SO
horactio-banks-1,2013,,0.0,,0.0,0.0,0.0,0.0,,9.0,5-8,0.0,0.0,,0.0,Horactio Banks,,,0.0,,,,,horactio-banks-1,96,42,RB,0.0,,0.0,7.0,7.0,1.0,95.0,7.0,595.0,6.3,7,0.0,,2013,0.0,0.0,Ball State,0.0,7,,200,602,6.3,,0.0,,SO
horactio-banks-1,2014,,1.0,,0.0,0.0,1.0,0.0,,9.0,5-8,0.0,0.0,,0.0,Horactio Banks,,,0.0,,,,,horactio-banks-1,78,6,RB,0.0,,0.0,16.0,5.3,3.0,75.0,1.0,353.0,4.7,1,0.0,,2014,1.0,1.0,Ball State,2.0,1,,200,369,4.7,,0.0,,JR
horactio-banks-1,2015,,,,,,,,,,5-8,,,,,Horactio Banks,,,,,,,,horactio-banks-1,0,0,RB,,,,,,,,,,,0,,,2015,,,Ball State,,0,,200,0,,,,,SR
horactio-banks-1,Career,,1.0,,0.0,0.0,1.0,0.0,,,5-8,0.0,0.0,,0.0,Horactio Banks,,,0.0,,,,,horactio-banks-1,292,72,RB,0.0,,0.0,52.0,5.8,9.0,283.0,12.0,1534.0,5.4,12,0.0,,Career,1.0,1.0,Ball State,2.0,12,,200,1586,5.4,,0.0,,
teddy-williamson-1,2013,,0,,0,0,0,0,,10.0,5-9,0,0,,0,Teddy Williamson,,,0,,,,,teddy-williamson-1,70,6,RB,0,,0,4,2.0,2,68,1,224,3.3,1,0.0,,2013,0,0.0,Ball State,0,1,,205,228,3.3,,0,,FR
teddy-williamson-1,2014,,1,,0,0,0,0,,8.0,5-9,0,0,,0,Teddy Williamson,,,0,,,,,teddy-williamson-1,24,0,RB,0,,0,0,,0,24,0,56,2.3,0,0.0,,2014,0,0.0,Ball State,1,0,,205,56,2.3,,0,,SO
