,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
grant-hedrick-1,2011,6.3,0.0,2,,,0.0,0.0,,8.0,6-0,,,0,,Grant Hedrick,,3,0.0,66.7,0,19,6.3,grant-hedrick-1,8,6,QB,,119.9,,,,,8,1,70,8.8,1,0.0,,2011,1.0,0.0,Boise State,1.0,1,,198,70,8.8,,,,FR
grant-hedrick-1,2012,6.8,,12,,,,,,9.0,6-0,,,0,,Grant Hedrick,,17,,70.6,0,116,6.8,grant-hedrick-1,20,18,QB,,127.9,0.0,20.0,20.0,1.0,19,3,32,1.7,3,,,2012,,,Boise State,,3,,198,52,2.6,,,,SO
grant-hedrick-1,2013,7.9,0.0,167,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,5,0.0,Grant Hedrick,,242,0.0,69.0,16,1825,7.5,grant-hedrick-1,68,36,QB,0.0,150.0,0.0,0.0,,0.0,68,6,277,4.1,6,0.0,,2013,0.0,0.0,Boise State,0.0,6,,198,277,4.1,,0.0,,JR
grant-hedrick-1,2014,8.5,0.0,294,0.0,0.0,0.0,0.0,,14.0,6-0,0.0,0.0,14,0.0,Grant Hedrick,,415,0.0,70.8,23,3696,8.9,grant-hedrick-1,158,60,QB,0.0,157.2,2.0,40.0,13.3,3.0,155,8,592,3.8,10,0.0,,2014,0.0,0.0,Boise State,0.0,10,,198,632,4.0,,0.0,,SR
grant-hedrick-1,Career,8.2,0.0,475,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,19,0.0,Grant Hedrick,,677,0.0,70.2,39,5656,8.4,grant-hedrick-1,254,120,QB,0.0,153.7,2.0,60.0,15.0,4.0,250,18,971,3.9,20,0.0,,Career,1.0,0.0,Boise State,1.0,20,,198,1031,4.1,,0.0,,
ryan-finley-1,2014,5.8,,12,0,0,,,,4.0,6-4,,,1,0,Ryan Finley,,27,,44.4,2,161,6.0,ryan-finley-1,7,0,QB,0,111.6,0,0,,0,7,0,31,4.4,0,,,2014,,,Boise State,,0,,210,31,4.4,,,,FR
ryan-finley-1,2015,4.6,,46,0,0,,,,3.0,6-4,,,4,0,Ryan Finley,,70,,65.7,1,485,6.9,ryan-finley-1,22,0,QB,0,117.2,0,0,,0,22,0,42,1.9,0,,,2015,,,Boise State,,0,,210,42,1.9,,,,SO
ryan-finley-1,2016,7.6,,243,0,0,,,,13.0,6-4,,,8,0,Ryan Finley,,402,,60.4,18,3059,7.6,ryan-finley-1,74,6,QB,0,135.2,0,0,,0,74,1,94,1.3,1,,,2016,,,North Carolina State,,1,,210,94,1.3,,,,JR
ryan-finley-1,2017,7.5,,311,0,0,,,,13.0,6-4,,,6,0,Ryan Finley,,478,,65.1,17,3514,7.4,ryan-finley-1,71,18,QB,0,136.0,0,18,9.0,2,69,3,194,2.8,3,,,2017,,,North Carolina State,,3,,210,212,3.0,,,,JR
ryan-finley-1,2018,8.1,,326,0,0,,,,13.0,6-4,,,11,0,Ryan Finley,,484,,67.4,25,3928,8.1,ryan-finley-1,42,6,QB,0,148.0,0,0,,0,42,1,21,0.5,1,,,2018,,,North Carolina State,,1,,210,21,0.5,,,,SR
ryan-finley-1,Career,7.6,,938,0,0,,,,,6-4,,,30,0,Ryan Finley,,1461,,64.2,63,11147,7.6,ryan-finley-1,216,30,QB,0,138.4,0,18,9.0,2,214,5,382,1.8,5,,,Career,,,Overall,,5,,210,400,1.9,,,,
jay-ajayi-1,2012,,,,,,,,,11.0,6-0,,,,0,Jay Ajayi,,,,,,,,jay-ajayi-1,83,24,RB,,,0,14,14.0,1,82,4,548,6.7,4,,,2012,,,Boise State,,4,,216,562,6.8,,,,FR
jay-ajayi-1,2013,,0.0,,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,,0,Jay Ajayi,,,0.0,,,,,jay-ajayi-1,271,114,RB,0.0,,1,222,10.1,22,249,18,1425,5.7,19,0.0,,2013,0.0,0.0,Boise State,0.0,19,,216,1647,6.1,,0.0,,SO
jay-ajayi-1,2014,,0.0,,0.0,0.0,0.0,0.0,,14.0,6-0,0.0,0.0,,0,Jay Ajayi,,,0.0,,,,,jay-ajayi-1,397,192,RB,0.0,,4,535,10.7,50,347,28,1823,5.3,32,0.0,,2014,2.0,1.0,Boise State,2.0,32,,216,2358,5.9,,0.0,,JR
jay-ajayi-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,,0,Jay Ajayi,,,0.0,,,,,jay-ajayi-1,751,330,RB,0.0,,5,771,10.6,73,678,50,3796,5.6,55,0.0,,Career,2.0,1.0,Boise State,2.0,55,,216,4567,6.1,,0.0,,
devan-demas-1,2013,,0,,0,0,0,0,,6.0,5-8,0,0,,0,Devan Demas,,,0,,,,,devan-demas-1,21,6,RB,0,,0,0,,0,21,1,125,6.0,1,0.0,,2013,0,0.0,Boise State,0,1,,174,125,6.0,,0,,FR
devan-demas-1,2014,,0,,0,0,0,0,,12.0,5-8,0,0,,0,Devan Demas,,,0,,,,,devan-demas-1,25,12,RB,0,,0,0,,0,25,2,173,6.9,2,0.0,,2014,2,0.0,Boise State,2,2,,174,173,6.9,,0,,SO
devan-demas-1,2015,,2,,0,0,0,0,,9.0,5-8,0,0,,0,Devan Demas,,,0,,,,,devan-demas-1,31,12,RB,0,,0,8,4.0,2,29,2,171,5.9,2,0.0,,2015,1,0.0,Boise State,3,2,,174,179,5.8,,0,,JR
devan-demas-1,2016,,2,,0,0,0,0,,7.0,5-8,0,0,,0,Devan Demas,,,0,,,,,devan-demas-1,16,0,RB,0,,0,5,5.0,1,15,0,57,3.8,0,0.0,,2016,2,0.0,Boise State,4,0,,174,62,3.9,,0,,SR
devan-demas-1,Career,,4,,0,0,0,0,,,5-8,0,0,,0,Devan Demas,,,0,,,,,devan-demas-1,93,30,RB,0,,0,13,4.3,3,90,5,526,5.8,5,0.0,,Career,5,0.0,Boise State,9,5,,174,539,5.8,,0,,
jeremy-mcnichols-1,2014,,1,,0,0,1,0,,9.0,5-9,0,0,,0,Jeremy McNichols,,,0,,,,,jeremy-mcnichols-1,32,12,RB,0,,1,155,10.3,15,17,1,159,9.4,2,0.0,,2014,2,0.0,Boise State,3,2,,212,314,9.8,,0,,FR
jeremy-mcnichols-1,2015,,0,,0,0,0,0,,12.0,5-9,0,0,,0,Jeremy McNichols,,,0,,,,,jeremy-mcnichols-1,291,156,RB,0,,6,460,9.0,51,240,20,1337,5.6,26,0.0,,2015,0,0.0,Boise State,0,26,,212,1797,6.2,,0,,SO
