,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
tyler-murphy-1,2013,6.0,0,112,0,0,0,0,,7.0,5-8,0,0,5,0,Tyler Murphy,,185,0,60.5,6,1216,6.6,tyler-murphy-1,61,18,QB,0,121.1,0,0,,0,61,3,61,1.0,3,0.0,,2013,2,0.0,Florida,2,3,,175,61,1.0,,0,,JR
tyler-murphy-1,2014,6.2,0,131,0,0,0,0,,13.0,5-8,0,0,10,0,Tyler Murphy,,230,0,57.0,13,1623,7.1,tyler-murphy-1,180,66,QB,0,126.2,0,0,,0,180,11,1179,6.6,11,0.0,,2014,0,0.0,Boston College,0,11,,175,1179,6.6,,0,,SR
tyler-murphy-1,Career,6.1,0,243,0,0,0,0,,,5-8,0,0,15,0,Tyler Murphy,,415,0,58.6,19,2839,6.8,tyler-murphy-1,241,84,QB,0,123.9,0,0,,0,241,14,1240,5.1,14,0.0,,Career,2,0.0,Overall,2,14,,175,1240,5.1,,0,,
darius-wade-1,2014,2.9,0,3,0,0,0,0,,2.0,6-1,0,0,0,0,Darius Wade,,8,0,37.5,0,23,2.9,darius-wade-1,2,0,QB,0,61.7,0,0,,0,2,0,12,6.0,0,0.0,,2014,0,0.0,Boston College,0,0.0,,225,12,6.0,,0,,FR
darius-wade-1,2015,5.4,0,21,0,0,0,0,,3.0,6-1,0,0,1,0,Darius Wade,,42,0,50.0,2,232,5.5,darius-wade-1,22,0,QB,0,107.4,0,0,,0,22,0,73,3.3,0,0.0,,2015,0,0.0,Boston College,0,0.0,,225,73,3.3,,0,,SO
darius-wade-1,2016,2.9,1,9,0,0,0,0,,7.0,6-1,0,0,1,0,Darius Wade,,19,0,47.4,0,100,5.3,darius-wade-1,7,0,QB,0,81.1,0,0,,0,7,0,6,0.9,0,0.0,,2016,0,0.0,Boston College,1,0.0,,225,6,0.9,,0,,SO
darius-wade-1,2017,6.5,0,62,0,0,1,0,,10.0,6-1,0,0,3,0,Darius Wade,,102,2,60.8,3,736,7.2,darius-wade-1,24,6,QB,0,125.2,0,0,,0,24,1,-17,-0.7,1,0.0,,2017,1,0.0,Boston College,1,1.0,,225,-17,-0.7,,0,,SR
darius-wade-1,2019,5.2,0,74,0,0,0,0,,7.0,6-1,0,0,3,0,Darius Wade,,130,0,56.9,3,751,5.8,darius-wade-1,30,0,QB,0,108.4,0,0,,0,30,0,89,3.0,0,0.0,,2019,1,0.0,Bowling Green State,1,,,225,89,3.0,,0,,SR
darius-wade-1,Career,5.5,1,169,0,0,1,0,,,6-1,0,0,8,0,Darius Wade,,301,2,56.1,8,1842,6.1,darius-wade-1,85,6,QB,0,111.0,0,0,,0,85,1,163,1.9,1,0.0,,Career,2,0.0,Overall,3,1.0,,225,163,1.9,,0,,
josh-bordner-1,2011,-4.0,0.0,1,,,0.0,0.0,,5.0,6-4,,,1,,Josh Bordner,,2,0.0,50.0,0,37,18.5,josh-bordner-1,19,12,QB,,105.4,,,,,19,2,73,3.8,2,0.0,,2011,0.0,0.0,Boston College,0.0,2,,230,73,3.8,,,,FR
