,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
james-knapke-1,2013,9.1,,4,0,0,,,,4.0,6-2,,,0,0,James Knapke,,10,,40.0,1,71,7.1,james-knapke-1,2,0,QB,0,132.6,0,0,,0,2,0,-1,-0.5,0,,,2013,,,Bowling Green State,,0,,236,-1,-0.5,,,,FR
james-knapke-1,2014,6.1,,280,0,0,,,,13.0,6-2,,,12,0,James Knapke,,483,,58.0,15,3173,6.6,james-knapke-1,67,12,QB,0,118.4,0,0,,0,67,2,136,2.0,2,,,2014,,,Bowling Green State,,2,,236,136,2.0,,,,SO
james-knapke-1,2015,9.7,,14,0,0,,,,6.0,6-2,,,0,0,James Knapke,,20,,70.0,1,173,8.7,james-knapke-1,2,0,QB,0,159.2,0,0,,0,2,0,4,2.0,0,,,2015,,,Bowling Green State,,0,,236,4,2.0,,,,JR
james-knapke-1,2016,2.4,,59,0,0,,,,6.0,6-2,,,9,0,James Knapke,,119,,49.6,3,636,5.3,james-knapke-1,14,0,QB,0,87.7,0,0,,0,14,0,-39,-2.8,0,,,2016,,,Bowling Green State,,0,,236,-39,-2.8,,,,SR
james-knapke-1,Career,5.6,,357,0,0,,,,,6-2,,,21,0,James Knapke,,632,,56.5,20,4053,6.4,james-knapke-1,85,12,QB,0,114.2,0,0,,0,85,2,100,1.2,2,,,Career,,,Bowling Green State,,2,,236,100,1.2,,,,
matt-johnson-3,2012,3.4,,10,,,,,,8.0,6-0,,,1,,Matt Johnson,,28,,35.7,1,119,4.3,matt-johnson-3,8,0,QB,,76.1,,,,,8,0,23,2.9,0,,,2012,,,Bowling Green State,,0,,221,23,2.9,,,,FR
matt-johnson-3,2013,9.9,,237,0.0,0.0,,,,14.0,6-0,,,7,0.0,Matt Johnson,,369,,64.2,25,3467,9.4,matt-johnson-3,117,30,QB,0.0,161.7,0.0,-8.0,,0.0,117,5,238,2.0,5,,,2013,,,Bowling Green State,,5,,221,230,2.0,,,,SO
matt-johnson-3,2014,9.3,,25,0.0,0.0,,,,1.0,6-0,,,0,0.0,Matt Johnson,,36,,69.4,1,314,8.7,matt-johnson-3,6,0,QB,0.0,151.9,0.0,0.0,,0.0,6,0,-21,-3.5,0,,,2014,,,Bowling Green State,,0,,221,-21,-3.5,,,,JR
matt-johnson-3,2015,9.7,,383,0.0,0.0,,,,14.0,6-0,,,8,0.0,Matt Johnson,,569,,67.3,46,4946,8.7,matt-johnson-3,114,24,QB,0.0,164.2,0.0,16.0,16.0,1.0,113,4,159,1.4,4,,,2015,,,Bowling Green State,,4,,221,175,1.5,,,,SR
matt-johnson-3,Career,9.6,,655,0.0,0.0,,,,,6-0,,,16,0.0,Matt Johnson,,1002,,65.4,73,8846,8.8,matt-johnson-3,245,54,QB,0.0,160.4,0.0,8.0,8.0,1.0,244,9,399,1.6,9,,,Career,,,Bowling Green State,,9,,221,407,1.7,,,,
cody-callaway-1,2014,4.9,,12,,,,,,5.0,6-1,,,1,,Cody Callaway,,26,,46.2,1,153,5.9,cody-callaway-1,12,,QB,,100.6,0,0,,0,12,0,-26,-2.2,0,,,2014,,,Bowling Green State,,,,189,-26,-2.2,,,,FR
cody-callaway-1,Career,4.9,,12,,,,,,,6-1,,,1,,Cody Callaway,,26,,46.2,1,153,5.9,cody-callaway-1,12,,QB,,100.6,0,0,,0,12,0,-26,-2.2,0,,,Career,,,Bowling Green State,,,,189,-26,-2.2,,,,
austin-valdez-1,2014,,11,,,,0,0,,9.0,6-1,0,0,,,Austin Valdez,,,0,,,,,austin-valdez-1,,,QB,,,,,,,,,,,,0.0,,2014,9,1.0,Bowling Green State,20,,,236,,,,0,,FR
austin-valdez-1,2015,,86,,,,0,0,,14.0,6-1,2,0,,,Austin Valdez,,,5,,,,,austin-valdez-1,,,LB,,,,,,,,,,,,1.0,,2015,58,11.0,Bowling Green State,144,,,236,,,,7,3.5,SO
austin-valdez-1,2016,,37,,,,0,0,,10.0,6-1,0,0,,,Austin Valdez,,,2,,,,,austin-valdez-1,,,LB,,,,,,,,,,,,0.0,,2016,21,1.0,Bowling Green State,58,,,236,,,,0,,JR
austin-valdez-1,2017,,16,,,,2,0,,9.0,6-1,0,0,,,Austin Valdez,,,0,,,,,austin-valdez-1,,,LB,,,,,,,,,,,,0.5,,2017,22,1.5,Syracuse,38,,,236,,,,0,,SR
austin-valdez-1,Career,,150,,,,2,0,,,6-1,2,0,,,Austin Valdez,,,7,,,,,austin-valdez-1,,,LB,,,,,,,,,,,,1.5,,Career,110,14.5,Overall,260,,,236,,,,7,3.5,
travis-greene-1,2012,,,,,,,,,5.0,5-10,,,,,Travis Greene,,,,,,,,travis-greene-1,1,0,WR,,,,,,,1,0,10,10.0,0,,,2012,,,Bowling Green State,,0,,183,10,10.0,,,,FR
travis-greene-1,2013,,1.0,,0.0,0.0,0.0,0.0,,14.0,5-10,0.0,0.0,,0.0,Travis Greene,,,0.0,,,,,travis-greene-1,297,78,RB,0.0,,2.0,155.0,8.6,18.0,279,11,1594,5.7,13,0.0,,2013,0.0,0.0,Bowling Green State,1.0,13,,183,1749,5.9,,0.0,,SO
