,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
christian-stewart-1,2013,0.0,,0,0,0,,,,1.0,6-2,,,0,0,Christian Stewart,,2,,0.0,0,0,0.0,christian-stewart-1,1,0,QB,0,0.0,0,0,,0,1,0,-5,-5.0,0,,,2013,,,Brigham Young,,0,,201,-5,-5.0,,,,JR
christian-stewart-1,2014,7.8,,199,0,0,,,,9.0,6-2,,,9,0,Christian Stewart,,348,,57.2,25,2621,7.5,christian-stewart-1,82,24,QB,0,139.0,0,0,,0,82,4,163,2.0,4,,,2014,,,Brigham Young,,4,,201,163,2.0,,,,SR
christian-stewart-1,Career,7.8,,199,0,0,,,,,6-2,,,9,0,Christian Stewart,,350,,56.9,25,2621,7.5,christian-stewart-1,83,24,QB,0,138.2,0,0,,0,83,4,158,1.9,4,,,Career,,,Brigham Young,,4,,201,158,1.9,,,,
taysom-hill-1,2012,5.8,,42,,,,,,6.0,6-2,,,2,,Taysom Hill,,71,,59.2,4,425,6.0,taysom-hill-1,55,24,QB,,122.4,,,,,55,4,336,6.1,4,,,2012,,,Brigham Young,,4,,221,336,6.1,,,,FR
taysom-hill-1,2013,6.1,0.0,236,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,14,0.0,Taysom Hill,,438,0.0,53.9,19,2938,6.7,taysom-hill-1,246,60,QB,0.0,118.1,0.0,0.0,,0.0,246,10,1344,5.5,10,0.0,,2013,0.0,0.0,Brigham Young,0.0,10,,221,1344,5.5,,0.0,,SO
taysom-hill-1,2014,7.4,0.0,88,0.0,0.0,0.0,0.0,,5.0,6-2,0.0,0.0,3,0.0,Taysom Hill,,132,0.0,66.7,7,975,7.4,taysom-hill-1,87,48,QB,0.0,141.7,0.0,0.0,,0.0,87,8,460,5.3,8,0.0,,2014,0.0,0.0,Brigham Young,0.0,8,,221,460,5.3,,0.0,,JR
taysom-hill-1,2015,7.1,1.0,21,0.0,0.0,0.0,0.0,,1.0,6-2,0.0,0.0,1,0.0,Taysom Hill,,34,0.0,61.8,1,268,7.9,taysom-hill-1,9,12,QB,0.0,131.8,0.0,0.0,,0.0,9,2,72,8.0,2,0.0,,2015,0.0,0.0,Brigham Young,1.0,2,,221,72,8.0,,0.0,,SR
taysom-hill-1,2016,5.6,0.0,222,0.0,0.0,0.0,0.0,,12.0,6-2,0.0,0.0,11,0.0,Taysom Hill,,372,0.0,59.7,12,2323,6.2,taysom-hill-1,137,48,QB,0.0,116.9,0.0,0.0,,0.0,137,8,603,4.4,8,0.0,,2016,1.0,0.0,Brigham Young,1.0,8,,221,603,4.4,,0.0,,SR
taysom-hill-1,Career,6.1,1.0,609,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,31,0.0,Taysom Hill,,1047,0.0,58.2,43,6929,6.6,taysom-hill-1,534,192,QB,0.0,121.4,0.0,0.0,,0.0,534,32,2815,5.3,32,0.0,,Career,1.0,0.0,Brigham Young,2.0,32,,221,2815,5.3,,0.0,,
mccoy-hill-1,2014,13.5,,2.0,,,,,,1.0,6-6,,,0.0,,McCoy Hill,,2.0,,100.0,0.0,27.0,13.5,mccoy-hill-1,5,,QB,,213.4,0.0,0.0,,0.0,5.0,0.0,27.0,5.4,0,,,2014,,,Brigham Young,,,,255,27,5.4,,,,FR
