,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
joe-licata-1,2012,6.4,,86,,,,,,9.0,6-2,,,3,,Joe Licata,,163,,52.8,7,1045,6.4,joe-licata-1,28,0,QB,,117.1,,,,,28,0,-54,-1.9,0,,,2012,,,Buffalo,,0,,227,-54,-1.9,,,,SO
joe-licata-1,2013,7.3,0.0,233,0.0,0.0,0.0,1.0,,13.0,6-2,0.0,0.0,8,0.0,Joe Licata,,402,0.0,58.0,24,2824,7.0,joe-licata-1,34,6,QB,0.0,132.7,0.0,0.0,,0.0,34,1,-64,-1.9,1,0.0,,2013,0.0,0.0,Buffalo,0.0,1,,227,-64,-1.9,,0.0,,SO
joe-licata-1,2014,7.9,0.0,224,0.0,0.0,0.0,0.0,,11.0,6-2,0.0,0.0,11,0.0,Joe Licata,,345,0.0,64.9,29,2647,7.7,joe-licata-1,34,12,QB,0.0,150.7,0.0,-9.0,,0.0,34,2,-6,-0.2,2,0.0,,2014,0.0,0.0,Buffalo,0.0,2,,227,-15,-0.4,,0.0,,JR
joe-licata-1,2015,5.8,1.0,280,0.0,0.0,0.0,0.0,,12.0,6-2,0.0,0.0,15,0.0,Joe Licata,,449,0.0,62.4,16,2969,6.6,joe-licata-1,33,6,QB,0.0,123.0,0.0,0.0,,0.0,33,1,-60,-1.8,1,0.0,,2015,2.0,0.0,Buffalo,3.0,1,,227,-60,-1.8,,0.0,,SR
joe-licata-1,Career,6.9,1.0,823,0.0,0.0,0.0,1.0,,,6-2,0.0,0.0,37,0.0,Joe Licata,,1359,0.0,60.6,76,9485,7.0,joe-licata-1,129,24,QB,0.0,132.2,0.0,-9.0,,0.0,129,4,-184,-1.4,4,0.0,,Career,2.0,0.0,Buffalo,3.0,4,,227,-193,-1.5,,0.0,,
tony-daniel-1,2012,5.0,,1,,,,,,10.0,6-5,,,0,,Tony Daniel,,2,,50.0,0,10,5.0,tony-daniel-1,1,0,QB,,92.0,,,,,1,0,7,7.0,0,,,2012,,,Buffalo,,0,,206,7,7.0,,,,SO
tony-daniel-1,2013,8.9,,4,0.0,0.0,,,,3.0,6-5,,,0,0.0,Tony Daniel,,7,,57.1,1,42,6.0,tony-daniel-1,4,0,QB,0.0,154.7,0.0,0.0,,0.0,4,0,5,1.3,0,,,2013,,,Buffalo,,0,,206,5,1.3,,,,SO
tony-daniel-1,2014,9.6,,9,0.0,0.0,,,,4.0,6-5,,,1,0.0,Tony Daniel,,15,,60.0,2,149,9.9,tony-daniel-1,6,6,QB,0.0,174.1,0.0,0.0,,0.0,6,1,45,7.5,1,,,2014,,,Buffalo,,1,,206,45,7.5,,,,JR
tony-daniel-1,2015,-4.0,,3,0.0,0.0,,,,2.0,6-5,,,1,0.0,Tony Daniel,,5,,60.0,0,25,5.0,tony-daniel-1,2,6,QB,0.0,62.0,0.0,0.0,,0.0,2,1,9,4.5,1,,,2015,,,Buffalo,,1,,206,9,4.5,,,,SR
tony-daniel-1,Career,6.8,,17,0.0,0.0,,,,,6-5,,,2,0.0,Tony Daniel,,29,,58.6,3,226,7.8,tony-daniel-1,13,12,QB,0.0,144.4,0.0,0.0,,0.0,13,2,66,5.1,2,,,Career,,,Buffalo,,2,,206,66,5.1,,,,
collin-michael-1,2013,,,0.0,,,,,,1.0,6-5,,,0.0,,Collin Michael,,0.0,,,0.0,0.0,,collin-michael-1,,,QB,,,,,,,,,,,,,,2013,,,Buffalo,,,,229,,,,,,FR
collin-michael-1,2014,0.0,,0.0,,,,,,1.0,6-5,,,0.0,,Collin Michael,,1.0,,0.0,0.0,0.0,0.0,collin-michael-1,,,QB,,0.0,,,,,,,,,,,,2014,,,Buffalo,,,,229,,,,,,SO
collin-michael-1,2015,,,,,,,,,,6-5,,,,,Collin Michael,,,,,,,,collin-michael-1,,,QB,,,,,,,,,,,,,,2015,,,Buffalo,,,,229,,,,,,JR
collin-michael-1,Career,0.0,,0.0,,,,,,,6-5,,,0.0,,Collin Michael,,1.0,,0.0,0.0,0.0,0.0,collin-michael-1,,,QB,,0.0,,,,,,,,,,,,Career,,,Buffalo,,,,229,,,,,,
jordan-johnson-4,2013,,0,0,0,0,0,0,,1.0,6-1,0,0,0,0,Jordan Johnson,,0,0,,0,0,,jordan-johnson-4,0,0,RB,0,,0,0,,0,0,0,0,,0,0.0,,2013,5,0.0,Buffalo,5,0,,220,0,,,0,,FR
jordan-johnson-4,2014,26.5,0,1,0,0,0,0,,8.0,6-1,0,0,0,0,Jordan Johnson,,2,0,50.0,1,33,16.5,jordan-johnson-4,77,6,RB,0,353.6,0,21,7.0,3,74,1,361,4.9,1,0.0,,2014,0,0.0,Buffalo,0,1,,220,382,5.0,,0,,SO
jordan-johnson-4,2015,,0,0,0,0,0,0,,12.0,6-1,0,0,0,0,Jordan Johnson,,0,0,,0,0,,jordan-johnson-4,181,72,RB,0,,0,69,7.7,9,172,12,811,4.7,12,0.0,,2015,1,0.0,Buffalo,1,12,,220,880,4.9,,0,,JR
jordan-johnson-4,2016,6.0,0,1,0,0,0,0,,12.0,6-1,0,0,0,0,Jordan Johnson,,1,0,100.0,0,6,6.0,jordan-johnson-4,209,42,RB,0,150.4,1,101,11.2,9,200,6,1040,5.2,7,0.0,,2016,2,0.0,Buffalo,2,7,,220,1141,5.5,,0,,SR
jordan-johnson-4,Career,19.7,0,2,0,0,0,0,,,6-1,0,0,0,0,Jordan Johnson,,3,0,66.7,1,39,13.0,jordan-johnson-4,467,120,RB,0,285.9,1,191,9.1,21,446,19,2212,5.0,20,0.0,,Career,8,0.0,Buffalo,8,20,,220,2403,5.1,,0,,
anthone-taylor-1,2011,,0,,,,0,0,,7.0,5-10,,,,0,Anthone Taylor,,,0,,,,,anthone-taylor-1,6,0,RB,,,0,13,6.5,2,4,0,20,5.0,0,0.0,,2011,0,0.0,Buffalo,0,0,,207,33,5.5,,,,FR
anthone-taylor-1,2013,,0,,0.0,0.0,0,0,,9.0,5-10,0.0,0.0,,0,Anthone Taylor,,,0,,,,,anthone-taylor-1,89,18,RB,0.0,,0,45,6.4,7,82,3,399,4.9,3,0.0,,2013,1,0.0,Buffalo,1,3,,207,444,5.0,,0.0,,SO
anthone-taylor-1,2014,,1,,0.0,0.0,0,0,,11.0,5-10,0.0,0.0,,0,Anthone Taylor,,,0,,,,,anthone-taylor-1,298,72,RB,0.0,,0,108,6.8,16,282,12,1403,5.0,12,0.0,,2014,1,0.0,Buffalo,2,12,,207,1511,5.1,,0.0,,JR
anthone-taylor-1,2015,,3,,0.0,0.0,0,0,,11.0,5-10,0.0,0.0,,0,Anthone Taylor,,,0,,,,,anthone-taylor-1,203,18,RB,0.0,,0,101,5.9,17,186,3,834,4.5,3,0.0,,2015,4,0.5,Buffalo,7,3,,207,935,4.6,,0.0,,SR
anthone-taylor-1,Career,,4,,0.0,0.0,0,0,,,5-10,0.0,0.0,,0,Anthone Taylor,,,0,,,,,anthone-taylor-1,596,108,RB,0.0,,0,267,6.4,42,554,18,2656,4.8,18,0.0,,Career,6,0.5,Buffalo,10,18,,207,2923,4.9,,0.0,,
devin-campbell-1,2012,,0,,,,,,,12.0,5-11,,,,0,Devin Campbell,,,,,,,,devin-campbell-1,136,18,RB,,,1,176,8.4,21,115,2,502,4.4,3,0.0,,2012,1,0.0,Buffalo,1,3,,203,678,5.0,,,,FR
devin-campbell-1,2013,,2,,0.0,0.0,0.0,1.0,,11.0,5-11,0.0,0.0,,1,Devin Campbell,,,0.0,,,,,devin-campbell-1,30,18,RB,0.0,,0,200,10.5,19,11,2,21,1.9,2,0.0,,2013,2,0.0,Buffalo,4,3,,203,221,7.4,,0.0,,FR
devin-campbell-1,2014,,0,,0.0,0.0,0.0,0.0,,10.0,5-11,0.0,0.0,,0,Devin Campbell,,,0.0,,,,,devin-campbell-1,57,24,RB,0.0,,4,182,7.6,24,33,0,161,4.9,4,0.0,,2014,1,0.0,Buffalo,1,4,,203,343,6.0,,0.0,,JR
devin-campbell-1,2015,,1,,0.0,0.0,0.0,0.0,,7.0,5-11,0.0,0.0,,0,Devin Campbell,,,0.0,,,,,devin-campbell-1,3,0,WR,0.0,,0,-2,-2.0,1,2,0,1,0.5,0,0.0,,2015,0,0.0,Buffalo,1,0,,203,-1,-0.3,,0.0,,SR
devin-campbell-1,Career,,3,,0.0,0.0,0.0,1.0,,,5-11,0.0,0.0,,1,Devin Campbell,,,0.0,,,,,devin-campbell-1,226,60,WR,0.0,,5,556,8.6,65,161,4,685,4.3,9,0.0,,Career,4,0.0,Buffalo,7,10,,203,1241,5.5,,0.0,,
zach-nicholas-1,2014,,0,,,,0,0,,2.0,6-0,0,0,,,Zach Nicholas,,,0,,,,,zach-nicholas-1,6,,RB,,,0,4,4.0,1,5,0,18,3.6,0,0.0,,2014,0,0.0,Buffalo,0,,,207,22,3.7,,0,,FR
zach-nicholas-1,2015,,0,,,,0,0,,1.0,6-0,0,0,,,Zach Nicholas,,,0,,,,,zach-nicholas-1,0,,S,,,0,0,,0,0,0,0,,0,0.0,,2015,1,0.0,Buffalo,1,,,207,0,,,0,,SO
zach-nicholas-1,Career,,0,,,,0,0,,,6-0,0,0,,,Zach Nicholas,,,0,,,,,zach-nicholas-1,6,,S,,,0,4,4.0,1,5,0,18,3.6,0,0.0,,Career,1,0.0,Buffalo,1,,,207,22,3.7,,0,,
ron-willoughby-1,2012,,0,0,0,0,0,0,0.0,,6-4,,,0,0,Ron Willoughby,,0,0,,0,0,,ron-willoughby-1,0,0,WR,0,,0,0,,0,0,0,0,,0,0.0,0.0,2012,1,0.0,Buffalo,1,0,0.0,199,0,,0.0,,,SO
ron-willoughby-1,2013,,0,0,0,0,0,0,,2.0,6-4,0.0,0.0,0,0,Ron Willoughby,,0,0,,0,0,,ron-willoughby-1,3,0,WR,0,,0,83,27.7,3,0,0,0,,0,0.0,,2013,0,0.0,Buffalo,0,0,,199,83,27.7,,0.0,,SO
ron-willoughby-1,2014,0.0,0,0,0,0,0,0,,11.0,6-4,0.0,0.0,0,0,Ron Willoughby,,1,0,0.0,0,0,0.0,ron-willoughby-1,50,54,WR,0,0.0,9,771,15.4,50,0,0,0,,9,0.0,,2014,1,0.0,Buffalo,1,9,,199,771,15.4,,0.0,,JR
ron-willoughby-1,2015,,0,0,0,0,0,0,,12.0,6-4,0.0,0.0,0,0,Ron Willoughby,,0,0,,0,0,,ron-willoughby-1,62,36,WR,0,,6,813,13.1,62,0,0,0,,6,0.0,,2015,0,0.0,Buffalo,0,6,,199,813,13.1,,0.0,,SR
ron-willoughby-1,Career,0.0,0,0,0,0,0,0,0.0,,6-4,0.0,0.0,0,0,Ron Willoughby,,1,0,0.0,0,0,0.0,ron-willoughby-1,115,90,WR,0,0.0,15,1667,14.5,115,0,0,0,,15,0.0,0.0,Career,2,0.0,Buffalo,2,15,0.0,199,1667,14.5,0.0,0.0,,
marcus-mcgill-1,2012,,2,0,0,0,0,0,0.0,,6-1,,,0,0,Marcus McGill,,0,0,,0,0,,marcus-mcgill-1,0,0,WR,0,,0,0,,0,0,0,0,,0,0.0,0.0,2012,0,0.0,Buffalo,2,0,0.0,230,0,,0.0,,,FR
marcus-mcgill-1,2014,26.0,0,1,0,0,0,0,,7.0,6-1,0.0,0.0,0,0,Marcus McGill,,1,0,100.0,0,26,26.0,marcus-mcgill-1,22,18,WR,0,318.4,3,343,15.6,22,0,0,0,,3,0.0,,2014,0,0.0,Buffalo,0,3,,230,343,15.6,,0.0,,JR
marcus-mcgill-1,2015,,0,0,0,0,0,0,,11.0,6-1,0.0,0.0,0,0,Marcus McGill,,0,0,,0,0,,marcus-mcgill-1,51,24,WR,0,,4,581,11.6,50,1,0,10,10.0,4,0.0,,2015,0,0.0,Buffalo,0,4,,230,591,11.6,,0.0,,SR
marcus-mcgill-1,2016,,0,0,0,0,0,0,,11.0,6-1,0.0,0.0,0,0,Marcus McGill,,0,0,,0,0,,marcus-mcgill-1,40,0,WR,0,,0,573,14.3,40,0,0,0,,0,0.0,,2016,2,0.0,Buffalo,2,0,,230,573,14.3,,0.0,,SR
marcus-mcgill-1,Career,26.0,2,1,0,0,0,0,0.0,,6-1,0.0,0.0,0,0,Marcus McGill,,1,0,100.0,0,26,26.0,marcus-mcgill-1,113,42,WR,0,318.4,7,1497,13.4,112,1,0,10,10.0,7,0.0,0.0,Career,2,0.0,Buffalo,4,7,0.0,230,1507,13.3,0.0,0.0,,
jacob-martinez-1,2014,,0,,0,0,0,0,,11.0,6-0,0,0,,0,Jacob Martinez,,,0,,,,,jacob-martinez-1,30,18,WR,0,,3,280,10.0,28,2,0,1,0.5,3,0.0,,2014,1,0.0,Buffalo,1,3,,190,281,9.4,,0,,FR
jacob-martinez-1,2015,,0,,0,0,0,0,,10.0,6-0,0,0,,0,Jacob Martinez,,,0,,,,,jacob-martinez-1,18,12,WR,1,,1,153,10.2,15,3,0,6,2.0,1,0.0,,2015,0,0.0,Buffalo,0,2,,190,159,8.8,,0,,FR
jacob-martinez-1,2016,,0,,0,0,0,0,,3.0,6-0,0,0,,0,Jacob Martinez,,,0,,,,,jacob-martinez-1,7,6,WR,0,,1,121,17.3,7,0,0,0,,1,0.0,,2016,0,0.0,Buffalo,0,1,,190,121,17.3,,0,,JR
jacob-martinez-1,2017,,0,,0,0,0,0,,9.0,6-0,0,0,,0,Jacob Martinez,,,0,,,,,jacob-martinez-1,18,6,WR,0,,1,241,14.2,17,1,0,1,1.0,1,0.0,,2017,0,0.0,Buffalo,0,1,,190,242,13.4,,0,,SR
jacob-martinez-1,Career,,0,,0,0,0,0,,,6-0,0,0,,0,Jacob Martinez,,,0,,,,,jacob-martinez-1,73,42,WR,1,,6,795,11.9,67,6,0,8,1.3,6,0.0,,Career,1,0.0,Buffalo,1,7,,190,803,11.0,,0,,
boise-ross-1,2013,,0,,0,0,0,0,,9.0,6-0,0,0,,0,Boise Ross,,,0,,,,,boise-ross-1,15,0,WR,0,,0,156,12.0,13,2,0,14,7.0,0,0.0,,2013,0,0.0,Buffalo,0,0,,195,170,11.3,,0,,
boise-ross-1,2014,,10,,0,0,0,0,,10.0,6-0,1,0,,0,Boise Ross,,,6,,,,,boise-ross-1,9,0,WR,0,,0,69,8.6,8,1,0,0,0.0,0,0.0,,2014,16,1.0,Buffalo,26,0,,195,69,7.7,,0,0.0,SO
boise-ross-1,2015,,12,,0,0,1,1,,12.0,6-0,2,1,,0,Boise Ross,,,18,,,,,boise-ross-1,0,6,CB,0,,0,0,,0,0,0,0,,0,0.0,,2015,33,0.0,Buffalo,45,1,,195,0,,,39,19.5,JR
boise-ross-1,2016,,11,,0,0,1,1,,9.0,6-0,0,0,,0,Boise Ross,,,7,,,,,boise-ross-1,0,0,CB,0,,0,0,,0,0,0,0,,0,0.0,,2016,25,2.5,Buffalo,36,0,,195,0,,,0,,SR
boise-ross-1,Career,,33,,0,0,2,2,,,6-0,3,1,,0,Boise Ross,,,31,,,,,boise-ross-1,24,6,CB,0,,0,225,10.7,21,3,0,14,4.7,0,0.0,,Career,74,3.5,Buffalo,107,1,,195,239,10.0,,39,13.0,
devon-hughes-1,2011,,0.0,,,,0.0,0.0,,10.0,6-0,,,,,Devon Hughes,,,0.0,,,,,devon-hughes-1,18,6,WR,0.0,,1,123,6.8,18,,,,,1,0.0,,2011,0.0,0.0,Buffalo,0.0,1,,186,123,6.8,,,,FR
