,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jared-goff-1,2013,6.4,,320,0,0,,,,12.0,6-4,,,10,0,Jared Goff,,530,,60.4,18,3508,6.6,jared-goff-1,60,6,QB,0,123.4,0,-1,-1.0,1,59,1,-62,-1.1,1,,,2013,,,California,,1,,215,-63,-1.1,,,,FR
jared-goff-1,2014,8.6,,316,0,0,,,,12.0,6-4,,,7,0,Jared Goff,,509,,62.1,35,3973,7.8,jared-goff-1,55,0,QB,0,147.6,0,0,,0,55,0,-44,-0.8,0,,,2014,,,California,,0,,215,-44,-0.8,,,,SO
jared-goff-1,2015,9.4,,341,0,0,,,,13.0,6-4,,,13,0,Jared Goff,,529,,64.5,43,4714,8.9,jared-goff-1,57,0,QB,0,161.2,0,11,11.0,1,56,0,-8,-0.1,0,,,2015,,,California,,0,,215,3,0.1,,,,JR
jared-goff-1,Career,8.1,,977,0,0,,,,,6-4,,,30,0,Jared Goff,,1568,,62.3,96,12195,7.8,jared-goff-1,172,6,QB,0,144.0,0,10,5.0,2,170,1,-114,-0.7,1,,,Career,,,California,,1,,215,-104,-0.6,,,,
luke-rubenzer-1,2014,3.4,0,12,0,0,0,0,,10.0,5-11,0,0,3,0,Luke Rubenzer,,21,0,57.1,2,166,7.9,luke-rubenzer-1,53,18,QB,0,126.4,0,9,9.0,1,52,3,207,4.0,3,0.0,,2014,1,0.0,California,1,3,,200,216,4.1,,0,,FR
luke-rubenzer-1,2015,,19,0,0,0,0,0,,10.0,5-11,2,0,0,0,Luke Rubenzer,,0,1,,0,0,,luke-rubenzer-1,0,0,S,0,,0,0,,0,0,0,0,,0,0.0,,2015,24,0.0,California,43,0,,200,0,,,0,0.0,SO
luke-rubenzer-1,2016,,20,0,0,0,0,2,,9.0,5-11,2,0,0,0,Luke Rubenzer,,0,1,,0,0,,luke-rubenzer-1,0,0,S,0,,0,0,,0,0,0,0,,0,0.0,,2016,35,2.5,California,55,0,,200,0,,,72,36.0,JR
luke-rubenzer-1,2017,,9,0,0,0,0,1,,7.0,5-11,0,0,0,0,Luke Rubenzer,,0,3,,0,0,,luke-rubenzer-1,0,0,S,0,,0,0,,0,0,0,0,,0,0.0,,2017,12,0.5,California,21,0,,200,0,,,0,,SR
luke-rubenzer-1,Career,3.4,48,12,0,0,0,3,,,5-11,4,0,3,0,Luke Rubenzer,,21,5,57.1,2,166,7.9,luke-rubenzer-1,53,18,S,0,126.4,0,9,9.0,1,52,3,207,4.0,3,0.0,,Career,72,3.0,California,120,3,,200,216,4.1,,72,18.0,
austin-hinder-1,2013,4.0,,1,,,,,,2.0,6-4,,,0,,Austin Hinder,,4,,25.0,0,16,4.0,austin-hinder-1,3,,QB,,58.6,0,0,,0,3,0,8,2.7,0,,,2013,,,California,,,,200,8,2.7,,,,JR
