,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
justin-holman-1,2013,3.6,0,9,0,0,0,0,,3.0,6-4,0,0,1,0,Justin Holman,,14,0,64.3,1,75,5.4,justin-holman-1,7,0,QB,0,118.6,0,0,,0,7,0,40,5.7,0,0.0,,2013,0,0.0,UCF,0,0,,225,40,5.7,,0,,FR
justin-holman-1,2014,7.1,0,223,0,0,0,0,,13.0,6-4,0,0,14,0,Justin Holman,,392,0,56.9,23,2952,7.5,justin-holman-1,112,18,QB,0,132.4,0,0,,0,112,3,189,1.7,3,0.0,,2014,2,0.0,UCF,2,3,,225,189,1.7,,0,,SO
justin-holman-1,2015,3.5,0,127,0,0,0,0,,9.0,6-4,0,0,14,0,Justin Holman,,250,0,50.8,7,1374,5.5,justin-holman-1,46,0,QB,0,95.0,0,0,,0,46,0,140,3.0,0,0.0,,2015,0,0.0,UCF,0,0,,225,140,3.0,,0,,JR
justin-holman-1,2016,5.8,0,36,0,0,0,0,,6.0,6-4,0,0,2,0,Justin Holman,,83,0,43.4,3,510,6.1,justin-holman-1,38,12,QB,0,102.1,0,24,24.0,1,37,2,125,3.4,2,0.0,,2016,0,0.0,UCF,0,2,,225,149,3.9,,0,,SR
justin-holman-1,Career,5.7,0,395,0,0,0,0,,,6-4,0,0,31,0,Justin Holman,,739,0,53.5,34,4911,6.6,justin-holman-1,203,30,QB,0,116.1,0,24,24.0,1,202,5,494,2.4,5,0.0,,Career,2,0.0,UCF,2,5,,225,518,2.6,,0,,
nick-patti-1,2013,5.7,0,8,0,0,0,0,,5.0,5-11,0,0,0,0,Nick Patti,,11,0,72.7,0,63,5.7,nick-patti-1,4,0,QB,0,120.8,0,0,,0,4,0,19,4.8,0,0.0,,2013,1,0.0,Boise State,1,0,,195,19,4.8,,0,,FR
nick-patti-1,2014,3.1,0,7,0,0,0,0,,5.0,5-11,0,0,1,0,Nick Patti,,14,0,50.0,0,89,6.4,nick-patti-1,9,6,QB,0,89.1,0,0,,0,9,1,49,5.4,1,0.0,,2014,0,0.0,UCF,0,1,,195,49,5.4,,0,,FR
nick-patti-1,2015,3.1,0,4,0,0,0,1,,11.0,5-11,0,0,0,0,Nick Patti,,8,0,50.0,0,25,3.1,nick-patti-1,43,18,QB,0,76.3,1,104,8.0,13,30,2,106,3.5,3,0.0,,2015,2,0.0,UCF,2,3,,195,210,4.9,,0,,JR
nick-patti-1,2016,6.0,0,12,0,0,0,0,,3.0,5-11,0,0,0,0,Nick Patti,,23,0,52.2,0,137,6.0,nick-patti-1,11,6,QB,0,102.2,0,0,,0,11,1,47,4.3,1,0.0,,2016,0,0.0,UCF,0,1,,195,47,4.3,,0,,SR
nick-patti-1,Career,4.8,0,31,0,0,0,1,,,5-11,0,0,1,0,Nick Patti,,56,0,55.4,0,314,5.6,nick-patti-1,67,30,QB,0,98.9,1,104,8.0,13,54,4,221,4.1,5,0.0,,Career,3,0.0,Overall,3,5,,195,325,4.9,,0,,
pete-dinovo-1,2014,2.3,,3.0,,,,,,1.0,6-2,,,0.0,,Pete Dinovo,,8.0,,37.5,0.0,18.0,2.3,pete-dinovo-1,3,,QB,,56.4,0.0,0.0,,0.0,3.0,0.0,-5.0,-1.7,0,,,2014,,,UCF,,,,209,-5,-1.7,,,,FR
pete-dinovo-1,2015,,,,,,,,,,6-2,,,,,Pete Dinovo,,,,,,,,pete-dinovo-1,0,,WR,,,,,,,,,,,0,,,2015,,,UCF,,,,209,0,,,,,SO
pete-dinovo-1,2016,0.0,,0.0,,,,,,1.0,6-2,,,0.0,,Pete Dinovo,,1.0,,0.0,0.0,0.0,0.0,pete-dinovo-1,0,,WR,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,,2016,,,UCF,,,,209,0,,,,,JR
pete-dinovo-1,Career,2.0,,3.0,,,,,,,6-2,,,0.0,,Pete Dinovo,,9.0,,33.3,0.0,18.0,2.0,pete-dinovo-1,3,,WR,,50.1,0.0,0.0,,0.0,3.0,0.0,-5.0,-1.7,0,,,Career,,,UCF,,,,209,-5,-1.7,,,,
william-stanback-1,2013,,4,,0,0,1,0,,13.0,6-1,0,0,,0,William Stanback,,,0,,,,,william-stanback-1,120,42,RB,0,,1,186,12.4,15,105,6,443,4.2,7,0.0,,2013,5,0.0,UCF,9,7,,225,629,5.2,,0,,FR
william-stanback-1,2014,,0,,0,0,0,0,,10.0,6-1,0,0,,0,William Stanback,,,0,,,,,william-stanback-1,200,72,RB,0,,2,55,5.0,11,189,10,697,3.7,12,0.0,,2014,0,0.0,UCF,0,12,,225,752,3.8,,0,,SO
