,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
cooper-rush-1,2013,6.3,2,177,0,0,0,0,,11.0,6-3,0,0,15,0,Cooper Rush,,312,0,56.7,15,2349,7.5,cooper-rush-1,38,6,QB,0,126.2,0,0,,0,38,1,-84,-2.2,1,0.0,,2013,0,0.0,Central Michigan,2,1,,230,-84,-2.2,,0,,FR
cooper-rush-1,2014,8.1,1,243,0,0,0,0,,13.0,6-3,0,0,13,0,Cooper Rush,,382,0,63.6,27,3149,8.2,cooper-rush-1,46,0,QB,0,149.4,0,0,,0,46,0,-51,-1.1,0,0.0,,2014,2,1.0,Central Michigan,3,0,,230,-51,-1.1,,0,,SO
cooper-rush-1,2015,7.9,0,324,0,0,0,0,,13.0,6-3,0,0,11,0,Cooper Rush,,489,0,66.3,25,3853,7.9,cooper-rush-1,63,18,QB,0,144.8,0,0,,0,63,3,38,0.6,3,0.0,,2015,2,0.0,Central Michigan,2,3,,230,38,0.6,,0,,JR
cooper-rush-1,2016,7.1,0,278,0,0,0,0,,13.0,6-3,0,0,16,0,Cooper Rush,,465,0,59.8,23,3540,7.6,cooper-rush-1,69,6,QB,0,133.2,0,1,1.0,1,68,1,-21,-0.3,1,0.0,,2016,0,0.0,Central Michigan,0,1,,230,-20,-0.3,,0,,SR
cooper-rush-1,Career,7.4,3,1022,0,0,0,0,,,6-3,0,0,55,0,Cooper Rush,,1648,0,62.0,90,12891,7.8,cooper-rush-1,216,30,QB,0,139.1,0,1,1.0,1,215,5,-118,-0.5,5,0.0,,Career,4,1.0,Central Michigan,7,5,,230,-117,-0.5,,0,,
cody-kater-1,2012,3.0,,2,,,,,,2.0,6-3,,,0,,Cody Kater,,4,,50.0,0,12,3.0,cody-kater-1,3,,QB,,75.2,,,,,3,0,2,0.7,0,,,2012,,,Central Michigan,,,,220,2,0.7,,,,
cody-kater-1,2013,2.2,0.0,2,,,0.0,0.0,,1.0,6-3,0.0,0.0,0,,Cody Kater,,6,0.0,33.3,0,13,2.2,cody-kater-1,2,,QB,,51.5,0.0,0.0,,0.0,2,0,-1,-0.5,0,0.0,,2013,0.0,0.0,Central Michigan,0.0,,,220,-1,-0.5,,0.0,,JR
cody-kater-1,2014,,0.0,0,,,1.0,0.0,,1.0,6-3,0.0,0.0,0,,Cody Kater,,0,0.0,,0,0,,cody-kater-1,0,,QB,,,0.0,0.0,,0.0,0,0,0,,0,0.0,,2014,1.0,0.0,Central Michigan,1.0,,,220,0,,,0.0,,SR
cody-kater-1,Career,2.5,0.0,4,,,1.0,0.0,,,6-3,0.0,0.0,0,,Cody Kater,,10,0.0,40.0,0,25,2.5,cody-kater-1,5,,QB,,61.0,0.0,0.0,,0.0,5,0,1,0.2,0,0.0,,Career,1.0,0.0,Central Michigan,1.0,,,220,1,0.2,,0.0,,
thomas-rawls-1,2011,,0.0,,,,0.0,0.0,,10.0,5-10,,,,,Thomas Rawls,,,0.0,,,,,thomas-rawls-1,13,0,RB,,,,,,,13,0,79,6.1,0,0.0,,2011,0.0,0.0,Michigan,0.0,0,,217,79,6.1,,,,FR
thomas-rawls-1,2012,,,,,,,,,8.0,5-10,,,,,Thomas Rawls,,,,,,,,thomas-rawls-1,58,24,RB,,,0.0,6.0,6.0,1.0,57,4,242,4.2,4,,,2012,,,Michigan,,4,,217,248,4.3,,,,SO
thomas-rawls-1,2013,,0.0,,0.0,0.0,0.0,0.0,,1.0,5-10,0.0,0.0,,0.0,Thomas Rawls,,,0.0,,,,,thomas-rawls-1,3,6,RB,0.0,,0.0,0.0,,0.0,3,1,12,4.0,1,0.0,,2013,0.0,0.0,Michigan,0.0,1,,217,12,4.0,,0.0,,JR
thomas-rawls-1,2014,,0.0,,0.0,0.0,0.0,0.0,,9.0,5-10,0.0,0.0,,0.0,Thomas Rawls,,,0.0,,,,,thomas-rawls-1,220,60,RB,0.0,,0.0,93.0,9.3,10.0,210,10,1103,5.3,10,0.0,,2014,1.0,0.0,Central Michigan,1.0,10,,217,1196,5.4,,0.0,,SR
thomas-rawls-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,,0.0,Thomas Rawls,,,0.0,,,,,thomas-rawls-1,294,90,RB,0.0,,0.0,99.0,9.0,11.0,283,15,1436,5.1,15,0.0,,Career,1.0,0.0,Overall,1.0,15,,217,1535,5.2,,0.0,,
saylor-lavallii-1,2012,,2,,,,,,,13.0,5-9,,,,0,Saylor Lavallii,,,,,,,,saylor-lavallii-1,63,12,RB,,,0,68,11.3,6,57,2,263,4.6,2,0.0,,2012,0,0.0,Central Michigan,2,2,,213,331,5.3,,,,FR
saylor-lavallii-1,2013,,1,,0.0,0.0,0.0,0.0,,12.0,5-9,0.0,0.0,,0,Saylor Lavallii,,,0.0,,,,,saylor-lavallii-1,194,36,RB,0.0,,1,62,5.2,12,182,5,807,4.4,6,0.0,,2013,0,0.0,Central Michigan,1,6,,213,869,4.5,,0.0,,SO
saylor-lavallii-1,2014,,0,,0.0,0.0,0.0,0.0,,11.0,5-9,0.0,0.0,,0,Saylor Lavallii,,,0.0,,,,,saylor-lavallii-1,97,24,RB,0.0,,0,86,6.6,13,84,4,298,3.5,4,0.0,,2014,0,0.0,Central Michigan,0,4,,213,384,4.0,,0.0,,JR
saylor-lavallii-1,Career,,3,,0.0,0.0,0.0,0.0,,,5-9,0.0,0.0,,0,Saylor Lavallii,,,0.0,,,,,saylor-lavallii-1,354,72,RB,0.0,,1,216,7.0,31,323,11,1368,4.2,12,0.0,,Career,0,0.0,Central Michigan,3,12,,213,1584,4.5,,0.0,,
devon-spalding-1,2014,,0,0,0,0,0,0,,11.0,5-11,0,0,0,0,Devon Spalding,,0,0,,0,0,,devon-spalding-1,76,24,RB,0,,0,23,7.7,3,73,4,371,5.1,4,0.0,,2014,1,0.0,Central Michigan,1,4,,205,394,5.2,,0,,FR
devon-spalding-1,2015,,0,0,0,0,0,0,,5.0,5-11,0,0,0,0,Devon Spalding,,0,0,,0,0,,devon-spalding-1,66,6,RB,0,,0,125,8.9,14,52,1,182,3.5,1,0.0,,2015,0,0.0,Central Michigan,0,1,,205,307,4.7,,0,,SO
devon-spalding-1,2016,,0,0,0,0,0,0,,11.0,5-11,0,0,0,0,Devon Spalding,,0,0,,0,0,,devon-spalding-1,169,42,RB,0,,1,204,6.6,31,138,6,758,5.5,7,0.0,,2016,0,0.0,Central Michigan,0,7,,205,962,5.7,,0,,JR
devon-spalding-1,2017,,0,0,0,0,0,0,,4.0,5-11,0,0,0,0,Devon Spalding,,0,0,,0,0,,devon-spalding-1,40,12,RB,0,,0,26,5.2,5,35,2,101,2.9,2,0.0,,2017,0,0.0,Central Michigan,0,2,,205,127,3.2,,0,,SR
devon-spalding-1,2018,0.0,1,0,0,0,0,0,,10.0,5-11,0,0,0,0,Devon Spalding,,1,0,0.0,0,0,0.0,devon-spalding-1,36,0,WR,0,0.0,0,231,8.6,27,9,0,38,4.2,0,0.0,,2018,0,0.0,Central Michigan,1,0,,205,269,7.5,,0,,SR
devon-spalding-1,Career,0.0,1,0,0,0,0,0,,,5-11,0,0,0,0,Devon Spalding,,1,0,0.0,0,0,0.0,devon-spalding-1,387,84,WR,0,0.0,1,609,7.6,80,307,13,1450,4.7,14,0.0,,Career,1,0.0,Central Michigan,2,14,,205,2059,5.3,,0,,
martez-walker-1,2013,,1,0,0,0,0,0,,5.0,5-8,0,0,0,0,Martez Walker,,0,0,,0,0,,martez-walker-1,11,0,RB,0,,0,10,5.0,2,9,0,8,0.9,0,0.0,,2013,1,0.0,Central Michigan,2,0,,185,18,1.6,,0,,FR
martez-walker-1,2014,,0,0,0,0,0,0,,10.0,5-8,0,0,0,0,Martez Walker,,0,0,,0,0,,martez-walker-1,65,6,RB,0,,0,10,3.3,3,62,1,273,4.4,1,0.0,,2014,0,0.0,Central Michigan,0,1,,185,283,4.4,,0,,SO
martez-walker-1,2015,0.0,0,0,0,0,0,0,,11.0,5-8,0,0,0,0,Martez Walker,,1,0,0.0,0,0,0.0,martez-walker-1,124,12,RB,0,0.0,0,88,4.9,18,106,2,367,3.5,2,0.0,,2015,0,0.0,Central Michigan,0,2,,185,455,3.7,,0,,JR
martez-walker-1,Career,0.0,1,0,0,0,0,0,,,5-8,0,0,0,0,Martez Walker,,1,0,0.0,0,0,0.0,martez-walker-1,200,18,RB,0,0.0,0,108,4.7,23,177,3,648,3.7,3,0.0,,Career,1,0.0,Central Michigan,2,3,,185,756,3.8,,0,,
anthony-garland-1,2011,,0,,,,0.0,0.0,,8.0,6-1,,,,,Anthony Garland,,,0.0,,,,,anthony-garland-1,83,6,RB,,,,,,,83,1,378,4.6,1,0.0,,2011,2,0.0,Central Michigan,2,1,,230,378,4.6,,,,FR
anthony-garland-1,2012,,1,,,,,,,9.0,6-1,,,,,Anthony Garland,,,,,,,,anthony-garland-1,47,6,RB,,,0.0,15.0,5.0,3.0,44,1,189,4.3,1,0.0,,2012,0,0.0,Central Michigan,1,1,,230,204,4.3,,,,SO
anthony-garland-1,2013,,0,,0.0,0.0,0.0,0.0,,7.0,6-1,0.0,0.0,,0.0,Anthony Garland,,,0.0,,,,,anthony-garland-1,34,0,RB,0.0,,0.0,19.0,9.5,2.0,32,0,159,5.0,0,0.0,,2013,0,0.0,Central Michigan,0,0,,230,178,5.2,,0.0,,JR
anthony-garland-1,2014,,0,,0.0,0.0,0.0,0.0,,4.0,6-1,0.0,0.0,,0.0,Anthony Garland,,,0.0,,,,,anthony-garland-1,8,6,RB,0.0,,1.0,7.0,3.5,2.0,6,0,0,0.0,1,0.0,,2014,0,0.0,Central Michigan,0,1,,230,7,0.9,,0.0,,SR
anthony-garland-1,Career,,1,,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,,0.0,Anthony Garland,,,0.0,,,,,anthony-garland-1,172,18,RB,0.0,,1.0,41.0,5.9,7.0,165,2,726,4.4,3,0.0,,Career,2,0.0,Central Michigan,3,3,,230,767,4.5,,0.0,,
maurice-shoemaker-gilmore-1,2013,,0,,0,0,0,0,,8.0,5-11,0,0,,0,Maurice Shoemaker-Gilmore,,,0,,,,,maurice-shoemaker-gilmore-1,52,12,RB,0,,0,25,12.5,2,50,2,261,5.2,2,0.0,,2013,1,1.0,Central Michigan,1,2,,208,286,5.5,,0,,FR
maurice-shoemaker-gilmore-1,2014,,0,,0,0,0,0,,2.0,5-11,0,0,,0,Maurice Shoemaker-Gilmore,,,0,,,,,maurice-shoemaker-gilmore-1,6,0,RB,0,,0,14,7.0,2,4,0,11,2.8,0,0.0,,2014,0,0.0,Central Michigan,0,0,,208,25,4.2,,0,,SO
maurice-shoemaker-gilmore-1,Career,,0,,0,0,0,0,,,5-11,0,0,,0,Maurice Shoemaker-Gilmore,,,0,,,,,maurice-shoemaker-gilmore-1,58,12,RB,0,,0,39,9.8,4,54,2,272,5.0,2,0.0,,Career,1,1.0,Central Michigan,1,2,,208,311,5.4,,0,,
titus-davis-1,2011,,2.0,,,,0.0,0.0,,12.0,6-2,,,,0.0,Titus Davis,,,0.0,,,,,titus-davis-1,42,48,WR,,,8,751,18.8,40,2,0,13,6.5,8,0.0,,2011,3.0,0.0,Central Michigan,5.0,8,,230,764,18.2,,,,FR
titus-davis-1,2012,,,,,,,,,12.0,6-2,,,,,Titus Davis,,,,,,,,titus-davis-1,46,48,WR,,,8,860,20.0,43,3,0,6,2.0,8,,,2012,,,Central Michigan,,8,,230,866,18.8,,,,SO
