,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
gunner-kiel-1,2014,8.4,0,233,0,0,0,0,,13.0,6-4,0,0,13,0,Gunner Kiel,,390,0,59.7,31,3254,8.3,gunner-kiel-1,63,6,QB,0,149.4,0,0,,0,63,1,142,2.3,1,0.0,,2014,0,0.0,Cincinnati,0,1,,225,142,2.3,,0,,SO
gunner-kiel-1,2015,8.4,0,206,0,0,0,0,,10.0,6-4,0,0,11,0,Gunner Kiel,,316,0,65.2,19,2777,8.8,gunner-kiel-1,32,12,QB,0,151.9,0,0,,0,32,2,27,0.8,2,0.0,,2015,1,0.0,Cincinnati,1,2,,225,27,0.8,,0,,JR
gunner-kiel-1,2016,6.6,0,66,0,0,0,0,,5.0,6-4,0,0,2,0,Gunner Kiel,,127,0,52.0,6,804,6.3,gunner-kiel-1,7,0,QB,0,117.6,0,0,,0,7,0,-4,-0.6,0,0.0,,2016,0,0.0,Cincinnati,0,0,,225,-4,-0.6,,0,,SR
gunner-kiel-1,Career,8.1,0,505,0,0,0,0,,,6-4,0,0,26,0,Gunner Kiel,,833,0,60.6,56,6835,8.2,gunner-kiel-1,102,18,QB,0,145.5,0,0,,0,102,3,165,1.6,3,0.0,,Career,1,0.0,Cincinnati,1,3,,225,165,1.6,,0,,
munchie-legaux-1,2010,,0,,,,0.0,0.0,,7.0,6-5,,,,,Munchie Legaux,,,0.0,,,,,munchie-legaux-1,1,0,QB,,,0.0,18.0,18.0,1.0,,,,,0,0.0,,2010,0,0.0,Cincinnati,0,0,,200,18,18.0,,,,
munchie-legaux-1,2011,5.8,2,55.0,,,0.0,0.0,,11.0,6-5,,,4.0,,Munchie Legaux,,116.0,0.0,47.4,5.0,749.0,6.5,munchie-legaux-1,41,12,QB,,109.0,,,,,41.0,2.0,185.0,4.5,2,0.0,,2011,0,0.0,Cincinnati,2,2,,200,185,4.5,,,,SO
munchie-legaux-1,2012,6.8,0,120.0,,,,,,11.0,6-5,,,9.0,,Munchie Legaux,,230.0,,52.2,13.0,1716.0,7.5,munchie-legaux-1,55,24,QB,,125.7,,,,,55.0,4.0,335.0,6.1,4,0.0,,2012,1,0.0,Cincinnati,1,4,,200,335,6.1,,,,JR
munchie-legaux-1,2013,5.6,0,30.0,0.0,0.0,0.0,0.0,,2.0,6-5,0.0,0.0,3.0,0.0,Munchie Legaux,,51.0,0.0,58.8,2.0,382.0,7.5,munchie-legaux-1,17,6,QB,0.0,122.9,0.0,0.0,,0.0,17.0,1.0,107.0,6.3,1,0.0,,2013,0,0.0,Cincinnati,0,1,,200,107,6.3,,0.0,,SR
munchie-legaux-1,2014,7.4,0,53.0,0.0,0.0,0.0,0.0,,7.0,6-5,0.0,0.0,1.0,0.0,Munchie Legaux,,80.0,0.0,66.3,3.0,574.0,7.2,munchie-legaux-1,20,6,QB,0.0,136.4,0.0,0.0,,0.0,20.0,1.0,50.0,2.5,1,0.0,,2014,0,0.0,Cincinnati,0,1,,200,50,2.5,,0.0,,SR
munchie-legaux-1,Career,6.5,2,258.0,0.0,0.0,0.0,0.0,,,6-5,0.0,0.0,17.0,0.0,Munchie Legaux,,477.0,0.0,54.1,23.0,3421.0,7.2,munchie-legaux-1,134,48,QB,0.0,123.1,0.0,18.0,18.0,1.0,133.0,8.0,677.0,5.1,8,0.0,,Career,1,0.0,Cincinnati,3,8,,200,695,5.2,,0.0,,
michael-colosimo-1,2013,5.0,,2,,,,,,1.0,6-3,,,0,,Michael Colosimo,,2,,100.0,0,10,5.0,michael-colosimo-1,0,,QB,,142.0,0,0,,0,0,0,0,,0,,,2013,,,Cincinnati,,,,216,0,,,,,JR
michael-colosimo-1,2014,7.5,,5,,,,,,3.0,6-3,,,0,,Michael Colosimo,,13,,38.5,1,78,6.0,michael-colosimo-1,4,,QB,,114.2,0,0,,0,4,0,54,13.5,0,,,2014,,,Cincinnati,,,,216,54,13.5,,,,SR
michael-colosimo-1,Career,7.2,,7,,,,,,,6-3,,,0,,Michael Colosimo,,15,,46.7,1,88,5.9,michael-colosimo-1,4,,QB,,117.9,0,0,,0,4,0,54,13.5,0,,,Career,,,Cincinnati,,,,216,54,13.5,,,,
jarred-evans-1,2014,2.0,0,2,0,0,0,0,,4.0,6-1,0,0,0,0,Jarred Evans,,5,0,40.0,0,10,2.0,jarred-evans-1,22,6,QB,0,56.8,0,0,,0,22,1,110,5.0,1,0.0,,2014,0,0.0,Cincinnati,0,1,,190,110,5.0,,0,,JR
jarred-evans-1,2015,,2,0,0,0,0,0,,7.0,6-1,0,0,0,0,Jarred Evans,,0,2,,0,0,,jarred-evans-1,0,0,CB,0,,0,0,,0,0,0,0,,0,0.0,,2015,7,0.0,Cincinnati,9,0,,190,0,,,0,,SR
jarred-evans-1,Career,2.0,2,2,0,0,0,0,,,6-1,0,0,0,0,Jarred Evans,,5,2,40.0,0,10,2.0,jarred-evans-1,22,6,CB,0,56.8,0,0,,0,22,1,110,5.0,1,0.0,,Career,7,0.0,Cincinnati,9,1,,190,110,5.0,,0,,
rodriguez-moore-1,2013,,1,,0,0,0,0,,7.0,5-10,0,0,,0,Rodriguez Moore,,,0,,,,,rodriguez-moore-1,5,0,RB,0,,0,-1,-1.0,1,4,0,13,3.3,0,0.0,,2013,1,0.0,Cincinnati,2,0,,176,12,2.4,,0,,JR
rodriguez-moore-1,2014,,0,,0,0,1,0,,13.0,5-10,0,0,,0,Rodriguez Moore,,,0,,,,,rodriguez-moore-1,152,30,RB,0,,0,137,15.2,9,143,5,618,4.3,5,0.0,,2014,1,0.0,Cincinnati,1,5,,176,755,5.0,,0,,SR
rodriguez-moore-1,Career,,1,,0,0,1,0,,,5-10,0,0,,0,Rodriguez Moore,,,0,,,,,rodriguez-moore-1,157,30,RB,0,,0,136,13.6,10,147,5,631,4.3,5,0.0,,Career,2,0.0,Cincinnati,3,5,,176,767,4.9,,0,,
mike-boone-2,2014,,1,0,0,0,0,0,,9.0,5-10,0,0,0,0,Mike Boone,,0,0,,0,0,,mike-boone-2,107,54,RB,0,,0,62,10.3,6,101,9,650,6.4,9,0.0,,2014,1,0.0,Cincinnati,2,9,,205,712,6.7,,0,,FR
mike-boone-2,2015,,0,0,0,0,0,0,,11.0,5-10,0,0,0,0,Mike Boone,,0,0,,0,0,,mike-boone-2,119,54,RB,0,,0,108,7.2,15,104,9,749,7.2,9,0.0,,2015,1,0.0,Cincinnati,1,9,,205,857,7.2,,0,,SO
mike-boone-2,2016,,0,0,0,0,0,0,,9.0,5-10,0,0,0,0,Mike Boone,,0,0,,0,0,,mike-boone-2,125,12,RB,0,,0,249,12.5,20,105,2,388,3.7,2,0.0,,2016,0,0.0,Cincinnati,0,2,,205,637,5.1,,0,,JR
mike-boone-2,2017,4.0,0,1,0,0,0,0,,10.0,5-10,0,0,0,0,Mike Boone,,1,0,100.0,0,4,4.0,mike-boone-2,134,30,RB,0,133.6,1,177,7.4,24,110,4,463,4.2,5,0.0,,2017,0,0.0,Cincinnati,0,5,,205,640,4.8,,0,,SR
mike-boone-2,Career,4.0,1,1,0,0,0,0,,,5-10,0,0,0,0,Mike Boone,,1,0,100.0,0,4,4.0,mike-boone-2,485,150,RB,0,133.6,1,596,9.2,65,420,24,2250,5.4,25,0.0,,Career,2,0.0,Cincinnati,3,25,,205,2846,5.9,,0,,
tion-green-1,2012,,,,,,,,,7.0,6-0,,,,,Tion Green,,,,,,,,tion-green-1,16,6,RB,,,,,,,16,1,70,4.4,1,,,2012,,,Cincinnati,,1,,230,70,4.4,,,,
tion-green-1,2013,,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,6-0,0.0,0.0,0.0,0.0,Tion Green,,0.0,0.0,,0.0,0.0,,tion-green-1,93,42,RB,0.0,,0.0,12.0,6.0,2.0,91,7,412,4.5,7,0.0,,2013,0.0,0.0,Cincinnati,0.0,7,,230,424,4.6,,0.0,,SO
tion-green-1,2014,,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,6-0,0.0,0.0,0.0,0.0,Tion Green,,0.0,0.0,,0.0,0.0,,tion-green-1,31,6,RB,0.0,,0.0,15.0,5.0,3.0,28,1,118,4.2,1,0.0,,2014,0.0,0.0,Cincinnati,0.0,1,,230,133,4.3,,0.0,,JR
tion-green-1,2015,21.0,0.0,1.0,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,0.0,0.0,Tion Green,,1.0,0.0,100.0,1.0,1.0,1.0,tion-green-1,164,48,RB,0.0,438.4,0.0,101.0,7.8,13.0,151,8,729,4.8,8,0.0,,2015,0.0,0.0,Cincinnati,0.0,8,,230,830,5.1,,0.0,,JR
tion-green-1,2016,,1.0,0.0,0.0,0.0,0.0,0.0,,12.0,6-0,0.0,0.0,0.0,0.0,Tion Green,,0.0,0.0,,0.0,0.0,,tion-green-1,188,12,RB,0.0,,0.0,167.0,5.8,29.0,159,2,743,4.7,2,0.0,,2016,1.0,0.0,Cincinnati,2.0,2,,230,910,4.8,,0.0,,SR
tion-green-1,Career,21.0,1.0,1.0,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,0.0,0.0,Tion Green,,1.0,0.0,100.0,1.0,1.0,1.0,tion-green-1,492,114,RB,0.0,438.4,0.0,295.0,6.3,47.0,445,19,2072,4.7,19,0.0,,Career,1.0,0.0,Cincinnati,2.0,19,,230,2367,4.8,,0.0,,
hosey-williams-1,2013,,1,,0,0,0,0,,11.0,5-9,0,0,,0,Hosey Williams,,,0,,,,,hosey-williams-1,119,24,RB,0,,0,21,5.3,4,115,4,655,5.7,4,0.0,,2013,0,0.0,Cincinnati,1,4,,199,676,5.7,,0,,JR
hosey-williams-1,2014,,1,,0,0,0,0,,5.0,5-9,0,0,,0,Hosey Williams,,,0,,,,,hosey-williams-1,29,0,RB,0,,0,33,11.0,3,26,0,140,5.4,0,0.0,,2014,5,1.0,Cincinnati,6,0,,199,173,6.0,,0,,SR
hosey-williams-1,2015,,1,,0,0,0,0,,13.0,5-9,0,0,,0,Hosey Williams,,,0,,,,,hosey-williams-1,144,24,RB,0,,0,37,6.2,6,138,4,777,5.6,4,0.0,,2015,0,0.0,Cincinnati,1,4,,199,814,5.7,,0,,SR
hosey-williams-1,Career,,3,,0,0,0,0,,,5-9,0,0,,0,Hosey Williams,,,0,,,,,hosey-williams-1,292,48,RB,0,,0,91,7.0,13,279,8,1572,5.6,8,0.0,,Career,5,1.0,Cincinnati,8,8,,199,1663,5.7,,0,,
chad-banschbach-1,2014,,1,,,,0,0,,4.0,5-9,0,0,,,Chad Banschbach,,,0,,,,,chad-banschbach-1,17,,RB,,,0,0,,0,17,0,81,4.8,0,0.0,,2014,2,0.0,Cincinnati,3,,,203,81,4.8,,0,,FR
chad-banschbach-1,2015,,1,,,,0,0,,4.0,5-9,0,0,,,Chad Banschbach,,,0,,,,,chad-banschbach-1,20,,RB,,,0,16,16.0,1,19,0,72,3.8,0,0.0,,2015,1,0.0,Cincinnati,2,,,203,88,4.4,,0,,SO
chad-banschbach-1,2016,,0,,,,0,0,,6.0,5-9,0,0,,,Chad Banschbach,,,0,,,,,chad-banschbach-1,12,,RB,,,0,11,3.7,3,9,0,27,3.0,0,0.0,,2016,2,0.0,Cincinnati,2,,,203,38,3.2,,0,,JR
chad-banschbach-1,Career,,2,,,,0,0,,,5-9,0,0,,,Chad Banschbach,,,0,,,,,chad-banschbach-1,49,,RB,,,0,27,6.8,4,45,0,180,4.0,0,0.0,,Career,5,0.0,Cincinnati,7,,,203,207,4.2,,0,,
bobby-brown-3,2014,,1,,,,0,0,,4.0,6-0,0,0,,,Bobby Brown,,,0,,,,,bobby-brown-3,11,,RB,,,0,0,,0,11,0,80,7.3,0,0.0,,2014,2,0.0,Cincinnati,3,,,200,80,7.3,,0,,FR
bobby-brown-3,2015,,5,,,,0,0,,1.0,6-0,0,0,,,Bobby Brown,,,0,,,,,bobby-brown-3,0,,CB,,,0,0,,0,0,0,0,,0,0.0,,2015,1,0.0,Cincinnati,6,,,200,0,,,0,,SO
