,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
cole-stoudt-1,2011,5.5,0.0,12,,,0.0,0.0,,6.0,6-4,,,0,,Cole Stoudt,,21,0.0,57.1,0,115,5.5,cole-stoudt-1,5,0,QB,,103.1,,,,,5,0,-6,-1.2,0,0.0,,2011,0.0,0.0,Clemson,0.0,0,,210,-6,-1.2,,,,FR
cole-stoudt-1,2012,5.8,,27,,,,,,8.0,6-4,,,1,,Cole Stoudt,,39,,69.2,3,212,5.4,cole-stoudt-1,10,0,QB,,135.1,,,,,10,0,55,5.5,0,,,2012,,,Clemson,,0,,210,55,5.5,,,,SO
cole-stoudt-1,2013,8.7,1.0,47,0.0,0.0,0.0,0.0,,8.0,6-4,0.0,0.0,0,0.0,Cole Stoudt,,59,0.0,79.7,5,415,7.0,cole-stoudt-1,14,12,QB,0.0,166.7,0.0,0.0,,0.0,14,2,58,4.1,2,0.0,,2013,1.0,0.0,Clemson,2.0,2,,210,58,4.1,,0.0,,JR
cole-stoudt-1,2014,5.4,0.0,191,0.0,0.0,0.0,0.0,,13.0,6-4,0.0,0.0,10,0.0,Cole Stoudt,,302,0.0,63.2,9,1892,6.3,cole-stoudt-1,69,6,QB,0.0,119.1,0.0,0.0,,0.0,69,1,93,1.3,1,0.0,,2014,0.0,0.0,Clemson,0.0,1,,210,93,1.3,,0.0,,SR
cole-stoudt-1,Career,5.9,1.0,277,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,11,0.0,Cole Stoudt,,421,0.0,65.8,17,2634,6.3,cole-stoudt-1,98,18,QB,0.0,126.5,0.0,0.0,,0.0,98,3,200,2.0,3,0.0,,Career,1.0,0.0,Clemson,2.0,3,,210,200,2.0,,0.0,,
deshaun-watson-1,2014,12.1,1,93,0,0,0,0,,8.0,6-3,0,0,2,0,Deshaun Watson,,137,0,67.9,14,1466,10.7,deshaun-watson-1,63,30,QB,0,188.6,0,0,,0,63,5,200,3.2,5,1.0,,2014,4,2.0,Clemson,5,5,,215,200,3.2,,0,,FR
deshaun-watson-1,2015,8.6,0,333,0,0,0,0,,15.0,6-3,0,0,13,0,Deshaun Watson,,491,0,67.8,35,4109,8.4,deshaun-watson-1,207,72,QB,0,156.3,0,0,,0,207,12,1105,5.3,12,0.0,,2015,1,0.0,Clemson,1,12,,215,1105,5.3,,0,,SO
deshaun-watson-1,2016,8.0,0,388,0,0,0,0,,15.0,6-3,0,0,17,0,Deshaun Watson,,579,0,67.0,41,4593,7.9,deshaun-watson-1,165,54,QB,0,151.1,0,0,,0,165,9,629,3.8,9,0.0,,2016,0,0.0,Clemson,0,9,,215,629,3.8,,0,,JR
deshaun-watson-1,Career,8.7,1,814,0,0,0,0,,,6-3,0,0,32,0,Deshaun Watson,,1207,0,67.4,90,10168,8.4,deshaun-watson-1,435,156,QB,0,157.5,0,0,,0,435,26,1934,4.4,26,1.0,,Career,5,2.0,Clemson,6,26,,215,1934,4.4,,0,,
nick-schuessler-1,2013,3.0,,1,,,,,,1.0,6-3,,,0,,Nick Schuessler,,2,,50.0,0,6,3.0,nick-schuessler-1,1,,QB,,75.2,0,0,,0,1,0,5,5.0,0,,,2013,,,Clemson,,,,196,5,5.0,,,,FR
nick-schuessler-1,2014,5.9,,7,,,,,,5.0,6-3,,,0,,Nick Schuessler,,8,,87.5,0,47,5.9,nick-schuessler-1,7,,QB,,136.9,0,0,,0,7,0,-10,-1.4,0,,,2014,,,Clemson,,,,196,-10,-1.4,,,,SO
nick-schuessler-1,2015,5.7,,13,,,,,,5.0,6-3,,,1,,Nick Schuessler,,23,,56.5,0,177,7.7,nick-schuessler-1,6,,QB,,112.5,0,0,,0,6,0,-23,-3.8,0,,,2015,,,Clemson,,,,196,-23,-3.8,,,,JR
nick-schuessler-1,2016,11.9,,23,,,,,,5.0,6-3,,,0,,Nick Schuessler,,33,,69.7,3,334,10.1,nick-schuessler-1,9,,QB,,184.7,0,0,,0,9,0,31,3.4,0,,,2016,,,Clemson,,,,196,31,3.4,,,,SR
nick-schuessler-1,Career,8.8,,44,,,,,,,6-3,,,1,,Nick Schuessler,,66,,66.7,3,564,8.5,nick-schuessler-1,23,,QB,,150.4,0,0,,0,23,0,3,0.1,0,,,Career,,,Clemson,,,,196,3,0.1,,,,
david-olson-2,2014,-0.3,,1,,,,,,2.0,6-3,,,0,,David Olson,,3,,33.3,0,-1,-0.3,david-olson-2,,,QB,,30.5,,,,,,,,,,,,2014,,,Clemson,,,,220,,,,,,SR
david-olson-2,Career,-0.3,,1,,,,,,,6-3,,,0,,David Olson,,3,,33.3,0,-1,-0.3,david-olson-2,,,QB,,30.5,,,,,,,,,,,,Career,,,Clemson,,,,220,,,,,,
wayne-gallman-1,2014,,,,0,0,,,,13.0,6-0,,,,0,Wayne Gallman,,,,,,,,wayne-gallman-1,185,30,RB,0,,1,108,4.5,24,161,4,769,4.8,5,,,2014,,,Clemson,,5,,215,877,4.7,,,,FR
wayne-gallman-1,2015,,,,0,0,,,,14.0,6-0,,,,0,Wayne Gallman,,,,,,,,wayne-gallman-1,304,84,RB,0,,1,226,10.3,22,282,13,1514,5.4,14,,,2015,,,Clemson,,14,,215,1740,5.7,,,,SO
wayne-gallman-1,2016,,,,0,0,,,,15.0,6-0,,,,0,Wayne Gallman,,,,,,,,wayne-gallman-1,252,102,RB,0,,0,152,7.6,20,232,17,1133,4.9,17,,,2016,,,Clemson,,17,,215,1285,5.1,,,,JR
wayne-gallman-1,Career,,,,0,0,,,,,6-0,,,,0,Wayne Gallman,,,,,,,,wayne-gallman-1,741,216,RB,0,,2,486,7.4,66,675,34,3416,5.1,36,,,Career,,,Clemson,,36,,215,3902,5.3,,,,
cj-davidson-1,2012,,,,,,,,,2.0,5-10,,,,,C.J. Davidson,,,,,,,,cj-davidson-1,2,0,DB,,,,,,,2,0,5,2.5,0,,,2012,,,Clemson,,0,,200,5,2.5,,,,FR
cj-davidson-1,2013,,0.0,,0.0,0.0,0.0,0.0,,5.0,5-10,0.0,0.0,,0.0,C.J. Davidson,,,0.0,,,,,cj-davidson-1,39,24,RB,0.0,,0.0,40.0,8.0,5.0,34,4,155,4.6,4,0.0,,2013,1.0,0.0,Clemson,1.0,4,,200,195,5.0,,0.0,,SO
cj-davidson-1,2014,,0.0,,0.0,0.0,0.0,0.0,,11.0,5-10,0.0,0.0,,0.0,C.J. Davidson,,,0.0,,,,,cj-davidson-1,73,18,RB,0.0,,0.0,60.0,6.7,9.0,64,3,248,3.9,3,0.0,,2014,0.0,0.0,Clemson,0.0,3,,200,308,4.2,,0.0,,JR
cj-davidson-1,2015,,2.0,,0.0,0.0,0.0,0.0,,7.0,5-10,0.0,0.0,,0.0,C.J. Davidson,,,0.0,,,,,cj-davidson-1,22,0,RB,0.0,,0.0,0.0,,0.0,22,0,60,2.7,0,0.0,,2015,1.0,0.0,Clemson,3.0,0,,200,60,2.7,,0.0,,SR
cj-davidson-1,Career,,2.0,,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,,0.0,C.J. Davidson,,,0.0,,,,,cj-davidson-1,136,42,RB,0.0,,0.0,100.0,7.1,14.0,122,7,468,3.8,7,0.0,,Career,2.0,0.0,Clemson,4.0,7,,200,568,4.2,,0.0,,
adam-choice-1,2014,,0.0,,0.0,0.0,0.0,0.0,,6.0,5-9,0.0,0.0,,0.0,Adam Choice,,,0.0,,,,,adam-choice-1,59,6,RB,0.0,,0.0,90.0,10.0,9.0,50.0,1.0,218.0,4.4,1,0.0,,2014,1.0,0.0,Clemson,1.0,1,,210,308,5.2,,0.0,,FR
adam-choice-1,2015,,,,,,,,,,5-9,,,,,Adam Choice,,,,,,,,adam-choice-1,0,0,RB,,,,,,,,,,,0,,,2015,,,Clemson,,0,,210,0,,,,,SO
adam-choice-1,2016,,0.0,,0.0,0.0,0.0,0.0,,10.0,5-9,0.0,0.0,,0.0,Adam Choice,,,0.0,,,,,adam-choice-1,49,0,RB,0.0,,0.0,38.0,9.5,4.0,45.0,0.0,158.0,3.5,0,0.0,,2016,0.0,0.0,Clemson,0.0,0,,210,196,4.0,,0.0,,SO
adam-choice-1,2017,,0.0,,0.0,0.0,0.0,0.0,,12.0,5-9,0.0,0.0,,0.0,Adam Choice,,,0.0,,,,,adam-choice-1,75,36,RB,0.0,,0.0,48.0,6.0,8.0,67.0,6.0,326.0,4.9,6,0.0,,2017,0.0,0.0,Clemson,0.0,6,,210,374,5.0,,0.0,,JR
adam-choice-1,2018,,0.0,,0.0,0.0,0.0,0.0,,15.0,5-9,0.0,0.0,,0.0,Adam Choice,,,0.0,,,,,adam-choice-1,78,42,RB,0.0,,0.0,3.0,3.0,1.0,77.0,7.0,548.0,7.1,7,0.0,,2018,0.0,0.0,Clemson,0.0,7,,210,551,7.1,,0.0,,SR
adam-choice-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,5-9,0.0,0.0,,0.0,Adam Choice,,,0.0,,,,,adam-choice-1,261,84,RB,0.0,,0.0,179.0,8.1,22.0,239.0,14.0,1250.0,5.2,14,0.0,,Career,1.0,0.0,Clemson,1.0,14,,210,1429,5.5,,0.0,,
dj-howard-1,2011,,,,,,,,,12.0,6-0,,,,,D.J. Howard,,,,,,,,dj-howard-1,43,6,RB,,,0,2,1.0,2,41,1,230,5.6,1,,,2011,,,Clemson,,1,,195,232,5.4,,,,FR
dj-howard-1,2012,,,,,,,,,11.0,6-0,,,,,D.J. Howard,,,,,,,,dj-howard-1,36,12,RB,,,0,33,33.0,1,35,2,138,3.9,2,,,2012,,,Clemson,,2,,195,171,4.8,,,,SO
dj-howard-1,2013,,,,0.0,0.0,,,,11.0,6-0,,,,0.0,D.J. Howard,,,,,,,,dj-howard-1,65,18,RB,0.0,,1,123,15.4,8,57,2,213,3.7,3,,,2013,,,Clemson,,3,,195,336,5.2,,,,JR
dj-howard-1,2014,,,,0.0,0.0,,,,10.0,6-0,,,,0.0,D.J. Howard,,,,,,,,dj-howard-1,57,18,RB,0.0,,0,23,3.3,7,50,3,195,3.9,3,,,2014,,,Clemson,,3,,195,218,3.8,,,,SR
dj-howard-1,Career,,,,0.0,0.0,,,,,6-0,,,,0.0,D.J. Howard,,,,,,,,dj-howard-1,201,54,RB,0.0,,1,181,10.1,18,183,8,776,4.2,9,,,Career,,,Clemson,,9,,195,957,4.8,,,,
tyshon-dye-1,2014,,,,0,0,,,,4.0,5-11,,,,0,Tyshon Dye,,,,,,,,tyshon-dye-1,32,12,RB,0,,0,0,,0,32,2,151,4.7,2,,,2014,,,Clemson,,2,,220,151,4.7,,,,FR
tyshon-dye-1,2015,,,,0,0,,,,6.0,5-11,,,,0,Tyshon Dye,,,,,,,,tyshon-dye-1,23,12,RB,0,,0,0,,0,23,2,91,4.0,2,,,2015,,,Clemson,,2,,220,91,4.0,,,,SO
tyshon-dye-1,2016,,,,0,0,,,,6.0,5-11,,,,0,Tyshon Dye,,,,,,,,tyshon-dye-1,23,6,RB,0,,0,11,5.5,2,21,1,109,5.2,1,,,2016,,,Clemson,,1,,220,120,5.2,,,,JR
tyshon-dye-1,2017,,,,0,0,,,,7.0,5-11,,,,0,Tyshon Dye,,,,,,,,tyshon-dye-1,56,0,RB,0,,0,56,9.3,6,50,0,217,4.3,0,,,2017,,,East Carolina,,0,,220,273,4.9,,,,SR
tyshon-dye-1,Career,,,,0,0,,,,,5-11,,,,0,Tyshon Dye,,,,,,,,tyshon-dye-1,134,30,RB,0,,0,67,8.4,8,126,5,568,4.5,5,,,Career,,,Overall,,5,,220,635,4.7,,,,
kurt-fleming-1,2014,,,,,,,,,1.0,6-0,,,,,Kurt Fleming,,,,,,,,kurt-fleming-1,9,,RB,,,0,0,,0,9,0,49,5.4,0,,,2014,,,Clemson,,,,235,49,5.4,,,,FR
kurt-fleming-1,Career,,,,,,,,,,6-0,,,,,Kurt Fleming,,,,,,,,kurt-fleming-1,9,,RB,,,0,0,,0,9,0,49,5.4,0,,,Career,,,Clemson,,,,235,49,5.4,,,,
alex-goode-1,2014,,,,,,,,,1.0,5-9,,,,,Alex Goode,,,,,,,,alex-goode-1,6,,RB,,,0,0,,0,6,0,22,3.7,0,,,2014,,,Clemson,,,,200,22,3.7,,,,SR
alex-goode-1,Career,,,,,,,,,,5-9,,,,,Alex Goode,,,,,,,,alex-goode-1,6,,RB,,,0,0,,0,6,0,22,3.7,0,,,Career,,,Clemson,,,,200,22,3.7,,,,
artavis-scott-1,2014,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Artavis Scott,,,0,,,,,artavis-scott-1,82,48,WR,0,,8,965,12.7,76,6,0,18,3.0,8,0.0,,2014,0,0.0,Clemson,0,8,,190,983,12.0,,0,,FR
artavis-scott-1,2015,,0,,0,0,0,0,,15.0,5-10,0,0,,0,Artavis Scott,,,0,,,,,artavis-scott-1,99,42,WR,0,,6,901,9.7,93,6,1,20,3.3,7,0.0,,2015,0,0.0,Clemson,0,7,,190,921,9.3,,0,,SO
artavis-scott-1,2016,,1,,0,0,0,0,,15.0,5-10,0,0,,0,Artavis Scott,,,0,,,,,artavis-scott-1,82,30,WR,0,,5,614,8.1,76,6,0,11,1.8,5,0.0,,2016,3,0.0,Clemson,4,5,,190,625,7.6,,0,,JR
artavis-scott-1,Career,,1,,0,0,0,0,,,5-10,0,0,,0,Artavis Scott,,,0,,,,,artavis-scott-1,263,120,WR,0,,19,2480,10.1,245,18,1,49,2.7,20,0.0,,Career,3,0.0,Clemson,4,20,,190,2529,9.6,,0,,
adam-humphries-1,2011,,1,,,,0.0,0.0,,14.0,5-11,,,,,Adam Humphries,,,0.0,,,,,adam-humphries-1,17,0,WR,,,0,130,8.7,15,2,0,7,3.5,0,0.0,,2011,1,0.0,Clemson,2,0,,190,137,8.1,,,,FR
adam-humphries-1,2012,,0,,,,,,,13.0,5-11,,,,0.0,Adam Humphries,,,,,,,,adam-humphries-1,44,6,WR,0.0,,1,280,6.8,41,3,0,12,4.0,1,0.0,,2012,2,0.0,Clemson,2,1,,190,292,6.6,,,,SO
adam-humphries-1,2013,,0,,0.0,0.0,0.0,0.0,,12.0,5-11,0.0,0.0,,0.0,Adam Humphries,,,0.0,,,,,adam-humphries-1,41,12,WR,0.0,,2,483,11.8,41,0,0,0,,2,0.0,,2013,1,0.0,Clemson,1,2,,190,483,11.8,,0.0,,JR
adam-humphries-1,2014,,1,,0.0,0.0,0.0,0.0,,13.0,5-11,0.0,0.0,,0.0,Adam Humphries,,,0.0,,,,,adam-humphries-1,35,12,WR,1.0,,0,204,6.8,30,5,1,5,1.0,1,0.0,,2014,3,0.0,Clemson,4,2,,190,209,6.0,,0.0,,SR
adam-humphries-1,Career,,2,,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,,0.0,Adam Humphries,,,0.0,,,,,adam-humphries-1,137,30,WR,1.0,,3,1097,8.6,127,10,1,24,2.4,4,0.0,,Career,7,0.0,Clemson,9,5,,190,1121,8.2,,0.0,,
germone-hopper-1,2013,,0,,0,0,0,0,,8.0,6-0,0,0,,0,Germone Hopper,,,0,,,,,germone-hopper-1,24,12,WR,0,,2,149,6.5,23,1,0,5,5.0,2,0.0,,2013,2,0.0,Clemson,2,2,,180,154,6.4,,0,,FR
