,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
garrett-grayson-1,2011,4.1,,43,,,,,,4.0,6-2,,,6,,Garrett Grayson,,77,,55.8,2,542,7.0,garrett-grayson-1,47,6,QB,,108.0,,,,,47,1,193,4.1,1,,,2011,,,Colorado State,,1,,220,193,4.1,,,,FR
garrett-grayson-1,2012,6.9,,78,,,,,,6.0,6-2,,,3,,Garrett Grayson,,138,,56.5,7,946,6.9,garrett-grayson-1,39,6,QB,,126.5,,,,,39,1,17,0.4,1,,,2012,,,Colorado State,,1,,220,17,0.4,,,,SO
garrett-grayson-1,2013,7.7,,297,0.0,0.0,,,,14.0,6-2,,,11,0.0,Garrett Grayson,,478,,62.1,23,3696,7.7,garrett-grayson-1,71,12,QB,0.0,138.4,0.0,-8.0,-4.0,2.0,69,2,119,1.7,2,,,2013,,,Colorado State,,2,,220,111,1.6,,,,JR
garrett-grayson-1,2014,10.3,,270,0.0,0.0,,,,13.0,6-2,,,7,0.0,Garrett Grayson,,420,,64.3,32,4006,9.5,garrett-grayson-1,58,6,QB,0.0,166.2,1.0,39.0,39.0,1.0,57,0,-46,-0.8,1,,,2014,,,Colorado State,,1,,220,-7,-0.1,,,,SR
garrett-grayson-1,Career,8.3,,688,0.0,0.0,,,,,6-2,,,27,0.0,Garrett Grayson,,1113,,61.8,64,9190,8.3,garrett-grayson-1,215,30,QB,0.0,145.3,1.0,31.0,10.3,3.0,212,4,283,1.3,5,,,Career,,,Colorado State,,5,,220,314,1.5,,,,
nick-stevens-1,2014,6.2,0,15,0,0,0,0,,5.0,6-3,0,0,0,0,Nick Stevens,,25,0,60.0,1,136,5.4,nick-stevens-1,1,0,QB,0,118.9,0,0,,0,1,0,-16,-16.0,0,0.0,,2014,0,0.0,Colorado State,0,0,,215,-16,-16.0,,0,,FR
nick-stevens-1,2015,7.4,0,210,0,0,0,0,,13.0,6-3,0,0,12,0,Nick Stevens,,346,0,60.7,21,2678,7.7,nick-stevens-1,45,18,QB,0,138.8,0,0,,0,45,3,36,0.8,3,0.0,,2015,1,0.0,Colorado State,1,3,,215,36,0.8,,0,,SO
nick-stevens-1,2016,10.4,0,129,0,0,0,0,,10.0,6-3,0,0,5,0,Nick Stevens,,201,0,64.2,19,1936,9.6,nick-stevens-1,15,12,QB,0,171.3,0,0,,0,15,2,53,3.5,2,0.0,,2016,0,0.0,Colorado State,0,2,,215,53,3.5,,0,,JR
nick-stevens-1,2017,8.6,0,284,0,0,0,0,,13.0,6-3,0,0,10,0,Nick Stevens,,459,0,61.9,29,3804,8.3,nick-stevens-1,55,24,QB,0,148.0,0,-1,-1.0,1,54,4,123,2.3,4,0.0,,2017,0,0.0,Colorado State,0,4,,215,122,2.2,,0,,SR
nick-stevens-1,Career,8.5,0,638,0,0,0,0,,,6-3,0,0,27,0,Nick Stevens,,1031,0,61.9,70,8554,8.3,nick-stevens-1,116,54,QB,0,148.7,0,-1,-1.0,1,115,9,196,1.7,9,0.0,,Career,1,0.0,Colorado State,1,9,,215,195,1.7,,0,,
craig-leonard-1,2013,,0,,,,0,0,,1.0,6-4,0,0,,,Craig Leonard,,,0,,,,,craig-leonard-1,0,,QB,,,0,0,,0,0,0,0,,0,0.0,,2013,2,0.0,Colorado State,2,,,225,0,,,0,,FR
craig-leonard-1,2014,,0,,,,0,0,,1.0,6-4,0,0,,,Craig Leonard,,,0,,,,,craig-leonard-1,1,,QB,,,0,0,,0,1,0,9,9.0,0,0.0,,2014,0,0.0,Colorado State,0,,,225,9,9.0,,0,,SO
craig-leonard-1,2015,,0,,,,0,0,,4.0,6-4,0,0,,,Craig Leonard,,,0,,,,,craig-leonard-1,9,,QB,,,0,0,,0,9,0,43,4.8,0,0.0,,2015,0,0.0,Colorado State,0,,,225,43,4.8,,0,,JR
