,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
sefo-liufau-1,2013,6.6,0,149,0,0,0,0,,8.0,6-3,0,0,8,0,Sefo Liufau,,251,0,59.4,12,1779,7.1,sefo-liufau-1,41,0,QB,0,128.3,0,32,32.0,1,40,0,43,1.1,0,0.0,,2013,0,0.0,Colorado,0,0,,232,75,1.8,,0,,FR
sefo-liufau-1,2014,6.2,0,325,0,0,0,0,,12.0,6-3,0,0,15,0,Sefo Liufau,,498,0,65.3,28,3200,6.4,sefo-liufau-1,71,6,QB,0,131.8,1,24,12.0,2,69,0,136,2.0,1,0.0,,2014,3,0.0,Colorado,3,1,,232,160,2.3,,0,,SO
sefo-liufau-1,2015,6.7,0,213,0,0,0,0,,11.0,6-3,0,0,6,0,Sefo Liufau,,344,0,61.9,9,2401,7.0,sefo-liufau-1,109,30,QB,0,125.7,0,12,12.0,1,108,5,260,2.4,5,0.0,,2015,1,0.0,Colorado,1,5,,232,272,2.5,,0,,JR
sefo-liufau-1,2016,7.3,0,200,0,0,0,0,,12.0,6-3,0,0,6,0,Sefo Liufau,,319,0,62.7,11,2366,7.4,sefo-liufau-1,166,48,QB,0,132.6,0,14,14.0,1,165,8,494,3.0,8,0.0,,2016,1,0.0,Colorado,1,8,,232,508,3.1,,0,,SR
sefo-liufau-1,Career,6.6,0,887,0,0,0,0,,,6-3,0,0,35,0,Sefo Liufau,,1412,0,62.8,60,9746,6.9,sefo-liufau-1,387,84,QB,0,129.9,1,82,16.4,5,382,13,933,2.4,14,0.0,,Career,5,0.0,Colorado,5,14,,232,1015,2.6,,0,,
jordan-gehrke-1,2014,3.9,,20,0,0,,,,4.0,6-1,,,0,0,Jordan Gehrke,,44,,45.5,0,170,3.9,jordan-gehrke-1,11,6,QB,0,77.9,0,0,,0,11,1,15,1.4,1,,,2014,,,Colorado,,1,,200,15,1.4,,,,SO
jordan-gehrke-1,2015,3.8,,12,0,0,,,,3.0,6-1,,,1,0,Jordan Gehrke,,24,,50.0,1,116,4.8,jordan-gehrke-1,7,0,QB,0,96.0,0,0,,0,7,0,-19,-2.7,0,,,2015,,,Colorado,,0,,200,-19,-2.7,,,,JR
jordan-gehrke-1,2016,5.4,,4,0,0,,,,3.0,6-1,,,0,0,Jordan Gehrke,,7,,57.1,0,38,5.4,jordan-gehrke-1,1,0,QB,0,102.7,0,0,,0,1,0,23,23.0,0,,,2016,,,Colorado,,0,,200,23,23.0,,,,SR
jordan-gehrke-1,Career,4.0,,36,0,0,,,,,6-1,,,1,0,Jordan Gehrke,,75,,48.0,1,324,4.3,jordan-gehrke-1,19,6,QB,0,86.0,0,0,,0,19,1,19,1.0,1,,,Career,,,Colorado,,1,,200,19,1.0,,,,
tony-jones-7,2011,,0,,,,0.0,0.0,,12.0,5-7,,,,0,Tony Jones,,,0.0,,,,,tony-jones-7,105,24,RB,,,2,168,6.2,27,78,2,297,3.8,4,0.0,,2011,0,0.0,Colorado,0,4,,185,465,4.4,,,,FR
tony-jones-7,2012,0.0,0,0.0,,,,,,11.0,5-7,,,0.0,0,Tony Jones,,1.0,,0.0,0.0,0.0,0.0,tony-jones-7,89,18,RB,,0.0,0,146,5.6,26,63,3,320,5.1,3,0.0,,2012,1,0.0,Colorado,1,3,,185,466,5.2,,,,SO
tony-jones-7,2013,,1,0.0,0.0,0.0,0.0,0.0,,12.0,5-7,0.0,0.0,0.0,0,Tony Jones,,0.0,0.0,,0.0,0.0,,tony-jones-7,86,12,RB,0.0,,1,93,7.2,13,73,1,249,3.4,2,0.0,,2013,0,0.0,Colorado,1,2,,185,342,4.0,,0.0,,JR
tony-jones-7,2014,,1,0.0,0.0,0.0,0.0,0.0,,12.0,5-7,0.0,0.0,0.0,0,Tony Jones,,0.0,0.0,,0.0,0.0,,tony-jones-7,118,18,RB,0.0,,0,151,6.3,24,94,3,403,4.3,3,0.0,,2014,2,0.0,Colorado,3,3,,185,554,4.7,,0.0,,SR
tony-jones-7,Career,0.0,2,0.0,0.0,0.0,0.0,0.0,,,5-7,0.0,0.0,0.0,0,Tony Jones,,1.0,0.0,0.0,0.0,0.0,0.0,tony-jones-7,398,72,RB,0.0,0.0,3,558,6.2,90,308,9,1269,4.1,12,0.0,,Career,3,0.0,Colorado,5,12,,185,1827,4.6,,0.0,,
christian-powell-1,2012,,1,,,,,,,10.0,6-0,,,,0,Christian Powell,,,,,,,,christian-powell-1,165,42,RB,,,0,30,4.3,7,158,7,691,4.4,7,0.0,,2012,1,0.0,Colorado,2,7,,235,721,4.4,,,,FR
