,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
chandler-whitmer-1,2012,5.9,0,208,,,,,,12.0,6-0,,,16,,Chandler Whitmer,,361,,57.6,9,2664,7.4,chandler-whitmer-1,63,0,QB,,119.0,,,,,63,0,-161,-2.6,0,0.0,,2012,1,0.0,Connecticut,1,0,,192,-161,-2.6,,,,SO
chandler-whitmer-1,2013,5.6,0,71,0.0,0.0,0.0,0.0,,4.0,6-0,0.0,0.0,6,0.0,Chandler Whitmer,,129,0.0,55.0,5,896,6.9,chandler-whitmer-1,31,0,QB,0.0,116.9,0.0,0.0,,0.0,31,0,-141,-4.5,0,0.0,,2013,1,0.0,Connecticut,1,0,,192,-141,-4.5,,0.0,,JR
chandler-whitmer-1,2014,6.2,0,124,0.0,0.0,0.0,0.0,,12.0,6-0,0.0,0.0,8,0.0,Chandler Whitmer,,224,0.0,55.4,11,1522,6.8,chandler-whitmer-1,75,12,QB,0.0,121.5,0.0,0.0,,0.0,75,2,69,0.9,2,0.0,,2014,0,0.0,Connecticut,0,2,,192,69,0.9,,0.0,,SR
chandler-whitmer-1,Career,5.9,0,403,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,30,0.0,Chandler Whitmer,,714,0.0,56.4,25,5082,7.1,chandler-whitmer-1,169,12,QB,0.0,119.4,0.0,0.0,,0.0,169,2,-233,-1.4,2,0.0,,Career,2,0.0,Connecticut,2,2,,192,-233,-1.4,,0.0,,
tim-boyle-1,2013,2.0,0,59,,,0,0,,5.0,6-3,0,0,8,,Tim Boyle,,133,0,44.4,0,621,4.7,tim-boyle-1,27,,QB,,71.6,0,0,,0,27,0,-73,-2.7,0,0.0,,2013,1,0.0,Connecticut,1,,,224,-73,-2.7,,0,,FR
tim-boyle-1,2014,2.7,0,43,,,0,0,,9.0,6-3,0,0,3,,Tim Boyle,,82,0,52.4,1,335,4.1,tim-boyle-1,16,,QB,,83.5,0,0,,0,16,0,-42,-2.6,0,0.0,,2014,0,0.0,Connecticut,0,,,224,-42,-2.6,,0,,SO
tim-boyle-1,2015,3.2,0,31,,,0,0,,5.0,6-3,0,0,2,,Tim Boyle,,60,0,51.7,0,281,4.7,tim-boyle-1,6,,QB,,84.3,0,0,,0,6,0,-7,-1.2,0,0.0,,2015,2,0.0,Connecticut,2,,,224,-7,-1.2,,0,,JR
tim-boyle-1,Career,2.4,0,133,,,0,0,,,6-3,0,0,13,,Tim Boyle,,275,0,48.4,1,1237,4.5,tim-boyle-1,49,,QB,,77.9,0,0,,0,49,0,-122,-2.5,0,0.0,,Career,3,0.0,Connecticut,3,,,224,-122,-2.5,,0,,
casey-cochran-1,2013,7.6,,111,0,0,,,,8.0,6-1,,,4,0,Casey Cochran,,175,,63.4,11,1293,7.4,casey-cochran-1,10,6,QB,0,141.7,0,0,,0,10,1,-13,-1.3,1,,,2013,,,Connecticut,,1,,224,-13,-1.3,,,,FR
casey-cochran-1,2014,4.1,,17,0,0,,,,1.0,6-1,,,1,0,Casey Cochran,,31,,54.8,0,171,5.5,casey-cochran-1,1,0,QB,0,94.7,0,0,,0,1,0,-6,-6.0,0,,,2014,,,Connecticut,,0,,224,-6,-6.0,,,,SO
casey-cochran-1,Career,7.1,,128,0,0,,,,,6-1,,,5,0,Casey Cochran,,206,,62.1,11,1464,7.1,casey-cochran-1,11,6,QB,0,134.6,0,0,,0,11,1,-19,-1.7,1,,,Career,,,Connecticut,,1,,224,-19,-1.7,,,,
ron-johnson-8,2014,,1,0,0,0,0,0,,12.0,5-11,0,0,0,0,Ron Johnson,,0,0,,0,0,,ron-johnson-8,117,18,RB,0,,0,20,6.7,3,114,3,429,3.8,3,0.0,,2014,0,0.0,Connecticut,1,3,,220,449,3.8,,0,,FR
ron-johnson-8,2015,,0,0,0,0,0,0,,11.0,5-11,0,0,0,0,Ron Johnson,,0,0,,0,0,,ron-johnson-8,93,30,RB,0,,0,29,7.3,4,89,5,228,2.6,5,0.0,,2015,0,0.0,Connecticut,0,5,,220,257,2.8,,0,,SO
ron-johnson-8,2016,0.0,0,0,0,0,1,0,,12.0,5-11,0,0,0,0,Ron Johnson,,1,0,0.0,0,0,0.0,ron-johnson-8,80,24,RB,0,0.0,0,47,5.9,8,72,4,242,3.4,4,0.0,,2016,1,0.0,Connecticut,1,4,,220,289,3.6,,0,,JR
ron-johnson-8,Career,0.0,1,0,0,0,1,0,,,5-11,0,0,0,0,Ron Johnson,,1,0,0.0,0,0,0.0,ron-johnson-8,290,72,RB,0,0.0,0,96,6.4,15,275,12,899,3.3,12,0.0,,Career,1,0.0,Connecticut,2,12,,220,995,3.4,,0,,
max-delorenzo-1,2012,,,,,,,,,9.0,5-11,,,,,Max Delorenzo,,,,,,,,max-delorenzo-1,37,6,RB,1,,0,14,14.0,1,36,0,119,3.3,0,,,2012,,,Connecticut,,1,,216,133,3.6,,,,FR
max-delorenzo-1,2013,,0.0,,0.0,0.0,0.0,0.0,,12.0,5-11,0.0,0.0,,0.0,Max Delorenzo,,,0.0,,,,,max-delorenzo-1,107,30,RB,0,,0,69,8.6,8,99,5,349,3.5,5,0.0,,2013,0.0,0.0,Connecticut,0.0,5,,216,418,3.9,,0.0,,SO
