,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
anthony-boone-1,2011,5.2,0.0,30,,,0.0,0.0,,10.0,6-0,,,1,,Anthony Boone,,53,0.0,56.6,1,298,5.6,anthony-boone-1,45,24,QB,,106.3,0.0,21.0,21.0,1.0,44,4,129,2.9,4,0.0,,2011,0.0,0.0,Duke,0.0,4,,225,150,3.3,,,,FR
anthony-boone-1,2012,5.7,,49,,,,,,12.0,6-0,,,2,,Anthony Boone,,95,,51.6,5,531,5.6,anthony-boone-1,26,12,QB,,111.7,,,,,26,2,82,3.2,2,,,2012,,,Duke,,2,,225,82,3.2,,,,SO
anthony-boone-1,2013,6.0,0.0,206,0.0,0.0,0.0,0.0,,11.0,6-0,0.0,0.0,13,0.0,Anthony Boone,,322,0.0,64.0,13,2260,7.0,anthony-boone-1,66,30,QB,0.0,128.2,0.0,0.0,,0.0,66,5,214,3.2,5,0.0,,2013,0.0,0.0,Duke,0.0,5,,225,214,3.2,,0.0,,JR
anthony-boone-1,2014,6.0,0.0,255,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,8,0.0,Anthony Boone,,453,0.0,56.3,19,2700,6.0,anthony-boone-1,95,30,QB,0.0,116.7,0.0,-16.0,-16.0,1.0,94,5,375,4.0,5,0.0,,2014,1.0,0.0,Duke,1.0,5,,225,359,3.8,,0.0,,SR
anthony-boone-1,Career,5.9,0.0,540,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,24,0.0,Anthony Boone,,923,0.0,58.5,38,5789,6.3,anthony-boone-1,232,96,QB,0.0,119.6,0.0,5.0,2.5,2.0,230,16,800,3.5,16,0.0,,Career,1.0,0.0,Duke,1.0,16,,225,805,3.5,,0.0,,
thomas-sirk-1,2014,9.1,0,10,0,0,0,0,,12.0,6-4,0,0,0,0,Thomas Sirk,,14,0,71.4,3,67,4.8,thomas-sirk-1,47,48,QB,0,182.3,0,0,,0,47,8,238,5.1,8,0.0,,2014,0,0.0,Duke,0,8,,220,238,5.1,,0,,SO
thomas-sirk-1,2015,6.1,0,251,0,0,0,0,,12.0,6-4,0,0,8,0,Thomas Sirk,,427,0,58.8,16,2624,6.1,thomas-sirk-1,163,48,QB,0,119.0,0,0,,0,163,8,809,5.0,8,0.0,,2015,1,0.0,Duke,1,8,,220,809,5.0,,0,,JR
thomas-sirk-1,2017,6.0,0,132,0,0,0,0,,11.0,6-4,0,0,9,0,Thomas Sirk,,238,0,55.5,9,1655,7.0,thomas-sirk-1,67,18,QB,0,118.8,0,28,9.3,3,64,3,165,2.6,3,0.0,,2017,0,0.0,East Carolina,0,3,,220,193,2.9,,0,,SR
thomas-sirk-1,Career,6.1,0,393,0,0,0,0,,,6-4,0,0,17,0,Thomas Sirk,,679,0,57.9,28,4346,6.4,thomas-sirk-1,277,114,QB,0,120.2,0,28,9.3,3,274,19,1212,4.4,19,0.0,,Career,1,0.0,Overall,1,19,,220,1240,4.5,,0,,
parker-boehme-1,2013,,1,0,0,0,0,0,,1.0,6-2,0,0,0,0,Parker Boehme,,0,0,,0,0,,parker-boehme-1,0,0,QB,0,,0,0,,0,0,0,0,,0,0.0,,2013,0,0.0,Duke,1,0,,220,0,,,0,,FR
