,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
shane-carden-1,2012,7.6,0,273,,,,,,13.0,6-2,,,10,,Shane Carden,,413,,66.1,23,3116,7.5,shane-carden-1,85,48,QB,,143.0,,,,,85,8,74,0.9,8,0.0,,2012,1,0.0,East Carolina,1,8,,221,74,0.9,,,,SO
shane-carden-1,2013,7.9,0,387,0.0,0.0,0.0,0.0,1.0,13.0,6-2,0.0,0.0,10,0.0,Shane Carden,0.0,549,0.0,70.5,33,4139,7.5,shane-carden-1,91,72,QB,0.0,150.0,1.0,14.0,14.0,1.0,90,10,103,1.1,11,0.0,,2013,0,0.0,East Carolina,0,12,,221,117,1.3,,0.0,,JR
shane-carden-1,2014,7.9,1,392,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,10,0.0,Shane Carden,,617,0.0,63.5,30,4736,7.7,shane-carden-1,97,36,QB,0.0,140.8,0.0,0.0,0.0,1.0,96,6,76,0.8,6,0.0,,2014,0,0.0,East Carolina,1,6,,221,76,0.8,,0.0,,SR
shane-carden-1,Career,7.8,1,1052,0.0,0.0,0.0,0.0,1.0,,6-2,0.0,0.0,30,0.0,Shane Carden,0.0,1579,0.0,66.6,86,11991,7.6,shane-carden-1,273,156,QB,0.0,144.6,1.0,14.0,7.0,2.0,271,24,253,0.9,25,0.0,,Career,1,0.0,East Carolina,2,26,,221,267,1.0,,0.0,,
kurt-benkert-1,2014,1.3,,8.0,0.0,0.0,,,,3.0,6-4,,,1.0,0.0,Kurt Benkert,,10.0,,80.0,0.0,58.0,5.8,kurt-benkert-1,5,12,QB,0.0,108.7,0.0,0.0,,0.0,5.0,2.0,23.0,4.6,2,,,2014,,,East Carolina,,2,,215,23,4.6,,,,FR
kurt-benkert-1,2015,,,,,,,,,,6-4,,,,,Kurt Benkert,,,,,,,,kurt-benkert-1,0,0,QB,,,,,,,,,,,0,,,2015,,,East Carolina,,0,,215,0,,,,,SO
kurt-benkert-1,2016,6.1,,228.0,0.0,0.0,,,,11.0,6-4,,,11.0,0.0,Kurt Benkert,,406.0,,56.2,21.0,2552.0,6.3,kurt-benkert-1,60,0,QB,0.0,120.6,0.0,0.0,,0.0,60.0,0.0,-94.0,-1.6,0,,,2016,,,Virginia,,0,,215,-94,-1.6,,,,JR
kurt-benkert-1,2017,6.5,,298.0,0.0,0.0,,,,13.0,6-4,,,9.0,0.0,Kurt Benkert,,509.0,,58.5,25.0,3207.0,6.3,kurt-benkert-1,65,0,QB,0.0,124.1,0.0,0.0,,0.0,65.0,0.0,-63.0,-1.0,0,,,2017,,,Virginia,,25,,215,-63,-1.0,,,,SR
kurt-benkert-1,Career,6.3,,534.0,0.0,0.0,,,,,6-4,,,21.0,0.0,Kurt Benkert,,925.0,,57.7,46.0,5817.0,6.3,kurt-benkert-1,130,12,QB,0.0,122.4,0.0,0.0,,0.0,130.0,2.0,-134.0,-1.0,2,,,Career,,,Overall,,27,,215,-134,-1.0,,,,
jonathon-weymann-1,2013,,,,,,,,,1.0,6-0,,,,,Jonathon Weymann,,,,,,,,jonathon-weymann-1,1,,QB,,,0,2,2.0,1,0,0,0,,0,,,2013,,,East Carolina,,,,210,2,2.0,,,,SO
jonathon-weymann-1,2014,,,,,,,,,1.0,6-0,,,,,Jonathon Weymann,,,,,,,,jonathon-weymann-1,1,,QB,,,0,11,11.0,1,0,0,0,,0,,,2014,,,East Carolina,,,,210,11,11.0,,,,JR
jonathon-weymann-1,Career,,,,,,,,,,6-0,,,,,Jonathon Weymann,,,,,,,,jonathon-weymann-1,2,,QB,,,0,13,6.5,2,0,0,0,,0,,,Career,,,East Carolina,,,,210,13,6.5,,,,
breon-allen-1,2013,,0,,0,0,0,0,,9.0,5-8,0,0,,0,Breon Allen,,,0,,,,,breon-allen-1,71,18,RB,0,,0,130,14.4,9,62,3,311,5.0,3,0.0,,2013,0,0.0,East Carolina,0,3,,190,441,6.2,,0,,JR
breon-allen-1,2014,,0,,0,0,0,0,,12.0,5-8,0,0,,0,Breon Allen,,,0,,,,,breon-allen-1,169,54,RB,0,,1,289,8.3,35,134,8,869,6.5,9,0.0,,2014,1,0.0,East Carolina,1,9,,190,1158,6.9,,0,,SR
breon-allen-1,Career,,0,,0,0,0,0,,,5-8,0,0,,0,Breon Allen,,,0,,,,,breon-allen-1,240,72,RB,0,,1,419,9.5,44,196,11,1180,6.0,12,0.0,,Career,1,0.0,East Carolina,1,12,,190,1599,6.7,,0,,
chris-hairston-2,2013,,0,,0,0,0,0,,8.0,6-0,0,0,,0,Chris Hairston,,,0,,,,,chris-hairston-2,55,18,RB,0,,0,60,10.0,6,49,3,186,3.8,3,0.0,,2013,0,0.0,East Carolina,0,3,,205,246,4.5,,0,,SO
chris-hairston-2,2014,,0,,0,0,0,0,,11.0,6-0,0,0,,0,Chris Hairston,,,0,,,,,chris-hairston-2,85,12,RB,0,,0,31,5.2,6,79,2,528,6.7,2,0.0,,2014,0,0.0,East Carolina,0,2,,205,559,6.6,,0,,JR
chris-hairston-2,2015,,1,,0,0,0,0,,12.0,6-0,0,0,,0,Chris Hairston,,,0,,,,,chris-hairston-2,194,54,RB,0,,1,193,6.7,29,165,8,754,4.6,9,0.0,,2015,0,0.0,East Carolina,1,9,,205,947,4.9,,0,,SR
chris-hairston-2,Career,,1,,0,0,0,0,,,6-0,0,0,,0,Chris Hairston,,,0,,,,,chris-hairston-2,334,84,RB,0,,1,284,6.9,41,293,13,1468,5.0,14,0.0,,Career,0,0.0,East Carolina,1,14,,205,1752,5.2,,0,,
anthony-scott-2,2014,,,,0,0,,,,13.0,5-9,,,,0,Anthony Scott,,,,,,,,anthony-scott-2,60,18,RB,0,,0,22,4.4,5,55,3,268,4.9,3,,,2014,,,East Carolina,,3,,190,290,4.8,,,,FR
anthony-scott-2,2015,,,,0,0,,,,9.0,5-9,,,,0,Anthony Scott,,,,,,,,anthony-scott-2,54,6,RB,0,,0,23,5.8,4,50,1,225,4.5,1,,,2015,,,East Carolina,,1,,190,248,4.6,,,,SO
anthony-scott-2,2016,,,,0,0,,,,8.0,5-9,,,,0,Anthony Scott,,,,,,,,anthony-scott-2,102,30,RB,0,,3,164,7.1,23,79,2,384,4.9,5,,,2016,,,East Carolina,,5,,190,548,5.4,,,,JR
anthony-scott-2,2018,,,,0,0,,,,11.0,5-9,,,,0,Anthony Scott,,,,,,,,anthony-scott-2,119,18,RB,0,,0,95,5.9,16,103,3,405,3.9,3,,,2018,,,East Carolina,,3,,190,500,4.2,,,,SR
anthony-scott-2,Career,,,,0,0,,,,,5-9,,,,0,Anthony Scott,,,,,,,,anthony-scott-2,335,72,RB,0,,3,304,6.3,48,287,9,1282,4.5,12,,,Career,,,East Carolina,,12,,190,1586,4.7,,,,
marquez-grayson-1,2014,,0,,0,0,0,0,,10.0,6-1,0,0,,0,Marquez Grayson,,,0,,,,,marquez-grayson-1,50,36,RB,0,,1,9,3.0,3,47,5,289,6.1,6,0.0,,2014,0,0.0,East Carolina,0,6,,189,298,6.0,,0,,FR
marquez-grayson-1,2015,,0,,0,0,0,0,,3.0,6-1,0,0,,0,Marquez Grayson,,,0,,,,,marquez-grayson-1,13,0,RB,0,,0,0,,0,13,0,88,6.8,0,0.0,,2015,1,0.0,East Carolina,1,0,,189,88,6.8,,0,,SO
marquez-grayson-1,Career,,0,,0,0,0,0,,,6-1,0,0,,0,Marquez Grayson,,,0,,,,,marquez-grayson-1,63,36,RB,0,,1,9,3.0,3,60,5,377,6.3,6,0.0,,Career,1,0.0,East Carolina,1,6,,189,386,6.1,,0,,
cory-hunter-1,2013,,,,0.0,0.0,,,,3.0,5-10,,,,0.0,Cory Hunter,,,,,,,,cory-hunter-1,11,0,RB,0.0,,0.0,17.0,4.3,4.0,7.0,0.0,27.0,3.9,0,,,2013,,,East Carolina,,0,,200,44,4.0,,,,SO
cory-hunter-1,2014,,,,0.0,0.0,,,,5.0,5-10,,,,0.0,Cory Hunter,,,,,,,,cory-hunter-1,7,6,RB,0.0,,0.0,0.0,,0.0,7.0,1.0,18.0,2.6,1,,,2014,,,East Carolina,,1,,200,18,2.6,,,,JR
cory-hunter-1,2015,,,,,,,,,,5-10,,,,,Cory Hunter,,,,,,,,cory-hunter-1,0,0,RB,,,,,,,,,,,0,,,2015,,,East Carolina,,0,,200,0,,,,,SR
cory-hunter-1,Career,,,,0.0,0.0,,,,,5-10,,,,0.0,Cory Hunter,,,,,,,,cory-hunter-1,18,6,RB,0.0,,0.0,17.0,4.3,4.0,14.0,1.0,45.0,3.2,1,,,Career,,,East Carolina,,1,,200,62,3.4,,,,
terrell-green-1,2014,,0.0,,,,0.0,0.0,,1.0,6-4,0.0,0.0,,,Terrell Green,,,0.0,,,,,terrell-green-1,1,,RB,,,0.0,8.0,8.0,1.0,0.0,0.0,0.0,,0,0.0,,2014,0.0,0.0,East Carolina,0.0,,,208,8,8.0,,0.0,,FR
terrell-green-1,2015,,,,,,,,,,6-4,,,,,Terrell Green,,,,,,,,terrell-green-1,0,,WR,,,,,,,,,,,0,,,2015,,,East Carolina,,,,208,0,,,,,SO
terrell-green-1,2016,,0.0,,,,0.0,0.0,,4.0,6-4,0.0,0.0,,,Terrell Green,,,0.0,,,,,terrell-green-1,7,,WR,,,0.0,78.0,11.1,7.0,0.0,0.0,0.0,,0,0.0,,2016,0.0,0.0,East Carolina,0.0,,,208,78,11.1,,0.0,,SO
terrell-green-1,2017,,0.0,,,,0.0,0.0,,1.0,6-4,0.0,0.0,,,Terrell Green,,,0.0,,,,,terrell-green-1,1,,WR,,,0.0,0.0,,0.0,1.0,0.0,16.0,16.0,0,0.0,,2017,0.0,0.0,East Carolina,0.0,,,208,16,16.0,,0.0,,JR
terrell-green-1,2018,,0.0,,,,0.0,0.0,,10.0,6-4,0.0,0.0,,,Terrell Green,,,0.0,,,,,terrell-green-1,27,,WR,,,0.0,285.0,11.0,26.0,1.0,0.0,2.0,2.0,0,0.0,,2018,1.0,0.0,East Carolina,1.0,,,208,287,10.6,,0.0,,SR
terrell-green-1,Career,,0.0,,,,0.0,0.0,,,6-4,0.0,0.0,,,Terrell Green,,,0.0,,,,,terrell-green-1,36,,WR,,,0.0,371.0,10.9,34.0,2.0,0.0,18.0,9.0,0,0.0,,Career,1.0,0.0,East Carolina,1.0,,,208,389,10.8,,0.0,,
justin-hardy-1,2011,51.0,1,1,,,0.0,0.0,,10.0,6-0,,,0,,Justin Hardy,,1,0.0,100.0,0,51,51.0,justin-hardy-1,64,36,WR,,528.4,6,658,10.3,64,,,,,6,0.0,,2011,1,0.0,East Carolina,2,6,,188,658,10.3,,,,FR
justin-hardy-1,2012,0.0,0,0,,,,,,13.0,6-0,,,0,,Justin Hardy,,2,,0.0,0,0,0.0,justin-hardy-1,88,66,WR,0.0,0.0,11,1105,12.6,88,,,,,11,0.0,,2012,2,0.0,East Carolina,2,11,,188,1105,12.6,,,,SO
justin-hardy-1,2013,25.0,0,2,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,0,0.0,Justin Hardy,,3,0.0,66.7,1,55,18.3,justin-hardy-1,114,48,WR,0.0,330.7,8,1284,11.3,114,0.0,0.0,0.0,,8,0.0,,2013,0,0.0,East Carolina,0,8,,188,1284,11.3,,0.0,,JR
justin-hardy-1,2014,15.3,2,1,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,0,0.0,Justin Hardy,,4,0.0,25.0,1,41,10.3,justin-hardy-1,122,66,WR,0.0,193.6,10,1494,12.3,121,1.0,1.0,7.0,7.0,11,0.0,,2014,1,0.0,East Carolina,3,11,,188,1501,12.3,,0.0,,SR
justin-hardy-1,Career,18.7,3,4,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,0,0.0,Justin Hardy,,10,0.0,40.0,2,147,14.7,justin-hardy-1,388,216,WR,0.0,229.5,35,4541,11.7,387,1.0,1.0,7.0,7.0,36,0.0,,Career,4,0.0,East Carolina,7,36,,188,4548,11.7,,0.0,,
jimmy-williams-9,2013,,0,,0,0,0,0,,2.0,5-11,0,0,,0,Jimmy Williams,,,0,,,,,jimmy-williams-9,6,0,WR,0,,0,66,13.2,5,1,0,10,10.0,0,0.0,,2013,0,0.0,East Carolina,0,0,,198,76,12.7,,0,,FR
jimmy-williams-9,2014,,0,,0,0,0,0,,10.0,5-11,0,0,,0,Jimmy Williams,,,0,,,,,jimmy-williams-9,24,6,WR,0,,1,254,11.5,22,2,0,5,2.5,1,0.0,,2014,1,0.0,East Carolina,1,1,,198,259,10.8,,0,,SO
jimmy-williams-9,2015,,3,,0,0,1,0,,7.0,5-11,0,0,,0,Jimmy Williams,,,0,,,,,jimmy-williams-9,15,12,WR,0,,2,137,9.1,15,0,0,0,,2,0.0,,2015,8,0.0,East Carolina,11,2,,198,137,9.1,,0,,JR
jimmy-williams-9,2016,,0,,0,0,0,0,,12.0,5-11,0,0,,0,Jimmy Williams,,,0,,,,,jimmy-williams-9,45,48,WR,0,,8,818,18.2,45,0,0,0,,8,0.0,,2016,1,0.0,East Carolina,1,8,,198,818,18.2,,0,,SR
jimmy-williams-9,2017,,0,,0,0,0,0,,9.0,5-11,0,0,,0,Jimmy Williams,,,0,,,,,jimmy-williams-9,33,18,WR,0,,3,447,14.0,32,1,0,2,2.0,3,0.0,,2017,2,0.0,East Carolina,2,3,,198,449,13.6,,0,,SR
jimmy-williams-9,Career,,3,,0,0,1,0,,,5-11,0,0,,0,Jimmy Williams,,,0,,,,,jimmy-williams-9,123,84,WR,0,,14,1722,14.5,119,4,0,17,4.3,14,0.0,,Career,12,0.0,East Carolina,15,14,,198,1739,14.1,,0,,
quay-johnson-1,2014,,0,,0,0,0,0,,6.0,5-10,0,0,,0,Quay Johnson,,,0,,,,,quay-johnson-1,11,0,WR,0,,0,57,6.3,9,2,0,20,10.0,0,0.0,,2014,0,0.0,East Carolina,0,0,,184,77,7.0,,0,,FR
quay-johnson-1,2015,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Quay Johnson,,,0,,,,,quay-johnson-1,17,6,WR,0,,1,134,8.4,16,1,0,4,4.0,1,0.0,,2015,0,0.0,East Carolina,0,1,,184,138,8.1,,0,,SO
quay-johnson-1,2016,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Quay Johnson,,,0,,,,,quay-johnson-1,62,18,WR,0,,3,563,9.7,58,4,0,9,2.3,3,0.0,,2016,0,0.0,East Carolina,0,3,,184,572,9.2,,0,,JR
quay-johnson-1,2017,,0,,0,0,0,0,,10.0,5-10,0,0,,0,Quay Johnson,,,0,,,,,quay-johnson-1,50,18,WR,0,,3,464,9.9,47,3,0,3,1.0,3,0.0,,2017,1,0.0,East Carolina,1,3,,184,467,9.3,,0,,SR
quay-johnson-1,Career,,0,,0,0,0,0,,,5-10,0,0,,0,Quay Johnson,,,0,,,,,quay-johnson-1,140,42,WR,0,,7,1218,9.4,130,10,0,36,3.6,7,0.0,,Career,1,0.0,East Carolina,1,7,,184,1254,9.0,,0,,
cam-worthy-1,2013,34.0,0,1,0,0,0,0,,11.0,6-2,0,0,0,0,Cam Worthy,,1,0,100.0,1,14,14.0,cam-worthy-1,19,12,WR,0,547.6,2,295,15.5,19,0,0,0,,2,0.0,,2013,1,0.0,East Carolina,1,2,,220,295,15.5,,0,,JR
cam-worthy-1,2014,,0,0,0,0,0,0,,11.0,6-2,0,0,0,0,Cam Worthy,,0,0,,0,0,,cam-worthy-1,55,24,WR,0,,4,1016,18.5,55,0,0,0,,4,0.0,,2014,0,0.0,East Carolina,0,4,,220,1016,18.5,,0,,SR
cam-worthy-1,Career,34.0,0,1,0,0,0,0,,,6-2,0,0,0,0,Cam Worthy,,1,0,100.0,1,14,14.0,cam-worthy-1,74,36,WR,0,547.6,6,1311,17.7,74,0,0,0,,6,0.0,,Career,1,0.0,East Carolina,1,6,,220,1311,17.7,,0,,
davon-grayson-1,2013,,,,0,0,,,,5.0,6-2,,,,0,Davon Grayson,,,,,,,,davon-grayson-1,18,24,WR,0,,4,176,9.8,18,0,0,0,,4,,,2013,,,East Carolina,,4,,187,176,9.8,,,,FR
davon-grayson-1,2014,,,,0,0,,,,10.0,6-2,,,,0,Davon Grayson,,,,,,,,davon-grayson-1,25,0,WR,0,,0,257,10.3,25,0,0,0,,0,,,2014,,,East Carolina,,0,,187,257,10.3,,,,SO
davon-grayson-1,2015,,,,0,0,,,,11.0,6-2,,,,0,Davon Grayson,,,,,,,,davon-grayson-1,33,18,WR,0,,3,448,13.6,33,0,0,0,,3,,,2015,,,East Carolina,,3,,187,448,13.6,,,,JR
davon-grayson-1,2017,,,,0,0,,,,11.0,6-2,,,,0,Davon Grayson,,,,,,,,davon-grayson-1,65,36,WR,0,,6,886,15.0,59,6,0,40,6.7,6,,,2017,,,East Carolina,,6,,187,926,14.2,,,,SR
davon-grayson-1,Career,,,,0,0,,,,,6-2,,,,0,Davon Grayson,,,,,,,,davon-grayson-1,141,78,WR,0,,13,1767,13.1,135,6,0,40,6.7,13,,,Career,,,East Carolina,,13,,187,1807,12.8,,,,
bryce-williams-1,2013,,0,,0,0,0,0,,10.0,6-6,0,0,,0,Bryce Williams,,,0,,,,,bryce-williams-1,20,30,WR,0,,5,220,11.0,20,0,0,0,,5,0.0,,2013,0,0.0,East Carolina,0,5,,258,220,11.0,,0,,SO
bryce-williams-1,2014,,2,,0,0,0,0,,11.0,6-6,0,0,,0,Bryce Williams,,,0,,,,,bryce-williams-1,18,24,WR,0,,4,237,13.2,18,0,0,0,,4,0.0,,2014,0,0.0,East Carolina,2,4,,258,237,13.2,,0,,JR
bryce-williams-1,2015,,0,,0,0,0,0,,12.0,6-6,0,0,,0,Bryce Williams,,,0,,,,,bryce-williams-1,58,24,TE,0,,4,583,10.1,58,0,0,0,,4,0.0,,2015,2,0.0,East Carolina,2,4,,258,583,10.1,,0,,SR
bryce-williams-1,Career,,2,,0,0,0,0,,,6-6,0,0,,0,Bryce Williams,,,0,,,,,bryce-williams-1,96,78,TE,0,,13,1040,10.8,96,0,0,0,,13,0.0,,Career,2,0.0,East Carolina,4,13,,258,1040,10.8,,0,,
trevon-brown-1,2014,,0,,0,0,0,0,,8.0,6-2,0,0,,0,Trevon Brown,,,0,,,,,trevon-brown-1,14,24,WR,0,,4,264,18.9,14,0,0,0,,4,0.0,,2014,0,0.0,East Carolina,0,4,,211,264,18.9,,0,,FR
