,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
reggie-bell-1,2014,6.6,,105,0,0,,,,10.0,6-3,,,6,0,Reggie Bell,,184,,57.1,9,1297,7.0,reggie-bell-1,133,24,QB,0,125.9,0,0,,0,133,4,562,4.2,4,,,2014,,,Eastern Michigan,,4,,190,562,4.2,,,,FR
reggie-bell-1,2015,3.7,,35,0,0,,,,6.0,6-3,,,3,0,Reggie Bell,,59,,59.3,2,312,5.3,reggie-bell-1,40,0,QB,0,104.8,0,-4,-4.0,1,39,0,118,3.0,0,,,2015,,,Eastern Michigan,,0,,190,114,2.9,,,,SO
reggie-bell-1,Career,5.9,,140,0,0,,,,,6-3,,,9,0,Reggie Bell,,243,,57.6,11,1609,6.6,reggie-bell-1,173,24,QB,0,120.8,0,-4,-4.0,1,172,4,680,4.0,4,,,Career,,,Eastern Michigan,,4,,190,676,3.9,,,,
rob-bolden-1,2010,5.9,,112.0,,,,,,10.0,6-4,,,7.0,,Rob Bolden,,193.0,,58.0,5.0,1360.0,7.0,rob-bolden-1,30,6,QB,,118.5,,,,,30.0,1.0,-11.0,-0.4,1,,,2010,,,Penn State,,1,,209,-11,-0.4,,,,FR
rob-bolden-1,2011,3.0,,53.0,,,,,,10.0,6-4,,,7.0,,Rob Bolden,,135.0,,39.3,2.0,685.0,5.1,rob-bolden-1,29,0,QB,,76.4,,,,,29.0,0.0,38.0,1.3,0,,,2011,,,Penn State,,0,,209,38,1.3,,,,SO
rob-bolden-1,2013,,,,,,,,,0.0,6-4,,,,,Rob Bolden,,,,,,,,rob-bolden-1,0,0,QB,,,,,,,,,,,0,,,2013,,,LSU,,0,,209,0,,,,,
rob-bolden-1,2014,2.7,,41.0,0.0,0.0,,,,6.0,6-4,,,5.0,0.0,Rob Bolden,,95.0,,43.2,4.0,399.0,4.2,rob-bolden-1,57,0,QB,0.0,81.8,0.0,0.0,,0.0,57.0,0.0,84.0,1.5,0,,,2014,,,Eastern Michigan,,0,,209,84,1.5,,,,SR
rob-bolden-1,Career,4.3,,206.0,0.0,0.0,,,,,6-4,,,19.0,0.0,Rob Bolden,,423.0,,48.7,11.0,2444.0,5.8,rob-bolden-1,116,6,QB,0.0,96.8,0.0,0.0,,0.0,116.0,1.0,111.0,1.0,1,,,Career,,,Overall,,1,,209,111,1.0,,,,
brogan-roback-1,2013,4.3,0,49,0,0,0,0,,8.0,6-3,0,0,5,0,Brogan Roback,,116,0,42.2,4,640,5.5,brogan-roback-1,13,6,QB,0,91.3,0,0,,0,13,1,-15,-1.2,1,0.0,,2013,0,0.0,Eastern Michigan,0,1,,218,-15,-1.2,,0,,FR
brogan-roback-1,2014,3.0,0,21,0,0,0,0,,3.0,6-3,0,0,0,0,Brogan Roback,,41,0,51.2,0,125,3.0,brogan-roback-1,9,0,QB,0,76.8,0,8,8.0,1,8,0,15,1.9,0,0.0,,2014,0,0.0,Eastern Michigan,0,0,,218,23,2.6,,0,,SO
brogan-roback-1,2015,6.1,0,209,0,0,0,0,,12.0,6-3,0,0,11,0,Brogan Roback,,344,0,60.8,16,2275,6.6,brogan-roback-1,52,6,QB,0,125.3,0,0,,0,52,1,51,1.0,1,0.0,,2015,1,0.0,Eastern Michigan,1,1,,218,51,1.0,,0,,SO
