,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jaquez-johnson-1,2013,6.9,1,149,0,0,0,0,,11.0,6-1,0,0,8,0,Jaquez Johnson,,256,0,58.2,12,1876,7.3,jaquez-johnson-1,173,60,QB,0,129.0,0,34,34.0,1,172,10,772,4.5,10,0.0,,2013,1,0.0,Florida Atlantic,2,10,,225,806,4.7,,0,,SO
jaquez-johnson-1,2014,7.4,0,182,0,0,0,0,,11.0,6-1,0,0,5,0,Jaquez Johnson,,315,0,57.8,17,2215,7.0,jaquez-johnson-1,121,42,QB,0,131.5,0,0,0.0,1,120,7,513,4.3,7,0.0,,2014,0,0.0,Florida Atlantic,0,7,,225,513,4.2,,0,,JR
jaquez-johnson-1,2015,6.1,0,128,0,0,0,0,,10.0,6-1,0,0,7,0,Jaquez Johnson,,239,0,53.6,9,1586,6.6,jaquez-johnson-1,100,12,QB,0,115.9,0,0,,0,100,2,290,2.9,2,0.0,,2015,0,0.0,Florida Atlantic,0,2,,225,290,2.9,,0,,SR
jaquez-johnson-1,Career,6.8,1,459,0,0,0,0,,,6-1,0,0,20,0,Jaquez Johnson,,810,0,56.7,38,5677,7.0,jaquez-johnson-1,394,114,QB,0,126.1,0,34,17.0,2,392,19,1575,4.0,19,0.0,,Career,1,0.0,Florida Atlantic,2,19,,225,1609,4.1,,0,,
greg-hankerson-1,2013,4.4,,46,,,,,,7.0,6-0,,,3,,Greg Hankerson,,94,,48.9,3,484,5.1,greg-hankerson-1,25,,QB,,96.3,0,0,,0,25,0,82,3.3,0,,,2013,,,Florida Atlantic,,,,185,82,3.3,,,,FR
greg-hankerson-1,2014,3.8,,23,,,,,,7.0,6-0,,,0,,Greg Hankerson,,48,,47.9,1,163,3.4,greg-hankerson-1,15,,QB,,83.3,0,1,0.5,2,13,0,-7,-0.5,0,,,2014,,,Florida Atlantic,,,,185,-6,-0.4,,,,SO
greg-hankerson-1,Career,4.2,,69,,,,,,,6-0,,,3,,Greg Hankerson,,142,,48.6,4,647,4.6,greg-hankerson-1,40,,QB,,91.9,0,1,0.5,2,38,0,75,2.0,0,,,Career,,,Florida Atlantic,,,,185,76,1.9,,,,
andrew-matyk-1,2014,,,,,,,,,1.0,6-1,,,,,Andrew Matyk,,,,,,,,andrew-matyk-1,3,,QB,,,0.0,0.0,,0.0,3.0,0.0,11.0,3.7,0,,,2014,,,Florida Atlantic,,,,215,11,3.7,,,,FR
andrew-matyk-1,2015,,,,,,,,,,6-1,,,,,Andrew Matyk,,,,,,,,andrew-matyk-1,0,,LB,,,,,,,,,,,0,,,2015,,,Florida Atlantic,,,,215,0,,,,,SO
andrew-matyk-1,Career,,,,,,,,,,6-1,,,,,Andrew Matyk,,,,,,,,andrew-matyk-1,3,,LB,,,0.0,0.0,,0.0,3.0,0.0,11.0,3.7,0,,,Career,,,Florida Atlantic,,,,215,11,3.7,,,,
jay-warren-1,2013,,1,,0,0,0,0,,10.0,6-0,0,0,,0,Jay Warren,,,0,,,,,jay-warren-1,75,12,RB,0,,0,32,8.0,4,71,2,340,4.8,2,0.0,,2013,0,0.0,Florida Atlantic,1,2,,210,372,5.0,,0,,FR
jay-warren-1,2014,,0,,0,0,0,0,,9.0,6-0,0,0,,0,Jay Warren,,,0,,,,,jay-warren-1,125,12,RB,0,,0,26,6.5,4,121,2,571,4.7,2,0.0,,2014,1,0.0,Florida Atlantic,1,2,,210,597,4.8,,0,,SO
jay-warren-1,2015,,0,,0,0,0,0,,11.0,6-0,0,0,,0,Jay Warren,,,0,,,,,jay-warren-1,96,18,RB,0,,0,4,4.0,1,95,3,425,4.5,3,0.0,,2015,1,0.0,Florida Atlantic,1,3,,210,429,4.5,,0,,JR
jay-warren-1,2016,,0,,0,0,0,0,,4.0,6-0,0,0,,0,Jay Warren,,,0,,,,,jay-warren-1,7,6,RB,0,,0,0,,0,7,1,16,2.3,1,0.0,,2016,0,0.0,Florida Atlantic,0,1,,210,16,2.3,,0,,SR
jay-warren-1,Career,,1,,0,0,0,0,,,6-0,0,0,,0,Jay Warren,,,0,,,,,jay-warren-1,303,48,RB,0,,0,62,6.9,9,294,8,1352,4.6,8,0.0,,Career,2,0.0,Florida Atlantic,3,8,,210,1414,4.7,,0,,
tony-moore-2,2011,,,,,,,,,11.0,5-11,,,,0,Tony Moore,,,,,,,,tony-moore-2,4,0,RB,,,0,9,9.0,1,3,0,14,4.7,0,,,2011,,,Florida Atlantic,,0,,220,23,5.8,,,,FR
tony-moore-2,2013,,,,0.0,0.0,,,,5.0,5-11,,,,0,Tony Moore,,,,,,,,tony-moore-2,26,6,RB,0.0,,0,11,11.0,1,25,1,89,3.6,1,,,2013,,,Florida Atlantic,,1,,220,100,3.8,,,,JR
tony-moore-2,2014,,,,0.0,0.0,,,,11.0,5-11,,,,0,Tony Moore,,,,,,,,tony-moore-2,78,18,RB,0.0,,0,43,14.3,3,75,3,299,4.0,3,,,2014,,,Florida Atlantic,,3,,220,342,4.4,,,,SR
tony-moore-2,Career,,,,0.0,0.0,,,,,5-11,,,,0,Tony Moore,,,,,,,,tony-moore-2,108,24,RB,0.0,,0,63,12.6,5,103,4,402,3.9,4,,,Career,,,Florida Atlantic,,4,,220,465,4.3,,,,
greg-howell-1,2014,,0,,0,0,0,0,,3.0,6-1,0,0,,0,Greg Howell,,,0,,,,,greg-howell-1,50,6,RB,0,,0,0,,0,50,1,253,5.1,1,0.0,,2014,0,0.0,Florida Atlantic,0,1,,215,253,5.1,,0,,FR
greg-howell-1,2015,,0,,0,0,0,0,,12.0,6-1,0,0,,0,Greg Howell,,,0,,,,,greg-howell-1,138,18,RB,0,,0,54,10.8,5,133,3,598,4.5,3,0.0,,2015,0,0.0,Florida Atlantic,0,3,,215,652,4.7,,0,,SO
greg-howell-1,2016,,1,,0,0,0,0,,12.0,6-1,0,0,,0,Greg Howell,,,0,,,,,greg-howell-1,172,78,RB,0,,0,42,8.4,5,167,13,828,5.0,13,0.0,,2016,0,0.0,Florida Atlantic,1,13,,215,870,5.1,,0,,JR
greg-howell-1,2017,,0,,0,0,0,0,,12.0,6-1,0,0,,0,Greg Howell,,,0,,,,,greg-howell-1,112,30,RB,0,,0,0,,0,112,5,740,6.6,5,0.0,,2017,0,0.0,Florida Atlantic,0,5,,215,740,6.6,,0,,SR
greg-howell-1,Career,,1,,0,0,0,0,,,6-1,0,0,,0,Greg Howell,,,0,,,,,greg-howell-1,472,132,RB,0,,0,96,9.6,10,462,22,2419,5.2,22,0.0,,Career,0,0.0,Florida Atlantic,1,22,,215,2515,5.3,,0,,
jeremy-gaskins-1,2012,,1,,,,,,,8.0,5-10,,,,,Jeremy Gaskins,,,,,,,,jeremy-gaskins-1,0,,RB,,,,,,,,,,,0,0.0,,2012,2,0.0,Florida Atlantic,3,,,190,0,,,,,FR
jeremy-gaskins-1,2013,,1,,,,0.0,0.0,,4.0,5-10,0.0,0.0,,,Jeremy Gaskins,,,0.0,,,,,jeremy-gaskins-1,2,,RB,,,0.0,0.0,,0.0,2.0,0.0,-5.0,-2.5,0,0.0,,2013,2,0.0,Florida Atlantic,3,,,190,-5,-2.5,,0.0,,SO
jeremy-gaskins-1,2014,,0,,,,0.0,0.0,,4.0,5-10,0.0,0.0,,,Jeremy Gaskins,,,0.0,,,,,jeremy-gaskins-1,21,,RB,,,0.0,12.0,6.0,2.0,19.0,0.0,55.0,2.9,0,0.0,,2014,1,0.0,Florida Atlantic,1,,,190,67,3.2,,0.0,,JR
jeremy-gaskins-1,2015,,0,,,,0.0,0.0,,2.0,5-10,0.0,0.0,,,Jeremy Gaskins,,,0.0,,,,,jeremy-gaskins-1,3,,RB,,,0.0,6.0,6.0,1.0,2.0,0.0,5.0,2.5,0,0.0,,2015,0,0.0,Florida Atlantic,0,,,190,11,3.7,,0.0,,SR
jeremy-gaskins-1,Career,,2,,,,0.0,0.0,,,5-10,0.0,0.0,,,Jeremy Gaskins,,,0.0,,,,,jeremy-gaskins-1,26,,RB,,,0.0,18.0,6.0,3.0,23.0,0.0,55.0,2.4,0,0.0,,Career,5,0.0,Florida Atlantic,7,,,190,73,2.8,,0.0,,
martese-jackson-1,2012,,,,,,,,,8.0,5-6,,,,0,Martese Jackson,,,,,,,,martese-jackson-1,49,6,RB,,,0,12,6.0,2,47,1,224,4.8,1,,,2012,,,Florida Atlantic,,1,,185,236,4.8,,,,JR
martese-jackson-1,2013,,,,0.0,0.0,,,,2.0,5-6,,,,0,Martese Jackson,,,,,,,,martese-jackson-1,10,0,RB,0.0,,0,-3,-3.0,1,9,0,27,3.0,0,,,2013,,,Florida Atlantic,,0,,185,24,2.4,,,,SR
martese-jackson-1,2014,,,,0.0,0.0,,,,7.0,5-6,,,,0,Martese Jackson,,,,,,,,martese-jackson-1,16,0,RB,0.0,,0,29,14.5,2,14,0,29,2.1,0,,,2014,,,Florida Atlantic,,0,,185,58,3.6,,,,SR
martese-jackson-1,Career,,,,0.0,0.0,,,,,5-6,,,,0,Martese Jackson,,,,,,,,martese-jackson-1,75,6,RB,0.0,,0,38,7.6,5,70,1,280,4.0,1,,,Career,,,Florida Atlantic,,1,,185,318,4.2,,,,
henry-bussey-1,2014,,3,,0,0,0,0,,8.0,5-9,0,0,,0,Henry Bussey,,,0,,,,,henry-bussey-1,11,0,RB,0,,0,88,22.0,4,7,0,29,4.1,0,0.0,,2014,2,0.0,Florida Atlantic,5,0,,180,117,10.6,,0,,FR
henry-bussey-1,2015,,0,,0,0,0,0,,12.0,5-9,0,0,,0,Henry Bussey,,,1,,,,,henry-bussey-1,43,0,WR,0,,0,236,8.1,29,14,0,65,4.6,0,0.0,,2015,4,0.0,Florida Atlantic,4,0,,180,301,7.0,,0,,SO
henry-bussey-1,2016,,3,,0,0,0,0,,10.0,5-9,0,0,,0,Henry Bussey,,,0,,,,,henry-bussey-1,27,12,WR,0,,2,269,11.2,24,3,0,17,5.7,2,0.0,,2016,1,0.0,Florida Atlantic,4,2,,180,286,10.6,,0,,JR
