,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
alex-mcgough-1,2014,5.5,,138,0,0,,,,12.0,6-3,,,10,0,Alex McGough,,274,,50.4,14,1680,6.1,alex-mcgough-1,97,24,QB,0,111.4,0,0,,0,97,4,92,0.9,4,,,2014,,,Florida International,,4,,218,92,0.9,,,,FR
alex-mcgough-1,2015,6.6,,270,0,0,,,,12.0,6-3,,,8,0,Alex McGough,,420,,64.3,21,2722,6.5,alex-mcgough-1,88,18,QB,0,131.4,0,0,,0,88,3,95,1.1,3,,,2015,,,Florida International,,3,,218,95,1.1,,,,SO
alex-mcgough-1,2016,5.8,,167,0,0,,,,9.0,6-3,,,11,0,Alex McGough,,286,,58.4,13,1891,6.6,alex-mcgough-1,45,24,QB,0,121.2,0,0,,0,45,4,117,2.6,4,,,2016,,,Florida International,,4,,218,117,2.6,,,,JR
alex-mcgough-1,2017,7.8,,232,0,0,,,,13.0,6-3,,,8,0,Alex McGough,,355,,65.4,17,2798,7.9,alex-mcgough-1,78,30,QB,0,142.9,0,0,,0,78,5,231,3.0,5,,,2017,,,Florida International,,5,,218,231,3.0,,,,SR
alex-mcgough-1,Career,6.5,,807,0,0,,,,,6-3,,,37,0,Alex McGough,,1335,,60.4,65,9091,6.8,alex-mcgough-1,308,96,QB,0,128.2,0,0,,0,308,16,535,1.7,16,,,Career,,,Florida International,,16,,218,535,1.7,,,,
ej-hilliard-1,2012,6.3,,65,,,,,,6.0,6-3,,,3,,E.J. Hilliard,,94,,69.1,4,645,6.9,ej-hilliard-1,44,6,QB,,134.4,,,,,44,1,23,0.5,1,,,2012,,,Florida International,,1,,185,23,0.5,,,,FR
ej-hilliard-1,2013,5.0,,77,0.0,0.0,,,,10.0,6-3,,,4,0.0,E.J. Hilliard,,132,,58.3,3,775,5.9,ej-hilliard-1,49,0,QB,0.0,109.1,0.0,0.0,,0.0,49,0,-83,-1.7,0,,,2013,,,Florida International,,0,,185,-83,-1.7,,,,SO
ej-hilliard-1,2014,7.4,,33,0.0,0.0,,,,6.0,6-3,,,0,0.0,E.J. Hilliard,,48,,68.8,1,336,7.0,ej-hilliard-1,29,0,QB,0.0,134.4,0.0,0.0,,0.0,29,0,6,0.2,0,,,2014,,,Florida International,,0,,185,6,0.2,,,,JR
ej-hilliard-1,Career,5.8,,175,0.0,0.0,,,,,6-3,,,7,0.0,E.J. Hilliard,,274,,63.9,8,1756,6.4,ej-hilliard-1,122,6,QB,0.0,122.2,0.0,0.0,,0.0,122,1,-54,-0.4,1,,,Career,,,Florida International,,1,,185,-54,-0.4,,,,
akil-dan-fodio-1,2012,,,,,,,,,7.0,6-4,,,,,Akil Dan-Fodio,,,,,,,,akil-dan-fodio-1,8,,TE,,,0,88,11.0,8,,,,,0,,,2012,,,Florida International,,,,225,88,11.0,,,,FR
akil-dan-fodio-1,2014,,0.0,,,,0.0,0.0,,6.0,6-4,0.0,0.0,,,Akil Dan-Fodio,,,0.0,,,,,akil-dan-fodio-1,9,,QB,,,0,65,7.2,9,0.0,0.0,0.0,,0,0.0,,2014,4.0,0.0,Florida International,4.0,,,225,65,7.2,,0.0,,JR
akil-dan-fodio-1,2015,,1.0,,,,0.0,0.0,,7.0,6-4,0.0,0.0,,,Akil Dan-Fodio,,,0.0,,,,,akil-dan-fodio-1,21,,TE,,,0,238,11.3,21,0.0,0.0,0.0,,0,0.0,,2015,0.0,0.0,Florida International,1.0,,,225,238,11.3,,0.0,,SR
akil-dan-fodio-1,Career,,1.0,,,,0.0,0.0,,,6-4,0.0,0.0,,,Akil Dan-Fodio,,,0.0,,,,,akil-dan-fodio-1,38,,TE,,,0,391,10.3,38,0.0,0.0,0.0,,0,0.0,,Career,4.0,0.0,Florida International,5.0,,,225,391,10.3,,0.0,,
luke-medlock-1,2014,,0,,,,0,0,,1.0,6-1,0,0,,,Luke Medlock,,,0,,,,,luke-medlock-1,,,QB,,,,,,,,,,,,0.0,,2014,2,0.0,Florida International,2,,,210,,,,0,,FR
luke-medlock-1,Career,,0,,,,0,0,,,6-1,0,0,,,Luke Medlock,,,0,,,,,luke-medlock-1,,,QB,,,,,,,,,,,,0.0,,Career,2,0.0,Florida International,2,,,210,,,,0,,
alex-gardner-2,2014,,0,,0,0,0,0,,8.0,5-10,0,0,,0,Alex Gardner,,,0,,,,,alex-gardner-2,145,6,RB,0,,0,48,6.0,8,137,1,582,4.2,1,0.0,,2014,0,0.0,Florida International,0,1,,192,630,4.3,,0,,FR
alex-gardner-2,2015,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Alex Gardner,,,0,,,,,alex-gardner-2,246,60,RB,0,,1,442,7.4,60,186,9,760,4.1,10,0.0,,2015,1,0.0,Florida International,1,10,,192,1202,4.9,,0,,SO
alex-gardner-2,2016,,0,,0,0,0,0,,12.0,5-10,0,0,,0,Alex Gardner,,,0,,,,,alex-gardner-2,211,36,RB,0,,0,191,6.4,30,181,6,930,5.1,6,0.0,,2016,0,0.0,Florida International,0,6,,192,1121,5.3,,0,,JR
alex-gardner-2,2017,,0,,0,0,0,0,,13.0,5-10,0,0,,0,Alex Gardner,,,0,,,,,alex-gardner-2,198,36,RB,0,,0,70,4.1,17,181,6,791,4.4,6,0.0,,2017,1,0.0,Florida International,1,6,,192,861,4.3,,0,,SR
alex-gardner-2,Career,,0,,0,0,0,0,,,5-10,0,0,,0,Alex Gardner,,,0,,,,,alex-gardner-2,800,138,RB,0,,1,751,6.5,115,685,22,3063,4.5,23,0.0,,Career,2,0.0,Florida International,2,23,,192,3814,4.8,,0,,
anthon-samuel-2,2014,,,,0,0,,,,11.0,5-11,,,,0,Anthon Samuel,,,,,,,,anthon-samuel-2,133,30,RB,0,,0,3,3.0,1,132,5,582,4.4,5,,,2014,,,Florida International,,5,,200,585,4.4,,,,JR
anthon-samuel-2,2015,,,,0,0,,,,8.0,5-11,,,,0,Anthon Samuel,,,,,,,,anthon-samuel-2,36,6,RB,0,,0,16,4.0,4,32,1,104,3.3,1,,,2015,,,Florida International,,1,,200,120,3.3,,,,SR
anthon-samuel-2,Career,,,,0,0,,,,,5-11,,,,0,Anthon Samuel,,,,,,,,anthon-samuel-2,169,36,RB,0,,0,19,3.8,5,164,6,686,4.2,6,,,Career,,,Florida International,,6,,200,705,4.2,,,,
napoleon-maxwell-1,2014,,0.0,,0.0,0.0,0.0,0.0,,6.0,6-0,0.0,0.0,,0.0,Napoleon Maxwell,,,0.0,,,,,napoleon-maxwell-1,59,12,RB,0.0,,1.0,90.0,22.5,4.0,55.0,1.0,254.0,4.6,2,0.0,,2014,0.0,0.0,Florida International,0.0,2,,215,344,5.8,,0.0,,FR
napoleon-maxwell-1,2015,,,,,,,,,,6-0,,,,,Napoleon Maxwell,,,,,,,,napoleon-maxwell-1,0,0,RB,,,,,,,,,,,0,,,2015,,,Florida International,,0,,215,0,,,,,SO
napoleon-maxwell-1,2017,,0.0,,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,,0.0,Napoleon Maxwell,,,0.0,,,,,napoleon-maxwell-1,85,30,RB,0.0,,0.0,11.0,2.8,4.0,81.0,5.0,477.0,5.9,5,0.0,,2017,0.0,0.0,Florida International,0.0,5,,215,488,5.7,,0.0,,JR
napoleon-maxwell-1,2018,,0.0,,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,,0.0,Napoleon Maxwell,,,0.0,,,,,napoleon-maxwell-1,137,42,RB,0.0,,0.0,38.0,4.2,9.0,128.0,7.0,684.0,5.3,7,0.0,,2018,1.0,0.0,Florida International,1.0,7,,215,722,5.3,,0.0,,SR
napoleon-maxwell-1,2019,,0.0,,0.0,0.0,0.0,0.0,,13.0,6-0,0.0,0.0,,0.0,Napoleon Maxwell,,,0.0,,,,,napoleon-maxwell-1,141,54,RB,0.0,,0.0,94.0,7.2,13.0,128.0,9.0,675.0,5.3,9,0.0,,2019,0.0,0.0,Florida International,0.0,9,,215,769,5.5,,0.0,,SR
napoleon-maxwell-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,,0.0,Napoleon Maxwell,,,0.0,,,,,napoleon-maxwell-1,422,138,RB,0.0,,1.0,233.0,7.8,30.0,392.0,22.0,2090.0,5.3,23,0.0,,Career,1.0,0.0,Florida International,1.0,23,,215,2323,5.5,,0.0,,
lamarq-caldwell-1,2012,,0,,,,,,,9.0,6-0,,,,0,Lamarq Caldwell,,,,,,,,lamarq-caldwell-1,0,0,RB,,,,,,,,,,,0,0.0,,2012,1,0.0,Florida International,1,0,,223,0,,,,,FR
lamarq-caldwell-1,2013,36.0,0,1.0,0.0,0.0,0.0,0.0,,12.0,6-0,0.0,0.0,0.0,0,Lamarq Caldwell,,1.0,0.0,100.0,1.0,16.0,16.0,lamarq-caldwell-1,157,12,RB,0.0,564.4,1.0,104.0,8.0,13.0,144.0,1.0,504.0,3.5,2,0.0,,2013,0,0.0,Florida International,0,2,,223,608,3.9,,0.0,,SO
lamarq-caldwell-1,2014,,1,0.0,0.0,0.0,0.0,0.0,,6.0,6-0,0.0,0.0,0.0,0,Lamarq Caldwell,,0.0,0.0,,0.0,0.0,,lamarq-caldwell-1,22,0,RB,0.0,,0.0,1.0,0.5,2.0,20.0,0.0,53.0,2.7,0,0.0,,2014,0,0.0,Florida International,1,0,,223,54,2.5,,0.0,,JR
lamarq-caldwell-1,2015,,3,0.0,0.0,0.0,0.0,0.0,,7.0,6-0,0.0,0.0,0.0,0,Lamarq Caldwell,,0.0,0.0,,0.0,0.0,,lamarq-caldwell-1,9,0,RB,0.0,,0.0,0.0,,0.0,9.0,0.0,31.0,3.4,0,0.0,,2015,4,0.0,Florida International,7,0,,223,31,3.4,,0.0,,SR
lamarq-caldwell-1,Career,36.0,4,1.0,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,0.0,0,Lamarq Caldwell,,1.0,0.0,100.0,1.0,16.0,16.0,lamarq-caldwell-1,188,12,RB,0.0,564.4,1.0,105.0,7.0,15.0,173.0,1.0,588.0,3.4,2,0.0,,Career,5,0.0,Florida International,9,2,,223,693,3.7,,0.0,,
