,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jameis-winston-1,2013,11.5,0,257,0,0,0,0,,14.0,6-4,0,0,10,0,Jameis Winston,,384,0,66.9,40,4057,10.6,jameis-winston-1,88,24,QB,0,184.8,0,0,,0,88,4,219,2.5,4,0.0,,2013,0,0.0,Florida State,0,4,,230,219,2.5,,0,,FR
jameis-winston-1,2014,7.7,0,305,0,0,1,0,,13.0,6-4,0,0,18,0,Jameis Winston,,467,0,65.3,25,3907,8.4,jameis-winston-1,57,18,QB,0,145.5,0,0,,0,57,3,65,1.1,3,0.0,,2014,1,0.0,Florida State,1,3,,230,65,1.1,,0,,SO
jameis-winston-1,Career,9.4,0,562,0,0,1,0,,,6-4,0,0,28,0,Jameis Winston,,851,0,66.0,65,7964,9.4,jameis-winston-1,145,42,QB,0,163.3,0,0,,0,145,7,284,2.0,7,0.0,,Career,1,0.0,Florida State,1,7,,230,284,2.0,,0,,
sean-maguire-1,2013,3.1,,13,,,,,,4.0,6-3,,,2,,Sean Maguire,,21,,61.9,2,116,5.5,sean-maguire-1,2,,QB,,120.7,0,0,,0,2,0,-1,-0.5,0,,,2013,,,Florida State,,,,232,-1,-0.5,,,,FR
sean-maguire-1,2014,5.5,,25,,,,,,4.0,6-3,,,2,,Sean Maguire,,49,,51.0,1,339,6.9,sean-maguire-1,8,,QB,,107.7,0,0,,0,8,0,-49,-6.1,0,,,2014,,,Florida State,,,,232,-49,-6.1,,,,SO
sean-maguire-1,2015,7.8,,112,,,,,,8.0,6-3,,,6,,Sean Maguire,,189,,59.3,11,1520,8.0,sean-maguire-1,7,,QB,,139.7,0,0,,0,7,0,-71,-10.1,0,,,2015,,,Florida State,,,,232,-71,-10.1,,,,JR
sean-maguire-1,2016,4.9,,7,,,,,,3.0,6-3,,,1,,Sean Maguire,,12,,58.3,2,64,5.3,sean-maguire-1,1,,QB,,141.5,0,0,,0,1,0,-10,-10.0,0,,,2016,,,Florida State,,,,232,-10,-10.0,,,,SR
sean-maguire-1,Career,6.9,,157,,,,,,,6-3,,,11,,Sean Maguire,,271,,57.9,16,2039,7.5,sean-maguire-1,18,,QB,,132.5,0,0,,0,18,0,-131,-7.3,0,,,Career,,,Florida State,,,,232,-131,-7.3,,,,
dalvin-cook-1,2014,,2,,0,0,0,0,,13.0,5-11,0,0,,0,Dalvin Cook,,,0,,,,,dalvin-cook-1,192,48,RB,0,,0,203,9.2,22,170,8,1008,5.9,8,0.0,,2014,0,0.0,Florida State,2,8,,213,1211,6.3,,0,,FR
dalvin-cook-1,2015,,1,,0,0,0,0,,12.0,5-11,0,0,,0,Dalvin Cook,,,0,,,,,dalvin-cook-1,253,120,RB,0,,1,244,10.2,24,229,19,1691,7.4,20,0.0,,2015,3,0.0,Florida State,4,20,,213,1935,7.6,,0,,SO
