,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jeff-driskel-1,2011,1.7,0,16,,,0.0,0.0,,5.0,6-4,,,2,,Jeff Driskel,,34,0.0,47.1,0,148,4.4,jeff-driskel-1,16,0,QB,,71.9,,,,,16,0,18,1.1,0,0.0,,2011,0,0.0,Florida,0,0,,231,18,1.1,,,,FR
jeff-driskel-1,2012,6.8,0,156,,,,,,12.0,6-4,,,5,,Jeff Driskel,,245,,63.7,12,1646,6.7,jeff-driskel-1,118,24,QB,,132.2,,,,,118,4,413,3.5,4,0.0,,2012,2,0.0,Florida,2,4,,231,413,3.5,,,,SO
jeff-driskel-1,2013,6.3,0,42,0.0,0.0,0.0,0.0,,3.0,6-4,0.0,0.0,3,0.0,Jeff Driskel,,61,0.0,68.9,2,477,7.8,jeff-driskel-1,17,6,QB,0.0,135.5,0.0,0.0,,0.0,17,1,38,2.2,1,0.0,,2013,0,0.0,Florida,0,1,,231,38,2.2,,0.0,,JR
jeff-driskel-1,2014,4.1,0,114,0.0,0.0,0.0,0.0,,9.0,6-4,0.0,0.0,10,0.0,Jeff Driskel,,212,0.0,53.8,9,1140,5.4,jeff-driskel-1,69,24,QB,0.0,103.5,0.0,0.0,,0.0,69,4,180,2.6,4,0.0,,2014,0,0.0,Florida,0,4,,231,180,2.6,,0.0,,JR
jeff-driskel-1,2015,9.4,0,279,0.0,0.0,0.0,0.0,,13.0,6-4,0.0,0.0,8,0.0,Jeff Driskel,,448,0.0,62.3,27,4026,9.0,jeff-driskel-1,92,30,QB,0.0,154.1,0.0,0.0,,0.0,92,5,323,3.5,5,0.0,,2015,0,0.0,Louisiana Tech,0,5,,231,323,3.5,,0.0,,SR
jeff-driskel-1,Career,7.2,0,607,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,28,0.0,Jeff Driskel,,1000,0.0,60.7,50,7437,7.4,jeff-driskel-1,312,84,QB,0.0,134.1,0.0,0.0,,0.0,312,14,972,3.1,14,0.0,,Career,2,0.0,Overall,2,14,,231,972,3.1,,0.0,,
treon-harris-1,2014,9.2,,55,0,0,,,,9.0,5-11,,,4,0,Treon Harris,,111,,49.5,9,1019,9.2,treon-harris-1,75,18,QB,0,146.2,0,0,,0,75,3,332,4.4,3,,,2014,,,Florida,,3,,195,332,4.4,,,,FR
treon-harris-1,2015,6.7,,119,0,0,,,,11.0,5-11,,,6,0,Treon Harris,,235,,50.6,9,1676,7.1,treon-harris-1,97,6,QB,0,118.1,1,-5,-2.5,2,95,0,244,2.6,1,,,2015,,,Florida,,1,,195,239,2.5,,,,SO
treon-harris-1,Career,7.5,,174,0,0,,,,,5-11,,,10,0,Treon Harris,,346,,50.3,18,2695,7.8,treon-harris-1,172,24,QB,0,127.1,1,-5,-2.5,2,170,3,576,3.4,4,,,Career,,,Florida,,4,,195,571,3.3,,,,
christian-provancha-1,2014,,,,,,,,,1.0,6-6,,,,,Christian Provancha,,,,,,,,christian-provancha-1,1,,QB,,,0,0,,0,1,0,0,0.0,0,,,2014,,,Florida,,,,219,0,0.0,,,,SR
christian-provancha-1,Career,,,,,,,,,,6-6,,,,,Christian Provancha,,,,,,,,christian-provancha-1,1,,QB,,,0,0,,0,1,0,0,0.0,0,,,Career,,,Florida,,,,219,0,0.0,,,,
matt-jones-3,2012,,,,,,,,,12.0,6-2,,,,,Matt Jones,,,,,,,,matt-jones-3,55,18,RB,,,0,10,3.3,3,52,3,275,5.3,3,,,2012,,,Florida,,3,,235,285,5.2,,,,FR
matt-jones-3,2013,,0.0,,0.0,0.0,0.0,0.0,,5.0,6-2,0.0,0.0,,0.0,Matt Jones,,,0.0,,,,,matt-jones-3,84,12,RB,0.0,,0,25,5.0,5,79,2,339,4.3,2,0.0,,2013,0.0,0.0,Florida,0.0,2,,235,364,4.3,,0.0,,SO
