,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
brian-burrell-1,2013,4.3,0,7,0,0,0,0,,5.0,6-4,0,0,0,0,Brian Burrell,,12,0,58.3,0,51,4.3,brian-burrell-1,5,6,QB,0,94.0,0,0,,0,5,1,10,2.0,1,0.0,,2013,0,0.0,Fresno State,0,1,,221,10,2.0,,0,,JR
brian-burrell-1,2014,5.2,0,252,0,0,0,0,,14.0,6-4,0,0,18,0,Brian Burrell,,432,0,58.3,22,2620,6.1,brian-burrell-1,110,18,QB,0,117.8,0,0,,0,110,3,360,3.3,3,0.0,,2014,4,0.0,Fresno State,4,3,,221,360,3.3,,0,,JR
brian-burrell-1,Career,5.2,0,259,0,0,0,0,,,6-4,0,0,18,0,Brian Burrell,,444,0,58.3,22,2671,6.0,brian-burrell-1,115,24,QB,0,117.1,0,0,,0,115,4,370,3.2,4,0.0,,Career,4,0.0,Fresno State,4,4,,221,370,3.2,,0,,
brandon-connette-1,2010,1.6,0,10,,,0.0,0.0,,12.0,6-2,,,2,,Brandon Connette,,22,0.0,45.5,0,125,5.7,brandon-connette-1,78,48,QB,,75.0,,,,,78,8,321,4.1,8,0.0,,2010,0,0.0,Duke,0,8,,213,321,4.1,,,,FR
brandon-connette-1,2011,17.5,0,1,,,0.0,0.0,,2.0,6-2,,,0,,Brandon Connette,,2,0.0,50.0,0,35,17.5,brandon-connette-1,8,6,QB,,197.0,,,,,8,1,-14,-1.8,1,0.0,,2011,0,0.0,Duke,0,1,,213,-14,-1.8,,,,SO
brandon-connette-1,2012,7.5,1,5,,,,,,12.0,6-2,,,0,,Brandon Connette,,13,,38.5,3,38,2.9,brandon-connette-1,52,54,QB,,139.2,1.0,85.0,7.7,11.0,41,8,91,2.2,9,0.0,,2012,1,0.0,Duke,2,9,,213,176,3.4,,,,SO
brandon-connette-1,2013,8.3,0,90,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,6,0.0,Brandon Connette,,145,0.0,62.1,13,1212,8.4,brandon-connette-1,102,84,QB,0.0,153.6,0.0,5.0,5.0,1.0,101,14,337,3.3,14,0.0,,2013,1,0.0,Duke,1,14,,213,342,3.4,,0.0,,JR
brandon-connette-1,2014,3.8,0,29,0.0,0.0,0.0,0.0,,10.0,6-2,0.0,0.0,3,0.0,Brandon Connette,,54,0.0,53.7,2,299,5.5,brandon-connette-1,39,12,QB,0.0,101.3,0.0,4.0,4.0,1.0,38,2,121,3.2,2,0.0,,2014,2,0.0,Fresno State,2,2,,213,125,3.2,,0.0,,SR
brandon-connette-1,Career,6.7,1,135,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,11,0.0,Brandon Connette,,236,0.0,57.2,18,1709,7.2,brandon-connette-1,279,204,QB,0.0,133.9,1.0,94.0,7.2,13.0,266,33,856,3.2,34,0.0,,Career,4,0.0,Overall,5,34,,213,950,3.4,,0.0,,
marteze-waller-1,2012,,,,,,,,,8.0,5-11,,,,,Marteze Waller,,,,,,,,marteze-waller-1,43,6,RB,,,0,11,5.5,2,41,1,174,4.2,1,,,2012,,,Fresno State,,1,,215,185,4.3,,,,FR
marteze-waller-1,2013,,0.0,,0.0,0.0,0.0,0.0,,12.0,5-11,0.0,0.0,,0.0,Marteze Waller,,,0.0,,,,,marteze-waller-1,147,42,RB,0.0,,0,173,7.5,23,124,7,646,5.2,7,0.0,,2013,0.0,0.0,Fresno State,0.0,7,,215,819,5.6,,0.0,,SO
marteze-waller-1,2014,,0.0,,0.0,0.0,0.0,0.0,,14.0,5-11,0.0,0.0,,0.0,Marteze Waller,,,0.0,,,,,marteze-waller-1,252,66,RB,0.0,,0,120,4.4,27,225,11,1368,6.1,11,0.0,,2014,1.0,0.0,Fresno State,1.0,11,,215,1488,5.9,,0.0,,JR
marteze-waller-1,2015,,0.0,,0.0,0.0,0.0,0.0,,12.0,5-11,0.0,0.0,,0.0,Marteze Waller,,,0.0,,,,,marteze-waller-1,248,42,RB,0.0,,2,151,7.6,20,228,5,920,4.0,7,0.0,,2015,2.0,0.0,Fresno State,2.0,7,,215,1071,4.3,,0.0,,SR
marteze-waller-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,,0.0,Marteze Waller,,,0.0,,,,,marteze-waller-1,690,156,RB,0.0,,2,455,6.3,72,618,24,3108,5.0,26,0.0,,Career,3.0,0.0,Fresno State,3.0,26,,215,3563,5.2,,0.0,,
joshua-quezada-1,2010,,1.0,,,,,,,13.0,5-11,,,,,Joshua Quezada,,,,,,,,joshua-quezada-1,107,36,RB,,,1,46,5.8,8,99,5,505,5.1,6,0.0,,2010,0.0,0.0,Brigham Young,1.0,6,,217,551,5.1,,,,FR
