,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
kevin-ellison-3,2014,7.5,,71,0,0,,,,12.0,6-0,,,3,0,Kevin Ellison,,128,,55.5,5,1001,7.8,kevin-ellison-3,172,72,QB,0,129.4,0,0,,0,172,12,1096,6.4,12,,,2014,,,Georgia Southern,,12,,195,1096,6.4,,,,SO
kevin-ellison-3,2015,5.1,,40,0,0,,,,11.0,6-0,,,5,0,Kevin Ellison,,89,,44.9,4,597,6.7,kevin-ellison-3,114,48,QB,0,104.9,0,0,,0,114,8,712,6.2,8,,,2015,,,Georgia Southern,,8,,195,712,6.2,,,,JR
kevin-ellison-3,2016,8.5,,66,0,0,,,,11.0,6-0,,,3,0,Kevin Ellison,,106,,62.3,8,871,8.2,kevin-ellison-3,140,42,QB,0,150.5,0,9,9.0,1,139,7,678,4.9,7,,,2016,,,Georgia Southern,,7,,195,687,4.9,,,,SR
kevin-ellison-3,Career,7.2,,177,0,0,,,,,6-0,,,11,0,Kevin Ellison,,323,,54.8,17,2469,7.6,kevin-ellison-3,426,162,QB,0,129.6,0,9,9.0,1,425,27,2486,5.8,27,,,Career,,,Georgia Southern,,27,,195,2495,5.9,,,,
favian-upshaw-1,2014,10.4,0,19,0,0,0,0,,11.0,6-1,0,0,1,0,Favian Upshaw,,27,0,70.4,2,285,10.6,favian-upshaw-1,40,12,QB,0,176.1,0,0,,0,40,2,385,9.6,2,0.0,,2014,1,0.0,Georgia Southern,1,2,,170,385,9.6,,0,,SO
favian-upshaw-1,2015,0.0,0,19,0,0,0,0,,13.0,6-1,0,0,5,0,Favian Upshaw,,48,0,39.6,0,227,4.7,favian-upshaw-1,79,36,QB,0,58.5,0,0,,0,79,6,569,7.2,6,0.0,,2015,0,0.0,Georgia Southern,0,6,,170,569,7.2,,0,,JR
favian-upshaw-1,2016,7.2,0,46,0,0,0,0,,8.0,6-1,0,0,2,0,Favian Upshaw,,84,0,54.8,4,614,7.3,favian-upshaw-1,69,12,QB,0,127.1,0,0,,0,69,2,341,4.9,2,0.0,,2016,1,0.0,Georgia Southern,1,2,,170,341,4.9,,0,,SR
favian-upshaw-1,Career,5.6,0,84,0,0,0,0,,,6-1,0,0,8,0,Favian Upshaw,,159,0,52.8,6,1126,7.1,favian-upshaw-1,188,60,QB,0,114.7,0,0,,0,188,10,1295,6.9,10,0.0,,Career,2,0.0,Georgia Southern,2,10,,170,1295,6.9,,0,,
ezayi-youyoute-1,2014,,,,0,0,,,,3.0,5-11,,,,0,Ezayi Youyoute,,,,,,,,ezayi-youyoute-1,10,6,QB,0,,0,0,,0,10,1,162,16.2,1,,,2014,,,Georgia Southern,,1,,185,162,16.2,,,,JR
ezayi-youyoute-1,Career,,,,0,0,,,,,5-11,,,,0,Ezayi Youyoute,,,,,,,,ezayi-youyoute-1,10,6,QB,0,,0,0,,0,10,1,162,16.2,1,,,Career,,,Georgia Southern,,1,,185,162,16.2,,,,
matt-breida-1,2014,,1,,0,0,0,0,,12.0,5-11,0,0,,0,Matt Breida,,,0,,,,,matt-breida-1,179,108,RB,0,,1,97,12.1,8,171,17,1485,8.7,18,0.0,,2014,0,0.0,Georgia Southern,1,18,,190,1582,8.8,,0,,SO
