,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
nick-arbuckle-1,2014,6.9,0,259,0,0,0,0,,12.0,6-1,0,0,17,0,Nick Arbuckle,,429,0,60.4,23,3283,7.7,nick-arbuckle-1,73,12,QB,0,134.4,0,0,,0,73,2,10,0.1,2,0.0,,2014,1,0.0,Georgia State,1,2,,215,10,0.1,,0,,JR
nick-arbuckle-1,2015,9.0,0,307,0,0,0,0,,13.0,6-1,0,0,12,0,Nick Arbuckle,,486,0,63.2,28,4368,9.0,nick-arbuckle-1,61,36,QB,0,152.7,0,0,,0,61,6,-95,-1.6,6,0.0,,2015,2,1.0,Georgia State,2,6,,215,-95,-1.6,,0,,SR
nick-arbuckle-1,Career,8.1,0,566,0,0,0,0,,,6-1,0,0,29,0,Nick Arbuckle,,915,0,61.9,51,7651,8.4,nick-arbuckle-1,134,48,QB,0,144.2,0,0,,0,134,8,-85,-0.6,8,0.0,,Career,3,1.0,Georgia State,3,8,,215,-85,-0.6,,0,,
ronnie-bell-1,2013,6.3,0,188,0,0,0,0,,12.0,5-11,0,0,11,0,Ronnie Bell,,375,0,50.1,15,2573,6.9,ronnie-bell-1,81,18,QB,0,115.1,0,6,6.0,1,80,3,113,1.4,3,0.0,,2013,1,0.0,Georgia State,1,3,,180,119,1.5,,0,,SO
ronnie-bell-1,2014,2.6,0,3,0,0,0,0,,5.0,5-11,0,0,0,0,Ronnie Bell,,11,0,27.3,0,29,2.6,ronnie-bell-1,5,0,QB,0,49.4,0,0,,0,5,0,8,1.6,0,0.0,,2014,0,0.0,Georgia State,0,0,,180,8,1.6,,0,,JR
ronnie-bell-1,Career,6.2,0,191,0,0,0,0,,,5-11,0,0,11,0,Ronnie Bell,,386,0,49.5,15,2602,6.7,ronnie-bell-1,86,18,QB,0,113.2,0,6,6.0,1,85,3,121,1.4,3,0.0,,Career,1,0.0,Georgia State,1,3,,180,127,1.5,,0,,
ben-mclane-1,2013,6.8,,28,,,,,,6.0,6-1,,,1,,Ben McLane,,51,,54.9,2,354,6.9,ben-mclane-1,7,,QB,,122.2,0,0,,0,7,0,-11,-1.6,0,,,2013,,,Georgia State,,,,210,-11,-1.6,,,,SO
ben-mclane-1,2014,-3.0,,2,,,,,,1.0,6-1,,,1,,Ben McLane,,3,,66.7,0,36,12.0,ben-mclane-1,1,,QB,,100.8,0,0,,0,1,0,3,3.0,0,,,2014,,,Georgia State,,,,210,3,3.0,,,,JR
ben-mclane-1,Career,6.3,,30,,,,,,,6-1,,,2,,Ben McLane,,54,,55.6,2,390,7.2,ben-mclane-1,8,,QB,,121.0,0,0,,0,8,0,-8,-1.0,0,,,Career,,,Georgia State,,,,210,-8,-1.0,,,,
gerald-howse-1,2013,,0,,0,0,0,0,,1.0,6-2,0,0,,0,Gerald Howse,,,0,,,,,gerald-howse-1,14,0,RB,0,,0,0,,0,14,0,29,2.1,0,0.0,,2013,0,0.0,Georgia State,0,0,,215,29,2.1,,0,,JR
gerald-howse-1,2014,,1,,0,0,0,0,,7.0,6-2,0,0,,0,Gerald Howse,,,0,,,,,gerald-howse-1,56,6,RB,0,,0,6,3.0,2,54,1,157,2.9,1,0.0,,2014,0,0.0,Georgia State,1,1,,215,163,2.9,,0,,SR
gerald-howse-1,Career,,1,,0,0,0,0,,,6-2,0,0,,0,Gerald Howse,,,0,,,,,gerald-howse-1,70,6,RB,0,,0,6,3.0,2,68,1,186,2.7,1,0.0,,Career,0,0.0,Georgia State,1,1,,215,192,2.7,,0,,
kyler-neal-1,2013,,0,,0,0,0,0,,5.0,5-11,0,0,,0,Kyler Neal,,,0,,,,,kyler-neal-1,26,0,RB,0,,0,24,12.0,2,24,0,96,4.0,0,0.0,,2013,0,0.0,Georgia State,0,0,,215,120,4.6,,0,,FR
kyler-neal-1,2014,,0,,0,0,0,0,,4.0,5-11,0,0,,0,Kyler Neal,,,0,,,,,kyler-neal-1,45,6,RB,0,,0,107,21.4,5,40,1,209,5.2,1,0.0,,2014,0,0.0,Georgia State,0,1,,215,316,7.0,,0,,SO
kyler-neal-1,2015,,0,,0,0,0,0,,11.0,5-11,0,0,,0,Kyler Neal,,,0,,,,,kyler-neal-1,95,30,RB,0,,0,87,7.9,11,84,5,329,3.9,5,0.0,,2015,0,0.0,Georgia State,0,5,,215,416,4.4,,0,,SO
kyler-neal-1,2016,,0,,0,0,0,0,,9.0,5-11,0,0,,0,Kyler Neal,,,0,,,,,kyler-neal-1,78,12,RB,0,,0,28,9.3,3,75,2,314,4.2,2,0.0,,2016,0,0.0,Georgia State,0,2,,215,342,4.4,,0,,JR
kyler-neal-1,2017,,1,,0,0,0,0,,9.0,5-11,0,0,,0,Kyler Neal,,,0,,,,,kyler-neal-1,77,30,RB,0,,0,120,10.9,11,66,5,184,2.8,5,0.0,,2017,0,0.0,Georgia State,1,5,,215,304,3.9,,0,,SR
kyler-neal-1,Career,,1,,0,0,0,0,,,5-11,0,0,,0,Kyler Neal,,,0,,,,,kyler-neal-1,321,78,RB,0,,0,366,11.4,32,289,13,1132,3.9,13,0.0,,Career,0,0.0,Georgia State,1,13,,215,1498,4.7,,0,,
krysten-hammon-1,2014,,,,0.0,0.0,,,,2.0,5-9,,,,0.0,Krysten Hammon,,,,,,,,krysten-hammon-1,41,12,RB,0.0,,0.0,20.0,6.7,3.0,38.0,2.0,197.0,5.2,2,,,2014,,,Georgia State,,2,,180,217,5.3,,,,FR
krysten-hammon-1,2015,,,,,,,,,,5-9,,,,,Krysten Hammon,,,,,,,,krysten-hammon-1,0,0,RB,,,,,,,,,,,0,,,2015,,,Georgia State,,0,,180,0,,,,,SO
krysten-hammon-1,Career,,,,0.0,0.0,,,,,5-9,,,,0.0,Krysten Hammon,,,,,,,,krysten-hammon-1,41,12,RB,0.0,,0.0,20.0,6.7,3.0,38.0,2.0,197.0,5.2,2,,,Career,,,Georgia State,,2,,180,217,5.3,,,,
dontavis-crocker-1,2013,,0,,,,0,1,,1.0,5-9,0,0,,,Dontavis Crocker,,,0,,,,,dontavis-crocker-1,0,,RB,,,0,0,,0,0,0,0,,0,0.0,,2013,0,0.0,Georgia State,0,,,185,0,,,0,,JR
dontavis-crocker-1,2014,,0,,,,0,0,,6.0,5-9,0,0,,,Dontavis Crocker,,,0,,,,,dontavis-crocker-1,17,,RB,,,0,11,11.0,1,16,0,39,2.4,0,0.0,,2014,2,0.0,Georgia State,2,,,185,50,2.9,,0,,SR
dontavis-crocker-1,Career,,0,,,,0,1,,,5-9,0,0,,,Dontavis Crocker,,,0,,,,,dontavis-crocker-1,17,,RB,,,0,11,11.0,1,16,0,39,2.4,0,0.0,,Career,2,0.0,Georgia State,2,,,185,50,2.9,,0,,
jonathan-jean-bart-1,2013,,0.0,,0.0,0.0,0.0,0.0,,9.0,5-11,0.0,0.0,,0.0,Jonathan Jean-Bart,,,0.0,,,,,jonathan-jean-bart-1,74,6,RB,0.0,,0.0,35.0,11.7,3.0,71.0,1.0,269.0,3.8,1,0.0,,2013,1.0,0.0,Georgia State,1.0,1,,200,304,4.1,,0.0,,FR
jonathan-jean-bart-1,2014,,0.0,,0.0,0.0,0.0,0.0,,1.0,5-11,0.0,0.0,,0.0,Jonathan Jean-Bart,,,0.0,,,,,jonathan-jean-bart-1,2,0,RB,0.0,,0.0,0.0,,0.0,2.0,0.0,7.0,3.5,0,0.0,,2014,0.0,0.0,Georgia State,0.0,0,,200,7,3.5,,0.0,,SO
jonathan-jean-bart-1,2015,,,,,,,,,,5-11,,,,,Jonathan Jean-Bart,,,,,,,,jonathan-jean-bart-1,0,0,RB,,,,,,,,,,,0,,,2015,,,Georgia State,,0,,200,0,,,,,JR
jonathan-jean-bart-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,,0.0,Jonathan Jean-Bart,,,0.0,,,,,jonathan-jean-bart-1,76,6,RB,0.0,,0.0,35.0,11.7,3.0,73.0,1.0,276.0,3.8,1,0.0,,Career,1.0,0.0,Georgia State,1.0,1,,200,311,4.1,,0.0,,
lynquez-blair-1,2013,,0,0,0,0,0,0,,3.0,5-10,0,0,0,0,Lynquez Blair,,0,0,,0,0,,lynquez-blair-1,6,0,WR,0,,0,44,7.3,6,0,0,0,,0,0.0,,2013,0,0.0,Georgia State,0,0,,175,44,7.3,,0,,JR
lynquez-blair-1,2014,0.0,0,0,0,0,0,0,,10.0,5-10,0,0,0,0,Lynquez Blair,,1,0,0.0,0,0,0.0,lynquez-blair-1,53,36,WR,0,0.0,6,538,10.3,52,1,0,-17,-17.0,6,0.0,,2014,2,0.0,Georgia State,2,6,,175,521,9.8,,0,,SR
lynquez-blair-1,Career,0.0,0,0,0,0,0,0,,,5-10,0,0,0,0,Lynquez Blair,,1,0,0.0,0,0,0.0,lynquez-blair-1,59,36,WR,0,0.0,6,582,10.0,58,1,0,-17,-17.0,6,0.0,,Career,2,0.0,Georgia State,2,6,,175,565,9.6,,0,,
avery-sweeting-1,2013,,0,,0,0,0,0,,4.0,5-8,0,0,,0,Avery Sweeting,,,0,,,,,avery-sweeting-1,9,6,WR,0,,1,120,13.3,9,0,0,0,,1,0.0,,2013,1,0.0,Georgia State,1,1,,160,120,13.3,,0,,SO
avery-sweeting-1,2014,,0,,0,0,0,0,,8.0,5-8,0,0,,0,Avery Sweeting,,,0,,,,,avery-sweeting-1,21,6,WR,0,,1,224,14.0,16,5,0,41,8.2,1,0.0,,2014,1,0.0,Georgia State,1,1,,160,265,12.6,,0,,JR
avery-sweeting-1,2015,,0,,0,0,0,0,,5.0,5-8,0,0,,0,Avery Sweeting,,,0,,,,,avery-sweeting-1,2,0,WR,0,,0,43,43.0,1,1,0,0,0.0,0,0.0,,2015,0,0.0,Georgia State,0,0,,160,43,21.5,,0,,SR
avery-sweeting-1,Career,,0,,0,0,0,0,,,5-8,0,0,,0,Avery Sweeting,,,0,,,,,avery-sweeting-1,32,12,WR,0,,2,387,14.9,26,6,0,41,6.8,2,0.0,,Career,2,0.0,Georgia State,2,2,,160,428,13.4,,0,,
donovan-harden-2,2014,,0,,0,0,0,0,,12.0,5-11,0,0,,0,Donovan Harden,,,0,,,,,donovan-harden-2,62,42,WR,0,,7,885,14.8,60,2,0,15,7.5,7,0.0,,2014,5,0.0,Georgia State,5,7,,175,900,14.5,,0,,JR
donovan-harden-2,2015,,1,,0,0,0,0,,10.0,5-11,0,0,,0,Donovan Harden,,,0,,,,,donovan-harden-2,39,30,WR,0,,5,715,18.8,38,1,0,-2,-2.0,5,0.0,,2015,0,0.0,Georgia State,1,5,,175,713,18.3,,0,,SR
donovan-harden-2,Career,,1,,0,0,0,0,,,5-11,0,0,,0,Donovan Harden,,,0,,,,,donovan-harden-2,101,72,WR,0,,12,1600,16.3,98,3,0,13,4.3,12,0.0,,Career,5,0.0,Georgia State,6,12,,175,1613,16.0,,0,,
robert-davis-10,2013,,0,,0,0,0,0,,12.0,6-3,0,0,,0,Robert Davis,,,0,,,,,robert-davis-10,44,24,WR,0,,4,711,16.2,44,0,0,0,,4,0.0,,2013,0,0.0,Georgia State,0,4,,220,711,16.2,,0,,FR
robert-davis-10,2014,,0,,0,0,0,0,,12.0,6-3,0,0,,0,Robert Davis,,,0,,,,,robert-davis-10,51,12,WR,0,,2,732,14.6,50,1,0,3,3.0,2,0.0,,2014,0,0.0,Georgia State,0,2,,220,735,14.4,,0,,SO
robert-davis-10,2015,,0,,0,0,0,0,,13.0,6-3,0,0,,0,Robert Davis,,,0,,,,,robert-davis-10,61,36,WR,0,,6,980,16.1,61,0,0,0,,6,0.0,,2015,0,0.0,Georgia State,0,6,,220,980,16.1,,0,,JR
robert-davis-10,2016,,0,,0,0,0,0,,12.0,6-3,0,0,,0,Robert Davis,,,0,,,,,robert-davis-10,67,30,WR,0,,5,968,14.4,67,0,0,0,,5,0.0,,2016,1,0.0,Georgia State,1,5,,220,968,14.4,,0,,SR
robert-davis-10,Career,,0,,0,0,0,0,,,6-3,0,0,,0,Robert Davis,,,0,,,,,robert-davis-10,223,102,WR,0,,17,3391,15.3,222,1,0,3,3.0,17,0.0,,Career,1,0.0,Georgia State,1,17,,220,3394,15.2,,0,,
glenn-smith-2,2014,,1,0,0,0,0,0,,10.0,6-1,0,0,0,0,Glenn Smith,,0,0,,0,0,,glenn-smith-2,8,6,WR,0,,1,83,11.9,7,1,0,3,3.0,1,0.0,,2014,0,0.0,Georgia State,1,1,,200,86,10.8,,0,,FR
glenn-smith-2,2015,,0,0,0,0,0,0,,12.0,6-1,0,0,0,0,Glenn Smith,,0,0,,0,0,,glenn-smith-2,106,6,RB,0,,0,115,6.8,17,89,1,356,4.0,1,0.0,,2015,0,0.0,Georgia State,0,1,,200,471,4.4,,0,,SO
glenn-smith-2,2016,0.0,0,0,0,0,0,0,,12.0,6-1,0,0,0,0,Glenn Smith,,1,0,0.0,0,0,0.0,glenn-smith-2,81,30,RB,0,0.0,3,547,13.7,40,41,2,150,3.7,5,0.0,,2016,2,0.0,Georgia State,2,5,,200,697,8.6,,0,,JR
glenn-smith-2,2017,-45.0,0,0,0,0,0,0,,12.0,6-1,0,0,1,1,Glenn Smith,,1,0,0.0,0,0,0.0,glenn-smith-2,217,30,RB,0,-200.0,1,377,8.0,47,170,3,594,3.5,4,0.0,,2017,2,0.0,Georgia State,2,5,,200,971,4.5,,0,,SR
glenn-smith-2,Career,-22.5,1,0,0,0,0,0,,,6-1,0,0,1,1,Glenn Smith,,2,0,0.0,0,0,0.0,glenn-smith-2,412,72,RB,0,-100.0,5,1122,10.1,111,301,6,1103,3.7,11,0.0,,Career,4,0.0,Georgia State,5,12,,200,2225,5.4,,0,,
todd-boyd-1,2014,,1,,0,0,0,0,,5.0,5-11,0,0,,0,Todd Boyd,,,0,,,,,todd-boyd-1,8,12,WR,0,,2,119,14.9,8,0,0,0,,2,0.0,,2014,0,0.0,Georgia State,1,2,,185,119,14.9,,0,,FR
todd-boyd-1,2015,,1,,0,0,0,0,,10.0,5-11,0,0,,0,Todd Boyd,,,0,,,,,todd-boyd-1,26,12,WR,0,,2,296,11.8,25,1,0,9,9.0,2,0.0,,2015,2,0.0,Georgia State,3,2,,185,305,11.7,,0,,SO
todd-boyd-1,2016,,0,,0,0,0,0,,9.0,5-11,0,0,,0,Todd Boyd,,,0,,,,,todd-boyd-1,35,6,WR,0,,1,352,10.7,33,2,0,7,3.5,1,0.0,,2016,1,0.0,Georgia State,1,1,,185,359,10.3,,0,,JR
todd-boyd-1,2017,,0,,0,0,0,0,,9.0,5-11,0,0,,0,Todd Boyd,,,0,,,,,todd-boyd-1,16,0,WR,0,,0,195,12.2,16,0,0,0,,0,0.0,,2017,0,0.0,Georgia State,0,0,,185,195,12.2,,0,,SR
todd-boyd-1,Career,,2,,0,0,0,0,,,5-11,0,0,,0,Todd Boyd,,,0,,,,,todd-boyd-1,85,30,WR,0,,5,962,11.7,82,3,0,16,5.3,5,0.0,,Career,3,0.0,Georgia State,5,5,,185,978,11.5,,0,,
nathaniel-minor-1,2014,,,,,,,,,3.0,6-2,,,,,Nathaniel Minor,,,,,,,,nathaniel-minor-1,3,,WR,,,0,16,5.3,3,0,0,0,,0,,,2014,,,Georgia State,,,,180,16,5.3,,,,JR
nathaniel-minor-1,Career,,,,,,,,,,6-2,,,,,Nathaniel Minor,,,,,,,,nathaniel-minor-1,3,,WR,,,0,16,5.3,3,0,0,0,,0,,,Career,,,Georgia State,,,,180,16,5.3,,,,
joel-brooks-1,2014,,,,,,,,,1.0,6-0,,,,,Joel Brooks,,,,,,,,joel-brooks-1,1,,WR,,,0,31,31.0,1,0,0,0,,0,,,2014,,,Georgia State,,,,175,31,31.0,,,,SO
joel-brooks-1,Career,,,,,,,,,,6-0,,,,,Joel Brooks,,,,,,,,joel-brooks-1,1,,WR,,,0,31,31.0,1,0,0,0,,0,,,Career,,,Georgia State,,,,175,31,31.0,,,,
joel-ruiz-1,2014,,,,0,0,,,,10.0,6-4,,,,0,Joel Ruiz,,,,,,,,joel-ruiz-1,39,18,TE,0,,3,478,12.3,39,0,0,0,,3,,,2014,,,Georgia State,,3,,240,478,12.3,,,,JR
joel-ruiz-1,2015,,,,0,0,,,,2.0,6-4,,,,0,Joel Ruiz,,,,,,,,joel-ruiz-1,4,0,TE,0,,0,38,9.5,4,0,0,0,,0,,,2015,,,Georgia State,,0,,240,38,9.5,,,,SR
joel-ruiz-1,Career,,,,0,0,,,,,6-4,,,,0,Joel Ruiz,,,,,,,,joel-ruiz-1,43,18,TE,0,,3,516,12.0,43,0,0,0,,3,,,Career,,,Georgia State,,3,,240,516,12.0,,,,
keith-rucker-1,2013,,0,,0,0,0,0,,8.0,6-3,0,0,,0,Keith Rucker,,,0,,,,,keith-rucker-1,14,6,TE,0,,1,232,16.6,14,0,0,0,,1,0.0,,2013,1,0.0,Georgia State,1,1,,245,232,16.6,,0,,FR
