,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
justin-thomas-3,2013,3.6,0,9,0,0,0,0,,10.0,5-11,0,0,2,0,Justin Thomas,,17,0,52.9,1,131,7.7,justin-thomas-3,33,12,QB,0,113.6,0,0,,0,33,2,234,7.1,2,0.0,,2013,0,0.0,Georgia Tech,0,2,,185,234,7.1,,0,,FR
justin-thomas-3,2014,9.7,0,96,0,0,0,0,,14.0,5-11,0,0,6,0,Justin Thomas,,187,0,51.3,18,1719,9.2,justin-thomas-3,190,48,QB,0,153.9,0,0,,0,190,8,1086,5.7,8,0.0,,2014,0,0.0,Georgia Tech,0,8,,185,1086,5.7,,0,,SO
justin-thomas-3,2015,6.9,0,75,0,0,0,0,,12.0,5-11,0,0,8,0,Justin Thomas,,180,0,41.7,13,1339,7.4,justin-thomas-3,144,36,QB,0,119.1,0,0,,0,144,6,485,3.4,6,0.0,,2015,1,0.0,Georgia Tech,1,6,,185,485,3.4,,0,,JR
justin-thomas-3,2016,11.0,0,79,0,0,0,0,,12.0,5-11,0,0,2,0,Justin Thomas,,148,0,53.4,8,1559,10.5,justin-thomas-3,137,36,QB,0,157.0,0,0,,0,137,6,604,4.4,6,0.0,,2016,1,0.0,Georgia Tech,1,6,,185,604,4.4,,0,,SR
justin-thomas-3,Career,8.9,0,259,0,0,0,0,,,5-11,0,0,18,0,Justin Thomas,,532,0,48.7,40,4748,8.9,justin-thomas-3,504,132,QB,0,141.7,0,0,,0,504,22,2409,4.8,22,0.0,,Career,2,0.0,Georgia Tech,2,22,,185,2409,4.8,,0,,
tim-byerly-1,2013,0.8,,1,0,0,,,,4.0,6-0,,,0,0,Tim Byerly,,4,,25.0,0,3,0.8,tim-byerly-1,18,12,QB,0,31.3,0,0,,0,18,2,119,6.6,2,,,2013,,,Georgia Tech,,2,,212,119,6.6,,,,SO
tim-byerly-1,2014,12.9,,9,0,0,,,,6.0,6-0,,,0,0,Tim Byerly,,13,,69.2,1,148,11.4,tim-byerly-1,46,42,QB,0,190.2,0,15,15.0,1,45,7,204,4.5,7,,,2014,,,Georgia Tech,,7,,212,219,4.8,,,,JR
tim-byerly-1,2015,23.0,,1,0,0,,,,1.0,6-0,,,0,0,Tim Byerly,,1,,100.0,0,23,23.0,tim-byerly-1,7,6,QB,0,293.2,0,0,,0,7,1,42,6.0,1,,,2015,,,Georgia Tech,,1,,212,42,6.0,,,,SR
tim-byerly-1,Career,10.8,,11,0,0,,,,,6-0,,,0,0,Tim Byerly,,18,,61.1,1,174,9.7,tim-byerly-1,71,60,QB,0,160.6,0,15,15.0,1,70,10,365,5.2,10,,,Career,,,Georgia Tech,,10,,212,380,5.4,,,,
bj-bostic-1,2010,,0.0,,,,0.0,0.0,,13.0,5-11,,,,0.0,B.J. Bostic,,,0.0,,,,,bj-bostic-1,13,0,RB,,,,,,,13,0,127,9.8,0,0.0,,2010,1.0,0.0,Georgia Tech,1.0,0,,172,127,9.8,,,,FR
