,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
hutson-mason-1,2010,7.2,0,9,,,0,0,,4.0,6-3,,,0,,Hutson Mason,,17,0,52.9,1,102,6.0,hutson-mason-1,5,0,QB,,122.8,,,,,5,0,-1,-0.2,0,0.0,,2010,0,0.0,Georgia,0,0,,209,-1,-0.2,,,,FR
hutson-mason-1,2011,9.8,0,18,,,0,0,,4.0,6-3,,,0,,Hutson Mason,,30,0,60.0,2,254,8.5,hutson-mason-1,4,6,QB,,153.1,,,,,4,1,1,0.3,1,0.0,,2011,0,0.0,Georgia,0,1,,209,1,0.3,,,,SO
hutson-mason-1,2013,8.5,0,67,0.0,0.0,0,0,,4.0,6-3,0.0,0.0,3,0.0,Hutson Mason,,110,0,60.9,5,968,8.8,hutson-mason-1,21,6,QB,0.0,144.4,0.0,0.0,,0.0,21,1,-8,-0.4,1,0.0,,2013,0,0.0,Georgia,0,1,,209,-8,-0.4,,0.0,,JR
hutson-mason-1,2014,8.7,0,188,0.0,0.0,0,0,,13.0,6-3,0.0,0.0,4,0.0,Hutson Mason,,277,0,67.9,21,2168,7.8,hutson-mason-1,43,24,QB,0.0,155.7,0.0,0.0,,0.0,43,4,3,0.1,4,0.0,,2014,1,0.0,Georgia,1,4,,209,3,0.1,,0.0,,SR
hutson-mason-1,Career,8.7,0,282,0.0,0.0,0,0,,,6-3,0.0,0.0,7,0.0,Hutson Mason,,434,0,65.0,29,3492,8.0,hutson-mason-1,73,36,QB,0.0,151.4,0.0,0.0,,0.0,73,6,-5,-0.1,6,0.0,,Career,1,0.0,Georgia,1,6,,209,-5,-0.1,,0.0,,
brice-ramsey-1,2014,7.8,0,24,,,0,0,,6.0,6-3,0,0,2,,Brice Ramsey,,39,0,61.5,3,333,8.5,brice-ramsey-1,0,,QB,,148.4,0,0,,0,0,0,0,,0,0.0,,2014,0,0.0,Georgia,0,,,210,0,,,0,,FR
brice-ramsey-1,2015,5.1,1,21,,,0,0,,11.0,6-3,0,0,2,,Brice Ramsey,,35,0,60.0,1,249,7.1,brice-ramsey-1,3,,QB,,117.8,0,0,,0,3,0,-17,-5.7,0,0.0,,2015,2,0.0,Georgia,3,,,210,-17,-5.7,,0,,SO
brice-ramsey-1,2016,,0,0,,,0,0,,5.0,6-3,0,0,0,,Brice Ramsey,,0,0,,0,0,,brice-ramsey-1,1,,QB,,,0,0,,0,1,0,11,11.0,0,0.0,,2016,0,0.0,Georgia,0,,,210,11,11.0,,0,,JR
brice-ramsey-1,2017,-20.0,0,1,,,0,0,,3.0,6-3,0,0,2,,Brice Ramsey,,4,0,25.0,0,10,2.5,brice-ramsey-1,1,,QB,,-54.0,0,0,,0,1,0,0,0.0,0,0.0,,2017,0,0.0,Georgia,0,,,210,0,0.0,,0,,SR
brice-ramsey-1,Career,5.2,1,46,,,0,0,,,6-3,0,0,6,,Brice Ramsey,,78,0,59.0,4,592,7.6,brice-ramsey-1,5,,QB,,124.3,0,0,,0,5,0,-6,-1.2,0,0.0,,Career,2,0.0,Georgia,3,,,210,-6,-1.2,,0,,
faton-bauta-1,2013,,,0,0,0,,,,3.0,6-2,,,0,0,Faton Bauta,,0,,,0,0,,faton-bauta-1,4,0,QB,0,,0,0,,0,4,0,30,7.5,0,,,2013,,,Georgia,,0,,220,30,7.5,,,,FR
