,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
ikaika-woolsey-1,2013,0.3,0,11,0,0,0,0,,6.0,6-1,0,0,3,0,Ikaika Woolsey,,29,0,37.9,0,143,4.9,ikaika-woolsey-1,27,0,QB,0,58.7,0,2,2.0,1,26,0,73,2.8,0,0.0,,2013,0,0.0,Hawaii,0,0,,215,75,2.8,,0,,FR
ikaika-woolsey-1,2014,5.3,0,210,0,0,0,0,,13.0,6-1,0,0,13,0,Ikaika Woolsey,,416,0,50.5,13,2538,6.1,ikaika-woolsey-1,110,6,QB,0,105.8,0,0,,0,110,1,203,1.8,1,0.0,,2014,1,0.0,Hawaii,1,1,,215,203,1.8,,0,,SO
ikaika-woolsey-1,2015,5.0,0,73,0,0,0,0,,10.0,6-1,0,0,6,0,Ikaika Woolsey,,149,0,49.0,5,908,6.1,ikaika-woolsey-1,47,12,QB,0,103.2,0,0,,0,47,2,84,1.8,2,0.0,,2015,2,0.0,Hawaii,2,2,,215,84,1.8,,0,,JR
ikaika-woolsey-1,2016,5.5,0,44,0,0,0,0,,6.0,6-1,0,0,6,0,Ikaika Woolsey,,90,0,48.9,6,644,7.2,ikaika-woolsey-1,20,6,QB,0,117.7,0,0,,0,20,1,22,1.1,1,0.0,,2016,0,0.0,Hawaii,0,1,,215,22,1.1,,0,,SR
ikaika-woolsey-1,Career,5.0,0,338,0,0,0,0,,,6-1,0,0,28,0,Ikaika Woolsey,,684,0,49.4,24,4233,6.2,ikaika-woolsey-1,204,24,QB,0,104.8,0,2,2.0,1,203,4,382,1.9,4,0.0,,Career,3,0.0,Hawaii,3,4,,215,384,1.9,,0,,
jeremy-higgins-1,2010,-3.8,,4,,,,,,2.0,6-1,,,1,,Jeremy Higgins,,6,,66.7,0,22,3.7,jeremy-higgins-1,1,0,QB,,64.1,,,,,1,0,-3,-3.0,0,,,2010,,,Utah State,,0,,200,-3,-3.0,,,,FR
jeremy-higgins-1,2012,6.5,,29,0.0,0.0,,,,6.0,6-1,,,1,0.0,Jeremy Higgins,0.0,48,,60.4,1,335,7.0,jeremy-higgins-1,8,6,QB,0.0,121.8,0.0,0.0,,0.0,8,1,-32,-4.0,1,,0.0,2012,,,Hawaii,,1,0.0,200,-32,-4.0,,,,SO
jeremy-higgins-1,2013,4.6,,5,0.0,0.0,,,,1.0,6-1,,,0,0.0,Jeremy Higgins,,11,,45.5,0,51,4.6,jeremy-higgins-1,2,0,QB,0.0,84.4,0.0,0.0,,0.0,2,0,-18,-9.0,0,,,2013,,,Hawaii,,0,,200,-18,-9.0,,,,JR
jeremy-higgins-1,2014,4.5,,7,0.0,0.0,,,,2.0,6-1,,,0,0.0,Jeremy Higgins,,23,,30.4,0,103,4.5,jeremy-higgins-1,2,0,QB,0.0,68.1,0.0,0.0,,0.0,2,0,-12,-6.0,0,,,2014,,,Hawaii,,0,,200,-12,-6.0,,,,SR
jeremy-higgins-1,Career,5.0,,45,0.0,0.0,,,,,6-1,,,2,0.0,Jeremy Higgins,0.0,88,,51.1,1,511,5.8,jeremy-higgins-1,13,6,QB,0.0,99.1,0.0,0.0,,0.0,13,1,-65,-5.0,1,,0.0,Career,,,Overall,,1,0.0,200,-65,-5.0,,,,
taylor-graham-1,2013,2.8,,46,,,,,,6.0,6-5,,,5,,Taylor Graham,,100,,46.0,2,462,4.6,taylor-graham-1,21,,QB,,81.4,0,0,,0,21,0,-32,-1.5,0,,,2013,,,Hawaii,,,,235,-32,-1.5,,,,JR
taylor-graham-1,2014,4.9,,12,,,,,,2.0,6-5,,,1,,Taylor Graham,,22,,54.5,1,133,6.0,taylor-graham-1,2,,QB,,111.2,0,0,,0,2,0,-5,-2.5,0,,,2014,,,Hawaii,,,,235,-5,-2.5,,,,SR
taylor-graham-1,Career,3.2,,58,,,,,,,6-5,,,6,,Taylor Graham,,122,,47.5,3,595,4.9,taylor-graham-1,23,,QB,,86.8,0,0,,0,23,0,-37,-1.6,0,,,Career,,,Hawaii,,,,235,-37,-1.6,,,,
