,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
greg-ward-jr-1,2013,11.4,0,19,0,0,0,0,,10.0,5-11,0,0,0,0,Greg Ward Jr.,,29,0,65.5,1,310,10.7,greg-ward-jr-1,55,18,QB,0,166.7,1,95,9.5,10,45,2,176,3.9,3,0.0,,2013,1,0.0,Houston,1,3,,185,271,4.9,,0,,FR
greg-ward-jr-1,2014,7.4,1,177,0,0,0,0,,13.0,5-11,0,0,7,0,Greg Ward Jr.,,263,0,67.3,12,2010,7.6,greg-ward-jr-1,133,42,QB,0,141.2,1,139,9.3,15,118,6,573,4.9,7,0.0,,2014,0,0.0,Houston,1,7,,185,712,5.4,,0,,SO
greg-ward-jr-1,2015,8.4,0,231,0,0,0,0,,14.0,5-11,0,0,6,0,Greg Ward Jr.,,345,0,67.0,17,2827,8.2,greg-ward-jr-1,197,126,QB,0,148.6,0,0,,0,197,21,1114,5.7,21,0.0,,2015,0,0.0,Houston,0,21,,185,1114,5.7,,0,,JR
greg-ward-jr-1,2016,7.3,0,319,0,0,0,0,,12.0,5-11,0,0,13,0,Greg Ward Jr.,,469,0,68.0,22,3557,7.6,greg-ward-jr-1,197,60,QB,0,141.7,0,-6,,0,197,10,518,2.6,10,0.0,,2016,1,0.0,Houston,1,10,,185,512,2.6,,0,,SR
greg-ward-jr-1,Career,7.8,1,746,0,0,0,0,,,5-11,0,0,26,0,Greg Ward Jr.,,1106,0,67.5,52,8704,7.9,greg-ward-jr-1,582,246,QB,0,144.4,2,228,9.1,25,557,39,2381,4.3,41,0.0,,Career,2,0.0,Houston,3,41,,185,2609,4.5,,0,,
john-okorn-1,2013,7.2,,259.0,0.0,0.0,,,,13.0,6-4,,,10.0,0.0,John O'Korn,,446.0,,58.1,28.0,3117.0,7.0,john-okorn-1,77,6,QB,0.0,133.0,0.0,0.0,,0.0,77.0,1.0,104.0,1.4,1,,,2013,,,Houston,,1,,211,104,1.4,,,,FR
john-okorn-1,2014,4.1,,90.0,0.0,0.0,,,,6.0,6-4,,,8.0,0.0,John O'Korn,,173.0,,52.0,6.0,951.0,5.5,john-okorn-1,32,6,QB,0.0,100.4,0.0,0.0,,0.0,32.0,1.0,18.0,0.6,1,,,2014,,,Houston,,1,,211,18,0.6,,,,SO
john-okorn-1,2015,,,,,,,,,,6-4,,,,,John O'Korn,,,,,,,,john-okorn-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Michigan,,0,,211,0,,,,,JR
john-okorn-1,2016,6.3,,20.0,0.0,0.0,,,,8.0,6-4,,,0.0,0.0,John O'Korn,,34.0,,58.8,2.0,173.0,5.1,john-okorn-1,12,0,QB,0.0,121.0,0.0,0.0,,0.0,12.0,0.0,31.0,2.6,0,,,2016,,,Michigan,,0,,211,31,2.6,,,,SR
john-okorn-1,2017,4.7,,84.0,0.0,0.0,,,,9.0,6-4,,,6.0,0.0,John O'Korn,,157.0,,53.5,2.0,973.0,6.2,john-okorn-1,44,0,QB,0.0,102.1,0.0,0.0,,0.0,44.0,0.0,-54.0,-1.2,0,,,2017,,,Michigan,,2,,211,-54,-1.2,,,,SR
john-okorn-1,Career,6.0,,453.0,0.0,0.0,,,,,6-4,,,24.0,0.0,John O'Korn,,810.0,,55.9,38.0,5214.0,6.4,john-okorn-1,165,12,QB,0.0,119.6,0.0,0.0,,0.0,165.0,2.0,99.0,0.6,2,,,Career,,,Overall,,4,,211,99,0.6,,,,
billy-cosh-1,2014,3.6,,5,,,,,,3.0,6-1,,,0,,Billy Cosh,,9,,55.6,0,32,3.6,billy-cosh-1,,,QB,,85.4,,,,,,,,,,,,2014,,,Houston,,,,215,,,,,,SR
billy-cosh-1,Career,3.6,,5,,,,,,,6-1,,,0,,Billy Cosh,,9,,55.6,0,32,3.6,billy-cosh-1,,,QB,,85.4,,,,,,,,,,,,Career,,,Houston,,,,215,,,,,,
hunter-mccoy-1,2014,,1.0,,,,0.0,0.0,,1.0,6-4,0.0,0.0,,,Hunter McCoy,,,0.0,,,,,hunter-mccoy-1,,,QB,,,,,,,,,,,,0.0,,2014,0.0,0.0,Houston,1.0,,,220,,,,0.0,,JR
hunter-mccoy-1,2015,,,,,,,,,,6-4,,,,,Hunter McCoy,,,,,,,,hunter-mccoy-1,,,QB,,,,,,,,,,,,,,2015,,,Houston,,,,220,,,,,,JR
hunter-mccoy-1,Career,,1.0,,,,0.0,0.0,,,6-4,0.0,0.0,,,Hunter McCoy,,,0.0,,,,,hunter-mccoy-1,,,QB,,,,,,,,,,,,0.0,,Career,0.0,0.0,Houston,1.0,,,220,,,,0.0,,
kenneth-farrow-1,2012,,8,,,,,,,12.0,5-10,,,,0,Kenneth Farrow,,,,,,,,kenneth-farrow-1,106,18,RB,,,1,165,8.3,20,86,2,466,5.4,3,0.0,,2012,1,0.0,Houston,9,3,,220,631,6.0,,,,FR
kenneth-farrow-1,2013,,1,0.0,0.0,0.0,0.0,0.0,,11.0,5-10,0.0,0.0,0.0,0,Kenneth Farrow,,0.0,0.0,,0.0,0.0,,kenneth-farrow-1,127,42,RB,0.0,,1,113,4.7,24,103,6,514,5.0,7,0.0,,2013,1,0.0,Houston,2,7,,220,627,4.9,,0.0,,SO
kenneth-farrow-1,2014,0.0,0,0.0,0.0,0.0,0.0,0.0,,13.0,5-10,0.0,0.0,0.0,0,Kenneth Farrow,,1.0,0.0,0.0,0.0,0.0,0.0,kenneth-farrow-1,206,90,RB,0.0,0.0,1,149,7.5,20,186,14,1042,5.6,15,0.0,,2014,1,0.0,Houston,1,15,,220,1191,5.8,,0.0,,JR
kenneth-farrow-1,2015,,1,0.0,0.0,0.0,0.0,0.0,,12.0,5-10,0.0,0.0,0.0,0,Kenneth Farrow,,0.0,0.0,,0.0,0.0,,kenneth-farrow-1,195,72,RB,0.0,,0,119,11.9,10,185,12,958,5.2,12,0.0,,2015,0,0.0,Houston,1,12,,220,1077,5.5,,0.0,,SR
kenneth-farrow-1,Career,0.0,10,0.0,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,0.0,0,Kenneth Farrow,,1.0,0.0,0.0,0.0,0.0,0.0,kenneth-farrow-1,634,222,RB,0.0,0.0,3,546,7.4,74,560,34,2980,5.3,37,0.0,,Career,3,0.0,Houston,13,37,,220,3526,5.6,,0.0,,
ryan-jackson-1,2012,,1,,,,,,,11.0,5-10,,,,0,Ryan Jackson,,,,,,,,ryan-jackson-1,72,24,RB,,,1,102,7.8,13,59,3,252,4.3,4,0.0,,2012,0,0.0,Houston,1,4,,205,354,4.9,,,,FR
