,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
matt-linehan-1,2014,5.1,0,221,0,0,0,0,,11.0,6-3,0,0,18,0,Matt Linehan,,379,0,58.3,11,2540,6.7,matt-linehan-1,86,6,QB,0,114.7,0,0,,0,86,1,-66,-0.8,1,0.0,,2014,2,0.0,Idaho,2,1,,239,-66,-0.8,,0,,FR
matt-linehan-1,2015,7.2,0,246,0,0,0,0,,11.0,6-3,0,0,11,0,Matt Linehan,,390,0,63.1,16,2972,7.6,matt-linehan-1,91,30,QB,0,135.0,0,0,,0,91,5,234,2.6,5,0.0,,2015,0,0.0,Idaho,0,5,,239,234,2.6,,0,,SO
matt-linehan-1,2016,7.5,1,257,0,0,0,0,,13.0,6-3,0,0,10,0,Matt Linehan,,415,0,61.9,19,3184,7.7,matt-linehan-1,88,24,QB,0,136.7,0,0,,0,88,4,167,1.9,4,0.0,,2016,7,1.0,Idaho,8,4,,239,167,1.9,,0,,JR
matt-linehan-1,2017,7.8,3,173,0,0,0,0,,9.0,6-3,0,0,4,0,Matt Linehan,,281,0,61.6,16,2056,7.3,matt-linehan-1,68,12,QB,0,139.0,0,0,,0,68,2,-26,-0.4,2,0.0,,2017,3,0.0,Idaho,6,2,,239,-26,-0.4,,0,,SR
matt-linehan-1,Career,6.9,4,897,0,0,0,0,,,6-3,0,0,43,0,Matt Linehan,,1465,0,61.2,62,10752,7.3,matt-linehan-1,333,72,QB,0,131.0,0,0,,0,333,12,309,0.9,12,0.0,,Career,12,1.0,Idaho,16,12,,239,309,0.9,,0,,
chad-chalich-1,2013,6.5,,113,0,0,,,,7.0,6-0,,,3,0,Chad Chalich,,184,,61.4,5,1224,6.7,chad-chalich-1,93,0,QB,0,123.0,0,0,,0,93,0,209,2.2,0,,,2013,,,Idaho,,0,,201,209,2.2,,,,FR
chad-chalich-1,2014,6.9,,36,0,0,,,,4.0,6-0,,,2,0,Chad Chalich,,64,,56.3,2,491,7.7,chad-chalich-1,24,6,QB,0,124.8,0,0,,0,24,1,160,6.7,1,,,2014,,,Idaho,,1,,201,160,6.7,,,,SO
chad-chalich-1,Career,6.6,,149,0,0,,,,,6-0,,,5,0,Chad Chalich,,248,,60.1,7,1715,6.9,chad-chalich-1,117,6,QB,0,123.5,0,0,,0,117,1,369,3.2,1,,,Career,,,Idaho,,1,,201,369,3.2,,,,
elijhaa-penny-1,2014,,1,,0,0,0,0,,11.0,6-2,0,0,,0,Elijhaa Penny,,,0,,,,,elijhaa-penny-1,151,78,RB,0,,1,107,8.9,12,139,12,589,4.2,13,0.0,,2014,3,0.0,Idaho,4,13,,234,696,4.6,,0,,JR
elijhaa-penny-1,2015,,1,,0,0,0,0,,12.0,6-2,0,0,,0,Elijhaa Penny,,,0,,,,,elijhaa-penny-1,273,72,RB,0,,2,239,8.9,27,246,10,1159,4.7,12,0.0,,2015,0,0.0,Idaho,1,12,,234,1398,5.1,,0,,SR
elijhaa-penny-1,Career,,2,,0,0,0,0,,,6-2,0,0,,0,Elijhaa Penny,,,0,,,,,elijhaa-penny-1,424,150,RB,0,,3,346,8.9,39,385,22,1748,4.5,25,0.0,,Career,3,0.0,Idaho,5,25,,234,2094,4.9,,0,,
jerrel-brown-2,2013,,0,,0,0,0,0,,8.0,6-0,0,0,,0,Jerrel Brown,,,0,,,,,jerrel-brown-2,59,0,RB,0,,0,32,8.0,4,55,0,216,3.9,0,0.0,,2013,0,0.0,Idaho,0,0,,219,248,4.2,,0,,JR
jerrel-brown-2,2014,,0,,0,0,0,0,,10.0,6-0,0,0,,0,Jerrel Brown,,,0,,,,,jerrel-brown-2,118,24,RB,0,,0,2,2.0,1,117,4,569,4.9,4,0.0,,2014,1,0.0,Idaho,1,4,,219,571,4.8,,0,,SR
jerrel-brown-2,Career,,0,,0,0,0,0,,,6-0,0,0,,0,Jerrel Brown,,,0,,,,,jerrel-brown-2,177,24,RB,0,,0,34,6.8,5,172,4,785,4.6,4,0.0,,Career,1,0.0,Idaho,1,4,,219,819,4.6,,0,,
kristoffer-olugbode-1,2013,,0,,0,0,0,0,,9.0,5-9,0,0,,0,Kristoffer Olugbode,,,0,,,,,kristoffer-olugbode-1,32,0,RB,0,,0,55,13.8,4,28,0,96,3.4,0,0.0,,2013,0,0.0,Idaho,0,0,,197,151,4.7,,0,,SO
kristoffer-olugbode-1,2014,,1,,0,0,0,0,,7.0,5-9,0,0,,0,Kristoffer Olugbode,,,0,,,,,kristoffer-olugbode-1,44,6,RB,0,,0,83,9.2,9,35,1,158,4.5,1,0.0,,2014,1,0.0,Idaho,2,1,,197,241,5.5,,0,,SR
kristoffer-olugbode-1,Career,,1,,0,0,0,0,,,5-9,0,0,,0,Kristoffer Olugbode,,,0,,,,,kristoffer-olugbode-1,76,6,RB,0,,0,138,10.6,13,63,1,254,4.0,1,0.0,,Career,1,0.0,Idaho,2,1,,197,392,5.2,,0,,
aaron-duckworth-1,2014,,0,,0,0,0,0,,6.0,5-8,0,0,,0,Aaron Duckworth,,,0,,,,,aaron-duckworth-1,22,6,RB,0,,0,0,,0,22,1,88,4.0,1,0.0,,2014,0,0.0,Idaho,0,1,,203,88,4.0,,0,,FR
aaron-duckworth-1,2015,,0,,0,0,0,0,,11.0,5-8,0,0,,0,Aaron Duckworth,,,0,,,,,aaron-duckworth-1,75,18,RB,0,,0,19,6.3,3,72,3,253,3.5,3,0.0,,2015,0,0.0,Idaho,0,3,,203,272,3.6,,0,,SO
aaron-duckworth-1,2016,,0,,0,0,0,0,,13.0,5-8,0,0,,0,Aaron Duckworth,,,0,,,,,aaron-duckworth-1,151,36,RB,0,,1,60,8.6,7,144,5,672,4.7,6,0.0,,2016,0,0.0,Idaho,0,6,,203,732,4.8,,0,,JR
aaron-duckworth-1,2017,,1,,0,0,0,0,,12.0,5-8,0,0,,0,Aaron Duckworth,,,0,,,,,aaron-duckworth-1,209,24,RB,0,,0,207,12.9,16,193,4,1025,5.3,4,0.0,,2017,0,0.0,Idaho,1,4,,203,1232,5.9,,0,,SR
aaron-duckworth-1,Career,,1,,0,0,0,0,,,5-8,0,0,,0,Aaron Duckworth,,,0,,,,,aaron-duckworth-1,457,84,RB,0,,1,286,11.0,26,431,13,2038,4.7,14,0.0,,Career,0,0.0,Idaho,1,14,,203,2324,5.1,,0,,
richard-montgomery-1,2013,,0,,0,0,0,0,,12.0,5-8,0,0,,0,Richard Montgomery,,,0,,,,,richard-montgomery-1,76,36,RB,0,,4,176,10.4,17,59,2,196,3.3,6,0.0,,2013,0,0.0,Idaho,0,6,,163,372,4.9,,0,,FR
richard-montgomery-1,2014,,0,,0,0,0,0,,10.0,5-8,0,0,,0,Richard Montgomery,,,0,,,,,richard-montgomery-1,63,18,RB,0,,1,543,10.9,50,13,2,56,4.3,3,0.0,,2014,1,0.0,Idaho,1,3,,163,599,9.5,,0,,SO
richard-montgomery-1,Career,,0,,0,0,0,0,,,5-8,0,0,,0,Richard Montgomery,,,0,,,,,richard-montgomery-1,139,54,RB,0,,5,719,10.7,67,72,4,252,3.5,9,0.0,,Career,1,0.0,Idaho,1,9,,163,971,7.0,,0,,
joshua-mccain-1,2013,4.7,0,13,0,0,0,0,,8.0,6-2,0,0,3,0,Joshua McCain,,27,0,48.1,2,222,8.2,joshua-mccain-1,53,6,QB,0,119.4,0,0,,0,53,1,213,4.0,1,0.0,,2013,1,0.0,Idaho,1,1,,177,213,4.0,,0,,JR
joshua-mccain-1,2014,,0,0,0,0,0,0,,11.0,6-2,0,0,0,0,Joshua McCain,,0,0,,0,0,,joshua-mccain-1,77,54,WR,0,,9,1162,15.3,76,1,0,3,3.0,9,0.0,,2014,2,0.0,Idaho,2,9,,177,1165,15.1,,0,,SR
joshua-mccain-1,Career,4.7,0,13,0,0,0,0,,,6-2,0,0,3,0,Joshua McCain,,27,0,48.1,2,222,8.2,joshua-mccain-1,130,60,WR,0,119.4,9,1162,15.3,76,54,1,216,4.0,10,0.0,,Career,3,0.0,Idaho,3,10,,177,1378,10.6,,0,,
deon-watson-1,2013,,1,,0,0,0,0,,12.0,6-4,0,0,,0,Deon Watson,,,0,,,,,deon-watson-1,24,6,WR,0,,1,279,11.6,24,0,0,0,,1,0.0,,2013,2,0.0,Idaho,3,1,,222,279,11.6,,0,,FR
deon-watson-1,2014,,0,,0,0,0,0,,10.0,6-4,0,0,,0,Deon Watson,,,0,,,,,deon-watson-1,37,6,WR,0,,1,343,9.3,37,0,0,0,,1,0.0,,2014,0,0.0,Idaho,0,1,,222,343,9.3,,0,,SO
deon-watson-1,2015,,0,,0,0,0,0,,11.0,6-4,0,0,,0,Deon Watson,,,0,,,,,deon-watson-1,42,42,TE,0,,7,551,13.1,42,0,0,0,,7,0.0,,2015,1,0.0,Idaho,1,7,,222,551,13.1,,0,,JR
deon-watson-1,2016,,0,,0,0,0,0,,12.0,6-4,0,0,,0,Deon Watson,,,0,,,,,deon-watson-1,41,18,TE,0,,3,695,17.0,41,0,0,0,,3,0.0,,2016,1,0.0,Idaho,1,3,,222,695,17.0,,0,,SR
deon-watson-1,Career,,1,,0,0,0,0,,,6-4,0,0,,0,Deon Watson,,,0,,,,,deon-watson-1,144,72,TE,0,,12,1868,13.0,144,0,0,0,,12,0.0,,Career,4,0.0,Idaho,5,12,,222,1868,13.0,,0,,
