,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
wes-lunt-1,2012,7.0,0,81,,,,,,6.0,6-5,,,7,,Wes Lunt,,131,,61.8,6,1108,8.5,wes-lunt-1,1,0,QB,,137.3,,,,,1,0,-6,-6.0,0,0.0,,2012,1,0.0,Oklahoma State,1,0,,225,-6,-6.0,,,,FR
wes-lunt-1,2014,7.9,0,153,0.0,0.0,0.0,0.0,,8.0,6-5,0.0,0.0,3,0.0,Wes Lunt,,241,0.0,63.5,14,1763,7.3,wes-lunt-1,16,0,QB,0.0,141.6,0.0,0.0,,0.0,16,0,-80,-5.0,0,0.0,,2014,0,0.0,Illinois,0,0,,225,-80,-5.0,,0.0,,SO
wes-lunt-1,2015,5.8,0,270,0.0,0.0,0.0,0.0,,12.0,6-5,0.0,0.0,6,0.0,Wes Lunt,,481,0.0,56.1,14,2761,5.7,wes-lunt-1,24,6,QB,0.0,111.5,0.0,0.0,,0.0,24,1,-153,-6.4,1,0.0,,2015,0,0.0,Illinois,0,1,,225,-153,-6.4,,0.0,,JR
wes-lunt-1,2016,6.0,0,127,0.0,0.0,0.0,0.0,,8.0,6-5,0.0,0.0,3,0.0,Wes Lunt,,232,0.0,54.7,8,1376,5.9,wes-lunt-1,20,0,QB,0.0,113.4,0.0,0.0,,0.0,20,0,-65,-3.3,0,0.0,,2016,0,0.0,Illinois,0,0,,225,-65,-3.3,,0.0,,SR
wes-lunt-1,Career,6.4,0,631,0.0,0.0,0.0,0.0,,,6-5,0.0,0.0,19,0.0,Wes Lunt,,1085,0.0,58.2,42,7008,6.5,wes-lunt-1,61,6,QB,0.0,121.7,0.0,0.0,,0.0,61,1,-304,-5.0,1,0.0,,Career,1,0.0,Overall,1,1,,225,-304,-5.0,,0.0,,
reilly-otoole-1,2011,1.6,,40,,,,,,10.0,6-4,,,4,,Reilly O'Toole,,67,,59.7,1,270,4.0,reilly-otoole-1,13,0,QB,,86.5,,,,,13,0,47,3.6,0,,,2011,,,Illinois,,0,,220,47,3.6,,,,FR
reilly-otoole-1,2012,5.8,,65,,,,,,8.0,6-4,,,4,,Reilly O'Toole,,87,,74.7,6,564,6.5,reilly-otoole-1,46,12,QB,,142.7,,,,,46,2,76,1.7,2,,,2012,,,Illinois,,2,,220,76,1.7,,,,SO
reilly-otoole-1,2013,7.3,,12,0.0,0.0,,,,5.0,6-4,,,1,0.0,Reilly O'Toole,,16,,75.0,1,141,8.8,reilly-otoole-1,10,0,QB,0.0,157.2,0.0,0.0,,0.0,10,0,34,3.4,0,,,2013,,,Illinois,,0,,220,34,3.4,,,,JR
reilly-otoole-1,2014,5.7,,122,0.0,0.0,,,,10.0,6-4,,,8,0.0,Reilly O'Toole,,206,,59.2,10,1344,6.5,reilly-otoole-1,95,6,QB,0.0,122.3,0.0,0.0,,0.0,95,1,263,2.8,1,,,2014,,,Illinois,,1,,220,263,2.8,,,,SR
reilly-otoole-1,Career,5.1,,239,0.0,0.0,,,,,6-4,,,17,0.0,Reilly O'Toole,,376,,63.6,18,2319,6.2,reilly-otoole-1,164,18,QB,0.0,122.1,0.0,0.0,,0.0,164,3,420,2.6,3,,,Career,,,Illinois,,3,,220,420,2.6,,,,
aaron-bailey-2,2013,4.8,,2,0,0,,,,8.0,6-2,,,0,0,Aaron Bailey,,5,,40.0,1,4,0.8,aaron-bailey-2,20,18,QB,0,112.7,0,0,,0,20,3,83,4.2,3,,,2013,,,Illinois,,3,,225,83,4.2,,,,FR
aaron-bailey-2,2014,4.2,,11,0,0,,,,5.0,6-2,,,1,0,Aaron Bailey,,22,,50.0,1,118,5.4,aaron-bailey-2,32,6,QB,0,101.0,0,0,,0,32,1,120,3.8,1,,,2014,,,Illinois,,1,,225,120,3.8,,,,SO
aaron-bailey-2,Career,4.3,,13,0,0,,,,,6-2,,,1,0,Aaron Bailey,,27,,48.1,2,122,4.5,aaron-bailey-2,52,24,QB,0,103.1,0,0,,0,52,4,203,3.9,4,,,Career,,,Illinois,,4,,225,203,3.9,,,,
