,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
nate-sudfeld-1,2012,8.9,,51,,,,,,7.0,6-6,,,1,,Nate Sudfeld,,82,,62.2,7,632,7.7,nate-sudfeld-1,15,0,QB,,152.7,,,,,15,0,7,0.5,0,,,2012,,,Indiana,,0,,240,7,0.5,,,,FR
nate-sudfeld-1,2013,7.9,0.0,194,0.0,0.0,0.0,0.0,,12.0,6-6,0.0,0.0,9,0.0,Nate Sudfeld,,322,0.0,60.2,21,2523,7.8,nate-sudfeld-1,38,6,QB,0.0,142.0,0.0,0.0,,0.0,38,1,-34,-0.9,1,0.0,,2013,2.0,0.0,Indiana,2.0,1,,240,-34,-0.9,,0.0,,SO
nate-sudfeld-1,2014,6.8,0.0,101,0.0,0.0,0.0,0.0,,7.0,6-6,0.0,0.0,3,0.0,Nate Sudfeld,,167,0.0,60.5,6,1151,6.9,nate-sudfeld-1,36,12,QB,0.0,126.6,0.0,0.0,,0.0,36,2,98,2.7,2,0.0,,2014,4.0,0.0,Indiana,4.0,2,,240,98,2.7,,0.0,,JR
nate-sudfeld-1,2015,9.2,0.0,247,0.0,0.0,0.0,0.0,,12.0,6-6,0.0,0.0,7,0.0,Nate Sudfeld,,412,0.0,60.0,27,3573,8.7,nate-sudfeld-1,46,30,QB,0.0,151.0,0.0,0.0,,0.0,46,5,61,1.3,5,0.0,,2015,0.0,0.0,Indiana,0.0,5,,240,61,1.3,,0.0,,SR
nate-sudfeld-1,Career,8.3,0.0,593,0.0,0.0,0.0,0.0,,,6-6,0.0,0.0,20,0.0,Nate Sudfeld,,983,0.0,60.3,61,7879,8.0,nate-sudfeld-1,135,48,QB,0.0,144.1,0.0,0.0,,0.0,135,8,132,1.0,8,0.0,,Career,6.0,0.0,Indiana,6.0,8,,240,132,1.0,,0.0,,
zander-diamont-1,2014,2.7,0,64,0,0,0,0,,6.0,6-1,0,0,4,0,Zander Diamont,,133,0,48.1,1,515,3.9,zander-diamont-1,55,12,QB,0,77.1,0,0,,0,55,2,133,2.4,2,0.0,,2014,1,0.0,Indiana,1,2,,174,133,2.4,,0,,FR
zander-diamont-1,2015,5.4,0,15,0,0,0,0,,2.0,6-1,0,0,0,0,Zander Diamont,,31,0,48.4,0,166,5.4,zander-diamont-1,19,12,QB,0,93.4,0,16,16.0,1,18,2,136,7.6,2,0.0,,2015,0,0.0,Indiana,0,2,,174,152,8.0,,0,,SO
zander-diamont-1,2016,7.6,0,10,0,0,0,0,,8.0,6-1,0,0,1,0,Zander Diamont,,16,0,62.5,1,147,9.2,zander-diamont-1,39,24,QB,0,147.8,0,0,,0,39,4,244,6.3,4,0.0,,2016,1,0.0,Indiana,1,4,,174,244,6.3,,0,,JR
zander-diamont-1,Career,3.6,0,89,0,0,0,0,,,6-1,0,0,5,0,Zander Diamont,,180,0,49.4,2,828,4.6,zander-diamont-1,113,48,QB,0,86.2,0,16,16.0,1,112,8,513,4.6,8,0.0,,Career,2,0.0,Indiana,2,8,,174,529,4.7,,0,,
nate-boudreau-1,2014,0.0,,0.0,,,,,,2.0,6-4,,,0.0,,Nate Boudreau,,1.0,,0.0,0.0,0.0,0.0,nate-boudreau-1,1,,QB,,0.0,0.0,0.0,,0.0,1.0,0.0,-8.0,-8.0,0,,,2014,,,Indiana,,,,225,-8,-8.0,,,,SO
nate-boudreau-1,2015,,,,,,,,,,6-4,,,,,Nate Boudreau,,,,,,,,nate-boudreau-1,0,,QB,,,,,,,,,,,0,,,2015,,,Indiana,,,,225,0,,,,,JR
nate-boudreau-1,Career,0.0,,0.0,,,,,,,6-4,,,0.0,,Nate Boudreau,,1.0,,0.0,0.0,0.0,0.0,nate-boudreau-1,1,,QB,,0.0,0.0,0.0,,0.0,1.0,0.0,-8.0,-8.0,0,,,Career,,,Indiana,,,,225,-8,-8.0,,,,
tevin-coleman-1,2012,,1,,,,,,,12.0,6-1,,,,1,Tevin Coleman,,,,,,,,tevin-coleman-1,61,12,RB,,,0,49,4.9,10,51,1,225,4.4,1,0.0,,2012,2,0.0,Indiana,3,2,,210,274,4.5,,,,FR
tevin-coleman-1,2013,,0,,0.0,0.0,0.0,0.0,,9.0,6-1,0.0,0.0,,0,Tevin Coleman,,,0.0,,,,,tevin-coleman-1,150,72,RB,0.0,,0,193,10.2,19,131,12,958,7.3,12,0.0,,2013,1,0.0,Indiana,1,12,,210,1151,7.7,,0.0,,SO
tevin-coleman-1,2014,,0,,0.0,0.0,0.0,0.0,,12.0,6-1,0.0,0.0,,0,Tevin Coleman,,,0.0,,,,,tevin-coleman-1,295,90,RB,0.0,,0,141,5.6,25,270,15,2036,7.5,15,0.0,,2014,1,0.0,Indiana,1,15,,210,2177,7.4,,0.0,,JR
tevin-coleman-1,Career,,1,,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,,1,Tevin Coleman,,,0.0,,,,,tevin-coleman-1,506,174,RB,0.0,,0,383,7.1,54,452,28,3219,7.1,28,0.0,,Career,4,0.0,Indiana,5,29,,210,3602,7.1,,0.0,,
dangelo-roberts-1,2011,,0,,,,0.0,0.0,,11.0,5-10,,,,,D'Angelo Roberts,,,1.0,,,,,dangelo-roberts-1,68,24,RB,,,0,61,8.7,7,61,4,263,4.3,4,0.0,,2011,2,0.0,Indiana,2,4,,207,324,4.8,,,,
dangelo-roberts-1,2012,,3,,,,,,,12.0,5-10,,,,,D'Angelo Roberts,,,,,,,,dangelo-roberts-1,98,18,RB,,,0,152,10.1,15,83,3,300,3.6,3,0.0,,2012,1,0.0,Indiana,4,3,,207,452,4.6,,,,SO
dangelo-roberts-1,2013,,0,,0.0,0.0,0.0,0.0,,11.0,5-10,0.0,0.0,,0.0,D'Angelo Roberts,,,0.0,,,,,dangelo-roberts-1,59,6,RB,0.0,,1,57,8.1,7,52,0,232,4.5,1,0.0,,2013,1,0.0,Indiana,1,1,,207,289,4.9,,0.0,,JR
dangelo-roberts-1,2014,,0,,0.0,0.0,0.0,0.0,,12.0,5-10,0.0,0.0,,0.0,D'Angelo Roberts,,,0.0,,,,,dangelo-roberts-1,116,36,RB,0.0,,0,59,6.6,9,107,6,493,4.6,6,0.0,,2014,1,0.0,Indiana,1,6,,207,552,4.8,,0.0,,SR
dangelo-roberts-1,Career,,3,,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,,0.0,D'Angelo Roberts,,,1.0,,,,,dangelo-roberts-1,341,84,RB,0.0,,1,329,8.7,38,303,13,1288,4.3,14,0.0,,Career,5,0.0,Indiana,8,14,,207,1617,4.7,,0.0,,
devine-redding-1,2014,,0,,0,0,0,0,,7.0,5-10,0,0,,0,Devine Redding,,,0,,,,,devine-redding-1,30,6,RB,0,,0,14,14.0,1,29,1,118,4.1,1,0.0,,2014,0,0.0,Indiana,0,1,,208,132,4.4,,0,,FR
devine-redding-1,2015,,0,,0,0,0,0,,13.0,5-10,0,0,,0,Devine Redding,,,0,,,,,devine-redding-1,238,54,RB,0,,0,85,7.1,12,226,9,1012,4.5,9,0.0,,2015,0,0.0,Indiana,0,9,,208,1097,4.6,,0,,SO
devine-redding-1,2016,,0,,0,0,0,0,,13.0,5-10,0,0,,0,Devine Redding,,,0,,,,,devine-redding-1,280,54,RB,0,,2,146,5.4,27,253,7,1122,4.4,9,0.0,,2016,1,0.0,Indiana,1,9,,208,1268,4.5,,0,,JR
devine-redding-1,Career,,0,,0,0,0,0,,,5-10,0,0,,0,Devine Redding,,,0,,,,,devine-redding-1,548,114,RB,0,,2,245,6.1,40,508,17,2252,4.4,19,0.0,,Career,1,0.0,Indiana,1,19,,208,2497,4.6,,0,,
myles-graham-1,2014,,,,0,0,,,,5.0,6-0,,,,0,Myles Graham,,,,,,,,myles-graham-1,14,6,RB,0,,0,0,,0,14,1,81,5.8,1,,,2014,,,Indiana,,1,,218,81,5.8,,,,FR
myles-graham-1,Career,,,,0,0,,,,,6-0,,,,0,Myles Graham,,,,,,,,myles-graham-1,14,6,RB,0,,0,0,,0,14,1,81,5.8,1,,,Career,,,Indiana,,1,,218,81,5.8,,,,
shane-wynn-1,2011,,0,,,,0.0,0.0,,12.0,5-7,,,,1,Shane Wynn,,,0.0,,,,,shane-wynn-1,25,6,WR,,,0,197,10.4,19,6,0,37,6.2,0,0.0,,2011,0,0.0,Indiana,0,1,,167,234,9.4,,,,
shane-wynn-1,2012,,0,,,,,,,12.0,5-7,,,,0,Shane Wynn,,,,,,,,shane-wynn-1,70,36,WR,,,6,660,9.7,68,2,0,23,11.5,6,0.0,,2012,1,0.0,Indiana,1,6,,167,683,9.8,,,,SO
shane-wynn-1,2013,,0,,0.0,0.0,0.0,0.0,,12.0,5-7,0.0,0.0,,0,Shane Wynn,,,0.0,,,,,shane-wynn-1,50,78,WR,1.0,,11,633,13.8,46,4,1,12,3.0,12,0.0,,2013,0,0.0,Indiana,0,13,,167,645,12.9,,0.0,,JR
shane-wynn-1,2014,,0,,0.0,0.0,0.0,0.0,,12.0,5-7,0.0,0.0,,0,Shane Wynn,,,0.0,,,,,shane-wynn-1,60,36,WR,1.0,,3,708,12.6,56,4,2,138,34.5,5,0.0,,2014,0,0.0,Indiana,0,6,,167,846,14.1,,0.0,,SR
shane-wynn-1,Career,,0,,0.0,0.0,0.0,0.0,,,5-7,0.0,0.0,,1,Shane Wynn,,,0.0,,,,,shane-wynn-1,205,156,WR,2.0,,20,2198,11.6,189,16,3,210,13.1,23,0.0,,Career,1,0.0,Indiana,1,26,,167,2408,11.7,,0.0,,
j-shun-harris-ii-1,2014,,,,0.0,0.0,,,,12.0,5-8,,,,0.0,J-Shun Harris II,,,,,,,,j-shun-harris-ii-1,22,12,WR,0.0,,2.0,168.0,9.3,18.0,4.0,0.0,3.0,0.8,2,,,2014,,,Indiana,,2,,170,171,7.8,,,,FR
j-shun-harris-ii-1,2015,,,,,,,,,,5-8,,,,,J-Shun Harris II,,,,,,,,j-shun-harris-ii-1,0,0,WR,,,,,,,,,,,0,,,2015,,,Indiana,,0,,170,0,,,,,SO
j-shun-harris-ii-1,2017,,,,0.0,0.0,,,,7.0,5-8,,,,0.0,J-Shun Harris II,,,,,,,,j-shun-harris-ii-1,3,12,WR,2.0,,0.0,14.0,4.7,3.0,0.0,0.0,0.0,,0,,,2017,,,Indiana,,2,,170,14,4.7,,,,JR
j-shun-harris-ii-1,2018,,,,0.0,0.0,,,,11.0,5-8,,,,0.0,J-Shun Harris II,,,,,,,,j-shun-harris-ii-1,39,18,WR,1.0,,2.0,325.0,8.8,37.0,2.0,0.0,1.0,0.5,2,,,2018,,,Indiana,,3,,170,326,8.4,,,,SR
j-shun-harris-ii-1,Career,,,,0.0,0.0,,,,,5-8,,,,0.0,J-Shun Harris II,,,,,,,,j-shun-harris-ii-1,64,42,WR,3.0,,4.0,507.0,8.7,58.0,6.0,0.0,4.0,0.7,4,,,Career,,,Indiana,,7,,170,511,8.0,,,,
nick-stoner-1,2011,,1,,,,0.0,0.0,,12.0,6-1,,,,0.0,Nick Stoner,,,0.0,,,,,nick-stoner-1,2,0,WR,0,,,,,,2.0,0.0,10.0,5.0,0,0.0,,2011,5,0.0,Indiana,6,0,,190,10,5.0,,,,
