,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
sam-b-richardson-1,2012,8.3,,46,,,,,,4.0,6-2,,,1,,Sam B. Richardson,,79,,58.2,8,541,6.8,sam-b-richardson-1,41,6,QB,,146.6,,,,,41,1,233,5.7,1,,,2012,,,Iowa State,,1,,217,233,5.7,,,,FR
sam-b-richardson-1,2013,5.9,,121,0.0,0.0,,,,11.0,6-2,,,7,0.0,Sam B. Richardson,,220,,55.0,11,1397,6.4,sam-b-richardson-1,101,12,QB,0.0,118.5,0.0,0.0,,0.0,101,2,356,3.5,2,,,2013,,,Iowa State,,2,,217,356,3.5,,,,SO
sam-b-richardson-1,2014,5.8,,254,0.0,0.0,,,,11.0,6-2,,,9,0.0,Sam B. Richardson,,451,,56.3,18,2669,5.9,sam-b-richardson-1,125,18,QB,0.0,115.2,0.0,0.0,,0.0,125,3,421,3.4,3,,,2014,,,Iowa State,,3,,217,421,3.4,,,,JR
sam-b-richardson-1,2015,5.8,,128,0.0,0.0,,,,8.0,6-2,,,8,0.0,Sam B. Richardson,,214,,59.8,8,1443,6.7,sam-b-richardson-1,47,6,QB,0.0,121.3,0.0,0.0,,0.0,47,1,12,0.3,1,,,2015,,,Iowa State,,1,,217,12,0.3,,,,SR
sam-b-richardson-1,Career,6.0,,549,0.0,0.0,,,,,6-2,,,25,0.0,Sam B. Richardson,,964,,57.0,45,6050,6.3,sam-b-richardson-1,314,42,QB,0.0,119.9,0.0,0.0,,0.0,314,7,1022,3.3,7,,,Career,,,Iowa State,,7,,217,1022,3.3,,,,
grant-rohach-1,2013,5.5,,110.0,0.0,0.0,,,,7.0,6-2,,,7.0,0.0,Grant Rohach,,191.0,,57.6,8.0,1208.0,6.3,grant-rohach-1,48,6,QB,0.0,117.2,0.0,-7.0,,0.0,48.0,1.0,89.0,1.9,1,,,2013,,,Iowa State,,1,,218,82,1.7,,,,FR
grant-rohach-1,2014,5.1,,27.0,0.0,0.0,,,,2.0,6-2,,,1.0,0.0,Grant Rohach,,54.0,,50.0,2.0,283.0,5.2,grant-rohach-1,8,0,QB,0.0,102.5,0.0,0.0,,0.0,8.0,0.0,-11.0,-1.4,0,,,2014,,,Iowa State,,0,,218,-11,-1.4,,,,SO
grant-rohach-1,2015,,,,,,,,,,6-2,,,,,Grant Rohach,,,,,,,,grant-rohach-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Iowa State,,0,,218,0,,,,,JR
grant-rohach-1,2016,6.9,,46.0,0.0,0.0,,,,7.0,6-2,,,2.0,0.0,Grant Rohach,,84.0,,54.8,2.0,628.0,7.5,grant-rohach-1,35,0,QB,0.0,120.7,0.0,0.0,,0.0,35.0,0.0,44.0,1.3,0,,,2016,,,Buffalo,,0,,218,44,1.3,,,,SR
grant-rohach-1,Career,5.8,,183.0,0.0,0.0,,,,,6-2,,,10.0,0.0,Grant Rohach,,329.0,,55.6,12.0,2119.0,6.4,grant-rohach-1,91,6,QB,0.0,115.7,0.0,-7.0,,0.0,91.0,1.0,122.0,1.3,1,,,Career,,,Overall,,1,,218,115,1.3,,,,
aaron-wimberly-1,2013,,,,0,0,,,,10.0,5-9,,,,0,Aaron Wimberly,,,,,,,,aaron-wimberly-1,159,24,RB,0,,2,211,11.7,18,141,2,567,4.0,4,,,2013,,,Iowa State,,4,,177,778,4.9,,,,JR
aaron-wimberly-1,2014,,,,0,0,,,,11.0,5-9,,,,0,Aaron Wimberly,,,,,,,,aaron-wimberly-1,174,48,RB,0,,1,222,8.2,27,147,7,642,4.4,8,,,2014,,,Iowa State,,8,,177,864,5.0,,,,SR
aaron-wimberly-1,Career,,,,0,0,,,,,5-9,,,,0,Aaron Wimberly,,,,,,,,aaron-wimberly-1,333,72,RB,0,,3,433,9.6,45,288,9,1209,4.2,12,,,Career,,,Iowa State,,12,,177,1642,4.9,,,,
devondrick-nealy-1,2012,,1,,,,,,,13.0,5-10,,,,0,Devondrick Nealy,,,,,,,,devondrick-nealy-1,19,0,RB,,,0,52,17.3,3,16,0,81,5.1,0,0.0,,2012,0,0.0,Iowa State,1,0,,189,133,7.0,,,,FR
devondrick-nealy-1,2013,,0,,0.0,0.0,0.0,0.0,,10.0,5-10,0.0,0.0,,1,Devondrick Nealy,,,0.0,,,,,devondrick-nealy-1,48,24,RB,0.0,,1,60,8.6,7,41,2,158,3.9,3,0.0,,2013,3,0.0,Iowa State,3,4,,189,218,4.5,,0.0,,SO
devondrick-nealy-1,2014,,1,,0.0,0.0,0.0,0.0,,12.0,5-10,0.0,0.0,,0,Devondrick Nealy,,,0.0,,,,,devondrick-nealy-1,89,12,RB,0.0,,1,187,10.4,18,71,1,273,3.8,2,0.0,,2014,2,0.0,Iowa State,3,2,,189,460,5.2,,0.0,,JR
devondrick-nealy-1,Career,,2,,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,,1,Devondrick Nealy,,,0.0,,,,,devondrick-nealy-1,156,36,RB,0.0,,2,299,10.7,28,128,3,512,4.0,5,0.0,,Career,5,0.0,Iowa State,7,6,,189,811,5.2,,0.0,,
tyler-brown-1,2014,,,,0,0,,,,7.0,6-6,,,,0,Tyler Brown,,,,,,,,tyler-brown-1,27,6,RB,0,,1,23,7.7,3,24,0,109,4.5,1,,,2014,,,Iowa State,,1,,300,132,4.9,,,,FR
tyler-brown-1,2015,,,,0,0,,,,4.0,6-6,,,,0,Tyler Brown,,,,,,,,tyler-brown-1,28,0,RB,0,,0,24,6.0,4,24,0,94,3.9,0,,,2015,,,Iowa State,,0,,300,118,4.2,,,,SO
tyler-brown-1,Career,,,,0,0,,,,,6-6,,,,0,Tyler Brown,,,,,,,,tyler-brown-1,55,6,RB,0,,1,47,6.7,7,48,0,203,4.2,1,,,Career,,,Iowa State,,1,,300,250,4.5,,,,
martinez-syria-1,2014,,,,0,0,,,,5.0,6-0,,,,0,Martinez Syria,,,,,,,,martinez-syria-1,21,6,RB,0,,0,6,6.0,1,20,1,47,2.4,1,,,2014,,,Iowa State,,1,,205,53,2.5,,,,FR
