,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jake-rudock-1,2013,6.2,0,204,0,0,0,0,,13.0,6-3,0,0,13,0,Jake Rudock,,346,0,59.0,18,2383,6.9,jake-rudock-1,67,30,QB,0,126.5,0,13,,0,67,5,218,3.3,5,0.0,,2013,2,0.0,Iowa,2,5,,208,231,3.4,,0,,SO
jake-rudock-1,2014,7.3,0,213,0,0,0,0,,12.0,6-3,0,0,5,0,Jake Rudock,,345,0,61.7,16,2436,7.1,jake-rudock-1,67,18,QB,0,133.5,0,0,,0,67,3,176,2.6,3,0.0,,2014,0,0.0,Iowa,0,3,,208,176,2.6,,0,,JR
jake-rudock-1,2015,7.7,1,249,0,0,0,0,,13.0,6-3,0,0,9,0,Jake Rudock,,389,0,64.0,20,3017,7.8,jake-rudock-1,59,24,QB,0,141.5,0,-3,-3.0,1,58,4,166,2.9,4,0.0,,2015,2,0.0,Michigan,3,4,,208,163,2.8,,0,,SR
jake-rudock-1,Career,7.1,1,666,0,0,0,0,,,6-3,0,0,27,0,Jake Rudock,,1080,0,61.7,54,7836,7.3,jake-rudock-1,193,72,QB,0,134.1,0,10,10.0,1,192,12,560,2.9,12,0.0,,Career,4,0.0,Overall,5,12,,208,570,3.0,,0,,
cj-beathard-1,2013,4.0,0,9,0,0,0,0,,5.0,6-2,0,0,2,0,C.J. Beathard,,27,0,33.3,1,179,6.6,cj-beathard-1,13,12,QB,0,86.4,0,0,,0,13,2,49,3.8,2,0.0,,2013,1,0.0,Iowa,1,2,,219,49,3.8,,0,,FR
cj-beathard-1,2014,7.1,0,52,0,0,0,0,,8.0,6-2,0,0,2,0,C.J. Beathard,,92,0,56.5,5,645,7.0,cj-beathard-1,28,0,QB,0,129.0,0,0,,0,28,0,156,5.6,0,0.0,,2014,0,0.0,Iowa,0,0,,219,156,5.6,,0,,SO
cj-beathard-1,2015,8.1,0,223,0,0,0,0,,14.0,6-2,0,0,5,0,C.J. Beathard,,362,0,61.6,17,2809,7.8,cj-beathard-1,100,36,QB,0,139.5,0,0,,0,100,6,237,2.4,6,0.0,,2015,0,0.0,Iowa,0,6,,219,237,2.4,,0,,JR
cj-beathard-1,2016,6.0,0,170,0,0,0,0,,13.0,6-2,0,0,10,0,C.J. Beathard,,301,0,56.5,17,1929,6.4,cj-beathard-1,83,12,QB,0,122.3,0,0,,0,83,2,-13,-0.2,2,0.0,,2016,0,0.0,Iowa,0,2,,219,-13,-0.2,,0,,SR
cj-beathard-1,Career,7.0,0,454,0,0,0,0,,,6-2,0,0,19,0,C.J. Beathard,,782,0,58.1,40,5562,7.1,cj-beathard-1,224,60,QB,0,129.8,0,0,,0,224,10,429,1.9,10,0.0,,Career,1,0.0,Iowa,1,10,,219,429,1.9,,0,,
mark-weisman-1,2012,,,,,,,,,10.0,6-0,,,,0,Mark Weisman,,,,,,,,mark-weisman-1,174,54,RB,,,1,90,6.0,15,159,8,815,5.1,9,,,2012,,,Iowa,,9,,240,905,5.2,,,,SO
