,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
jake-waters-1,2013,9.3,,159,0,0,,,,13.0,6-1,,,9,0,Jake Waters,,260,,61.2,18,2469,9.5,jake-waters-1,118,36,QB,0,156.8,0,0,,0,118,6,312,2.6,6,,,2013,,,Kansas State,,6,,210,312,2.6,,,,JR
jake-waters-1,2014,9.1,,262,0,0,,,,13.0,6-1,,,7,0,Jake Waters,,397,,66.0,22,3501,8.8,jake-waters-1,154,54,QB,0,154.8,0,0,,0,154,9,484,3.1,9,,,2014,,,Kansas State,,9,,210,484,3.1,,,,SR
jake-waters-1,Career,9.2,,421,0,0,,,,,6-1,,,16,0,Jake Waters,,657,,64.1,40,5970,9.1,jake-waters-1,272,90,QB,0,155.6,0,0,,0,272,15,796,2.9,15,,,Career,,,Kansas State,,15,,210,796,2.9,,,,
joe-hubener-1,2013,,,0,0,0,,,,1.0,6-5,,,0,0,Joe Hubener,,0,,,0,0,,joe-hubener-1,2,0,QB,0,,0,0,,0,2,0,5,2.5,0,,,2013,,,Kansas State,,0,,212,5,2.5,,,,FR
joe-hubener-1,2014,12.4,,9,0,0,,,,6.0,6-5,,,1,0,Joe Hubener,,17,,52.9,1,235,13.8,joe-hubener-1,27,18,QB,0,176.7,0,0,,0,27,3,142,5.3,3,,,2014,,,Kansas State,,3,,212,142,5.3,,,,SO
joe-hubener-1,2015,5.7,,131,0,0,,,,13.0,6-5,,,10,0,Joe Hubener,,275,,47.6,9,1837,6.7,joe-hubener-1,180,78,QB,0,107.3,0,0,,0,180,13,613,3.4,13,,,2015,,,Kansas State,,13,,212,613,3.4,,,,JR
joe-hubener-1,2016,6.4,,22,0,0,,,,5.0,6-5,,,1,0,Joe Hubener,,39,,56.4,1,275,7.1,joe-hubener-1,21,12,QB,0,119.0,0,0,,0,21,2,20,1.0,2,,,2016,,,Kansas State,,2,,212,20,1.0,,,,SR
joe-hubener-1,Career,6.1,,162,0,0,,,,,6-5,,,12,0,Joe Hubener,,331,,48.9,11,2347,7.1,joe-hubener-1,230,108,QB,0,112.2,0,0,,0,230,18,780,3.4,18,,,Career,,,Kansas State,,18,,212,780,3.4,,,,
jesse-ertz-1,2014,,0,0,0,0,0,0,,4.0,6-3,0,0,0,0,Jesse Ertz,,0,0,,0,0,,jesse-ertz-1,7,0,QB,0,,0,0,,0,7,0,46,6.6,0,0.0,,2014,0,0.0,Kansas State,0,0,,212,46,6.6,,0,,FR
jesse-ertz-1,2015,,0,0,0,0,0,0,,1.0,6-3,0,0,0,0,Jesse Ertz,,0,0,,0,0,,jesse-ertz-1,1,0,QB,0,,0,0,,0,1,0,5,5.0,0,0.0,,2015,0,0.0,Kansas State,0,0,,212,5,5.0,,0,,SO
