,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
mike-cummings-1,2013,16.0,0.0,3.0,0.0,0.0,0.0,0.0,,3.0,5-10,0.0,0.0,0.0,0.0,Mike Cummings,,4.0,0.0,75.0,1.0,44.0,11.0,mike-cummings-1,11,0,QB,0.0,249.9,0.0,0.0,,0.0,11.0,0.0,-4.0,-0.4,0,0.0,,2013,1.0,0.0,Kansas,1.0,0,,212,-4,-0.4,,0.0,,SO
mike-cummings-1,2014,6.7,0.0,137.0,0.0,0.0,0.0,0.0,,12.0,5-10,0.0,0.0,6.0,0.0,Mike Cummings,,244.0,0.0,56.1,9.0,1715.0,7.0,mike-cummings-1,67,24,QB,0.0,122.4,0.0,0.0,,0.0,67.0,4.0,23.0,0.3,4,0.0,,2014,0.0,0.0,Kansas,0.0,4,,212,23,0.3,,0.0,,JR
mike-cummings-1,2015,,,,,,,,,,5-10,,,,,Mike Cummings,,,,,,,,mike-cummings-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Kansas,,0,,212,0,,,,,SR
mike-cummings-1,Career,6.8,0.0,140.0,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,6.0,0.0,Mike Cummings,,248.0,0.0,56.5,10.0,1759.0,7.1,mike-cummings-1,78,24,QB,0.0,124.5,0.0,0.0,,0.0,78.0,4.0,19.0,0.2,4,0.0,,Career,1.0,0.0,Kansas,1.0,4,,212,19,0.2,,0.0,,
montell-cozart-1,2013,2.2,,23,0,0,,,,7.0,6-1,,,2,0,Montell Cozart,,63,,36.5,0,227,3.6,montell-cozart-1,66,6,QB,0,60.4,0,0,,0,66,1,214,3.2,1,,,2013,,,Kansas,,1,,205,214,3.2,,,,FR
montell-cozart-1,2014,3.8,,64,0,0,,,,6.0,6-1,,,7,0,Montell Cozart,,128,,50.0,5,701,5.5,montell-cozart-1,53,0,QB,0,98.0,0,5,5.0,1,52,0,63,1.2,0,,,2014,,,Kansas,,0,,205,68,1.3,,,,SO
montell-cozart-1,2015,7.1,,66,0,0,,,,4.0,6-1,,,1,0,Montell Cozart,,105,,62.9,2,752,7.2,montell-cozart-1,45,6,QB,0,127.4,0,0,,0,45,1,113,2.5,1,,,2015,,,Kansas,,1,,205,113,2.5,,,,JR
montell-cozart-1,2016,4.2,,112,0,0,,,,7.0,6-1,,,9,0,Montell Cozart,,191,,58.6,7,1075,5.6,montell-cozart-1,28,0,QB,0,108.6,0,0,,0,28,0,91,3.3,0,,,2016,,,Kansas,,0,,205,91,3.3,,,,JR
montell-cozart-1,2017,9.4,,61,0,0,,,,14.0,6-1,,,1,0,Montell Cozart,,97,,62.9,10,754,7.8,montell-cozart-1,89,24,QB,0,160.1,0,45,15.0,3,86,4,361,4.2,4,,,2017,,,Boise State,,4,,205,406,4.6,,,,SR
montell-cozart-1,Career,5.3,,326,0,0,,,,,6-1,,,20,0,Montell Cozart,,584,,55.8,24,3509,6.0,montell-cozart-1,281,36,QB,0,113.0,0,50,12.5,4,277,6,842,3.0,6,,,Career,,,Overall,,6,,205,892,3.2,,,,
tj-millweard-1,2014,4.7,,2,,,,,,3.0,6-4,,,0,,T.J. Millweard,,3,,66.7,0,14,4.7,tj-millweard-1,,,QB,,105.9,,,,,,,,,,,,2014,,,Kansas,,,,219,,,,,,SO
tj-millweard-1,2015,-45.0,,0,,,,,,1.0,6-4,,,1,,T.J. Millweard,,1,,0.0,0,0,0.0,tj-millweard-1,,,QB,,-200.0,,,,,,,,,,,,2015,,,Kansas,,,,219,,,,,,JR
tj-millweard-1,Career,-7.8,,2,,,,,,,6-4,,,1,,T.J. Millweard,,4,,50.0,0,14,3.5,tj-millweard-1,,,QB,,29.4,,,,,,,,,,,,Career,,,Kansas,,,,219,,,,,,
corey-avery-1,2014,,,,0,0,,,,12.0,5-10,,,,0,Corey Avery,,,,,,,,corey-avery-1,169,36,RB,0,,1,217,12.1,18,151,5,631,4.2,6,,,2014,,,Kansas,,6,,170,848,5.0,,,,FR
corey-avery-1,Career,,,,0,0,,,,,5-10,,,,0,Corey Avery,,,,,,,,corey-avery-1,169,36,RB,0,,1,217,12.1,18,151,5,631,4.2,6,,,Career,,,Kansas,,6,,170,848,5.0,,,,
deandre-mann-1,2014,,0,,0,0,0,0,,9.0,5-9,0,0,,0,De'Andre Mann,,,0,,,,,deandre-mann-1,93,0,RB,0,,0,56,7.0,8,85,0,399,4.7,0,0.0,,2014,1,0.0,Kansas,1,0,,205,455,4.9,,0,,JR
deandre-mann-1,2015,,0,,0,0,0,0,,11.0,5-9,0,0,,0,De'Andre Mann,,,0,,,,,deandre-mann-1,86,6,RB,0,,0,76,7.6,10,76,1,387,5.1,1,0.0,,2015,0,0.0,Kansas,0,1,,205,463,5.4,,0,,SR
deandre-mann-1,Career,,0,,0,0,0,0,,,5-9,0,0,,0,De'Andre Mann,,,0,,,,,deandre-mann-1,179,6,RB,0,,0,132,7.3,18,161,1,786,4.9,1,0.0,,Career,1,0.0,Kansas,1,1,,205,918,5.1,,0,,
ed-fink-1,2011,,,,,,,,,3.0,6-2,,,,,Ed Fink,,,,,,,,ed-fink-1,0,,RB,,,,,,,,,,,0,,,2011,,,Kansas,,,,235,0,,,,,FR
