,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
colin-reardon-1,2013,5.7,0,186,0,0,0,0,,11.0,6-1,0,0,9,0,Colin Reardon,,316,0,58.9,12,1957,6.2,colin-reardon-1,88,12,QB,0,117.7,0,0,,0,88,2,336,3.8,2,0.0,,2013,0,0.0,Kent State,0,2,,234,336,3.8,,0,,FR
colin-reardon-1,2014,5.1,0,228,0,0,0,0,,11.0,6-1,0,0,16,0,Colin Reardon,,400,0,57.0,14,2466,6.2,colin-reardon-1,59,12,QB,0,112.3,0,0,,0,59,2,148,2.5,2,0.0,,2014,0,0.0,Kent State,0,2,,234,148,2.5,,0,,SO
colin-reardon-1,2015,4.9,1,81,0,0,0,0,,9.0,6-1,0,0,4,0,Colin Reardon,,176,0,46.0,7,901,5.1,colin-reardon-1,39,0,QB,0,97.6,0,0,,0,39,0,122,3.1,0,0.0,,2015,1,0.0,Kent State,2,0,,234,122,3.1,,0,,JR
colin-reardon-1,2016,1.0,0,1,0,0,0,0,,2.0,6-1,0,0,0,0,Colin Reardon,,3,0,33.3,0,3,1.0,colin-reardon-1,1,0,QB,0,41.7,0,0,,0,1,0,2,2.0,0,0.0,,2016,0,0.0,Kent State,0,0,,234,2,2.0,,0,,SR
colin-reardon-1,Career,5.2,1,496,0,0,0,0,,,6-1,0,0,29,0,Colin Reardon,,895,0,55.4,33,5327,6.0,colin-reardon-1,187,24,QB,0,111.1,0,0,,0,187,4,608,3.3,4,0.0,,Career,1,0.0,Kent State,2,4,,234,608,3.3,,0,,
nathan-strock-1,2014,2.5,,16.0,,,,,,7.0,6-2,,,1.0,,Nathan Strock,,40.0,,40.0,2.0,104.0,2.6,nathan-strock-1,15,,QB,,73.3,0.0,0.0,,0.0,15.0,0.0,64.0,4.3,0,,,2014,,,Kent State,,,,185,64,4.3,,,,FR
nathan-strock-1,2015,,,,,,,,,,6-2,,,,,Nathan Strock,,,,,,,,nathan-strock-1,0,,QB,,,,,,,,,,,0,,,2015,,,Kent State,,,,185,0,,,,,SO
nathan-strock-1,Career,2.5,,16.0,,,,,,,6-2,,,1.0,,Nathan Strock,,40.0,,40.0,2.0,104.0,2.6,nathan-strock-1,15,,QB,,73.3,0.0,0.0,,0.0,15.0,0.0,64.0,4.3,0,,,Career,,,Kent State,,,,185,64,4.3,,,,
jack-williams-3,2014,0.0,,0,,,,,,1.0,6-4,,,0,,Jack Williams,,1,,0.0,0,0,0.0,jack-williams-3,,,QB,,0.0,,,,,,,,,,,,2014,,,Kent State,,,,216,,,,,,SO
jack-williams-3,Career,0.0,,0,,,,,,,6-4,,,0,,Jack Williams,,1,,0.0,0,0,0.0,jack-williams-3,,,QB,,0.0,,,,,,,,,,,,Career,,,Kent State,,,,216,,,,,,
anthony-meray-1,2011,,0.0,,,,0.0,0.0,,10.0,5-8,,,,,Anthony Meray,,,0.0,,,,,anthony-meray-1,69,12,RB,,,0,-1,-0.3,3,66,2,244,3.7,2,0.0,,2011,0.0,0.0,Kent State,0.0,2,,196,243,3.5,,,,FR
anthony-meray-1,2012,,,,,,,,,7.0,5-8,,,,,Anthony Meray,,,,,,,,anthony-meray-1,10,0,RB,,,0,7,7.0,1,9,0,8,0.9,0,,,2012,,,Kent State,,0,,196,15,1.5,,,,SO
anthony-meray-1,2013,,0.0,,0.0,0.0,0.0,0.0,,11.0,5-8,0.0,0.0,,0.0,Anthony Meray,,,1.0,,,,,anthony-meray-1,59,6,RB,0.0,,0,27,5.4,5,54,1,248,4.6,1,0.0,,2013,0.0,0.0,Kent State,0.0,1,,196,275,4.7,,0.0,,JR
anthony-meray-1,2014,,3.0,,0.0,0.0,0.0,0.0,,9.0,5-8,0.0,0.0,,0.0,Anthony Meray,,,0.0,,,,,anthony-meray-1,54,6,RB,0.0,,0,28,5.6,5,49,1,150,3.1,1,0.0,,2014,1.0,0.0,Kent State,4.0,1,,196,178,3.3,,0.0,,SR
anthony-meray-1,Career,,3.0,,0.0,0.0,0.0,0.0,,,5-8,0.0,0.0,,0.0,Anthony Meray,,,1.0,,,,,anthony-meray-1,192,24,RB,0.0,,0,61,4.4,14,178,4,650,3.7,4,0.0,,Career,1.0,0.0,Kent State,4.0,4,,196,711,3.7,,0.0,,
miles-hibbler-1,2014,,0,,,,0,0,,6.0,5-11,0,0,,,Miles Hibbler,,,0,,,,,miles-hibbler-1,12,,RB,,,0,0,,0,12,0,37,3.1,0,0.0,,2014,0,0.0,Kent State,0,,,206,37,3.1,,0,,FR
miles-hibbler-1,2015,,0,,,,0,0,,6.0,5-11,0,0,,,Miles Hibbler,,,0,,,,,miles-hibbler-1,13,,RB,,,0,5,5.0,1,12,0,23,1.9,0,0.0,,2015,1,0.0,Kent State,1,,,206,28,2.2,,0,,SO
miles-hibbler-1,2017,,0,,,,0,0,,1.0,5-11,0,0,,,Miles Hibbler,,,0,,,,,miles-hibbler-1,1,,RB,,,0,0,,0,1,0,-4,-4.0,0,0.0,,2017,0,0.0,Kent State,0,,,206,-4,-4.0,,0,,SR
miles-hibbler-1,Career,,0,,,,0,0,,,5-11,0,0,,,Miles Hibbler,,,0,,,,,miles-hibbler-1,26,,RB,,,0,5,5.0,1,25,0,56,2.2,0,0.0,,Career,1,0.0,Kent State,1,,,206,61,2.3,,0,,
nick-holley-1,2013,,1,0,0,0,0,0,,9.0,5-10,0,0,0,0,Nick Holley,,0,0,,0,0,,nick-holley-1,0,0,WR,0,,0,0,,0,0,0,0,,0,0.0,,2013,9,0.0,Kent State,10,0,,200,0,,,0,,FR
nick-holley-1,2014,0.0,0,0,0,0,0,0,,11.0,5-10,0,0,0,0,Nick Holley,,1,0,0.0,0,0,0.0,nick-holley-1,152,24,WR,0,0.0,1,199,7.4,27,125,3,516,4.1,4,0.0,,2014,2,0.0,Kent State,2,4,,200,715,4.7,,0,,SO
nick-holley-1,2015,,1,0,0,0,0,0,,3.0,5-10,0,0,0,0,Nick Holley,,0,0,,0,0,,nick-holley-1,41,12,RB,0,,2,46,6.6,7,34,0,133,3.9,2,0.0,,2015,0,0.0,Kent State,1,2,,200,179,4.4,,0,,JR
nick-holley-1,2016,5.6,1,72,0,0,0,0,,11.0,5-10,0,0,3,0,Nick Holley,,146,0,49.3,4,868,5.9,nick-holley-1,208,72,RB,0,104.2,2,135,10.4,13,195,10,920,4.7,12,0.0,,2016,3,0.0,Kent State,4,12,,200,1055,5.1,,0,,JR
