,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
patrick-towles-1,2012,5.2,,19,,,,,,5.0,6-5,,,1,,Patrick Towles,,40,,47.5,1,233,5.8,patrick-towles-1,11,0,QB,,99.7,,,,,11,0,-14,-1.3,0,,,2012,,,Kentucky,,0,,253,-14,-1.3,,,,FR
patrick-towles-1,2014,6.6,0.0,225,0.0,0.0,0.0,0.0,,12.0,6-5,0.0,0.0,9,0.0,Patrick Towles,,393,0.0,57.3,14,2718,6.9,patrick-towles-1,146,36,QB,0.0,122.5,0.0,11.0,11.0,1.0,145,6,303,2.1,6,0.0,,2014,1.0,0.0,Kentucky,1.0,6,,253,314,2.2,,0.0,,SO
patrick-towles-1,2015,5.2,0.0,183,0.0,0.0,0.0,0.0,,11.0,6-5,0.0,0.0,14,0.0,Patrick Towles,,326,0.0,56.1,9,2148,6.6,patrick-towles-1,72,30,QB,0.0,112.0,0.0,1.0,1.0,1.0,71,5,64,0.9,5,0.0,,2015,3.0,0.0,Kentucky,3.0,5,,253,65,0.9,,0.0,,JR
patrick-towles-1,2016,6.1,0.0,138,0.0,0.0,0.0,0.0,,13.0,6-5,0.0,0.0,7,0.0,Patrick Towles,,273,0.0,50.5,12,1730,6.3,patrick-towles-1,117,30,QB,0.0,113.2,1.0,25.0,12.5,2.0,115,4,294,2.6,5,0.0,,2016,1.0,0.0,Boston College,1.0,5,,253,319,2.7,,0.0,,SR
patrick-towles-1,Career,6.0,0.0,565,0.0,0.0,0.0,0.0,,,6-5,0.0,0.0,31,0.0,Patrick Towles,,1032,0.0,54.7,36,6829,6.6,patrick-towles-1,346,96,QB,0.0,115.8,1.0,37.0,9.3,4.0,342,15,647,1.9,16,0.0,,Career,5.0,0.0,Overall,5.0,16,,253,684,2.0,,0.0,,
reese-phillips-1,2014,0.0,,2.0,,,,,,3.0,6-2,,,1.0,,Reese Phillips,,9.0,,22.2,0.0,45.0,5.0,reese-phillips-1,4,,QB,,42.0,0.0,0.0,,0.0,4.0,0.0,18.0,4.5,0,,,2014,,,Kentucky,,,,225,18,4.5,,,,FR
reese-phillips-1,2015,,,,,,,,,,6-2,,,,,Reese Phillips,,,,,,,,reese-phillips-1,0,,QB,,,,,,,,,,,0,,,2015,,,Kentucky,,,,225,0,,,,,SO
reese-phillips-1,Career,0.0,,2.0,,,,,,,6-2,,,1.0,,Reese Phillips,,9.0,,22.2,0.0,45.0,5.0,reese-phillips-1,4,,QB,,42.0,0.0,0.0,,0.0,4.0,0.0,18.0,4.5,0,,,Career,,,Kentucky,,,,225,18,4.5,,,,
jojo-kemp-1,2013,,0,0,0,0,0,0,,12.0,5-10,0,0,0,0,Jojo Kemp,,0,0,,0,0,,jojo-kemp-1,109,18,RB,0,,0,56,6.2,9,100,3,482,4.8,3,0.0,,2013,0,0.0,Kentucky,0,3,,200,538,4.9,,0,,FR
jojo-kemp-1,2014,-45.0,0,0,0,0,0,0,,11.0,5-10,0,0,1,0,Jojo Kemp,,1,0,0.0,0,0,0.0,jojo-kemp-1,73,24,RB,0,-200.0,0,12,4.0,3,70,4,323,4.6,4,0.0,,2014,1,0.0,Kentucky,1,4,,200,335,4.6,,0,,SO
jojo-kemp-1,2015,,0,0,0,0,1,1,,12.0,5-10,0,0,0,0,Jojo Kemp,,0,0,,0,0,,jojo-kemp-1,102,36,RB,0,,0,12,3.0,4,98,6,555,5.7,6,0.0,,2015,1,0.0,Kentucky,1,6,,200,567,5.6,,0,,JR
jojo-kemp-1,2016,14.0,0,1,0,0,0,0,,10.0,5-10,0,0,0,0,Jojo Kemp,,1,0,100.0,0,14,14.0,jojo-kemp-1,72,36,RB,0,217.6,0,5,2.5,2,70,6,349,5.0,6,0.0,,2016,0,0.0,Kentucky,0,6,,200,354,4.9,,0,,SR
jojo-kemp-1,Career,-15.5,0,1,0,0,1,1,,,5-10,0,0,1,0,Jojo Kemp,,2,0,50.0,0,14,7.0,jojo-kemp-1,356,114,RB,0,8.8,0,85,4.7,18,338,19,1709,5.1,19,0.0,,Career,2,0.0,Kentucky,2,19,,200,1794,5.0,,0,,
braylon-heard-1,2011,,,,,,,,,7.0,5-11,,,,,Braylon Heard,,,,,,,,braylon-heard-1,26,6,RB,,,0,1,1.0,1,25,1,114,4.6,1,,,2011,,,Nebraska,,1,,189,115,4.4,,,,FR
braylon-heard-1,2012,,,,,,,,,12.0,5-11,,,,,Braylon Heard,,,,,,,,braylon-heard-1,55,18,RB,,,0,18,6.0,3,52,3,348,6.7,3,,,2012,,,Nebraska,,3,,189,366,6.7,,,,SO
braylon-heard-1,2014,,,,0.0,0.0,,,,11.0,5-11,,,,0.0,Braylon Heard,,,,,,,,braylon-heard-1,93,24,RB,0.0,,0,108,5.1,21,72,4,366,5.1,4,,,2014,,,Kentucky,,4,,189,474,5.1,,,,JR
braylon-heard-1,Career,,,,0.0,0.0,,,,,5-11,,,,0.0,Braylon Heard,,,,,,,,braylon-heard-1,174,48,RB,0.0,,0,127,5.1,25,149,8,828,5.6,8,,,Career,,,Overall,,8,,189,955,5.5,,,,
mikel-horton-1,2014,,,,0,0,,,,11.0,6-1,,,,0,Mikel Horton,,,,,,,,mikel-horton-1,61,12,RB,0,,0,-6,-3.0,2,59,2,306,5.2,2,,,2014,,,Kentucky,,2,,230,300,4.9,,,,FR
mikel-horton-1,2015,,,,0,0,,,,12.0,6-1,,,,0,Mikel Horton,,,,,,,,mikel-horton-1,92,18,RB,0,,0,140,14.0,10,82,3,318,3.9,3,,,2015,,,Kentucky,,3,,230,458,5.0,,,,SO
mikel-horton-1,2016,,,,0,0,,,,1.0,6-1,,,,0,Mikel Horton,,,,,,,,mikel-horton-1,3,0,RB,0,,0,0,,0,3,0,12,4.0,0,,,2016,,,Kentucky,,0,,230,12,4.0,,,,JR
