,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
brooks-haack-1,2013,5.7,,21,0,0,,,,5.0,6-1,,,1,0,Brooks Haack,,35,,60.0,1,224,6.4,brooks-haack-1,14,0,QB,0,117.5,0,0,,0,14,0,-1,-0.1,0,,,2013,,,Louisiana,,0,,212,-1,-0.1,,,,FR
brooks-haack-1,2014,9.5,,20,0,0,,,,5.0,6-1,,,0,0,Brooks Haack,,23,,87.0,2,179,7.8,brooks-haack-1,7,0,QB,0,181.0,0,0,,0,7,0,9,1.3,0,,,2014,,,Louisiana,,0,,212,9,1.3,,,,SO
brooks-haack-1,2015,5.9,,123,0,0,,,,10.0,6-1,,,7,0,Brooks Haack,,201,,61.2,5,1407,7.0,brooks-haack-1,46,12,QB,0,121.2,0,0,,0,46,2,83,1.8,2,,,2015,,,Louisiana,,2,,212,83,1.8,,,,JR
brooks-haack-1,Career,6.2,,164,0,0,,,,,6-1,,,8,0,Brooks Haack,,259,,63.3,8,1810,7.0,brooks-haack-1,67,12,QB,0,126.0,0,0,,0,67,2,91,1.4,2,,,Career,,,Louisiana,,2,,212,91,1.4,,,,
jalen-nixon-1,2013,6.9,0,6,0,0,0,0,,3.0,6-2,0,0,1,0,Jalen Nixon,,12,0,50.0,1,108,9.0,jalen-nixon-1,9,0,RB,0,136.4,0,0,,0,9,0,34,3.8,0,0.0,,2013,0,0.0,Louisiana,0,0,,226,34,3.8,,0,,FR
jalen-nixon-1,2014,1.0,0,1,0,0,0,0,,3.0,6-2,0,0,0,0,Jalen Nixon,,1,0,100.0,0,1,1.0,jalen-nixon-1,2,0,QB,0,108.4,0,0,,0,2,0,9,4.5,0,0.0,,2014,1,0.0,Louisiana,1,0,,226,9,4.5,,0,,SO
jalen-nixon-1,2015,5.2,0,76,0,0,0,0,,10.0,6-2,0,0,5,0,Jalen Nixon,,142,0,53.5,7,828,5.8,jalen-nixon-1,61,30,QB,0,111.7,0,0,,0,61,5,406,6.7,5,0.0,,2015,1,0.0,Louisiana,1,5,,226,406,6.7,,0,,JR
jalen-nixon-1,2016,6.5,0,8,0,0,0,0,,5.0,6-2,0,0,0,0,Jalen Nixon,,13,0,61.5,0,84,6.5,jalen-nixon-1,17,0,RB,0,115.8,0,0,,0,17,0,77,4.5,0,0.0,,2016,1,0.0,Louisiana,1,0,,226,77,4.5,,0,,SR
jalen-nixon-1,Career,5.4,0,91,0,0,0,0,,,6-2,0,0,6,0,Jalen Nixon,,168,0,54.2,8,1021,6.1,jalen-nixon-1,89,30,RB,0,113.8,0,0,,0,89,5,526,5.9,5,0.0,,Career,3,0.0,Louisiana,3,5,,226,526,5.9,,0,,
elijah-mcguire-1,2013,,0,0,0,0,0,0,,13.0,5-11,0,0,0,0,Elijah McGuire,,0,0,,0,0,,elijah-mcguire-1,125,66,RB,0,,3,384,17.5,22,103,8,863,8.4,11,0.0,,2013,1,0.0,Louisiana,1,11,,208,1247,10.0,,0,,FR
elijah-mcguire-1,2014,0.0,0,0,0,0,0,0,,13.0,5-11,0,0,0,0,Elijah McGuire,,1,0,0.0,0,0,0.0,elijah-mcguire-1,211,96,RB,0,0.0,2,468,10.4,45,166,14,1264,7.6,16,0.0,,2014,1,0.0,Louisiana,1,16,,208,1732,8.2,,0,,SO
elijah-mcguire-1,2015,0.0,0,0,0,0,0,0,,12.0,5-11,0,0,0,0,Elijah McGuire,,2,0,0.0,0,0,0.0,elijah-mcguire-1,243,96,RB,0,0.0,3,304,8.9,34,209,13,1047,5.0,16,0.0,,2015,1,0.0,Louisiana,1,16,,208,1351,5.6,,0,,JR
elijah-mcguire-1,2016,,0,0,0,0,0,0,,13.0,5-11,0,0,0,0,Elijah McGuire,,0,0,,0,0,,elijah-mcguire-1,261,54,RB,0,,2,238,8.2,29,232,7,1127,4.9,9,0.0,,2016,0,0.0,Louisiana,0,9,,208,1365,5.2,,0,,SR
elijah-mcguire-1,Career,0.0,0,0,0,0,0,0,,,5-11,0,0,0,0,Elijah McGuire,,3,0,0.0,0,0,0.0,elijah-mcguire-1,840,312,RB,0,0.0,10,1394,10.7,130,710,42,4301,6.1,52,0.0,,Career,3,0.0,Louisiana,3,52,,208,5695,6.8,,0,,
alonzo-harris-2,2011,0.0,1.0,0.0,,,0.0,0.0,,12.0,6-1,,,0.0,,Alonzo Harris,,1.0,0.0,0.0,0.0,0.0,0.0,alonzo-harris-2,178,54,RB,,0.0,1,146,9.7,15,163,8,700,4.3,9,0.0,,2011,1.0,0.0,Louisiana,2.0,9,,238,846,4.8,,,,FR
alonzo-harris-2,2012,,,,,,,,,12.0,6-1,,,,,Alonzo Harris,,,,,,,,alonzo-harris-2,174,60,RB,,,0,27,6.8,4,170,10,881,5.2,10,,,2012,,,Louisiana,,10,,238,908,5.2,,,,SO
alonzo-harris-2,2013,,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,6-1,0.0,0.0,0.0,0.0,Alonzo Harris,,0.0,0.0,,0.0,0.0,,alonzo-harris-2,203,84,RB,0.0,,0,30,7.5,4,199,14,942,4.7,14,0.0,,2013,0.0,0.0,Louisiana,0.0,14,,238,972,4.8,,0.0,,JR
alonzo-harris-2,2014,,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,6-1,0.0,0.0,0.0,0.0,Alonzo Harris,,0.0,0.0,,0.0,0.0,,alonzo-harris-2,178,72,RB,0.0,,0,31,5.2,6,172,12,807,4.7,12,0.0,,2014,0.0,0.0,Louisiana,0.0,12,,238,838,4.7,,0.0,,SR
alonzo-harris-2,Career,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,0.0,0.0,Alonzo Harris,,1.0,0.0,0.0,0.0,0.0,0.0,alonzo-harris-2,733,270,RB,0.0,0.0,1,234,8.1,29,704,44,3330,4.7,45,0.0,,Career,1.0,0.0,Louisiana,2.0,45,,238,3564,4.9,,0.0,,
effrem-reed-1,2012,,0,,,,,,,13.0,5-8,,,,0,Effrem Reed,,,,,,,,effrem-reed-1,94,30,RB,,,0,82,10.3,8,86,5,414,4.8,5,0.0,,2012,1,0.0,Louisiana,1,5,,214,496,5.3,,,,FR
effrem-reed-1,2013,,0,,0.0,0.0,0.0,0.0,,9.0,5-8,0.0,0.0,,0,Effrem Reed,,,0.0,,,,,effrem-reed-1,21,6,RB,0.0,,1,100,10.0,10,11,0,57,5.2,1,0.0,,2013,0,0.0,Louisiana,0,1,,214,157,7.5,,0.0,,SR
effrem-reed-1,2014,,0,,0.0,0.0,0.0,0.0,,9.0,5-8,0.0,0.0,,0,Effrem Reed,,,0.0,,,,,effrem-reed-1,33,12,RB,0.0,,1,44,8.8,5,28,1,138,4.9,2,0.0,,2014,0,0.0,Louisiana,0,2,,214,182,5.5,,0.0,,JR
