,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
pete-thomas-1,2010,5.9,0,253,,,0,0,,12.0,6-5,,,13,,Pete Thomas,,391,0,64.7,11,2662,6.8,pete-thomas-1,77,0,QB,,124.5,,,,,77,0,-117,-1.5,0,0.0,,2010,0,0.0,Colorado State,0,0,,235,-117,-1.5,,,,FR
pete-thomas-1,2011,5.3,0,161,,,0,0,,9.0,6-5,,,8,,Pete Thomas,,261,0,61.7,7,1607,6.2,pete-thomas-1,57,18,QB,,116.1,0.0,-4.0,-4.0,1.0,56,3,-36,-0.6,3,0.0,,2011,1,0.0,Colorado State,1,3,,235,-40,-0.7,,,,SO
pete-thomas-1,2013,5.4,0,149,0.0,0.0,0,1,,9.0,6-5,0.0,0.0,9,0.0,Pete Thomas,,247,0,60.3,4,1667,6.7,pete-thomas-1,72,12,QB,0.0,115.1,0.0,0.0,,0.0,72,2,163,2.3,2,0.0,,2013,0,0.0,North Carolina State,0,2,,235,163,2.3,,0.0,,JR
pete-thomas-1,2014,6.4,0,301,0.0,0.0,0,0,,12.0,6-5,0.0,0.0,6,0.0,Pete Thomas,,501,0,60.1,14,3181,6.3,pete-thomas-1,111,18,QB,0.0,120.2,0.0,8.0,8.0,1.0,110,3,6,0.1,3,0.0,,2014,0,0.0,Louisiana-Monroe,0,3,,235,14,0.1,,0.0,,SR
pete-thomas-1,Career,5.9,0,864,0.0,0.0,0,1,,,6-5,0.0,0.0,36,0.0,Pete Thomas,,1400,0,61.7,36,9117,6.5,pete-thomas-1,317,48,QB,0.0,119.8,0.0,4.0,2.0,2.0,315,8,16,0.1,8,0.0,,Career,1,0.0,Overall,1,8,,235,20,0.1,,0.0,,
brayle-brown-1,2012,-6.6,,2,,,,,,5.0,6-2,,,1,,Brayle Brown,,5,,40.0,0,12,2.4,brayle-brown-1,5,,QB,,20.2,,,,,5,0,21,4.2,0,,,2012,,,Louisiana-Monroe,,,,204,21,4.2,,,,FR
brayle-brown-1,2013,3.4,,61,,,,,,10.0,6-2,,,6,,Brayle Brown,,117,,52.1,1,645,5.5,brayle-brown-1,25,,QB,,91.0,0.0,6.0,3.0,2.0,23,0,53,2.3,0,,,2013,,,Louisiana-Monroe,,,,204,59,2.4,,,,SO
brayle-brown-1,2014,6.1,,14,,,,,,7.0,6-2,,,1,,Brayle Brown,,24,,58.3,1,172,7.2,brayle-brown-1,9,,QB,,124.0,0.0,6.0,6.0,1.0,8,0,15,1.9,0,,,2014,,,Louisiana-Monroe,,,,204,21,2.3,,,,JR
brayle-brown-1,2015,2.3,,3,,,,,,4.0,6-2,,,0,,Brayle Brown,,11,,27.3,0,25,2.3,brayle-brown-1,14,,QB,,46.4,0.0,0.0,,0.0,14,0,27,1.9,0,,,2015,,,Louisiana-Monroe,,,,204,27,1.9,,,,SR
brayle-brown-1,Career,3.4,,80,,,,,,,6-2,,,8,,Brayle Brown,,157,,51.0,2,854,5.4,brayle-brown-1,53,,QB,,90.7,0.0,12.0,4.0,3.0,50,0,116,2.3,0,,,Career,,,Louisiana-Monroe,,,,204,128,2.4,,,,
centarius-donald-1,2010,,1.0,,,,0.0,0.0,,12.0,6-1,,,,0.0,Centarius Donald,,,0.0,,,,,centarius-donald-1,23,0,RB,,,0,5,2.5,2,21,0,66,3.1,0,0.0,,2010,0.0,0.0,Louisiana-Monroe,1.0,0,,223,71,3.1,,,,FR
centarius-donald-1,2011,,1.0,,,,0.0,0.0,,7.0,6-1,,,,,Centarius Donald,,,0.0,,,,,centarius-donald-1,64,18,RB,,,0,43,8.6,5,59,3,414,7.0,3,0.0,,2011,0.0,0.0,Louisiana-Monroe,1.0,3,,223,457,7.1,,,,SO
centarius-donald-1,2012,,,,,,,,,4.0,6-1,,,,,Centarius Donald,,,,,,,,centarius-donald-1,29,12,RB,,,1,21,7.0,3,26,1,135,5.2,2,,,2012,,,Louisiana-Monroe,,2,,223,156,5.4,,,,JR
centarius-donald-1,2013,,0.0,,0.0,0.0,0.0,0.0,,8.0,6-1,0.0,0.0,,0.0,Centarius Donald,,,0.0,,,,,centarius-donald-1,101,24,RB,0.0,,0,52,3.7,14,87,4,433,5.0,4,0.0,,2013,2.0,0.0,Louisiana-Monroe,2.0,4,,223,485,4.8,,0.0,,JR
centarius-donald-1,2014,,0.0,,0.0,0.0,0.0,0.0,,11.0,6-1,0.0,0.0,,0.0,Centarius Donald,,,0.0,,,,,centarius-donald-1,174,36,RB,0.0,,0,189,9.0,21,153,6,606,4.0,6,0.0,,2014,0.0,0.0,Louisiana-Monroe,0.0,6,,223,795,4.6,,0.0,,SR
centarius-donald-1,Career,,2.0,,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,,0.0,Centarius Donald,,,0.0,,,,,centarius-donald-1,391,90,RB,0.0,,1,310,6.9,45,346,14,1654,4.8,15,0.0,,Career,2.0,0.0,Louisiana-Monroe,4.0,15,,223,1964,5.0,,0.0,,
tyler-cain-1,2011,,,,,,,,,9.0,5-7,,,,,Tyler Cain,,,,,,,,tyler-cain-1,0,,WR,,,,,,,,,,,0,,,2011,,,Louisiana-Monroe,,,,186,0,,,,,FR
tyler-cain-1,2012,,,,,,,,,10.0,5-7,,,,,Tyler Cain,,,,,,,,tyler-cain-1,1,,WR,,,0.0,8.0,8.0,1.0,,,,,0,,,2012,,,Louisiana-Monroe,,,,186,8,8.0,,,,SO
tyler-cain-1,2014,,,,,,,,,12.0,5-7,,,,,Tyler Cain,,,,,,,,tyler-cain-1,108,,RB,,,0.0,273.0,6.1,45.0,63.0,0.0,214.0,3.4,0,,,2014,,,Louisiana-Monroe,,,,186,487,4.5,,,,JR
tyler-cain-1,2015,,,,,,,,,,5-7,,,,,Tyler Cain,,,,,,,,tyler-cain-1,0,,WR,,,,,,,,,,,0,,,2015,,,Louisiana-Monroe,,,,186,0,,,,,SR
tyler-cain-1,Career,,,,,,,,,,5-7,,,,,Tyler Cain,,,,,,,,tyler-cain-1,109,,WR,,,0.0,281.0,6.1,46.0,63.0,0.0,214.0,3.4,0,,,Career,,,Louisiana-Monroe,,,,186,495,4.5,,,,
kaylon-watson-1,2014,,,0,0,0,,,,3.0,6-0,,,0,0,Kaylon Watson,,0,,,0,0,,kaylon-watson-1,10,0,RB,0,,0,16,16.0,1,9,0,31,3.4,0,,,2014,,,Louisiana-Monroe,,0,,218,47,4.7,,,,FR
kaylon-watson-1,2015,0.0,,0,0,0,,,,13.0,6-0,,,0,0,Kaylon Watson,,1,,0.0,0,0,0.0,kaylon-watson-1,114,18,RB,0,0.0,3,183,9.2,20,94,0,336,3.6,3,,,2015,,,Louisiana-Monroe,,3,,218,519,4.6,,,,SO
kaylon-watson-1,Career,0.0,,0,0,0,,,,,6-0,,,0,0,Kaylon Watson,,1,,0.0,0,0,0.0,kaylon-watson-1,124,18,RB,0,0.0,3,199,9.5,21,103,0,367,3.6,3,,,Career,,,Louisiana-Monroe,,3,,218,566,4.6,,,,
nathan-meadors-jr-1,2013,,0.0,,,,0.0,0.0,,3.0,5-7,0.0,0.0,,,Nathan Meadors Jr.,,,0.0,,,,,nathan-meadors-jr-1,13,,RB,,,0.0,0.0,,0.0,13.0,0.0,76.0,5.8,0,0.0,,2013,0.0,0.0,Louisiana-Monroe,0.0,,,168,76,5.8,,0.0,,FR
nathan-meadors-jr-1,2014,,1.0,,,,0.0,0.0,,1.0,5-7,0.0,0.0,,,Nathan Meadors Jr.,,,0.0,,,,,nathan-meadors-jr-1,6,,RB,,,0.0,0.0,,0.0,6.0,0.0,25.0,4.2,0,0.0,,2014,0.0,0.0,Louisiana-Monroe,1.0,,,168,25,4.2,,0.0,,SO
