,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
anthony-jennings-1,2013,5.4,,13.0,0.0,0.0,,,,9.0,6-2,,,1.0,0.0,Anthony Jennings,,29.0,,44.8,1.0,181.0,6.2,anthony-jennings-1,19,12,QB,0.0,101.7,0.0,0.0,,0.0,19.0,2.0,18.0,0.9,2,,,2013,,,LSU,,2,,216,18,0.9,,,,FR
anthony-jennings-1,2014,6.7,,111.0,0.0,0.0,,,,13.0,6-2,,,7.0,0.0,Anthony Jennings,,227.0,,48.9,11.0,1611.0,7.1,anthony-jennings-1,108,0,QB,0.0,118.3,0.0,0.0,,0.0,108.0,0.0,292.0,2.7,0,,,2014,,,LSU,,0,,216,292,2.7,,,,SO
anthony-jennings-1,2015,,,,,,,,,,6-2,,,,,Anthony Jennings,,,,,,,,anthony-jennings-1,0,0,QB,,,,,,,,,,,0,,,2015,,,LSU,,0,,216,0,,,,,JR
anthony-jennings-1,2016,5.6,,193.0,0.0,0.0,,,,13.0,6-2,,,13.0,0.0,Anthony Jennings,,323.0,,59.8,11.0,2178.0,6.7,anthony-jennings-1,144,54,QB,0.0,119.6,0.0,0.0,,0.0,144.0,9.0,341.0,2.4,9,,,2016,,,Louisiana,,9,,216,341,2.4,,,,SR
anthony-jennings-1,Career,6.0,,317.0,0.0,0.0,,,,,6-2,,,21.0,0.0,Anthony Jennings,,579.0,,54.7,23.0,3970.0,6.9,anthony-jennings-1,271,66,QB,0.0,118.2,0.0,0.0,,0.0,271.0,11.0,651.0,2.4,11,,,Career,,,Overall,,11,,216,651,2.4,,,,
brandon-harris-4,2014,10.7,0,25,0,0,0,0,,8.0,6-3,0,0,2,0,Brandon Harris,,45,0,55.6,6,452,10.0,brandon-harris-4,26,18,QB,0,175.0,0,0,,0,26,3,159,6.1,3,0.0,,2014,0,0.0,LSU,0,3,,220,159,6.1,,0,,FR
brandon-harris-4,2015,7.8,0,149,0,0,0,0,,12.0,6-3,0,0,6,0,Brandon Harris,,277,0,53.8,13,2165,7.8,brandon-harris-4,67,24,QB,0,130.6,0,0,,0,67,4,226,3.4,4,0.0,,2015,1,0.0,LSU,1,4,,220,226,3.4,,0,,SO
brandon-harris-4,2016,2.8,0,13,0,0,0,0,,2.0,6-3,0,0,2,0,Brandon Harris,,25,0,52.0,1,139,5.6,brandon-harris-4,4,0,QB,0,95.9,0,0,,0,4,0,-15,-3.8,0,0.0,,2016,0,0.0,LSU,0,0,,220,-15,-3.8,,0,,JR
brandon-harris-4,2017,0.1,0,35,0,0,0,0,,6.0,6-3,0,0,8,0,Brandon Harris,,71,0,49.3,1,346,4.9,brandon-harris-4,34,0,QB,0,72.3,0,0,,0,34,0,86,2.5,0,0.0,,2017,1,0.0,North Carolina,1,1,,220,86,2.5,,0,,SR
brandon-harris-4,Career,6.5,0,222,0,0,0,0,,,6-3,0,0,18,0,Brandon Harris,,418,0,53.1,21,3102,7.4,brandon-harris-4,131,42,QB,0,123.4,0,0,,0,131,7,456,3.5,7,0.0,,Career,2,0.0,Overall,2,8,,220,456,3.5,,0,,
brad-kragthorpe-1,2014,11.0,,1.0,,,,,,2.0,6-0,,,0.0,,Brad Kragthorpe,,1.0,,100.0,0.0,11.0,11.0,brad-kragthorpe-1,1,,QB,,192.4,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,0,,,2014,,,LSU,,,,202,1,1.0,,,,JR
brad-kragthorpe-1,2015,,,,,,,,,,6-0,,,,,Brad Kragthorpe,,,,,,,,brad-kragthorpe-1,0,,QB,,,,,,,,,,,0,,,2015,,,LSU,,,,202,0,,,,,SR
brad-kragthorpe-1,Career,11.0,,1.0,,,,,,,6-0,,,0.0,,Brad Kragthorpe,,1.0,,100.0,0.0,11.0,11.0,brad-kragthorpe-1,1,,QB,,192.4,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,0,,,Career,,,LSU,,,,202,1,1.0,,,,
terrence-magee-1,2011,,0.0,,,,0.0,0.0,,5.0,5-9,,,,,Terrence Magee,,,0.0,,,,,terrence-magee-1,27,6,RB,,,,,,,27,1,133,4.9,1,0.0,,2011,0.0,0.0,LSU,0.0,1,,217,133,4.9,,,,FR
terrence-magee-1,2012,,,,,,,,,9.0,5-9,,,,,Terrence Magee,,,,,,,,terrence-magee-1,2,0,WR,,,0.0,7.0,7.0,1.0,1,0,0,0.0,0,,,2012,,,LSU,,0,,217,7,3.5,,,,SO
terrence-magee-1,2013,,1.0,0.0,0.0,0.0,0.0,0.0,,13.0,5-9,0.0,0.0,0.0,0.0,Terrence Magee,,0.0,0.0,,0.0,0.0,,terrence-magee-1,92,48,RB,0.0,,0.0,49.0,8.2,6.0,86,8,626,7.3,8,0.0,,2013,2.0,0.0,LSU,3.0,8,,217,675,7.3,,0.0,,JR
terrence-magee-1,2014,44.0,2.0,1.0,0.0,0.0,0.0,0.0,,13.0,5-9,0.0,0.0,0.0,0.0,Terrence Magee,,1.0,0.0,100.0,0.0,44.0,44.0,terrence-magee-1,129,18,RB,0.0,469.6,0.0,171.0,10.1,17.0,112,3,571,5.1,3,0.0,,2014,1.0,0.0,LSU,3.0,3,,217,742,5.8,,0.0,,SR
terrence-magee-1,Career,44.0,3.0,1.0,0.0,0.0,0.0,0.0,,,5-9,0.0,0.0,0.0,0.0,Terrence Magee,,1.0,0.0,100.0,0.0,44.0,44.0,terrence-magee-1,250,72,RB,0.0,469.6,0.0,227.0,9.5,24.0,226,12,1330,5.9,12,0.0,,Career,3.0,0.0,LSU,6.0,12,,217,1557,6.2,,0.0,,
leonard-fournette-1,2014,,0,0,0,0,0,0,,13.0,6-1,0,0,0,1,Leonard Fournette,,0,0,,0,0,,leonard-fournette-1,194,66,RB,0,,0,127,18.1,7,187,10,1034,5.5,10,0.0,,2014,0,0.0,LSU,0,11,,230,1161,6.0,,0,,FR
