,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
cody-sokol-1,2014,7.7,1,260,0,0,0,1,,14.0,6-2,0,0,13,0,Cody Sokol,,448,0,58.0,30,3436,7.7,cody-sokol-1,54,12,QB,0,138.8,0,3,3.0,1,53,2,44,0.8,2,0.0,,2014,1,0.0,Louisiana Tech,2,2,,215,47,0.9,,0,,SR
cody-sokol-1,Career,7.7,1,260,0,0,0,1,,,6-2,0,0,13,0,Cody Sokol,,448,0,58.0,30,3436,7.7,cody-sokol-1,54,12,QB,0,138.8,0,3,3.0,1,53,2,44,0.8,2,0.0,,Career,1,0.0,Louisiana Tech,2,2,,215,47,0.9,,0,,
ryan-higgins-1,2013,4.4,0,166,0,0,0,0,,9.0,6-2,0,0,13,0,Ryan Higgins,,281,0,59.1,6,1715,6.1,ryan-higgins-1,62,18,QB,0,108.1,0,0,,0,62,3,19,0.3,3,0.0,,2013,0,0.0,Louisiana Tech,0,3,,207,19,0.3,,0,,FR
ryan-higgins-1,2014,6.9,1,6,0,0,0,0,,5.0,6-2,0,0,0,0,Ryan Higgins,,10,0,60.0,0,69,6.9,ryan-higgins-1,5,0,QB,0,118.0,0,0,,0,5,0,17,3.4,0,0.0,,2014,0,0.0,Louisiana Tech,1,0,,207,17,3.4,,0,,SO
ryan-higgins-1,2015,0.9,0,15,0,0,0,0,,7.0,6-2,0,0,3,0,Ryan Higgins,,25,0,60.0,1,138,5.5,ryan-higgins-1,9,0,QB,0,95.6,0,0,,0,9,0,27,3.0,0,0.0,,2015,0,0.0,Louisiana Tech,0,0,,207,27,3.0,,0,,JR
ryan-higgins-1,2016,10.2,0,329,0,0,0,0,,13.0,6-2,0,0,8,0,Ryan Higgins,,496,0,66.3,41,4617,9.3,ryan-higgins-1,88,24,QB,0,168.6,0,0,,0,88,4,277,3.1,4,0.0,,2016,2,0.0,Louisiana Tech,2,4,,207,277,3.1,,0,,SR
ryan-higgins-1,Career,7.9,1,516,0,0,0,0,,,6-2,0,0,24,0,Ryan Higgins,,812,0,63.5,48,6539,8.1,ryan-higgins-1,164,42,QB,0,144.8,0,0,,0,164,7,340,2.1,7,0.0,,Career,2,0.0,Louisiana Tech,3,7,,207,340,2.1,,0,,
taylor-burch-1,2011,12.0,0,1,,,0,0,,12.0,6-4,,,0,,Taylor Burch,,1,0,100.0,0,12,12.0,taylor-burch-1,0,0,QB,,200.8,,,,,,,,,0,0.0,,2011,0,0.0,Louisiana Tech,0,0,,225,0,,,,,FR
taylor-burch-1,2014,4.3,2,4,0.0,0.0,0,0,,5.0,6-4,0.0,0.0,0,0.0,Taylor Burch,,6,0,66.7,0,26,4.3,taylor-burch-1,2,6,QB,0.0,103.1,0.0,0.0,,0.0,2.0,1.0,17.0,8.5,1,0.0,,2014,0,0.0,Louisiana Tech,2,1,,225,17,8.5,,0.0,,SR
taylor-burch-1,Career,5.4,2,5,0.0,0.0,0,0,,,6-4,0.0,0.0,0,0.0,Taylor Burch,,7,0,71.4,0,38,5.4,taylor-burch-1,2,6,QB,0.0,117.0,0.0,0.0,,0.0,2.0,1.0,17.0,8.5,1,0.0,,Career,0,0.0,Louisiana Tech,2,1,,225,17,8.5,,0.0,,
