,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
will-gardner-1,2013,12.7,0,8,,,0,0,,5.0,6-5,0,0,0,,Will Gardner,,12,0,66.7,2,112,9.3,will-gardner-1,5,,QB,,200.1,0,0,,0,5,0,-7,-1.4,0,0.0,,2013,0,0.0,Louisville,0,,,220,-7,-1.4,,0,,FR
will-gardner-1,2014,8.0,0,127,,,0,0,,8.0,6-5,0,0,3,,Will Gardner,,221,0,57.5,12,1669,7.6,will-gardner-1,22,,QB,,136.1,0,0,,0,22,0,-106,-4.8,0,0.0,,2014,1,0.0,Louisville,1,,,220,-106,-4.8,,0,,SO
will-gardner-1,2015,,1,0,,,0,0,,1.0,6-5,0,0,0,,Will Gardner,,0,0,,0,0,,will-gardner-1,0,,QB,,,0,0,,0,0,0,0,,0,0.0,,2015,0,0.0,Louisville,1,,,220,0,,,0,,JR
will-gardner-1,Career,8.3,1,135,,,0,0,,,6-5,0,0,3,,Will Gardner,,233,0,57.9,14,1781,7.6,will-gardner-1,27,,QB,,139.4,0,0,,0,27,0,-113,-4.2,0,0.0,,Career,1,0.0,Louisville,2,,,220,-113,-4.2,,0,,
reggie-bonnafon-1,2014,6.5,0,61,0,0,0,0,,10.0,6-3,0,0,4,0,Reggie Bonnafon,,120,0,50.8,5,864,7.2,reggie-bonnafon-1,72,30,QB,0,118.4,0,0,,0,72,5,164,2.3,5,0.0,,2014,1,0.0,Louisville,1,5,,212,164,2.3,,0,,FR
reggie-bonnafon-1,2015,7.8,0,14,0,0,0,0,,10.0,6-3,0,0,1,0,Reggie Bonnafon,,24,0,58.3,2,192,8.0,reggie-bonnafon-1,55,0,QB,0,144.7,0,105,10.5,10,45,0,175,3.9,0,0.0,,2015,0,0.0,Louisville,0,0,,212,280,5.1,,0,,SO
reggie-bonnafon-1,2016,,0,0,0,0,0,0,,12.0,6-3,0,0,0,0,Reggie Bonnafon,,0,0,,0,0,,reggie-bonnafon-1,18,30,WR,0,,5,159,12.2,13,5,0,7,1.4,5,0.0,,2016,0,0.0,Louisville,0,5,,212,166,9.2,,0,,JR
reggie-bonnafon-1,2017,0.0,0,0,0,0,0,0,,13.0,6-3,0,0,0,0,Reggie Bonnafon,,1,0,0.0,0,0,0.0,reggie-bonnafon-1,114,48,RB,0,0.0,1,182,8.7,21,93,7,459,4.9,8,0.0,,2017,0,0.0,Louisville,0,8,,212,641,5.6,,0,,SR
reggie-bonnafon-1,Career,6.7,0,75,0,0,0,0,,,6-3,0,0,5,0,Reggie Bonnafon,,145,0,51.7,7,1056,7.3,reggie-bonnafon-1,259,108,RB,0,121.9,6,446,10.1,44,215,12,805,3.7,18,0.0,,Career,1,0.0,Louisville,1,18,,212,1251,4.8,,0,,
kyle-bolin-1,2013,,0,0,,,0,0,,1.0,6-2,0,0,0,,Kyle Bolin,,0,0,,0,0,,kyle-bolin-1,0,,QB,,,0,0,,0,0,0,0,,0,0.0,,2013,1,1.0,Louisville,1,,,210,0,,,0,,FR
kyle-bolin-1,2014,8.5,0,45,,,0,0,,4.0,6-2,0,0,3,,Kyle Bolin,,78,0,57.7,4,716,9.2,kyle-bolin-1,11,,QB,,144.0,0,0,,0,11,0,-15,-1.4,0,0.0,,2014,0,0.0,Louisville,0,,,210,-15,-1.4,,0,,FR
kyle-bolin-1,2015,7.5,0,78,,,0,0,,7.0,6-2,0,0,6,,Kyle Bolin,,137,0,56.9,7,1154,8.4,kyle-bolin-1,16,,QB,,135.8,0,0,,0,16,0,-59,-3.7,0,0.0,,2015,0,0.0,Louisville,0,,,210,-59,-3.7,,0,,SO
kyle-bolin-1,2016,8.5,0,18,,,0,0,,4.0,6-2,0,0,1,,Kyle Bolin,,27,0,66.7,2,234,8.7,kyle-bolin-1,2,,QB,,156.5,0,0,,0,2,0,-17,-8.5,0,0.0,,2016,0,0.0,Louisville,0,,,210,-17,-8.5,,0,,JR
kyle-bolin-1,2017,3.8,0,73,,,0,0,,6.0,6-2,0,0,6,,Kyle Bolin,,133,0,54.9,3,711,5.3,kyle-bolin-1,12,,QB,,98.2,0,-8,-8.0,1,11,0,10,0.9,0,0.0,,2017,0,0.0,Rutgers,0,,,210,2,0.2,,0,,SR
kyle-bolin-1,Career,6.4,0,214,,,0,0,,,6-2,0,0,16,,Kyle Bolin,,375,0,57.1,16,2815,7.5,kyle-bolin-1,41,,QB,,125.7,0,-8,-8.0,1,40,0,-81,-2.0,0,0.0,,Career,1,1.0,Overall,1,,,210,-89,-2.2,,0,,
brett-nelson-1,2014,3.9,,4,,,,,,2.0,6-4,,,0,,Brett Nelson,,7,,57.1,0,27,3.9,brett-nelson-1,1,,QB,,89.5,0,0,,0,1,0,-8,-8.0,0,,,2014,,,Louisville,,,,220,-8,-8.0,,,,JR
brett-nelson-1,Career,3.9,,4,,,,,,,6-4,,,0,,Brett Nelson,,7,,57.1,0,27,3.9,brett-nelson-1,1,,QB,,89.5,0,0,,0,1,0,-8,-8.0,0,,,Career,,,Louisville,,,,220,-8,-8.0,,,,
brandon-radcliff-1,2013,,2,,0,0,0,0,,9.0,5-9,0,0,,0,Brandon Radcliff,,,0,,,,,brandon-radcliff-1,18,6,RB,0,,0,9,9.0,1,17,1,91,5.4,1,0.0,,2013,4,0.0,Louisville,6,1,,210,100,5.6,,0,,FR
brandon-radcliff-1,2014,,0,,0,0,0,0,,11.0,5-9,0,0,,0,Brandon Radcliff,,,0,,,,,brandon-radcliff-1,150,72,RB,0,,0,84,14.0,6,144,12,737,5.1,12,0.0,,2014,0,0.0,Louisville,0,12,,210,821,5.5,,0,,SO
brandon-radcliff-1,2015,,1,,0,0,0,0,,12.0,5-9,0,0,,0,Brandon Radcliff,,,0,,,,,brandon-radcliff-1,143,42,RB,0,,0,20,5.0,4,139,7,634,4.6,7,0.0,,2015,0,0.0,Louisville,1,7,,210,654,4.6,,0,,JR
brandon-radcliff-1,2016,,0,,0,0,0,0,,13.0,5-9,0,0,,0,Brandon Radcliff,,,0,,,,,brandon-radcliff-1,147,42,RB,0,,1,86,9.6,9,138,6,903,6.5,7,0.0,,2016,0,0.0,Louisville,0,7,,210,989,6.7,,0,,SR
brandon-radcliff-1,Career,,3,,0,0,0,0,,,5-9,0,0,,0,Brandon Radcliff,,,0,,,,,brandon-radcliff-1,458,162,RB,0,,1,199,10.0,20,438,26,2365,5.4,27,0.0,,Career,4,0.0,Louisville,7,27,,210,2564,5.6,,0,,
michael-dyer-1,2010,,,,,,,,,14.0,5-9,,,,,Michael Dyer,,,,,,,,michael-dyer-1,183,30,RB,,,0,9,9.0,1,182,5,1093,6.0,5,,,2010,,,Auburn,,5,,213,1102,6.0,,,,FR
michael-dyer-1,2011,,,,,,,,,12.0,5-9,,,,,Michael Dyer,,,,,,,,michael-dyer-1,244,60,RB,,,0,7,3.5,2,242,10,1242,5.1,10,,,2011,,,Auburn,,10,,213,1249,5.1,,,,SO
michael-dyer-1,2013,,,,0.0,0.0,,,,7.0,5-9,,,,0.0,Michael Dyer,,,,,,,,michael-dyer-1,46,12,RB,0.0,,0,8,4.0,2,44,2,223,5.1,2,,,2013,,,Louisville,,2,,213,231,5.0,,,,JR
michael-dyer-1,2014,,,,0.0,0.0,,,,8.0,5-9,,,,0.0,Michael Dyer,,,,,,,,michael-dyer-1,113,30,RB,0.0,,0,40,13.3,3,110,5,481,4.4,5,,,2014,,,Louisville,,5,,213,521,4.6,,,,SR
michael-dyer-1,Career,,,,0.0,0.0,,,,,5-9,,,,0.0,Michael Dyer,,,,,,,,michael-dyer-1,586,132,RB,0.0,,0,64,8.0,8,578,22,3039,5.3,22,,,Career,,,Overall,,22,,213,3103,5.3,,,,
dominique-brown-1,2010,-45.0,1,0,,,0,0,,10.0,6-2,,,1,0,Dominique Brown,,1,0,0.0,0,0,0.0,dominique-brown-1,23,0,QB,,-200.0,0,32,10.7,3,20,0,59,3.0,0,0.0,,2010,1,0.0,Louisville,2,0,,233,91,4.0,,,,
dominique-brown-1,2011,0.0,0,0,,,0,0,,12.0,6-2,,,0,0,Dominique Brown,,1,0,0.0,0,0,0.0,dominique-brown-1,156,30,QB,,0.0,1,98,6.1,16,140,4,533,3.8,5,0.0,,2011,0,0.0,Louisville,0,5,,233,631,4.0,,,,SO
dominique-brown-1,2013,,0,0,0.0,0.0,0,0,,13.0,6-2,0.0,0.0,0,0,Dominique Brown,,0,0,,0,0,,dominique-brown-1,187,54,RB,0.0,,1,228,9.5,24,163,8,825,5.1,9,0.0,,2013,0,0.0,Louisville,0,9,,233,1053,5.6,,0.0,,JR
dominique-brown-1,2014,,2,0,0.0,0.0,0,0,,8.0,6-2,0.0,0.0,0,0,Dominique Brown,,0,0,,0,0,,dominique-brown-1,103,24,RB,0.0,,0,85,12.1,7,96,4,378,3.9,4,1.0,,2014,4,1.0,Louisville,6,4,,233,463,4.5,,0.0,,SR
dominique-brown-1,Career,-22.5,3,0,0.0,0.0,0,0,,,6-2,0.0,0.0,1,0,Dominique Brown,,2,0,0.0,0,0,0.0,dominique-brown-1,469,108,RB,0.0,-100.0,2,443,8.9,50,419,16,1795,4.3,18,1.0,,Career,5,1.0,Louisville,8,18,,233,2238,4.8,,0.0,,
lj-scott-1,2014,,1,,0,0,0,0,,13.0,6-0,0,0,,0,L.J. Scott,,,0,,,,,lj-scott-1,36,12,RB,0,,0,36,5.1,7,29,2,201,6.9,2,0.0,,2014,3,0.0,Louisville,4,2,,217,237,6.6,,0,,FR
lj-scott-1,2015,,0,,0,0,0,0,,11.0,6-0,0,0,,0,L.J. Scott,,,0,,,,,lj-scott-1,45,12,RB,0,,0,95,13.6,7,38,2,137,3.6,2,0.0,,2015,0,0.0,Louisville,0,2,,217,232,5.2,,0,,SO
lj-scott-1,2016,,0,,0,0,0,0,,2.0,6-0,0,0,,0,L.J. Scott,,,0,,,,,lj-scott-1,7,6,RB,0,,1,42,10.5,4,3,0,15,5.0,1,0.0,,2016,0,0.0,Louisville,0,1,,217,57,8.1,,0,,JR
lj-scott-1,Career,,1,,0,0,0,0,,,6-0,0,0,,0,L.J. Scott,,,0,,,,,lj-scott-1,88,30,RB,0,,1,173,9.6,18,70,4,353,5.0,5,0.0,,Career,3,0.0,Louisville,4,5,,217,526,6.0,,0,,
corvin-lamb-1,2012,,0,,,,,,,10.0,5-9,,,,0,Corvin Lamb,,,,,,,,corvin-lamb-1,10,0,RB,,,0,7,7.0,1,9,0,40,4.4,0,0.0,,2012,4,0.0,Louisville,4,0,,208,47,4.7,,,,FR
corvin-lamb-1,2013,,0,,0.0,0.0,0.0,0.0,,1.0,5-9,0.0,0.0,,0,Corvin Lamb,,,0.0,,,,,corvin-lamb-1,4,0,RB,0.0,,0,0,,0,4,0,13,3.3,0,0.0,,2013,0,0.0,Louisville,0,0,,208,13,3.3,,0.0,,SO
corvin-lamb-1,2014,,0,,0.0,0.0,1.0,0.0,,5.0,5-9,0.0,0.0,,1,Corvin Lamb,,,0.0,,,,,corvin-lamb-1,5,6,RB,0.0,,0,0,,0,5,0,8,1.6,0,0.0,,2014,1,1.0,Louisville,1,1,,208,8,1.6,,0.0,,JR
corvin-lamb-1,2015,,0,,0.0,0.0,0.0,0.0,,9.0,5-9,0.0,0.0,,0,Corvin Lamb,,,0.0,,,,,corvin-lamb-1,7,0,RB,0.0,,0,0,,0,7,0,18,2.6,0,0.0,,2015,0,0.0,Louisville,0,0,,208,18,2.6,,0.0,,SR
corvin-lamb-1,Career,,0,,0.0,0.0,1.0,0.0,,,5-9,0.0,0.0,,1,Corvin Lamb,,,0.0,,,,,corvin-lamb-1,26,6,RB,0.0,,0,7,7.0,1,25,0,79,3.2,0,0.0,,Career,5,1.0,Louisville,5,1,,208,86,3.3,,0.0,,
james-quick-1,2013,,1,,0,0,0,1,,6.0,6-0,0,0,,0,James Quick,,,0,,,,,james-quick-1,6,0,WR,0,,0,73,12.2,6,0,0,0,,0,0.0,,2013,0,0.0,Louisville,1,0,,186,73,12.2,,0,,FR
james-quick-1,2014,,3,,0,0,0,0,,12.0,6-0,0,0,,0,James Quick,,,0,,,,,james-quick-1,38,18,WR,0,,3,566,15.7,36,2,0,9,4.5,3,0.0,,2014,6,0.0,Louisville,9,3,,186,575,15.1,,0,,SO
james-quick-1,2015,,0,,0,0,1,0,,11.0,6-0,0,0,,0,James Quick,,,0,,,,,james-quick-1,40,30,WR,0,,5,624,16.0,39,1,0,8,8.0,5,0.0,,2015,2,0.0,Louisville,2,5,,186,632,15.8,,0,,JR
james-quick-1,2016,,0,,0,0,0,0,,12.0,6-0,0,0,,0,James Quick,,,0,,,,,james-quick-1,45,36,WR,0,,6,769,17.1,45,0,0,0,,6,0.0,,2016,0,0.0,Louisville,0,6,,186,769,17.1,,0,,SR
james-quick-1,Career,,4,,0,0,1,1,,,6-0,0,0,,0,James Quick,,,0,,,,,james-quick-1,129,84,WR,0,,14,2032,16.1,126,3,0,17,5.7,14,0.0,,Career,8,0.0,Louisville,12,14,,186,2049,15.9,,0,,
eli-rogers-1,2011,,0.0,,,,0.0,0.0,,12.0,5-10,,,,,Eli Rogers,,,1.0,,,,,eli-rogers-1,41,6,WR,0.0,,1,454,11.1,41,,,,,1,0.0,,2011,1.0,0.0,Louisville,1.0,1,,180,454,11.1,,,,FR
eli-rogers-1,2012,,,,,,,,,13.0,5-10,,,,,Eli Rogers,,,,,,,,eli-rogers-1,46,24,WR,,,4,505,11.0,46,,,,,4,,,2012,,,Louisville,,4,,180,505,11.0,,,,SO
eli-rogers-1,2013,,0.0,,0.0,0.0,0.0,0.0,,13.0,5-10,0.0,0.0,,0.0,Eli Rogers,,,1.0,,,,,eli-rogers-1,44,24,WR,0.0,,4,536,12.2,44,0.0,0.0,0.0,,4,0.0,,2013,0.0,0.0,Louisville,0.0,4,,180,536,12.2,,0.0,,JR
eli-rogers-1,2014,,0.0,,0.0,0.0,0.0,0.0,,13.0,5-10,0.0,0.0,,0.0,Eli Rogers,,,0.0,,,,,eli-rogers-1,45,18,WR,0.0,,3,525,11.7,45,0.0,0.0,0.0,,3,0.0,,2014,0.0,0.0,Louisville,0.0,3,,180,525,11.7,,0.0,,SR
eli-rogers-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,5-10,0.0,0.0,,0.0,Eli Rogers,,,2.0,,,,,eli-rogers-1,176,72,WR,0.0,,12,2020,11.5,176,0.0,0.0,0.0,,12,0.0,,Career,1.0,0.0,Louisville,1.0,12,,180,2020,11.5,,0.0,,
devante-parker-1,2011,,0,,,,0.0,0.0,,11.0,6-3,,,,,Devante Parker,,,0.0,,,,,devante-parker-1,18,36,WR,,,6,291,16.2,18,,,,,6,0.0,,2011,0,0.0,Louisville,0,6,,208,291,16.2,,,,
devante-parker-1,2012,,1,,,,,,,13.0,6-3,,,,,Devante Parker,,,,,,,,devante-parker-1,40,60,WR,,,10,744,18.6,40,,,,,10,0.0,,2012,0,0.0,Louisville,1,10,,208,744,18.6,,,,SO
