,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
rakeem-cato-1,2011,6.1,0,182,,,0.0,0.0,,13.0,6-0,,,11,,Rakeem Cato,,304,0.0,59.9,15,2059,6.8,rakeem-cato-1,57,0,QB,,125.8,,,,,57,0,32,0.6,0,0.0,,2011,0,0.0,Marshall,0,0,,181,32,0.6,,,,FR
rakeem-cato-1,2012,7.6,0,406,,,,,,12.0,6-0,,,11,,Rakeem Cato,,584,,69.5,37,4201,7.2,rakeem-cato-1,58,6,QB,,147.1,0.0,-8.0,-8.0,1.0,57,1,31,0.5,1,0.0,,2012,1,0.0,Marshall,1,1,,181,23,0.4,,,,SO
rakeem-cato-1,2013,8.6,0,298,0.0,0.0,0.0,0.0,,14.0,6-0,0.0,0.0,9,0.0,Rakeem Cato,,499,0.0,59.7,39,3916,7.8,rakeem-cato-1,99,36,QB,0.0,147.8,0.0,0.0,,0.0,99,6,294,3.0,6,0.0,,2013,0,0.0,Marshall,0,6,,181,294,3.0,,0.0,,JR
rakeem-cato-1,2014,9.1,0,267,0.0,0.0,0.0,0.0,,14.0,6-0,0.0,0.0,13,0.0,Rakeem Cato,,451,0.0,59.2,40,3903,8.7,rakeem-cato-1,94,48,QB,0.0,155.4,0.0,0.0,,0.0,94,8,482,5.1,8,0.0,,2014,1,0.0,Marshall,1,8,,181,482,5.1,,0.0,,SR
rakeem-cato-1,Career,8.0,0,1153,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,44,0.0,Rakeem Cato,,1838,0.0,62.7,131,14079,7.7,rakeem-cato-1,308,90,QB,0.0,145.8,0.0,-8.0,-8.0,1.0,307,15,839,2.7,15,0.0,,Career,2,0.0,Marshall,2,15,,181,831,2.7,,0.0,,
gunnar-holcombe-1,2012,,0,0,,,0,0,0.0,,6-3,,,0,,Gunnar Holcombe,,0,0,,0,0,,gunnar-holcombe-1,0,,QB,,,0,0,,0,0,0,0,,0,0.0,,2012,1,1.0,Marshall,1,,,212,0,,0.0,,,FR
gunnar-holcombe-1,2014,5.7,0,12,,,0,0,,7.0,6-3,0.0,0.0,0,,Gunnar Holcombe,,21,0,57.1,0,119,5.7,gunnar-holcombe-1,7,,QB,,104.7,0,0,,0,7,0,66,9.4,0,0.0,,2014,0,0.0,Marshall,0,,,212,66,9.4,,0.0,,SO
gunnar-holcombe-1,2015,-12.0,0,1,,,0,0,,1.0,6-3,0.0,0.0,1,,Gunnar Holcombe,,3,0,33.3,0,9,3.0,gunnar-holcombe-1,3,,QB,,-8.1,0,0,,0,3,0,4,1.3,0,0.0,,2015,1,0.0,Marshall,1,,,212,4,1.3,,0.0,,JR
gunnar-holcombe-1,Career,3.5,0,13,,,0,0,0.0,,6-3,0.0,0.0,1,,Gunnar Holcombe,,24,0,54.2,0,128,5.3,gunnar-holcombe-1,10,,QB,,90.6,0,0,,0,10,0,70,7.0,0,0.0,,Career,2,1.0,Marshall,2,,,212,70,7.0,0.0,0.0,,
steward-butler-1,2012,,0,,,,,,,11.0,5-9,,,,0,Steward Butler,,,,,,,,steward-butler-1,107,18,RB,,,0,31,5.2,6,101,3,500,5.0,3,0.0,,2012,1,0.0,Marshall,1,3,,182,531,5.0,,,,FR
