,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
cj-brown-1,2010,0.0,0,0,,,0,0,,1.0,6-3,,,0,,C.J. Brown,,1,0,0.0,0,0,0.0,cj-brown-1,1,0,QB,,0.0,,,,,1,0,12,12.0,0,0.0,,2010,0,0.0,Maryland,0,0,,218,12,12.0,,,,FR
cj-brown-1,2011,4.3,0,82,,,0,0,,10.0,6-3,,,6,,C.J. Brown,,166,0,49.4,7,842,5.1,cj-brown-1,79,30,QB,,98.7,,,,,79,5,574,7.3,5,0.0,,2011,1,0.0,Maryland,1,5,,218,574,7.3,,,,SO
cj-brown-1,2013,7.8,0,166,0.0,0.0,0,0,,11.0,6-3,0.0,0.0,7,0.0,C.J. Brown,,282,0,58.9,13,2242,8.0,cj-brown-1,140,72,QB,0.0,135.9,0.0,0.0,,0.0,140,12,576,4.1,12,0.0,,2013,0,0.0,Maryland,0,12,,218,576,4.1,,0.0,,SR
cj-brown-1,2014,5.9,0,189,0.0,0.0,0,0,,13.0,6-3,0.0,0.0,10,0.0,C.J. Brown,,354,0,53.4,13,2288,6.5,cj-brown-1,162,48,QB,0.0,114.2,0.0,-11.0,-11.0,1.0,161,8,539,3.3,8,0.0,,2014,1,0.0,Maryland,1,8,,218,528,3.3,,0.0,,SR
cj-brown-1,Career,6.2,0,437,0.0,0.0,0,0,,,6-3,0.0,0.0,23,0.0,C.J. Brown,,803,0,54.4,33,5372,6.7,cj-brown-1,382,150,QB,0.0,118.4,0.0,-11.0,-11.0,1.0,381,25,1701,4.5,25,0.0,,Career,2,0.0,Maryland,2,25,,218,1690,4.4,,0.0,,
caleb-rowe-1,2012,4.4,,25,,,,,,2.0,6-3,,,3,,Caleb Rowe,,44,,56.8,2,290,6.6,caleb-rowe-1,11,,QB,,113.5,,,,,11,0,34,3.1,0,,,2012,,,Maryland,,,,210,34,3.1,,,,FR
caleb-rowe-1,2013,7.3,2.0,64,,,1.0,0.0,,7.0,6-3,0.0,0.0,3,,Caleb Rowe,,131,0.0,48.9,5,989,7.5,caleb-rowe-1,20,,QB,,120.3,0.0,0.0,,0.0,20,0,25,1.3,0,0.5,,2013,0.0,0.5,Maryland,2.0,,,210,25,1.3,,0.0,,SO
caleb-rowe-1,2014,7.6,0.0,34,,,0.0,0.0,,4.0,6-3,0.0,0.0,4,,Caleb Rowe,,54,0.0,63.0,5,489,9.1,caleb-rowe-1,13,,QB,,154.8,0.0,0.0,,0.0,13,0,3,0.2,0,0.0,,2014,0.0,0.0,Maryland,0.0,,,210,3,0.2,,0.0,,JR
caleb-rowe-1,2015,2.1,0.0,76,,,0.0,0.0,,9.0,6-3,0.0,0.0,15,,Caleb Rowe,,165,0.0,46.1,6,894,5.4,caleb-rowe-1,20,,QB,,85.4,0.0,0.0,,0.0,20,0,147,7.4,0,0.0,,2015,1.0,0.0,Maryland,1.0,,,210,147,7.4,,0.0,,SR
caleb-rowe-1,2016,4.4,0.0,19,,,0.0,0.0,,3.0,6-3,0.0,0.0,3,,Caleb Rowe,,37,0.0,51.4,0,296,8.0,caleb-rowe-1,9,,QB,,102.3,0.0,0.0,,0.0,9,0,-13,-1.4,0,0.0,,2016,0.0,0.0,Maryland,0.0,,,210,-13,-1.4,,0.0,,SR
caleb-rowe-1,Career,4.8,2.0,218,,,1.0,0.0,,,6-3,0.0,0.0,28,,Caleb Rowe,,431,0.0,50.6,18,2958,6.9,caleb-rowe-1,73,,QB,,109.0,0.0,0.0,,0.0,73,0,196,2.7,0,0.5,,Career,1.0,0.5,Maryland,3.0,,,210,196,2.7,,0.0,,
perry-hills-1,2012,7.0,,97,,,,,,7.0,6-2,,,7,,Perry Hills,,169,,57.4,8,1336,7.9,perry-hills-1,70,18,QB,,131.1,,,,,70,3,-14,-0.2,3,,,2012,,,Maryland,,3,,213,-14,-0.2,,,,FR
perry-hills-1,2014,10.6,0.0,5,0.0,0.0,0.0,0.0,,1.0,6-2,0.0,0.0,0,0.0,Perry Hills,,10,0.0,50.0,1,86,8.6,perry-hills-1,3,0,QB,0.0,155.2,0.0,0.0,,0.0,3,0,15,5.0,0,0.0,,2014,0.0,0.0,Maryland,0.0,0,,213,15,5.0,,0.0,,SO
perry-hills-1,2015,3.2,1.0,90,0.0,0.0,0.0,0.0,,9.0,6-2,0.0,0.0,13,0.0,Perry Hills,,180,0.0,50.0,8,1001,5.6,perry-hills-1,109,18,QB,0.0,96.9,0.0,0.0,,0.0,109,3,535,4.9,3,0.0,,2015,3.0,0.0,Maryland,4.0,3,,213,535,4.9,,0.0,,JR
perry-hills-1,2016,7.7,0.0,122,0.0,0.0,0.0,0.0,,11.0,6-2,0.0,0.0,4,0.0,Perry Hills,,197,0.0,61.9,12,1464,7.4,perry-hills-1,92,24,QB,0.0,140.4,0.0,21.0,21.0,1.0,91,4,93,1.0,4,0.0,,2016,0.0,0.0,Maryland,0.0,4,,213,114,1.2,,0.0,,SR
perry-hills-1,Career,6.1,1.0,314,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,24,0.0,Perry Hills,,556,0.0,56.5,29,3887,7.0,perry-hills-1,274,60,QB,0.0,123.8,0.0,21.0,21.0,1.0,273,10,629,2.3,10,0.0,,Career,3.0,0.0,Maryland,4.0,10,,213,650,2.4,,0.0,,
wes-brown-2,2012,,,,,,,,,8.0,6-0,,,,0,Wes Brown,,,,,,,,wes-brown-2,95,12,RB,,,0,14,2.8,5,90,2,382,4.2,2,,,2012,,,Maryland,,2,,217,396,4.2,,,,FR
wes-brown-2,2014,,0.0,,0.0,0.0,0.0,0.0,,12.0,6-0,0.0,0.0,,0,Wes Brown,,,0.0,,,,,wes-brown-2,124,36,RB,0.0,,0,198,9.4,21,103,6,356,3.5,6,0.0,,2014,1.0,0.0,Maryland,1.0,6,,217,554,4.5,,0.0,,SO
wes-brown-2,2015,,0.0,,0.0,0.0,1.0,0.0,,10.0,6-0,0.0,0.0,,0,Wes Brown,,,0.0,,,,,wes-brown-2,84,18,RB,0.0,,0,89,6.8,13,71,3,317,4.5,3,0.0,,2015,4.0,0.0,Maryland,4.0,3,,217,406,4.8,,0.0,,JR
wes-brown-2,2016,,0.0,,0.0,0.0,0.0,0.0,,7.0,6-0,0.0,0.0,,0,Wes Brown,,,0.0,,,,,wes-brown-2,41,0,RB,0.0,,0,136,17.0,8,33,0,25,0.8,0,0.0,,2016,0.0,0.0,Maryland,0.0,0,,217,161,3.9,,0.0,,SR
wes-brown-2,Career,,0.0,,0.0,0.0,1.0,0.0,,,6-0,0.0,0.0,,0,Wes Brown,,,0.0,,,,,wes-brown-2,344,66,RB,0.0,,0,437,9.3,47,297,11,1080,3.6,11,0.0,,Career,5.0,0.0,Maryland,5.0,11,,217,1517,4.4,,0.0,,
