,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
blake-frohnapfel-1,2012,7.6,,18,,,,,,12.0,6-6,,,1,,Blake Frohnapfel,,23,,78.3,2,180,7.8,blake-frohnapfel-1,13,6,QB,,164.0,,,,,13,1,78,6.0,1,,,2012,,,Marshall,,1,,238,78,6.0,,,,FR
blake-frohnapfel-1,2013,10.0,,17,0.0,0.0,,,,5.0,6-6,,,1,0.0,Blake Frohnapfel,,22,,77.3,3,206,9.4,blake-frohnapfel-1,11,6,QB,0.0,191.8,0.0,0.0,,0.0,11,1,86,7.8,1,,,2013,,,Marshall,,1,,238,86,7.8,,,,SO
blake-frohnapfel-1,2014,7.7,,241,0.0,0.0,,,,10.0,6-6,,,10,0.0,Blake Frohnapfel,,436,,55.3,23,3345,7.7,blake-frohnapfel-1,41,0,QB,0.0,132.5,0.0,0.0,,0.0,41,0,-85,-2.1,0,,,2014,,,Massachusetts,,0,,238,-85,-2.1,,,,SR
blake-frohnapfel-1,2015,5.6,,266,0.0,0.0,,,,12.0,6-6,,,13,0.0,Blake Frohnapfel,,472,,56.4,16,2919,6.2,blake-frohnapfel-1,63,6,QB,0.0,114.0,0.0,-2.0,,0.0,63,1,53,0.8,1,,,2015,,,Massachusetts,,1,,238,51,0.8,,,,SR
blake-frohnapfel-1,Career,6.7,,542,0.0,0.0,,,,,6-6,,,25,0.0,Blake Frohnapfel,,953,,56.9,44,6650,7.0,blake-frohnapfel-1,128,18,QB,0.0,125.5,0.0,-2.0,,0.0,128,3,132,1.0,3,,,Career,,,Overall,,3,,238,130,1.0,,,,
austin-whipple-1,2014,5.2,,25.0,,,,,,2.0,6-1,,,3.0,,Austin Whipple,,48.0,,52.1,3.0,325.0,6.8,austin-whipple-1,11,,QB,,117.1,0.0,0.0,,0.0,11.0,0.0,-26.0,-2.4,0,,,2014,,,Massachusetts,,,,210,-26,-2.4,,,,FR
austin-whipple-1,2015,,,,,,,,,,6-1,,,,,Austin Whipple,,,,,,,,austin-whipple-1,0,,QB,,,,,,,,,,,0,,,2015,,,Massachusetts,,,,210,0,,,,,SO
austin-whipple-1,Career,5.2,,25.0,,,,,,,6-1,,,3.0,,Austin Whipple,,48.0,,52.1,3.0,325.0,6.8,austin-whipple-1,11,,QB,,117.1,0.0,0.0,,0.0,11.0,0.0,-26.0,-2.4,0,,,Career,,,Massachusetts,,,,210,-26,-2.4,,,,
shadrach-abrokwah-1,2013,,,,0,0,,,,2.0,5-9,,,,0,Shadrach Abrokwah,,,,,,,,shadrach-abrokwah-1,51,6,RB,0,,0,0,,0,51,1,203,4.0,1,,,2013,,,Massachusetts,,1,,202,203,4.0,,,,FR
shadrach-abrokwah-1,2014,,,,0,0,,,,8.0,5-9,,,,0,Shadrach Abrokwah,,,,,,,,shadrach-abrokwah-1,136,48,RB,0,,1,78,6.0,13,123,7,573,4.7,8,,,2014,,,Massachusetts,,8,,202,651,4.8,,,,SO
shadrach-abrokwah-1,2015,,,,0,0,,,,2.0,5-9,,,,0,Shadrach Abrokwah,,,,,,,,shadrach-abrokwah-1,11,0,RB,0,,0,0,,0,11,0,75,6.8,0,,,2015,,,Massachusetts,,0,,202,75,6.8,,,,JR
shadrach-abrokwah-1,Career,,,,0,0,,,,,5-9,,,,0,Shadrach Abrokwah,,,,,,,,shadrach-abrokwah-1,198,54,RB,0,,1,78,6.0,13,185,8,851,4.6,9,,,Career,,,Massachusetts,,9,,202,929,4.7,,,,
lorenzo-woodley-1,2013,,,,0,0,,,,8.0,6-1,,,,0,Lorenzo Woodley,,,,,,,,lorenzo-woodley-1,89,12,RB,0,,0,31,6.2,5,84,2,314,3.7,2,,,2013,,,Massachusetts,,2,,212,345,3.9,,,,FR
lorenzo-woodley-1,2014,,,,0,0,,,,10.0,6-1,,,,0,Lorenzo Woodley,,,,,,,,lorenzo-woodley-1,107,30,RB,0,,0,59,11.8,5,102,5,420,4.1,5,,,2014,,,Massachusetts,,5,,212,479,4.5,,,,SO
lorenzo-woodley-1,2015,,,,0,0,,,,6.0,6-1,,,,0,Lorenzo Woodley,,,,,,,,lorenzo-woodley-1,17,0,RB,0,,0,36,5.1,7,10,0,36,3.6,0,,,2015,,,Massachusetts,,0,,212,72,4.2,,,,JR
lorenzo-woodley-1,Career,,,,0,0,,,,,6-1,,,,0,Lorenzo Woodley,,,,,,,,lorenzo-woodley-1,213,42,RB,0,,0,126,7.4,17,196,7,770,3.9,7,,,Career,,,Massachusetts,,7,,212,896,4.2,,,,
jt-blyden-1,2014,,,,,,,,,5.0,6-0,,,,,J.T. Blyden,,,,,,,,jt-blyden-1,46,,RB,,,0,40,5.0,8,38,0,116,3.1,0,,,2014,,,Massachusetts,,,,204,156,3.4,,,,FR
jt-blyden-1,Career,,,,,,,,,,6-0,,,,,J.T. Blyden,,,,,,,,jt-blyden-1,46,,RB,,,0,40,5.0,8,38,0,116,3.1,0,,,Career,,,Massachusetts,,,,204,156,3.4,,,,
jamal-wilson-3,2012,,0,,,,,,,11.0,5-10,,,,,Jamal Wilson,,,,,,,,jamal-wilson-3,17,0,RB,,,,,,,17,0,48,2.8,0,0.0,,2012,1,0.0,Massachusetts,1,0,,209,48,2.8,,,,SO
