,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
paxton-lynch-1,2013,5.1,1,203,0,0,0,0,,12.0,6-7,0,0,10,0,Paxton Lynch,,349,0,58.2,9,2056,5.9,paxton-lynch-1,88,12,QB,0,110.4,0,0,,0,88,2,127,1.4,2,0.0,,2013,2,0.0,Memphis,3,2,,245,127,1.4,,0,,FR
paxton-lynch-1,2014,7.4,2,259,0,0,0,0,,13.0,6-7,0,0,9,0,Paxton Lynch,,413,0,62.7,22,3031,7.3,paxton-lynch-1,113,78,QB,0,137.6,0,0,,0,113,13,321,2.8,13,0.0,,2014,3,0.0,Memphis,5,13,,245,321,2.8,,0,,SO
paxton-lynch-1,2015,9.4,0,296,0,0,0,0,,13.0,6-7,0,0,4,0,Paxton Lynch,,443,0,66.8,28,3776,8.5,paxton-lynch-1,87,12,QB,0,157.5,0,0,,0,87,2,239,2.7,2,0.0,,2015,3,0.0,Memphis,3,2,,245,239,2.7,,0,,JR
paxton-lynch-1,Career,7.5,3,758,0,0,0,0,,,6-7,0,0,23,0,Paxton Lynch,,1205,0,62.9,59,8863,7.4,paxton-lynch-1,288,102,QB,0,137.0,0,0,,0,288,17,687,2.4,17,0.0,,Career,8,0.0,Memphis,11,17,,245,687,2.4,,0,,
jason-stewart-3,2014,16.3,,3.0,0.0,0.0,,,,3.0,6-3,,,0.0,0.0,Jason Stewart,,4.0,,75.0,1.0,45.0,11.3,jason-stewart-3,6,0,QB,0.0,252.0,0.0,0.0,,0.0,6.0,0.0,23.0,3.8,0,,,2014,,,Memphis,,0,,205,23,3.8,,,,JR
jason-stewart-3,2015,,,,,,,,,,6-3,,,,,Jason Stewart,,,,,,,,jason-stewart-3,0,0,QB,,,,,,,,,,,0,,,2015,,,Memphis,,0,,205,0,,,,,SR
jason-stewart-3,2016,8.4,,21.0,0.0,0.0,,,,5.0,6-3,,,0.0,0.0,Jason Stewart,,32.0,,65.6,2.0,229.0,7.2,jason-stewart-3,25,6,QB,0.0,146.4,0.0,0.0,,0.0,25.0,1.0,77.0,3.1,1,,,2016,,,Memphis,,1,,205,77,3.1,,,,SR
jason-stewart-3,Career,9.3,,24.0,0.0,0.0,,,,,6-3,,,0.0,0.0,Jason Stewart,,36.0,,66.7,3.0,274.0,7.6,jason-stewart-3,31,6,QB,0.0,158.1,0.0,0.0,,0.0,31.0,1.0,100.0,3.2,1,,,Career,,,Memphis,,1,,205,100,3.2,,,,
brandon-hayes-1,2012,26.0,,1,,,,,,9.0,5-8,,,0,,Brandon Hayes,,1,,100.0,1,6,6.0,brandon-hayes-1,129,36,RB,,480.4,0,37,3.4,11,118,6,576,4.9,6,,,2012,,,Memphis,,6,,198,613,4.8,,,,JR
brandon-hayes-1,2013,-45.0,1.0,0,0.0,0.0,0.0,0.0,,12.0,5-8,0.0,0.0,1,0.0,Brandon Hayes,,1,0.0,0.0,0,0,0.0,brandon-hayes-1,221,42,RB,0.0,-200.0,2,119,6.0,20,201,5,860,4.3,7,0.0,,2013,1.0,0.0,Memphis,2.0,7,,198,979,4.4,,0.0,,SR
