,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
brad-kaaya-1,2014,8.4,,221,0,0,,,,13.0,6-4,,,12,0,Brad Kaaya,,378,,58.5,26,3198,8.5,brad-kaaya-1,27,6,QB,0,145.9,0,0,,0,27,1,-131,-4.9,1,,,2014,,,Miami (FL),,1,,215,-131,-4.9,,,,FR
brad-kaaya-1,2015,8.6,,238,0,0,,,,12.0,6-4,,,5,0,Brad Kaaya,,389,,61.2,16,3238,8.3,brad-kaaya-1,30,12,QB,0,142.1,0,0,,0,30,2,-119,-4.0,2,,,2015,,,Miami (FL),,2,,215,-119,-4.0,,,,SO
brad-kaaya-1,2016,8.9,,261,0,0,,,,13.0,6-4,,,7,0,Brad Kaaya,,421,,62.0,27,3532,8.4,brad-kaaya-1,37,6,QB,0,150.3,0,0,,0,37,1,-136,-3.7,1,,,2016,,,Miami (FL),,1,,215,-136,-3.7,,,,JR
brad-kaaya-1,Career,8.6,,720,0,0,,,,,6-4,,,24,0,Brad Kaaya,,1188,,60.6,69,9968,8.4,brad-kaaya-1,94,24,QB,0,146.2,0,0,,0,94,4,-386,-4.1,4,,,Career,,,Miami (FL),,4,,215,-386,-4.1,,,,
jake-heaps-1,2010,5.8,0,219,,,0,0,,13.0,6-1,,,9,,Jake Heaps,,383,0,57.2,15,2316,6.0,jake-heaps-1,34,6,QB,,116.2,,,,,34,1,-100,-2.9,1,0.0,,2010,0,0.0,Brigham Young,0,1,,210,-100,-2.9,,,,FR
jake-heaps-1,2011,5.0,0,144,,,0,0,,9.0,6-1,,,8,,Jake Heaps,,252,0,57.1,9,1452,5.8,jake-heaps-1,14,6,QB,,111.0,,,,,14,1,-57,-4.1,1,0.0,,2011,0,0.0,Brigham Young,0,1,,210,-57,-4.1,,,,SO
jake-heaps-1,2013,4.3,0,128,0.0,0.0,0,1,,11.0,6-1,0.0,0.0,10,0.0,Jake Heaps,,261,0,49.0,8,1414,5.4,jake-heaps-1,40,6,QB,0.0,97.0,0.0,0.0,,0.0,40,1,-162,-4.1,1,0.0,,2013,1,0.0,Kansas,1,1,,210,-162,-4.1,,0.0,,JR
jake-heaps-1,2014,4.3,0,6,0.0,0.0,0,0,,4.0,6-1,0.0,0.0,0,0.0,Jake Heaps,,12,0,50.0,0,51,4.3,jake-heaps-1,3,0,QB,0.0,85.7,0.0,0.0,,0.0,3,0,-10,-3.3,0,0.0,,2014,0,0.0,Miami (FL),0,0,,210,-10,-3.3,,0.0,,SR
jake-heaps-1,Career,5.1,0,497,0.0,0.0,0,1,,,6-1,0.0,0.0,27,0.0,Jake Heaps,,908,0,54.7,32,5233,5.8,jake-heaps-1,91,18,QB,0.0,108.8,0.0,0.0,,0.0,91,3,-329,-3.6,3,0.0,,Career,1,0.0,Overall,1,3,,210,-329,-3.6,,0.0,,
ryan-williams-7,2010,6.5,0.0,165,,,0.0,0.0,,12.0,6-6,0.0,0.0,10,,Ryan Williams,,290,0.0,56.9,13,2075,7.2,ryan-williams-7,48,,QB,,124.9,0.0,0.0,,0.0,48,0,-174,-3.6,0,0.0,,2010,2.0,0.0,Memphis,2.0,,,225,-174,-3.6,,0.0,,
ryan-williams-7,2012,7.9,,15,,,,,,5.0,6-6,,,0,,Ryan Williams,,20,,75.0,1,137,6.9,ryan-williams-7,1,,QB,,149.0,,,,,1,0,-6,-6.0,0,,,2012,,,Miami (FL),,,,225,-6,-6.0,,,,SO
ryan-williams-7,2013,12.0,0.0,22,,,0.0,0.0,,4.0,6-6,0.0,0.0,1,,Ryan Williams,,32,0.0,68.8,3,369,11.5,ryan-williams-7,3,,QB,,190.3,0.0,0.0,,0.0,3,0,-16,-5.3,0,0.0,,2013,0.0,0.0,Miami (FL),0.0,,,225,-16,-5.3,,0.0,,JR
ryan-williams-7,2014,0.0,0.0,0,,,0.0,0.0,,1.0,6-6,0.0,0.0,0,,Ryan Williams,,1,0.0,0.0,0,0,0.0,ryan-williams-7,0,,QB,,0.0,0.0,0.0,,0.0,0,0,0,,0,0.0,,2014,0.0,0.0,Miami (FL),0.0,,,225,0,,,0.0,,SR
ryan-williams-7,Career,7.1,0.0,202,,,0.0,0.0,,,6-6,0.0,0.0,11,,Ryan Williams,,343,0.0,58.9,17,2581,7.5,ryan-williams-7,52,,QB,,132.0,0.0,0.0,,0.0,52,0,-196,-3.8,0,0.0,,Career,2.0,0.0,Overall,2.0,,,225,-196,-3.8,,0.0,,
duke-johnson-1,2012,14.0,,1,,,,,,12.0,5-9,,,0,2,Duke Johnson,,2,,50.0,1,8,4.0,duke-johnson-1,166,78,RB,,248.6,1,221,8.2,27,139,10,947,6.8,11,,,2012,,,Miami (FL),,13,,206,1168,7.0,,,,FR
duke-johnson-1,2013,,,0,0.0,0.0,,,,8.0,5-9,,,0,0,Duke Johnson,,0,,,0,0,,duke-johnson-1,149,36,RB,0.0,,0,77,19.3,4,145,6,920,6.3,6,,,2013,,,Miami (FL),,6,,206,997,6.7,,,,SO
duke-johnson-1,2014,,,0,0.0,0.0,,,,13.0,5-9,,,0,0,Duke Johnson,,0,,,0,0,,duke-johnson-1,280,78,RB,0.0,,3,421,11.1,38,242,10,1652,6.8,13,,,2014,,,Miami (FL),,13,,206,2073,7.4,,,,JR
duke-johnson-1,Career,14.0,,1,0.0,0.0,,,,,5-9,,,0,2,Duke Johnson,,2,,50.0,1,8,4.0,duke-johnson-1,595,192,RB,0.0,248.6,4,719,10.4,69,526,26,3519,6.7,30,,,Career,,,Miami (FL),,32,,206,4238,7.1,,,,
joseph-yearby-1,2014,,0,0,0,0,0,0,,12.0,5-9,0,0,0,0,Joseph Yearby,,0,0,,0,0,,joseph-yearby-1,94,12,RB,0,,1,118,14.8,8,86,1,509,5.9,2,0.0,,2014,1,0.0,Miami (FL),1,2,,200,627,6.7,,0,,FR
joseph-yearby-1,2015,-45.0,0,0,0,0,0,0,,13.0,5-9,0,0,1,0,Joseph Yearby,,1,0,0.0,0,0,0.0,joseph-yearby-1,228,48,RB,0,-200.0,2,273,11.9,23,205,6,1002,4.9,8,0.0,,2015,3,0.0,Miami (FL),3,8,,200,1275,5.6,,0,,SO
joseph-yearby-1,2016,,0,0,0,0,0,0,,13.0,5-9,0,0,0,0,Joseph Yearby,,0,0,,0,0,,joseph-yearby-1,112,42,RB,0,,0,65,6.5,10,102,7,608,6.0,7,0.0,,2016,0,0.0,Miami (FL),0,7,,200,673,6.0,,0,,JR
