,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
andrew-hendrix-1,2011,4.8,0.0,18,,,0.0,0.0,,5.0,6-2,,,2,,Andrew Hendrix,,37,0.0,48.6,1,249,6.7,andrew-hendrix-1,25,6,QB,,103.3,,,,,25,1,162,6.5,1,0.0,,2011,0.0,0.0,Notre Dame,0.0,1,,221,162,6.5,,,,SO
andrew-hendrix-1,2012,7.9,,5,,,,,,3.0,6-2,,,0,,Andrew Hendrix,,7,,71.4,0,55,7.9,andrew-hendrix-1,8,0,QB,,137.4,,,,,8,0,41,5.1,0,,,2012,,,Notre Dame,,0,,221,41,5.1,,,,JR
andrew-hendrix-1,2013,4.0,1.0,2,0.0,0.0,0.0,0.0,,6.0,6-2,0.0,0.0,0,0.0,Andrew Hendrix,,14,0.0,14.3,0,56,4.0,andrew-hendrix-1,16,6,QB,0.0,47.9,0.0,0.0,,0.0,16,1,26,1.6,1,0.0,,2013,0.0,0.0,Notre Dame,1.0,1,,221,26,1.6,,0.0,,SR
andrew-hendrix-1,2014,7.3,0.0,222,0.0,0.0,1.0,0.0,,12.0,6-2,0.0,0.0,9,0.0,Andrew Hendrix,,458,0.0,48.5,23,3280,7.2,andrew-hendrix-1,157,36,QB,0.0,121.3,0.0,0.0,,0.0,157,6,324,2.1,6,0.0,,2014,2.0,0.0,Miami (OH),2.0,6,,221,324,2.1,,0.0,,SR
andrew-hendrix-1,Career,7.0,1.0,247,0.0,0.0,1.0,0.0,,,6-2,0.0,0.0,11,0.0,Andrew Hendrix,,516,0.0,47.9,24,3640,7.1,andrew-hendrix-1,206,48,QB,0.0,118.2,0.0,0.0,,0.0,206,8,553,2.7,8,0.0,,Career,2.0,0.0,Overall,3.0,8,,221,553,2.7,,0.0,,
drew-kummer-1,2012,,,,,,,,,1.0,6-3,,,,,Drew Kummer,,,,,,,,drew-kummer-1,1,0,QB,,,,,,,1,0,-1,-1.0,0,,,2012,,,Miami (OH),,0,,211,-1,-1.0,,,,FR
drew-kummer-1,2013,6.0,0.0,18.0,0.0,0.0,0.0,0.0,,8.0,6-3,0.0,0.0,0.0,0.0,Drew Kummer,,48.0,0.0,37.5,1.0,267.0,5.6,drew-kummer-1,29,12,QB,0.0,91.1,0.0,0.0,,0.0,29,2,41,1.4,2,0.0,,2013,0.0,0.0,Miami (OH),0.0,2,,211,41,1.4,,0.0,,SO
drew-kummer-1,2014,0.8,0.0,4.0,0.0,0.0,0.0,0.0,,1.0,6-3,0.0,0.0,1.0,0.0,Drew Kummer,,10.0,0.0,40.0,0.0,53.0,5.3,drew-kummer-1,2,0,QB,0.0,64.5,0.0,0.0,,0.0,2,0,7,3.5,0,0.0,,2014,0.0,0.0,Miami (OH),0.0,0,,211,7,3.5,,0.0,,JR
drew-kummer-1,2015,6.5,1.0,59.0,0.0,0.0,0.0,0.0,,7.0,6-3,0.0,0.0,6.0,0.0,Drew Kummer,,123.0,0.0,48.0,7.0,927.0,7.5,drew-kummer-1,26,0,QB,0.0,120.3,0.0,0.0,,0.0,26,0,27,1.0,0,0.0,,2015,3.0,0.0,Miami (OH),4.0,0,,211,27,1.0,,0.0,,SR
drew-kummer-1,Career,6.0,1.0,81.0,0.0,0.0,0.0,0.0,,,6-3,0.0,0.0,7.0,0.0,Drew Kummer,,181.0,0.0,44.8,8.0,1247.0,6.9,drew-kummer-1,58,12,QB,0.0,109.5,0.0,0.0,,0.0,58,2,74,1.3,2,0.0,,Career,3.0,0.0,Miami (OH),4.0,2,,211,74,1.3,,0.0,,
austin-gearing-1,2013,1.0,0,24,0,0,0,0,,12.0,6-5,0,0,3,0,Austin Gearing,,54,0,44.4,0,188,3.5,austin-gearing-1,145,6,QB,0,62.6,0,0,,0,145,1,478,3.3,1,0.0,,2013,0,0.0,Miami (OH),0,1,,257,478,3.3,,0,,FR
austin-gearing-1,2014,,1,0,0,0,0,0,,2.0,6-5,0,0,0,0,Austin Gearing,,0,0,,0,0,,austin-gearing-1,0,0,QB,0,,0,0,,0,0,0,0,,0,0.0,,2014,1,0.0,Miami (OH),2,0,,257,0,,,0,,SO
