,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
connor-cook-1,2012,4.1,,9,,,,,,3.0,6-4,,,1,,Connor Cook,,17,,52.9,1,94,5.5,connor-cook-1,4,0,QB,,107.0,,,,,4,0,-3,-0.8,0,,,2012,,,Michigan State,,0,,220,-3,-0.8,,,,SO
connor-cook-1,2013,7.7,0.0,223,0.0,0.0,0.0,0.0,,14.0,6-4,0.0,0.0,6,0.0,Connor Cook,,380,0.0,58.7,22,2755,7.3,connor-cook-1,69,6,QB,0.0,135.5,0.0,0.0,,0.0,69,1,76,1.1,1,0.0,,2013,0.0,0.0,Michigan State,0.0,1,,220,76,1.1,,0.0,,SO
connor-cook-1,2014,9.1,0.0,212,0.0,0.0,0.0,0.0,,13.0,6-4,0.0,0.0,8,0.0,Connor Cook,,365,0.0,58.1,24,3214,8.8,connor-cook-1,51,12,QB,0.0,149.4,0.0,0.0,,0.0,51,2,80,1.6,2,0.0,,2014,1.0,0.0,Michigan State,1.0,2,,220,80,1.6,,0.0,,JR
connor-cook-1,2015,8.1,0.0,229,0.0,0.0,0.0,0.0,,13.0,6-4,0.0,0.0,7,0.0,Connor Cook,,408,0.0,56.1,24,3131,7.7,connor-cook-1,52,0,QB,0.0,136.6,0.0,0.0,,0.0,52,0,56,1.1,0,0.0,,2015,0.0,0.0,Michigan State,0.0,0,,220,56,1.1,,0.0,,SR
connor-cook-1,Career,8.2,0.0,673,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,22,0.0,Connor Cook,,1170,0.0,57.5,71,9194,7.9,connor-cook-1,176,18,QB,0.0,139.8,0.0,0.0,,0.0,176,3,209,1.2,3,0.0,,Career,1.0,0.0,Michigan State,1.0,3,,220,209,1.2,,0.0,,
damion-terry-1,2014,4.6,0,12,0,0,0,0,,5.0,6-4,0,0,0,0,Damion Terry,,19,0,63.2,0,88,4.6,damion-terry-1,12,0,QB,0,102.1,0,0,,0,12,0,62,5.2,0,0.0,,2014,0,0.0,Michigan State,0,0,,220,62,5.2,,0,,FR
damion-terry-1,2015,2.1,0,2,0,0,0,0,,9.0,6-4,0,0,0,0,Damion Terry,,7,0,28.6,0,15,2.1,damion-terry-1,21,0,QB,0,46.6,0,0,,0,21,0,68,3.2,0,0.0,,2015,0,0.0,Michigan State,0,0,,220,68,3.2,,0,,SO
damion-terry-1,2016,5.0,0,22,0,0,0,0,,7.0,6-4,0,0,1,0,Damion Terry,,46,0,47.8,1,253,5.5,damion-terry-1,27,6,QB,0,96.9,0,15,15.0,1,26,1,85,3.3,1,0.0,,2016,0,0.0,Michigan State,0,1,,220,100,3.7,,0,,JR
damion-terry-1,2017,-11.3,0,0,0,0,0,0,,3.0,6-4,0,0,1,0,Damion Terry,,4,0,0.0,0,0,0.0,damion-terry-1,7,6,QB,0,-50.0,0,0,,0,7,1,31,4.4,1,0.0,,2017,1,0.0,Michigan State,1,1,,220,31,4.4,,0,,SR
damion-terry-1,Career,3.8,0,36,0,0,0,0,,,6-4,0,0,2,0,Damion Terry,,76,0,47.4,1,356,4.7,damion-terry-1,67,12,QB,0,85.8,0,15,15.0,1,66,2,246,3.7,2,0.0,,Career,1,0.0,Michigan State,1,2,,220,261,3.9,,0,,
tyler-oconnor-1,2013,6.4,0,9,0,0,0,0,,3.0,6-3,0,0,0,0,Tyler O'Connor,,14,0,64.3,0,90,6.4,tyler-oconnor-1,8,0,QB,0,118.3,0,0,,0,8,0,24,3.0,0,0.0,,2013,0,0.0,Michigan State,0,0,,228,24,3.0,,0,,FR
tyler-oconnor-1,2014,9.1,0,12,0,0,0,0,,4.0,6-3,0,0,1,0,Tyler O'Connor,,16,0,75.0,2,151,9.4,tyler-oconnor-1,6,12,QB,0,183.0,0,0,,0,6,2,22,3.7,2,0.0,,2014,0,0.0,Michigan State,0,2,,228,22,3.7,,0,,SO
tyler-oconnor-1,2015,5.3,0,13,0,0,0,0,,5.0,6-3,0,0,1,0,Tyler O'Connor,,24,0,54.2,2,133,5.5,tyler-oconnor-1,14,0,QB,0,119.9,0,0,,0,14,0,48,3.4,0,0.0,,2015,0,0.0,Michigan State,0,0,,228,48,3.4,,0,,JR
tyler-oconnor-1,2016,7.2,0,154,0,0,0,0,,11.0,6-3,0,0,9,0,Tyler O'Connor,,262,0,58.8,16,1970,7.5,tyler-oconnor-1,63,0,QB,0,135.2,0,0,,0,63,0,70,1.1,0,0.0,,2016,1,0.0,Michigan State,1,0,,228,70,1.1,,0,,SR
tyler-oconnor-1,Career,7.1,0,188,0,0,0,0,,,6-3,0,0,11,0,Tyler O'Connor,,316,0,59.5,20,2344,7.4,tyler-oconnor-1,91,12,QB,0,135.7,0,0,,0,91,2,164,1.8,2,0.0,,Career,1,0.0,Michigan State,1,2,,228,164,1.8,,0,,
