,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
devin-gardner-1,2010,10.5,0.0,7,,,0.0,0.0,,4.0,6-4,,,0,,Devin Gardner,,10,0.0,70.0,1,85,8.5,devin-gardner-1,7,6,QB,,174.4,,,,,7,1,21,3.0,1,0.0,,2010,0.0,0.0,Michigan,0.0,1,,216,21,3.0,,,,FR
devin-gardner-1,2011,6.6,0.0,11,,,0.0,0.0,,9.0,6-4,,,1,,Devin Gardner,,23,0.0,47.8,1,176,7.7,devin-gardner-1,26,6,QB,,117.8,0.0,2.0,2.0,1.0,25,1,53,2.1,1,0.0,,2011,0.0,0.0,Michigan,0.0,1,,216,55,2.1,,,,SO
devin-gardner-1,2012,9.6,,75,,,,,,13.0,6-4,,,5,,Devin Gardner,,126,,59.5,11,1219,9.7,devin-gardner-1,63,66,QB,,161.7,4.0,266.0,16.6,16.0,47,7,101,2.1,11,,,2012,,,Michigan,,11,,216,367,5.8,,,,JR
devin-gardner-1,2013,8.4,0.0,208,0.0,0.0,0.0,0.0,,12.0,6-4,0.0,0.0,11,0.0,Devin Gardner,,345,0.0,60.3,21,2960,8.6,devin-gardner-1,165,66,QB,0.0,146.1,0.0,0.0,,0.0,165,11,483,2.9,11,0.0,,2013,2.0,0.0,Michigan,2.0,11,,216,483,2.9,,0.0,,JR
devin-gardner-1,2014,5.0,0.0,174,0.0,0.0,0.0,0.0,,12.0,6-4,0.0,0.0,15,0.0,Devin Gardner,,283,0.0,61.5,10,1896,6.7,devin-gardner-1,99,24,QB,0.0,118.8,0.0,18.0,18.0,1.0,98,4,258,2.6,4,0.0,,2014,0.0,0.0,Michigan,0.0,4,,216,276,2.8,,0.0,,SR
devin-gardner-1,Career,7.3,0.0,475,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,32,0.0,Devin Gardner,,787,0.0,60.4,44,6336,8.1,devin-gardner-1,360,168,QB,0.0,138.3,4.0,286.0,15.9,18.0,342,24,916,2.7,28,0.0,,Career,2.0,0.0,Michigan,2.0,28,,216,1202,3.3,,0.0,,
shane-morris-1,2013,3.6,0.0,29.0,0.0,0.0,0.0,0.0,,3.0,6-3,0.0,0.0,2.0,0.0,Shane Morris,,47.0,0.0,61.7,0.0,261.0,5.6,shane-morris-1,6,0,QB,0.0,99.8,0.0,0.0,,0.0,6.0,0.0,40.0,6.7,0,0.0,,2013,0.0,0.0,Michigan,0.0,0,,225,40,6.7,,0.0,,FR
shane-morris-1,2014,-0.2,0.0,14.0,0.0,0.0,0.0,0.0,,5.0,6-3,0.0,0.0,3.0,0.0,Shane Morris,,40.0,0.0,35.0,0.0,128.0,3.2,shane-morris-1,9,0,QB,0.0,46.9,0.0,0.0,,0.0,9.0,0.0,28.0,3.1,0,0.0,,2014,1.0,0.0,Michigan,1.0,0,,225,28,3.1,,0.0,,SO
shane-morris-1,2015,,,,,,,,,,6-3,,,,,Shane Morris,,,,,,,,shane-morris-1,0,0,QB,,,,,,,,,,,0,,,2015,,,Michigan,,0,,225,0,,,,,JR
shane-morris-1,2016,9.0,0.0,4.0,0.0,0.0,0.0,0.0,,3.0,6-3,0.0,0.0,0.0,0.0,Shane Morris,,5.0,0.0,80.0,0.0,45.0,9.0,shane-morris-1,3,0,QB,0.0,155.6,0.0,0.0,,0.0,3.0,0.0,19.0,6.3,0,0.0,,2016,0.0,0.0,Michigan,0.0,0,,225,19,6.3,,0.0,,SR
