,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
austin-grammer-1,2013,2.6,0,21,0,0,0,0,,8.0,6-2,0,0,2,0,Austin Grammer,,46,0,45.7,1,190,4.1,austin-grammer-1,33,12,QB,0,78.8,0,0,,0,33,2,169,5.1,2,0.0,,2013,0,0.0,Middle Tennessee State,0,2,,205,169,5.1,,0,,FR
austin-grammer-1,2014,7.0,0,221,0,0,0,0,,12.0,6-2,0,0,12,0,Austin Grammer,,338,0,65.4,17,2557,7.6,austin-grammer-1,125,36,QB,0,138.4,0,12,12.0,1,124,6,442,3.6,6,0.0,,2014,1,0.0,Middle Tennessee State,1,6,,205,454,3.6,,0,,SO
austin-grammer-1,2015,2.2,0,6,0,0,0,0,,11.0,6-2,0,0,1,0,Austin Grammer,,9,0,66.7,1,45,5.0,austin-grammer-1,27,6,QB,0,123.1,0,111,12.3,9,18,1,70,3.9,1,0.0,,2015,2,0.0,Middle Tennessee State,2,1,,205,181,6.7,,0,,JR
austin-grammer-1,Career,6.4,0,248,0,0,0,0,,,6-2,0,0,15,0,Austin Grammer,,393,0,63.1,19,2792,7.1,austin-grammer-1,185,54,QB,0,131.1,0,123,12.3,10,175,9,681,3.9,9,0.0,,Career,3,0.0,Middle Tennessee State,3,9,,205,804,4.3,,0,,
brent-stockstill-1,2014,-1.3,0,2,0,0,0,0,,1.0,6-0,0,0,1,0,Brent Stockstill,,3,0,66.7,0,41,13.7,brent-stockstill-1,2,0,QB,0,114.8,0,0,,0,2,0,-4,-2.0,0,0.0,,2014,0,0.0,Middle Tennessee State,0,0,,221,-4,-2.0,,0,,FR
brent-stockstill-1,2015,8.6,0,326,0,0,0,0,,13.0,6-0,0,0,9,0,Brent Stockstill,,489,0,66.7,30,3993,8.2,brent-stockstill-1,60,12,QB,0,151.8,0,0,,0,60,2,37,0.6,2,0.0,,2015,2,0.0,Middle Tennessee State,2,2,,221,37,0.6,,0,,FR
brent-stockstill-1,2016,8.5,0,262,0,0,0,0,,10.0,6-0,0,0,7,0,Brent Stockstill,,414,0,63.3,31,3233,7.8,brent-stockstill-1,46,0,QB,0,150.2,0,-3,-3.0,1,45,0,240,5.3,0,0.0,,2016,4,0.0,Middle Tennessee State,4,0,,221,237,5.2,,0,,SO
brent-stockstill-1,2017,6.8,0,138,0,0,0,0,,7.0,6-0,0,0,8,0,Brent Stockstill,,239,0,57.7,16,1672,7.0,brent-stockstill-1,37,0,QB,0,131.9,0,0,,0,37,0,51,1.4,0,0.0,,2017,0,0.0,Middle Tennessee State,0,16,,221,51,1.4,,0,,JR
brent-stockstill-1,2018,7.9,0,326,0,0,0,0,,14.0,6-0,0,0,10,0,Brent Stockstill,,464,0,70.3,29,3544,7.6,brent-stockstill-1,128,12,QB,0,150.7,0,-8,-8.0,1,127,2,140,1.1,2,0.0,,2018,1,0.0,Middle Tennessee State,1,2,,221,132,1.0,,0,,SR
brent-stockstill-1,Career,8.1,0,1054,0,0,0,0,,,6-0,0,0,35,0,Brent Stockstill,,1609,0,65.5,106,12483,7.8,brent-stockstill-1,273,24,QB,0,148.1,0,-11,-5.5,2,271,4,464,1.7,4,0.0,,Career,7,0.0,Middle Tennessee State,7,20,,221,453,1.7,,0,,
aj-erdely-1,2014,0.0,0,0,0,0,0,0,,5.0,6-4,0,0,0,0,A.J. Erdely,,1,0,0.0,0,0,0.0,aj-erdely-1,7,6,QB,0,0.0,0,0,,0,7,1,29,4.1,1,0.0,,2014,0,0.0,Middle Tennessee State,0,1,,220,29,4.1,,0,,JR
aj-erdely-1,2017,7.3,0,205,0,0,0,0,,13.0,6-4,0,0,4,0,A.J. Erdely,,338,0,60.7,16,2331,6.9,aj-erdely-1,123,78,QB,0,131.8,0,3,3.0,1,122,13,326,2.7,13,0.0,,2017,1,0.0,UAB,1,13,,220,329,2.7,,0,,JR
aj-erdely-1,2018,6.9,0,111,0,0,0,0,,9.0,6-4,0,0,7,0,A.J. Erdely,,198,0,56.1,7,1539,7.8,aj-erdely-1,84,30,QB,0,125.9,0,0,,0,84,5,257,3.1,5,0.0,,2018,0,0.0,UAB,0,5,,220,257,3.1,,0,,SR
aj-erdely-1,Career,7.1,0,316,0,0,0,0,,,6-4,0,0,11,0,A.J. Erdely,,537,0,58.8,23,3870,7.2,aj-erdely-1,214,114,QB,0,129.4,0,3,3.0,1,213,19,612,2.9,19,0.0,,Career,1,0.0,Overall,1,19,,220,615,2.9,,0,,
shane-tucker-1,2013,,0,0,0,0,0,0,,5.0,6-0,0,0,0,0,Shane Tucker,,0,0,,0,0,,shane-tucker-1,45,30,RB,0,,0,4,4.0,1,44,5,241,5.5,5,0.0,,2013,0,0.0,Middle Tennessee State,0,5,,220,245,5.4,,0,,FR
shane-tucker-1,2014,12.0,0,1,0,0,0,0,,12.0,6-0,0,0,0,0,Shane Tucker,,1,0,100.0,0,12,12.0,shane-tucker-1,122,72,RB,0,200.8,4,351,14.0,25,97,8,486,5.0,12,0.0,,2014,2,0.0,Middle Tennessee State,2,12,,220,837,6.9,,0,,SO
shane-tucker-1,2015,,0,0,0,0,0,0,,10.0,6-0,0,0,0,0,Shane Tucker,,0,0,,0,0,,shane-tucker-1,143,18,RB,0,,1,133,8.3,16,127,2,413,3.3,3,0.0,,2015,1,0.0,Middle Tennessee State,1,3,,220,546,3.8,,0,,JR
shane-tucker-1,2017,,1,0,0,0,0,0,,10.0,6-0,0,0,0,0,Shane Tucker,,0,0,,0,0,,shane-tucker-1,28,12,RB,0,,2,381,15.2,25,3,0,22,7.3,2,0.0,,2017,2,0.0,Middle Tennessee State,3,2,,220,403,14.4,,0,,SR
shane-tucker-1,Career,12.0,1,1,0,0,0,0,,,6-0,0,0,0,0,Shane Tucker,,1,0,100.0,0,12,12.0,shane-tucker-1,338,132,RB,0,200.8,7,869,13.0,67,271,15,1162,4.3,22,0.0,,Career,5,0.0,Middle Tennessee State,6,22,,220,2031,6.0,,0,,
