,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
mitch-leidner-1,2013,8.1,0,43,0,0,0,0,,10.0,6-4,0,0,1,0,Mitch Leidner,,78,0,55.1,3,619,7.9,mitch-leidner-1,102,42,QB,0,131.9,0,0,,0,102,7,407,4.0,7,0.0,,2013,1,0.0,Minnesota,1,7,,230,407,4.0,,0,,FR
mitch-leidner-1,2014,7.0,1,122,0,0,0,0,,12.0,6-4,0,0,8,0,Mitch Leidner,,237,0,51.5,11,1798,7.6,mitch-leidner-1,127,60,QB,0,123.8,0,9,9.0,1,126,10,452,3.6,10,0.0,,2014,0,0.0,Minnesota,1,10,,230,461,3.6,,0,,SO
mitch-leidner-1,2015,6.1,0,242,0,0,0,0,,13.0,6-4,0,0,11,0,Mitch Leidner,,407,0,59.5,14,2701,6.6,mitch-leidner-1,108,36,QB,0,121.2,0,16,16.0,1,107,6,270,2.5,6,0.0,,2015,0,0.0,Minnesota,0,6,,230,286,2.6,,0,,JR
mitch-leidner-1,2016,5.8,0,173,0,0,0,0,,12.0,6-4,0,0,12,0,Mitch Leidner,,307,0,56.4,8,2169,7.1,mitch-leidner-1,111,60,QB,0,116.5,0,0,,0,111,10,366,3.3,10,0.0,,2016,1,0.0,Minnesota,1,10,,230,366,3.3,,0,,SR
mitch-leidner-1,Career,6.4,1,580,0,0,0,0,,,6-4,0,0,32,0,Mitch Leidner,,1029,0,56.4,36,7287,7.1,mitch-leidner-1,448,198,QB,0,121.2,0,25,12.5,2,446,33,1495,3.4,33,0.0,,Career,2,0.0,Minnesota,3,33,,230,1520,3.4,,0,,
chris-streveler-1,2014,1.1,,4,0,0,,,,5.0,6-2,,,1,0,Chris Streveler,,11,,36.4,1,37,3.4,chris-streveler-1,36,6,QB,0,76.4,0,0,,0,36,1,235,6.5,1,,,2014,,,Minnesota,,1,,223,235,6.5,,,,FR
chris-streveler-1,2015,,,0,0,0,,,,3.0,6-2,,,0,0,Chris Streveler,,0,,,0,0,,chris-streveler-1,5,0,WR,0,,0,4,4.0,1,4,0,8,2.0,0,,,2015,,,Minnesota,,0,,223,12,2.4,,,,SO
chris-streveler-1,Career,1.1,,4,0,0,,,,,6-2,,,1,0,Chris Streveler,,11,,36.4,1,37,3.4,chris-streveler-1,41,6,WR,0,76.4,0,4,4.0,1,40,1,243,6.1,1,,,Career,,,Minnesota,,1,,223,247,6.0,,,,
conor-rhoda-1,2014,0.0,,0.0,,,,,,1.0,6-3,,,0.0,,Conor Rhoda,,1.0,,0.0,0.0,0.0,0.0,conor-rhoda-1,0,,QB,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,,,2014,,,Minnesota,,,,225,0,,,,,FR
conor-rhoda-1,2015,,,,,,,,,,6-3,,,,,Conor Rhoda,,,,,,,,conor-rhoda-1,0,,QB,,,,,,,,,,,0,,,2015,,,Minnesota,,,,225,0,,,,,SO
conor-rhoda-1,2016,6.8,,8.0,,,,,,3.0,6-3,,,0.0,,Conor Rhoda,,16.0,,50.0,1.0,88.0,5.5,conor-rhoda-1,7,,QB,,116.8,0.0,0.0,,0.0,7.0,0.0,-11.0,-1.6,0,,,2016,,,Minnesota,,,,225,-11,-1.6,,,,JR
