,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
dak-prescott-1,2012,9.4,,18,,,,,,12.0,6-2,,,0,,Dak Prescott,,29,,62.1,4,194,6.7,dak-prescott-1,32,24,QB,,163.8,,,,,32,4,118,3.7,4,,,2012,,,Mississippi State,,4,,230,118,3.7,,,,FR
dak-prescott-1,2013,6.8,1.0,156,0.0,0.0,0.0,0.0,,11.0,6-2,0.0,0.0,7,0.0,Dak Prescott,,267,0.0,58.4,10,1940,7.3,dak-prescott-1,136,90,QB,0.0,126.6,2.0,53.0,26.5,2.0,134,13,829,6.2,15,0.0,,2013,0.0,0.0,Mississippi State,1.0,15,,230,882,6.5,,0.0,,FR
dak-prescott-1,2014,8.8,0.0,244,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,11,0.0,Dak Prescott,,396,0.0,61.6,27,3449,8.7,dak-prescott-1,212,90,QB,0.0,151.7,1.0,35.0,17.5,2.0,210,14,986,4.7,15,0.0,,2014,0.0,0.0,Mississippi State,0.0,15,,230,1021,4.8,,0.0,,JR
dak-prescott-1,2015,8.7,0.0,316,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,5,0.0,Dak Prescott,,477,0.0,66.2,29,3793,8.0,dak-prescott-1,160,60,QB,0.0,151.0,0.0,0.0,,0.0,160,10,588,3.7,10,0.0,,2015,0.0,0.0,Mississippi State,0.0,10,,230,588,3.7,,0.0,,SR
dak-prescott-1,Career,8.3,1.0,734,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,23,0.0,Dak Prescott,,1169,0.0,62.8,70,9376,8.0,dak-prescott-1,540,264,QB,0.0,146.0,3.0,88.0,22.0,4.0,536,41,2521,4.7,44,0.0,,Career,0.0,0.0,Mississippi State,1.0,44,,230,2609,4.8,,0.0,,
damian-williams-3,2013,4.0,0.0,23.0,0.0,0.0,0.0,0.0,,6.0,6-1,0.0,0.0,2.0,0.0,Damian Williams,,47.0,0.0,48.9,0.0,279.0,5.9,damian-williams-3,37,6,QB,0.0,90.3,0.0,0.0,,0.0,37.0,1.0,112.0,3.0,1,0.0,,2013,0.0,0.0,Mississippi State,0.0,1,,215,112,3.0,,0.0,,FR
damian-williams-3,2014,9.3,1.0,14.0,0.0,0.0,0.0,0.0,,7.0,6-1,0.0,0.0,0.0,0.0,Damian Williams,,23.0,0.0,60.9,3.0,155.0,6.7,damian-williams-3,16,0,QB,0.0,160.5,0.0,0.0,,0.0,16.0,0.0,63.0,3.9,0,0.0,,2014,1.0,0.0,Mississippi State,2.0,0,,215,63,3.9,,0.0,,SO
damian-williams-3,2015,,,,,,,,,,6-1,,,,,Damian Williams,,,,,,,,damian-williams-3,0,0,QB,,,,,,,,,,,0,,,2015,,,Mississippi State,,0,,215,0,,,,,JR
damian-williams-3,2016,6.6,0.0,31.0,0.0,0.0,0.0,0.0,,4.0,6-1,0.0,0.0,0.0,0.0,Damian Williams,,47.0,0.0,66.0,2.0,272.0,5.8,damian-williams-3,19,6,QB,0.0,128.6,0.0,0.0,,0.0,19.0,1.0,99.0,5.2,1,0.0,,2016,0.0,0.0,Mississippi State,0.0,1,,215,99,5.2,,0.0,,JR
damian-williams-3,2017,5.7,0.0,194.0,0.0,0.0,0.0,0.0,,12.0,6-1,0.0,0.0,9.0,0.0,Damian Williams,,333.0,0.0,58.3,12.0,2061.0,6.2,damian-williams-3,115,30,QB,0.0,116.7,0.0,0.0,,0.0,115.0,5.0,113.0,1.0,5,0.0,,2017,0.0,0.0,Texas State,0.0,5,,215,113,1.0,,0.0,,SR
damian-williams-3,Career,5.8,1.0,262.0,0.0,0.0,0.0,0.0,,,6-1,0.0,0.0,11.0,0.0,Damian Williams,,450.0,0.0,58.2,17.0,2767.0,6.1,damian-williams-3,187,42,QB,0.0,117.5,0.0,0.0,,0.0,187.0,7.0,387.0,2.1,7,0.0,,Career,1.0,0.0,Overall,2.0,7,,215,387,2.1,,0.0,,
josh-robinson-2,2012,,0,,,,,,,12.0,5-9,,,,,Josh Robinson,,,,,,,,josh-robinson-2,58,6,RB,,,0,8,2.7,3,55,1,335,6.1,1,0.0,,2012,1,0.0,Mississippi State,1,1,,215,343,5.9,,,,FR
josh-robinson-2,2013,,0,,0.0,0.0,0.0,0.0,,13.0,5-9,0.0,0.0,,0.0,Josh Robinson,,,0.0,,,,,josh-robinson-2,90,18,RB,0.0,,0,115,9.6,12,78,3,459,5.9,3,0.0,,2013,0,0.0,Mississippi State,0,3,,215,574,6.4,,0.0,,SO
josh-robinson-2,2014,,0,,0.0,0.0,0.0,0.0,,13.0,5-9,0.0,0.0,,0.0,Josh Robinson,,,0.0,,,,,josh-robinson-2,218,72,RB,0.0,,1,370,13.2,28,190,11,1203,6.3,12,0.0,,2014,0,0.0,Mississippi State,0,12,,215,1573,7.2,,0.0,,JR
josh-robinson-2,Career,,0,,0.0,0.0,0.0,0.0,,,5-9,0.0,0.0,,0.0,Josh Robinson,,,0.0,,,,,josh-robinson-2,366,96,RB,0.0,,1,493,11.5,43,323,15,1997,6.2,16,0.0,,Career,1,0.0,Mississippi State,1,16,,215,2490,6.8,,0.0,,
ashton-shumpert-1,2013,,1,,0,0,0,0,,10.0,6-2,0,0,,0,Ashton Shumpert,,,0,,,,,ashton-shumpert-1,50,18,RB,0,,0,22,5.5,4,46,3,190,4.1,3,0.0,,2013,0,0.0,Mississippi State,1,3,,218,212,4.2,,0,,FR
ashton-shumpert-1,2014,,2,,0,0,0,0,,10.0,6-2,0,0,,0,Ashton Shumpert,,,0,,,,,ashton-shumpert-1,50,12,RB,0,,0,18,6.0,3,47,2,274,5.8,2,0.0,,2014,4,0.0,Mississippi State,6,2,,218,292,5.8,,0,,SO
ashton-shumpert-1,2015,,1,,0,0,1,0,,11.0,6-2,0,0,,0,Ashton Shumpert,,,0,,,,,ashton-shumpert-1,72,6,RB,0,,0,109,8.4,13,59,1,228,3.9,1,0.0,,2015,1,0.0,Mississippi State,2,1,,218,337,4.7,,0,,JR
ashton-shumpert-1,2016,,3,,0,0,0,0,,13.0,6-2,0,0,,0,Ashton Shumpert,,,0,,,,,ashton-shumpert-1,58,6,RB,0,,0,28,9.3,3,55,1,257,4.7,1,0.0,,2016,2,0.0,Mississippi State,5,1,,218,285,4.9,,0,,SR
ashton-shumpert-1,Career,,7,,0,0,1,0,,,6-2,0,0,,0,Ashton Shumpert,,,0,,,,,ashton-shumpert-1,230,42,RB,0,,0,177,7.7,23,207,7,949,4.6,7,0.0,,Career,7,0.0,Mississippi State,14,7,,218,1126,4.9,,0,,
nick-griffin-1,2011,,,,,,,,,5.0,6-0,,,,,Nick Griffin,,,,,,,,nick-griffin-1,17,6,RB,,,0,8,8.0,1,16,1,108,6.8,1,,,2011,,,Mississippi State,,1,,226,116,6.8,,,,SO
nick-griffin-1,2012,,,,,,,,,13.0,6-0,,,,,Nick Griffin,,,,,,,,nick-griffin-1,34,6,RB,,,0,3,1.5,2,32,1,223,7.0,1,,,2012,,,Mississippi State,,1,,226,226,6.6,,,,SO
nick-griffin-1,2013,,,,0.0,0.0,,,,5.0,6-0,,,,0.0,Nick Griffin,,,,,,,,nick-griffin-1,27,6,RB,0.0,,0,27,9.0,3,24,1,96,4.0,1,,,2013,,,Mississippi State,,1,,226,123,4.6,,,,JR
nick-griffin-1,2014,,,,0.0,0.0,,,,10.0,6-0,,,,0.0,Nick Griffin,,,,,,,,nick-griffin-1,42,6,RB,0.0,,0,45,15.0,3,39,1,157,4.0,1,,,2014,,,Mississippi State,,1,,226,202,4.8,,,,SR
nick-griffin-1,Career,,,,0.0,0.0,,,,,6-0,,,,0.0,Nick Griffin,,,,,,,,nick-griffin-1,120,24,RB,0.0,,0,83,9.2,9,111,4,584,5.3,4,,,Career,,,Mississippi State,,4,,226,667,5.6,,,,
bennie-braswell-iii-1,2014,,,,,,,,,1.0,5-9,,,,,Bennie Braswell III,,,,,,,,bennie-braswell-iii-1,4,,RB,,,0.0,0.0,,0.0,4.0,0.0,9.0,2.3,0,,,2014,,,Mississippi State,,,,170,9,2.3,,,,FR
bennie-braswell-iii-1,2015,,,,,,,,,,5-9,,,,,Bennie Braswell III,,,,,,,,bennie-braswell-iii-1,0,,RB,,,,,,,,,,,0,,,2015,,,Mississippi State,,,,170,0,,,,,SO
