,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
bo-wallace-1,2012,7.3,0,235,,,,,,13.0,6-4,,,17,,Bo Wallace,,368,,63.9,22,2994,8.1,bo-wallace-1,144,54,QB,,142.7,1,25,25.0,1,143,8,390,2.7,9,0.0,,2012,2,0.0,Ole Miss,2,9,,217,415,2.9,,,,SO
bo-wallace-1,2013,7.5,0,283,0.0,0.0,0.0,0.0,,13.0,6-4,0.0,0.0,10,0.0,Bo Wallace,,437,0.0,64.8,18,3346,7.7,bo-wallace-1,132,36,QB,0.0,138.1,0,19,19.0,1,131,6,355,2.7,6,0.0,,2013,0,0.0,Ole Miss,0,6,,217,374,2.8,,0.0,,JR
bo-wallace-1,2014,7.9,1,229,0.0,0.0,0.0,0.0,,13.0,6-4,0.0,0.0,14,0.0,Bo Wallace,,381,0.0,60.1,22,3194,8.4,bo-wallace-1,121,30,QB,0.0,142.2,0,-12,,0,121,5,199,1.6,5,0.0,,2014,1,0.0,Ole Miss,2,5,,217,187,1.5,,0.0,,SR
bo-wallace-1,Career,7.5,1,747,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,41,0.0,Bo Wallace,,1186,0.0,63.0,62,9534,8.0,bo-wallace-1,397,120,QB,0.0,140.8,1,32,16.0,2,395,19,944,2.4,20,0.0,,Career,3,0.0,Ole Miss,4,20,,217,976,2.5,,0.0,,
ryan-buchanan-1,2014,1.4,,12,,,,,,4.0,6-3,,,1,,Ryan Buchanan,,22,,54.5,0,75,3.4,ryan-buchanan-1,3,,QB,,74.1,0,0,,0,3,0,18,6.0,0,,,2014,,,Ole Miss,,,,218,18,6.0,,,,FR
ryan-buchanan-1,2015,7.0,,8,,,,,,3.0,6-3,,,1,,Ryan Buchanan,,13,,61.5,2,96,7.4,ryan-buchanan-1,2,,QB,,159.0,0,0,,0,2,0,-1,-0.5,0,,,2015,,,Ole Miss,,,,218,-1,-0.5,,,,SO
ryan-buchanan-1,Career,3.5,,20,,,,,,,6-3,,,2,,Ryan Buchanan,,35,,57.1,2,171,4.9,ryan-buchanan-1,5,,QB,,105.6,0,0,,0,5,0,17,3.4,0,,,Career,,,Ole Miss,,,,218,17,3.4,,,,
devante-kincade-1,2014,7.4,,16,0,0,,,,8.0,6-0,,,0,0,Devante Kincade,,20,,80.0,1,127,6.4,devante-kincade-1,28,6,QB,0,149.8,0,0,,0,28,1,95,3.4,1,,,2014,,,Ole Miss,,1,,184,95,3.4,,,,FR
devante-kincade-1,2015,6.6,,9,0,0,,,,3.0,6-0,,,0,0,Devante Kincade,,15,,60.0,1,79,5.3,devante-kincade-1,9,0,QB,0,126.2,0,0,,0,9,0,87,9.7,0,,,2015,,,Ole Miss,,0,,184,87,9.7,,,,SO
devante-kincade-1,Career,7.0,,25,0,0,,,,,6-0,,,0,0,Devante Kincade,,35,,71.4,2,206,5.9,devante-kincade-1,37,6,QB,0,139.7,0,0,,0,37,1,182,4.9,1,,,Career,,,Ole Miss,,1,,184,182,4.9,,,,
jordan-wilkins-1,2014,25.5,0,1,0,0,0,0,,13.0,6-1,0,0,0,0,Jordan Wilkins,,2,0,50.0,1,31,15.5,jordan-wilkins-1,53,6,RB,0,345.2,0,6,6.0,1,52,1,361,6.9,1,0.0,,2014,0,0.0,Ole Miss,0,1,,217,367,6.9,,0,,FR
jordan-wilkins-1,2015,,0,0,0,0,0,0,,13.0,6-1,0,0,0,0,Jordan Wilkins,,0,0,,0,0,,jordan-wilkins-1,77,24,RB,0,,0,75,15.0,5,72,4,379,5.3,4,0.0,,2015,0,0.0,Ole Miss,0,4,,217,454,5.9,,0,,SO
jordan-wilkins-1,2017,,0,0,0,0,0,0,,12.0,6-1,0,0,0,0,Jordan Wilkins,,0,0,,0,0,,jordan-wilkins-1,181,60,RB,0,,1,241,9.3,26,155,9,1011,6.5,10,0.0,,2017,1,0.0,Ole Miss,1,10,,217,1252,6.9,,0,,SR
jordan-wilkins-1,Career,25.5,0,1,0,0,0,0,,,6-1,0,0,0,0,Jordan Wilkins,,2,0,50.0,1,31,15.5,jordan-wilkins-1,311,90,RB,0,345.2,1,322,10.1,32,279,14,1751,6.3,15,0.0,,Career,1,0.0,Ole Miss,1,15,,217,2073,6.7,,0,,
jaylen-walton-1,2012,,,,,,,,,13.0,5-8,,,,1,Jaylen Walton,,,,,,,,jaylen-walton-1,26,18,RB,,,1,57,19.0,3,23,1,118,5.1,2,,,2012,,,Ole Miss,,3,,172,175,6.7,,,,FR
jaylen-walton-1,2013,,0.0,,0.0,0.0,0.0,0.0,,13.0,5-8,0.0,0.0,,0,Jaylen Walton,,,0.0,,,,,jaylen-walton-1,142,48,RB,0.0,,2,322,11.1,29,113,6,523,4.6,8,0.0,,2013,0.0,0.0,Ole Miss,0.0,8,,172,845,6.0,,0.0,,SO
jaylen-walton-1,2014,,0.0,,0.0,0.0,0.0,0.0,,13.0,5-8,0.0,0.0,,0,Jaylen Walton,,,0.0,,,,,jaylen-walton-1,125,42,RB,0.0,,2,206,10.8,19,106,5,586,5.5,7,0.0,,2014,1.0,0.0,Ole Miss,1.0,7,,172,792,6.3,,0.0,,JR
jaylen-walton-1,2015,,0.0,,0.0,0.0,0.0,0.0,,12.0,5-8,0.0,0.0,,0,Jaylen Walton,,,0.0,,,,,jaylen-walton-1,165,30,RB,0.0,,0,164,7.1,23,142,5,730,5.1,5,0.0,,2015,1.0,0.0,Ole Miss,1.0,5,,172,894,5.4,,0.0,,SR
jaylen-walton-1,Career,,0.0,,0.0,0.0,0.0,0.0,,,5-8,0.0,0.0,,1,Jaylen Walton,,,0.0,,,,,jaylen-walton-1,458,138,RB,0.0,,5,749,10.1,74,384,17,1957,5.1,22,0.0,,Career,2.0,0.0,Ole Miss,2.0,23,,172,2706,5.9,,0.0,,
itavius-mathers-1,2012,,,,,,,,,13.0,5-11,,,,0.0,I'Tavius Mathers,,,,,,,,itavius-mathers-1,29,6,RB,,,0.0,9.0,4.5,2.0,27.0,1.0,208.0,7.7,1,,,2012,,,Ole Miss,,1,,197,217,7.5,,,,FR
