,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
maty-mauk-1,2013,9.0,,68,0,0,,,,10.0,6-0,,,2,0,Maty Mauk,,133,,51.1,11,1071,8.1,maty-mauk-1,41,6,QB,0,143.1,0,0,,0,41,1,229,5.6,1,,,2013,,,Missouri,,1,,200,229,5.6,,,,FR
maty-mauk-1,2014,6.2,,221,0,0,,,,14.0,6-0,,,13,0,Maty Mauk,,414,,53.4,25,2648,6.4,maty-mauk-1,109,12,QB,0,120.8,0,1,1.0,1,108,2,373,3.5,2,,,2014,,,Missouri,,2,,200,374,3.4,,,,SO
maty-mauk-1,2015,5.4,,57,0,0,,,,4.0,6-0,,,4,0,Maty Mauk,,110,,51.8,6,654,5.9,maty-mauk-1,36,6,QB,0,112.5,0,0,,0,36,1,145,4.0,1,,,2015,,,Missouri,,1,,200,145,4.0,,,,JR
maty-mauk-1,Career,6.6,,346,0,0,,,,,6-0,,,19,0,Maty Mauk,,657,,52.7,42,4373,6.7,maty-mauk-1,186,24,QB,0,123.9,0,1,1.0,1,185,4,747,4.0,4,,,Career,,,Missouri,,4,,200,748,4.0,,,,
eddie-printz-1,2014,0.0,0.0,0.0,,,0.0,1.0,,2.0,6-3,0.0,0.0,0.0,,Eddie Printz,,1.0,0.0,0.0,0.0,0.0,0.0,eddie-printz-1,0,,QB,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,2014,0.0,0.0,Missouri,0.0,,,205,0,,,0.0,,FR
eddie-printz-1,2015,,,,,,,,,,6-3,,,,,Eddie Printz,,,,,,,,eddie-printz-1,0,,QB,,,,,,,,,,,0,,,2015,,,Missouri,,,,205,0,,,,,SO
eddie-printz-1,2016,7.3,0.0,12.0,,,0.0,0.0,,7.0,6-3,0.0,0.0,1.0,,Eddie Printz,,25.0,0.0,48.0,1.0,208.0,8.3,eddie-printz-1,17,,QB,,123.1,0.0,0.0,,0.0,17.0,0.0,49.0,2.9,0,0.0,,2016,0.0,0.0,Texas State,0.0,,,205,49,2.9,,0.0,,JR
eddie-printz-1,Career,7.0,0.0,12.0,,,0.0,1.0,,,6-3,0.0,0.0,1.0,,Eddie Printz,,26.0,0.0,46.2,1.0,208.0,8.0,eddie-printz-1,17,,QB,,118.4,0.0,0.0,,0.0,17.0,0.0,49.0,2.9,0,0.0,,Career,0.0,0.0,Overall,0.0,,,205,49,2.9,,0.0,,
bud-sasser-1,2011,,0,,,,0.0,0.0,,9.0,6-2,,,,,Bud Sasser,,,0.0,,,,,bud-sasser-1,3,0,WR,,,0,16,5.3,3,,,,,0,0.0,,2011,0,0.0,Missouri,0,0,,210,16,5.3,,,,FR
bud-sasser-1,2012,,0,,,,,,,12.0,6-2,,,,,Bud Sasser,,,,,,,,bud-sasser-1,10,6,WR,,,1,231,23.1,10,,,,,1,0.0,,2012,1,0.0,Missouri,1,1,,210,231,23.1,,,,SO
bud-sasser-1,2013,60.0,2,1.0,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,0.0,0.0,Bud Sasser,,1.0,0.0,100.0,1.0,40.0,40.0,bud-sasser-1,26,6,WR,0.0,766.0,1,361,13.9,26,0.0,0.0,0.0,,1,0.0,,2013,0,0.0,Missouri,2,1,,210,361,13.9,,0.0,,JR
bud-sasser-1,2014,,0,0.0,0.0,0.0,1.0,0.0,,14.0,6-2,0.0,0.0,0.0,0.0,Bud Sasser,,0.0,0.0,,0.0,0.0,,bud-sasser-1,77,72,WR,0.0,,12,1003,13.0,77,0.0,0.0,0.0,,12,0.0,,2014,4,0.0,Missouri,4,12,,210,1003,13.0,,0.0,,SR
bud-sasser-1,Career,60.0,2,1.0,0.0,0.0,1.0,0.0,,,6-2,0.0,0.0,0.0,0.0,Bud Sasser,,1.0,0.0,100.0,1.0,40.0,40.0,bud-sasser-1,116,84,WR,0.0,766.0,14,1611,13.9,116,0.0,0.0,0.0,,14,0.0,,Career,5,0.0,Missouri,7,14,,210,1611,13.9,,0.0,,
